日期,编码,地区,流量,月份,天,小时
201910270800,853,安顺,2549.10,10,27,08
201910270805,853,安顺,2345.20,10,27,08
201910270810,853,安顺,2496.28,10,27,08
201910270815,853,安顺,3207.74,10,27,08
201910270820,853,安顺,3622.76,10,27,08
201910270825,853,安顺,3252.18,10,27,08
201910270830,853,安顺,2953.18,10,27,08
201910270835,853,安顺,3046.50,10,27,08
201910270840,853,安顺,4073.47,10,27,08
201910270845,853,安顺,3545.37,10,27,08
201910270850,853,安顺,3805.96,10,27,08
201910270855,853,安顺,4846.15,10,27,08
201910270900,853,安顺,4720.10,10,27,09
201910270905,853,安顺,4474.87,10,27,09
201910270910,853,安顺,4603.64,10,27,09
201910270915,853,安顺,6010.28,10,27,09
201910270920,853,安顺,4945.25,10,27,09
201910270925,853,安顺,5205.79,10,27,09
201910270930,853,安顺,4946.69,10,27,09
201910270935,853,安顺,4888.13,10,27,09
201910270940,853,安顺,5607.14,10,27,09
201910270945,853,安顺,5707.75,10,27,09
201910270950,853,安顺,6281.60,10,27,09
201910270955,853,安顺,6069.61,10,27,09
201910271000,853,安顺,6532.23,10,27,10
201910271005,853,安顺,5942.22,10,27,10
201910271010,853,安顺,6363.52,10,27,10
201910271015,853,安顺,5872.03,10,27,10
201910271020,853,安顺,6224.61,10,27,10
201910271025,853,安顺,6227.55,10,27,10
201910271030,853,安顺,6618.51,10,27,10
201910271035,853,安顺,7011.79,10,27,10
201910271040,853,安顺,6491.07,10,27,10
201910271045,853,安顺,7268.32,10,27,10
201910271050,853,安顺,6807.82,10,27,10
201910271055,853,安顺,8150.66,10,27,10
201910271105,853,安顺,7324.36,10,27,11
201910271110,853,安顺,7287.96,10,27,11
201910271115,853,安顺,7698.64,10,27,11
201910271120,853,安顺,7234.71,10,27,11
201910271125,853,安顺,8170.30,10,27,11
201910271130,853,安顺,8259.57,10,27,11
201910271135,853,安顺,7336.51,10,27,11
201910271140,853,安顺,7562.68,10,27,11
201910271145,853,安顺,7996.78,10,27,11
201910271150,853,安顺,9942.06,10,27,11
201910271155,853,安顺,7116.00,10,27,11
201910271200,853,安顺,8523.79,10,27,12
201910271205,853,安顺,7297.82,10,27,12
201910271210,853,安顺,6972.73,10,27,12
201910271215,853,安顺,7815.55,10,27,12
201910271220,853,安顺,8690.13,10,27,12
201910271225,853,安顺,8012.68,10,27,12
201910271230,853,安顺,8002.92,10,27,12
201910271235,853,安顺,7921.20,10,27,12
201910271240,853,安顺,7981.12,10,27,12
201910271245,853,安顺,7623.90,10,27,12
201910271250,853,安顺,7799.41,10,27,12
201910271255,853,安顺,7958.57,10,27,12
201910271300,853,安顺,7930.28,10,27,13
201910271305,853,安顺,8429.79,10,27,13
201910271310,853,安顺,7605.68,10,27,13
201910271315,853,安顺,7959.59,10,27,13
201910271320,853,安顺,8064.10,10,27,13
201910271325,853,安顺,8236.10,10,27,13
201910271330,853,安顺,7614.20,10,27,13
201910271335,853,安顺,8317.61,10,27,13
201910271340,853,安顺,7685.89,10,27,13
201910271345,853,安顺,8619.00,10,27,13
201910271350,853,安顺,8243.77,10,27,13
201910271355,853,安顺,8466.82,10,27,13
201910271400,853,安顺,7927.39,10,27,14
201910271405,853,安顺,8279.11,10,27,14
201910271410,853,安顺,8324.56,10,27,14
201910271415,853,安顺,8023.05,10,27,14
201910271420,853,安顺,7592.11,10,27,14
201910271425,853,安顺,7568.84,10,27,14
201910271430,853,安顺,7017.86,10,27,14
201910271435,853,安顺,8617.54,10,27,14
201910271440,853,安顺,7005.84,10,27,14
201910271445,853,安顺,8148.60,10,27,14
201910271450,853,安顺,7609.73,10,27,14
201910271455,853,安顺,7155.91,10,27,14
201910271500,853,安顺,7549.51,10,27,15
201910271505,853,安顺,7770.13,10,27,15
201910271510,853,安顺,7321.24,10,27,15
201910271515,853,安顺,7528.52,10,27,15
201910271520,853,安顺,8379.72,10,27,15
201910271525,853,安顺,7482.93,10,27,15
201910271530,853,安顺,7359.50,10,27,15
201910271535,853,安顺,7144.69,10,27,15
201910271540,853,安顺,6500.50,10,27,15
201910271545,853,安顺,6972.62,10,27,15
201910271550,853,安顺,7526.12,10,27,15
201910271555,853,安顺,7067.30,10,27,15
201910271600,853,安顺,6243.42,10,27,16
