日期,编码,地区,流量,月份,天,小时
201910270800,853,安顺,439899.09,10,27,08
201910270805,853,安顺,452009.55,10,27,08
201910270810,853,安顺,474638.73,10,27,08
201910270815,853,安顺,478074.53,10,27,08
201910270820,853,安顺,490561.31,10,27,08
201910270825,853,安顺,496544.97,10,27,08
201910270830,853,安顺,514091.67,10,27,08
201910270835,853,安顺,528517.19,10,27,08
201910270840,853,安顺,531707.68,10,27,08
201910270845,853,安顺,550528.49,10,27,08
201910270850,853,安顺,562554.27,10,27,08
201910270855,853,安顺,567651.03,10,27,08
201910270900,853,安顺,573777.72,10,27,09
201910270905,853,安顺,570532.86,10,27,09
201910270910,853,安顺,583101.90,10,27,09
201910270915,853,安顺,595904.93,10,27,09
201910270920,853,安顺,608770.80,10,27,09
201910270925,853,安顺,605503.93,10,27,09
201910270930,853,安顺,630001.02,10,27,09
201910270935,853,安顺,636522.89,10,27,09
201910270940,853,安顺,641533.08,10,27,09
201910270945,853,安顺,639217.34,10,27,09
201910270950,853,安顺,650653.00,10,27,09
201910270955,853,安顺,662175.71,10,27,09
201910271000,853,安顺,659012.96,10,27,10
201910271005,853,安顺,671213.24,10,27,10
201910271010,853,安顺,672303.98,10,27,10
201910271015,853,安顺,676261.75,10,27,10
201910271020,853,安顺,685478.68,10,27,10
201910271025,853,安顺,685690.99,10,27,10
201910271030,853,安顺,689669.12,10,27,10
201910271035,853,安顺,700250.18,10,27,10
201910271040,853,安顺,691167.85,10,27,10
201910271045,853,安顺,698622.49,10,27,10
201910271050,853,安顺,697761.56,10,27,10
201910271055,853,安顺,705607.28,10,27,10
201910271105,853,安顺,703759.13,10,27,11
201910271110,853,安顺,713120.04,10,27,11
201910271115,853,安顺,725979.86,10,27,11
201910271120,853,安顺,729906.87,10,27,11
201910271125,853,安顺,734122.47,10,27,11
201910271130,853,安顺,725063.14,10,27,11
201910271135,853,安顺,722061.66,10,27,11
201910271140,853,安顺,728767.02,10,27,11
201910271145,853,安顺,742382.85,10,27,11
201910271150,853,安顺,741864.32,10,27,11
201910271155,853,安顺,739236.83,10,27,11
201910271200,853,安顺,735808.45,10,27,12
201910271205,853,安顺,743164.91,10,27,12
201910271210,853,安顺,747800.52,10,27,12
201910271215,853,安顺,748871.39,10,27,12
201910271220,853,安顺,757605.71,10,27,12
201910271225,853,安顺,786290.41,10,27,12
201910271230,853,安顺,800924.02,10,27,12
201910271235,853,安顺,799783.41,10,27,12
201910271240,853,安顺,807880.51,10,27,12
201910271245,853,安顺,807167.36,10,27,12
201910271250,853,安顺,812218.57,10,27,12
201910271255,853,安顺,796341.27,10,27,12
201910271300,853,安顺,777802.39,10,27,13
201910271305,853,安顺,774459.22,10,27,13
201910271310,853,安顺,746172.09,10,27,13
201910271315,853,安顺,765854.07,10,27,13
201910271320,853,安顺,759215.82,10,27,13
201910271325,853,安顺,757317.22,10,27,13
201910271330,853,安顺,749319.28,10,27,13
201910271335,853,安顺,749225.24,10,27,13
201910271340,853,安顺,743003.16,10,27,13
201910271345,853,安顺,748229.84,10,27,13
201910271350,853,安顺,741590.62,10,27,13
201910271355,853,安顺,732198.38,10,27,13
201910271400,853,安顺,732314.72,10,27,14
201910271405,853,安顺,715565.90,10,27,14
201910271410,853,安顺,721191.31,10,27,14
201910271415,853,安顺,719027.23,10,27,14
201910271420,853,安顺,703729.22,10,27,14
201910271425,853,安顺,714628.08,10,27,14
201910271430,853,安顺,714193.79,10,27,14
201910271435,853,安顺,721567.25,10,27,14
201910271440,853,安顺,716051.27,10,27,14
201910271445,853,安顺,716941.01,10,27,14
201910271450,853,安顺,712088.40,10,27,14
201910271455,853,安顺,718593.42,10,27,14
201910271500,853,安顺,729488.82,10,27,15
201910271505,853,安顺,728442.54,10,27,15
201910271510,853,安顺,721877.00,10,27,15
201910271515,853,安顺,708399.32,10,27,15
201910271520,853,安顺,711439.37,10,27,15
201910271525,853,安顺,718692.02,10,27,15
201910271530,853,安顺,719213.57,10,27,15
201910271535,853,安顺,717282.72,10,27,15
201910271540,853,安顺,706950.35,10,27,15
201910271545,853,安顺,717546.52,10,27,15
201910271550,853,安顺,710213.85,10,27,15
201910271555,853,安顺,707787.86,10,27,15
201910271600,853,安顺,711795.00,10,27,16
201910271605,853,安顺,696751.31,10,27,16
201910271610,853,安顺,684476.12,10,27,16
201910271615,853,安顺,712049.11,10,27,16
201910271620,853,安顺,705512.55,10,27,16
201910271625,853,安顺,713537.07,10,27,16
201910271630,853,安顺,712096.12,10,27,16
201910271635,853,安顺,710682.54,10,27,16
201910271640,853,安顺,716331.61,10,27,16
201910271645,853,安顺,726045.90,10,27,16
201910271650,853,安顺,702603.08,10,27,16
201910271655,853,安顺,704696.58,10,27,16
201910271700,853,安顺,689228.48,10,27,17
201910271705,853,安顺,687922.22,10,27,17
201910271710,853,安顺,679538.45,10,27,17
201910271715,853,安顺,687443.19,10,27,17
201910271720,853,安顺,697340.39,10,27,17
201910271725,853,安顺,699752.26,10,27,17
201910271730,853,安顺,695662.87,10,27,17
201910271735,853,安顺,640112.98,10,27,17
201910271740,853,安顺,672681.95,10,27,17
201910271745,853,安顺,678920.02,10,27,17
201910271750,853,安顺,681936.58,10,27,17
201910271755,853,安顺,688605.17,10,27,17
201910271800,853,安顺,682734.60,10,27,18
201910271805,853,安顺,677984.47,10,27,18
201910271810,853,安顺,680594.80,10,27,18
201910271815,853,安顺,681918.26,10,27,18
201910271820,853,安顺,698301.76,10,27,18
201910271825,853,安顺,683980.50,10,27,18
201910271830,853,安顺,680618.24,10,27,18
201910271835,853,安顺,699236.73,10,27,18
201910271840,853,安顺,709592.76,10,27,18
201910271845,853,安顺,723942.00,10,27,18
201910271850,853,安顺,721708.14,10,27,18
201910271855,853,安顺,755605.68,10,27,18
201910271900,853,安顺,764551.35,10,27,19
201910271905,853,安顺,777826.33,10,27,19
201910271910,853,安顺,798957.11,10,27,19
201910271915,853,安顺,810800.68,10,27,19
201910271920,853,安顺,811225.80,10,27,19
201910271925,853,安顺,832008.72,10,27,19
201910271930,853,安顺,850639.10,10,27,19
201910271935,853,安顺,847044.31,10,27,19
201910271940,853,安顺,875180.53,10,27,19
201910271945,853,安顺,888288.55,10,27,19
201910271950,853,安顺,893567.87,10,27,19
201910271955,853,安顺,889647.85,10,27,19
201910272000,853,安顺,904902.13,10,27,20
201910272005,853,安顺,915338.36,10,27,20
201910272010,853,安顺,908452.16,10,27,20
201910272015,853,安顺,928700.45,10,27,20
201910272020,853,安顺,924552.23,10,27,20
201910272025,853,安顺,932815.22,10,27,20
201910272030,853,安顺,933395.02,10,27,20
201910272035,853,安顺,935865.91,10,27,20
201910272040,853,安顺,942241.57,10,27,20
201910272045,853,安顺,941757.36,10,27,20
201910272050,853,安顺,951578.38,10,27,20
201910272055,853,安顺,960544.79,10,27,20
201910272100,853,安顺,949145.84,10,27,21
201910272105,853,安顺,949921.33,10,27,21
201910272110,853,安顺,946472.28,10,27,21
201910272115,853,安顺,948641.40,10,27,21
201910272120,853,安顺,949001.43,10,27,21
201910272125,853,安顺,950438.33,10,27,21
201910272130,853,安顺,956587.01,10,27,21
201910272135,853,安顺,949063.03,10,27,21
201910272140,853,安顺,896476.01,10,27,21
201910272145,853,安顺,949945.98,10,27,21
201910272150,853,安顺,946103.33,10,27,21
201910272155,853,安顺,925399.30,10,27,21
201910272200,853,安顺,912974.26,10,27,22
201910272205,853,安顺,918513.09,10,27,22
201910272210,853,安顺,907684.21,10,27,22
201910272215,853,安顺,900992.22,10,27,22
201910272220,853,安顺,895044.48,10,27,22
201910272225,853,安顺,894981.45,10,27,22
201910272230,853,安顺,888907.37,10,27,22
201910272235,853,安顺,860347.00,10,27,22
201910272240,853,安顺,855979.99,10,27,22
201910272245,853,安顺,842750.58,10,27,22
201910272250,853,安顺,826903.35,10,27,22
201910272255,853,安顺,826610.66,10,27,22
201910272300,853,安顺,806138.18,10,27,23
201910272305,853,安顺,789527.23,10,27,23
201910272310,853,安顺,778754.92,10,27,23
201910272315,853,安顺,768868.98,10,27,23
201910272320,853,安顺,756164.32,10,27,23
201910272325,853,安顺,737314.44,10,27,23
201910272330,853,安顺,728129.28,10,27,23
201910272335,853,安顺,717367.11,10,27,23
201910272340,853,安顺,701007.26,10,27,23
201910272345,853,安顺,684776.15,10,27,23
201910272350,853,安顺,670824.46,10,27,23
201910272355,853,安顺,653030.19,10,27,23
201910280800,853,安顺,342187.25,10,28,08
201910280805,853,安顺,346573.96,10,28,08
201910280810,853,安顺,358371.55,10,28,08
201910280815,853,安顺,364830.16,10,28,08
201910280820,853,安顺,365003.47,10,28,08
201910280825,853,安顺,379416.81,10,28,08
201910280830,853,安顺,385465.89,10,28,08
201910280835,853,安顺,382855.06,10,28,08
201910280840,853,安顺,385869.91,10,28,08
201910280845,853,安顺,394278.71,10,28,08
201910280850,853,安顺,403380.30,10,28,08
201910280855,853,安顺,406327.63,10,28,08
201910280900,853,安顺,403943.80,10,28,09
201910280905,853,安顺,409167.32,10,28,09
201910280910,853,安顺,399871.67,10,28,09
201910280915,853,安顺,415185.60,10,28,09
201910280920,853,安顺,423760.17,10,28,09
201910280925,853,安顺,422556.12,10,28,09
201910280930,853,安顺,419958.15,10,28,09
201910280935,853,安顺,434173.71,10,28,09
201910280940,853,安顺,431176.73,10,28,09
201910280945,853,安顺,436245.10,10,28,09
201910280950,853,安顺,439946.88,10,28,09
201910280955,853,安顺,445269.58,10,28,09
201910281000,853,安顺,450597.82,10,28,10
201910281005,853,安顺,454091.36,10,28,10
201910281010,853,安顺,469170.84,10,28,10
201910281015,853,安顺,476334.94,10,28,10
201910281020,853,安顺,477096.00,10,28,10
201910281025,853,安顺,471197.01,10,28,10
201910281030,853,安顺,481235.88,10,28,10
201910281035,853,安顺,489021.87,10,28,10
201910281040,853,安顺,485102.77,10,28,10
201910281045,853,安顺,499287.40,10,28,10
201910281050,853,安顺,505505.97,10,28,10
201910281055,853,安顺,503320.61,10,28,10
201910281100,853,安顺,500605.99,10,28,11
201911140800,853,安顺,397575.66,11,14,08
201911140805,853,安顺,410823.74,11,14,08
201911140810,853,安顺,416343.65,11,14,08
201911140815,853,安顺,424833.18,11,14,08
201911140820,853,安顺,419424.05,11,14,08
201911140825,853,安顺,425366.91,11,14,08
201911140830,853,安顺,427389.67,11,14,08
201911140835,853,安顺,429582.61,11,14,08
201911140840,853,安顺,436646.75,11,14,08
201911140845,853,安顺,449485.25,11,14,08
201911140850,853,安顺,446807.34,11,14,08
201911140855,853,安顺,441891.84,11,14,08
201911140900,853,安顺,446097.00,11,14,09
201911140905,853,安顺,444244.50,11,14,09
201911140910,853,安顺,449702.26,11,14,09
201911140915,853,安顺,457238.68,11,14,09
201911140920,853,安顺,456623.63,11,14,09
201911140925,853,安顺,462559.62,11,14,09
201911140930,853,安顺,469311.43,11,14,09
201911140935,853,安顺,474367.21,11,14,09
201911140940,853,安顺,478085.75,11,14,09
201911140945,853,安顺,482999.81,11,14,09
201911140950,853,安顺,490061.82,11,14,09
201911140955,853,安顺,494856.62,11,14,09
201911141000,853,安顺,497979.23,11,14,10
201911141005,853,安顺,504045.03,11,14,10
201911141010,853,安顺,515010.24,11,14,10
201911141015,853,安顺,513948.96,11,14,10
201911141020,853,安顺,517554.14,11,14,10
201911141025,853,安顺,525598.20,11,14,10
201911141030,853,安顺,532303.74,11,14,10
201911141035,853,安顺,531801.70,11,14,10
201911141040,853,安顺,549700.06,11,14,10
201911141045,853,安顺,547933.60,11,14,10
201911141050,853,安顺,551435.95,11,14,10
201911141055,853,安顺,550404.96,11,14,10
201911141100,853,安顺,559314.16,11,14,11
201911141105,853,安顺,552266.98,11,14,11
201911141110,853,安顺,573695.83,11,14,11
201911141115,853,安顺,565556.65,11,14,11
201911141120,853,安顺,569943.77,11,14,11
201911141125,853,安顺,589868.54,11,14,11
201911141130,853,安顺,582999.80,11,14,11
201911141135,853,安顺,586607.00,11,14,11
201911141140,853,安顺,602328.84,11,14,11
201911141145,853,安顺,589619.31,11,14,11
201911141150,853,安顺,594057.75,11,14,11
201911141155,853,安顺,598283.63,11,14,11
201911141200,853,安顺,588027.01,11,14,12
201911141205,853,安顺,583817.84,11,14,12
201911141210,853,安顺,617249.64,11,14,12
201911141215,853,安顺,638260.58,11,14,12
201911141220,853,安顺,654013.39,11,14,12
201911141225,853,安顺,690828.15,11,14,12
201911141230,853,安顺,729118.56,11,14,12
201911141235,853,安顺,745450.80,11,14,12
201911141240,853,安顺,764177.10,11,14,12
201911141245,853,安顺,786031.68,11,14,12
201911141250,853,安顺,789844.67,11,14,12
201911141255,853,安顺,785329.49,11,14,12
201911141300,853,安顺,756433.96,11,14,13
201911141305,853,安顺,751850.54,11,14,13
201911141310,853,安顺,754521.82,11,14,13
201911141315,853,安顺,734875.33,11,14,13
201911141320,853,安顺,732606.55,11,14,13
201911141325,853,安顺,708125.20,11,14,13
201911141330,853,安顺,690389.73,11,14,13
201911141335,853,安顺,689057.60,11,14,13
201911141340,853,安顺,657750.60,11,14,13
201911141345,853,安顺,665135.40,11,14,13
201911141350,853,安顺,651129.60,11,14,13
201911141355,853,安顺,640692.85,11,14,13
201911141400,853,安顺,630443.83,11,14,14
201911141405,853,安顺,614548.25,11,14,14
201911141410,853,安顺,618677.02,11,14,14
201911141415,853,安顺,614066.17,11,14,14
201911141420,853,安顺,621411.03,11,14,14
201911141425,853,安顺,616647.70,11,14,14
201911141430,853,安顺,610766.23,11,14,14
201911141435,853,安顺,607988.81,11,14,14
201911141440,853,安顺,601098.29,11,14,14
201911141445,853,安顺,614355.51,11,14,14
201911141450,853,安顺,612005.82,11,14,14
201911141455,853,安顺,624055.01,11,14,14
201911141500,853,安顺,624364.63,11,14,15
201911141505,853,安顺,627286.88,11,14,15
201911141510,853,安顺,620362.76,11,14,15
201911141515,853,安顺,629117.69,11,14,15
201911141520,853,安顺,628593.15,11,14,15
201911141525,853,安顺,637584.52,11,14,15
201911141530,853,安顺,643989.88,11,14,15
201911141535,853,安顺,633109.20,11,14,15
201911141540,853,安顺,631977.22,11,14,15
201911141545,853,安顺,640327.93,11,14,15
201911141550,853,安顺,638317.25,11,14,15
201911141555,853,安顺,637089.67,11,14,15
201911141600,853,安顺,627161.71,11,14,16
201911141605,853,安顺,629118.58,11,14,16
201911141610,853,安顺,626709.44,11,14,16
201911141615,853,安顺,644667.62,11,14,16
201911141620,853,安顺,635863.93,11,14,16
