日期,编码,地区,流量,月份,天,小时
201910270800,857,毕节,33079.77,10,27,08
201910270805,857,毕节,32314.64,10,27,08
201910270810,857,毕节,30621.39,10,27,08
201910270815,857,毕节,28712.92,10,27,08
201910270820,857,毕节,39233.04,10,27,08
201910270825,857,毕节,35255.46,10,27,08
201910270830,857,毕节,38662.86,10,27,08
201910270835,857,毕节,38637.34,10,27,08
201910270840,857,毕节,41986.84,10,27,08
201910270845,857,毕节,45896.11,10,27,08
201910270850,857,毕节,39236.15,10,27,08
201910270855,857,毕节,38825.24,10,27,08
201910270900,857,毕节,39864.11,10,27,09
201910270905,857,毕节,43872.88,10,27,09
201910270910,857,毕节,47669.06,10,27,09
201910270915,857,毕节,43797.78,10,27,09
201910270920,857,毕节,47276.36,10,27,09
201910270925,857,毕节,44518.19,10,27,09
201910270930,857,毕节,42032.36,10,27,09
201910270935,857,毕节,51989.60,10,27,09
201910270940,857,毕节,49898.36,10,27,09
201910270945,857,毕节,54128.04,10,27,09
201910270950,857,毕节,54136.55,10,27,09
201910270955,857,毕节,52068.32,10,27,09
201910271000,857,毕节,59217.47,10,27,10
201910271005,857,毕节,52868.87,10,27,10
201910271010,857,毕节,49790.62,10,27,10
201910271015,857,毕节,55124.09,10,27,10
201910271020,857,毕节,49268.25,10,27,10
201910271025,857,毕节,57175.90,10,27,10
201910271030,857,毕节,54550.84,10,27,10
201910271035,857,毕节,62938.34,10,27,10
201910271040,857,毕节,53102.99,10,27,10
201910271045,857,毕节,61561.44,10,27,10
201910271050,857,毕节,56872.39,10,27,10
201910271055,857,毕节,63176.13,10,27,10
201910271105,857,毕节,67497.49,10,27,11
201910271110,857,毕节,71458.73,10,27,11
201910271115,857,毕节,75100.46,10,27,11
201910271120,857,毕节,67611.20,10,27,11
201910271125,857,毕节,74726.48,10,27,11
201910271130,857,毕节,70635.23,10,27,11
201910271135,857,毕节,65866.05,10,27,11
201910271140,857,毕节,68047.91,10,27,11
201910271145,857,毕节,57562.31,10,27,11
201910271150,857,毕节,64908.43,10,27,11
201910271155,857,毕节,62693.96,10,27,11
201910271200,857,毕节,58137.09,10,27,12
201910271205,857,毕节,71483.28,10,27,12
201910271210,857,毕节,63935.30,10,27,12
201910271215,857,毕节,55292.26,10,27,12
201910271220,857,毕节,70042.12,10,27,12
201910271225,857,毕节,63099.04,10,27,12
201910271230,857,毕节,62219.57,10,27,12
201910271235,857,毕节,67360.36,10,27,12
201910271240,857,毕节,68730.95,10,27,12
201910271245,857,毕节,66000.87,10,27,12
201910271250,857,毕节,74862.48,10,27,12
201910271255,857,毕节,62182.15,10,27,12
201910271300,857,毕节,70066.86,10,27,13
201910271305,857,毕节,67515.67,10,27,13
201910271310,857,毕节,60204.72,10,27,13
201910271315,857,毕节,73293.16,10,27,13
201910271320,857,毕节,66169.89,10,27,13
201910271325,857,毕节,71919.51,10,27,13
201910271330,857,毕节,73429.24,10,27,13
201910271335,857,毕节,63916.52,10,27,13
201910271340,857,毕节,66927.74,10,27,13
201910271345,857,毕节,61963.34,10,27,13
201910271350,857,毕节,63077.36,10,27,13
201910271355,857,毕节,66596.56,10,27,13
201910271400,857,毕节,62146.92,10,27,14
201910271405,857,毕节,65780.82,10,27,14
201910271410,857,毕节,61282.99,10,27,14
201910271415,857,毕节,65882.62,10,27,14
201910271420,857,毕节,62973.33,10,27,14
201910271425,857,毕节,60368.70,10,27,14
201910271430,857,毕节,66169.73,10,27,14
201910271435,857,毕节,61116.11,10,27,14
201910271440,857,毕节,67709.21,10,27,14
201910271445,857,毕节,63781.05,10,27,14
201910271450,857,毕节,70833.64,10,27,14
201910271455,857,毕节,59753.06,10,27,14
201910271500,857,毕节,69654.86,10,27,15
201910271505,857,毕节,62652.43,10,27,15
201910271510,857,毕节,60884.58,10,27,15
201910271515,857,毕节,60274.36,10,27,15
201910271520,857,毕节,65050.67,10,27,15
201910271525,857,毕节,66999.99,10,27,15
201910271530,857,毕节,65382.71,10,27,15
201910271535,857,毕节,67203.66,10,27,15
201910271540,857,毕节,57182.24,10,27,15
201910271545,857,毕节,65354.46,10,27,15
201910271550,857,毕节,64528.43,10,27,15
201910271555,857,毕节,58874.32,10,27,15
201910271600,857,毕节,57700.84,10,27,16
201910271605,857,毕节,65748.83,10,27,16
201910271610,857,毕节,57717.73,10,27,16
201910271615,857,毕节,56885.68,10,27,16
201910271620,857,毕节,53548.89,10,27,16
201910271625,857,毕节,61461.12,10,27,16
201910271630,857,毕节,64677.10,10,27,16
201910271635,857,毕节,65145.95,10,27,16
201910271640,857,毕节,58312.99,10,27,16
201910271645,857,毕节,57203.96,10,27,16
201910271650,857,毕节,64841.36,10,27,16
