日期,编码,地区,流量,月份,天,小时
201910270800,857,毕节,151163.74,10,27,08
201910270805,857,毕节,158039.63,10,27,08
201910270810,857,毕节,163587.90,10,27,08
201910270815,857,毕节,163544.23,10,27,08
201910270820,857,毕节,173179.17,10,27,08
201910270825,857,毕节,174114.72,10,27,08
201910270830,857,毕节,178089.52,10,27,08
201910270835,857,毕节,184147.29,10,27,08
201910270840,857,毕节,192546.47,10,27,08
201910270845,857,毕节,191502.30,10,27,08
201910270850,857,毕节,192434.62,10,27,08
201910270855,857,毕节,198535.14,10,27,08
201910270900,857,毕节,208255.28,10,27,09
201910270905,857,毕节,204718.23,10,27,09
201910270910,857,毕节,211363.20,10,27,09
201910270915,857,毕节,211352.31,10,27,09
201910270920,857,毕节,215755.89,10,27,09
201910270925,857,毕节,215988.07,10,27,09
201910270930,857,毕节,222745.45,10,27,09
201910270935,857,毕节,223756.26,10,27,09
201910270940,857,毕节,225412.48,10,27,09
201910270945,857,毕节,233224.65,10,27,09
201910270950,857,毕节,229914.02,10,27,09
201910270955,857,毕节,229917.79,10,27,09
201910271000,857,毕节,231839.85,10,27,10
201910271005,857,毕节,238128.74,10,27,10
201910271010,857,毕节,236600.98,10,27,10
201910271015,857,毕节,243149.27,10,27,10
201910271020,857,毕节,244629.41,10,27,10
201910271025,857,毕节,248395.95,10,27,10
201910271030,857,毕节,251758.27,10,27,10
201910271035,857,毕节,248380.06,10,27,10
201910271040,857,毕节,249880.39,10,27,10
201910271045,857,毕节,253514.64,10,27,10
201910271050,857,毕节,252418.72,10,27,10
201910271055,857,毕节,255834.71,10,27,10
201910271105,857,毕节,252073.57,10,27,11
201910271110,857,毕节,265350.69,10,27,11
201910271115,857,毕节,262038.37,10,27,11
201910271120,857,毕节,270358.04,10,27,11
201910271125,857,毕节,271460.37,10,27,11
201910271130,857,毕节,276633.18,10,27,11
201910271135,857,毕节,276364.70,10,27,11
201910271140,857,毕节,276174.84,10,27,11
201910271145,857,毕节,272716.42,10,27,11
201910271150,857,毕节,281521.85,10,27,11
201910271155,857,毕节,280803.64,10,27,11
201910271200,857,毕节,286208.85,10,27,12
201910271205,857,毕节,286158.85,10,27,12
201910271210,857,毕节,285791.54,10,27,12
201910271215,857,毕节,302279.88,10,27,12
201910271220,857,毕节,299876.79,10,27,12
201910271225,857,毕节,301954.05,10,27,12
201910271230,857,毕节,310592.57,10,27,12
201910271235,857,毕节,304940.67,10,27,12
201910271240,857,毕节,308126.96,10,27,12
201910271245,857,毕节,303079.16,10,27,12
201910271250,857,毕节,299817.11,10,27,12
201910271255,857,毕节,298803.16,10,27,12
201910271300,857,毕节,291932.76,10,27,13
201910271305,857,毕节,297760.66,10,27,13
201910271310,857,毕节,270901.63,10,27,13
201910271315,857,毕节,285048.40,10,27,13
201910271320,857,毕节,281254.69,10,27,13
201910271325,857,毕节,281283.18,10,27,13
201910271330,857,毕节,281184.12,10,27,13
201910271335,857,毕节,284715.77,10,27,13
201910271340,857,毕节,268290.83,10,27,13
201910271345,857,毕节,285688.18,10,27,13
201910271350,857,毕节,276135.31,10,27,13
201910271355,857,毕节,278299.13,10,27,13
201910271400,857,毕节,277887.18,10,27,14
201910271405,857,毕节,274841.33,10,27,14
201910271410,857,毕节,274500.06,10,27,14
201910271415,857,毕节,273893.81,10,27,14
201910271420,857,毕节,274932.39,10,27,14
201910271425,857,毕节,278596.47,10,27,14
201910271430,857,毕节,279278.19,10,27,14
201910271435,857,毕节,270400.76,10,27,14
201910271440,857,毕节,266721.25,10,27,14
201910271445,857,毕节,268226.85,10,27,14
201910271450,857,毕节,265354.07,10,27,14
201910271455,857,毕节,264056.18,10,27,14
201910271500,857,毕节,264883.99,10,27,15
201910271505,857,毕节,258454.87,10,27,15
201910271510,857,毕节,265135.96,10,27,15
201910271515,857,毕节,261592.80,10,27,15
201910271520,857,毕节,260813.33,10,27,15
201910271525,857,毕节,265252.53,10,27,15
201910271530,857,毕节,266724.29,10,27,15
201910271535,857,毕节,265555.21,10,27,15
201910271540,857,毕节,268500.73,10,27,15
201910271545,857,毕节,272212.26,10,27,15
201910271550,857,毕节,264620.08,10,27,15
201910271555,857,毕节,265324.64,10,27,15
201910271600,857,毕节,267086.73,10,27,16
201910271605,857,毕节,267077.77,10,27,16
201910271610,857,毕节,262469.05,10,27,16
201910271615,857,毕节,257732.55,10,27,16
201910271620,857,毕节,261963.23,10,27,16
201910271625,857,毕节,264603.29,10,27,16
201910271630,857,毕节,262917.57,10,27,16
201910271635,857,毕节,265758.08,10,27,16
201910271640,857,毕节,244121.89,10,27,16
201910271645,857,毕节,268652.14,10,27,16
201910271650,857,毕节,264369.72,10,27,16
201910271655,857,毕节,263509.70,10,27,16
201910271700,857,毕节,264325.05,10,27,17
201910271705,857,毕节,262692.56,10,27,17
201910271710,857,毕节,267296.63,10,27,17
201910271715,857,毕节,267574.32,10,27,17
201910271720,857,毕节,270266.12,10,27,17
201910271725,857,毕节,270444.69,10,27,17
201910271730,857,毕节,269504.68,10,27,17
201910271735,857,毕节,268220.52,10,27,17
201910271740,857,毕节,274020.59,10,27,17
201910271745,857,毕节,271978.75,10,27,17
201910271750,857,毕节,271861.73,10,27,17
201910271755,857,毕节,274802.63,10,27,17
201910271800,857,毕节,274410.19,10,27,18
201910271805,857,毕节,280688.47,10,27,18
201910271810,857,毕节,283449.93,10,27,18
201910271815,857,毕节,286264.49,10,27,18
201910271820,857,毕节,293287.90,10,27,18
201910271825,857,毕节,301242.24,10,27,18
201910271830,857,毕节,310478.12,10,27,18
201910271835,857,毕节,314302.14,10,27,18
