日期,编码,地区,流量,月份,天,小时
201910270800,857,毕节,46386.00,10,27,08
201910270805,857,毕节,45246.72,10,27,08
201910270810,857,毕节,48496.01,10,27,08
201910270815,857,毕节,46460.13,10,27,08
201910270820,857,毕节,51330.44,10,27,08
201910270825,857,毕节,48627.23,10,27,08
201910270830,857,毕节,50618.90,10,27,08
201910270835,857,毕节,49327.70,10,27,08
201910270840,857,毕节,52256.65,10,27,08
201910270845,857,毕节,53148.41,10,27,08
201910270850,857,毕节,52998.87,10,27,08
201910270855,857,毕节,55390.09,10,27,08
201910270900,857,毕节,56110.14,10,27,09
201910270905,857,毕节,56296.68,10,27,09
201910270910,857,毕节,55693.46,10,27,09
201910270915,857,毕节,56586.24,10,27,09
201910270920,857,毕节,55329.10,10,27,09
201910270925,857,毕节,56317.25,10,27,09
201910270930,857,毕节,55388.81,10,27,09
201910270935,857,毕节,56846.55,10,27,09
201910270940,857,毕节,56415.66,10,27,09
201910270945,857,毕节,59111.45,10,27,09
201910270950,857,毕节,60389.32,10,27,09
201910270955,857,毕节,57732.30,10,27,09
201910271000,857,毕节,60138.76,10,27,10
201910271005,857,毕节,58585.98,10,27,10
201910271010,857,毕节,58994.29,10,27,10
201910271015,857,毕节,60476.91,10,27,10
201910271020,857,毕节,59936.80,10,27,10
201910271025,857,毕节,59970.30,10,27,10
201910271030,857,毕节,60342.14,10,27,10
201910271035,857,毕节,63529.20,10,27,10
201910271040,857,毕节,60454.46,10,27,10
201910271045,857,毕节,63565.15,10,27,10
201910271050,857,毕节,62135.72,10,27,10
201910271055,857,毕节,61846.25,10,27,10
201910271105,857,毕节,61604.48,10,27,11
201910271110,857,毕节,63466.17,10,27,11
201910271115,857,毕节,65126.61,10,27,11
201910271120,857,毕节,66345.16,10,27,11
201910271125,857,毕节,68460.02,10,27,11
201910271130,857,毕节,66873.97,10,27,11
201910271135,857,毕节,70023.62,10,27,11
201910271140,857,毕节,65607.66,10,27,11
201910271145,857,毕节,66317.97,10,27,11
201910271150,857,毕节,65332.24,10,27,11
