日期,编码,地区,流量,月份,天,小时
201910270800,854,黔南,97.94,10,27,08
201910270805,854,黔南,344.60,10,27,08
201910270810,854,黔南,433.39,10,27,08
201910270815,854,黔南,447.13,10,27,08
201910270820,854,黔南,137.96,10,27,08
201910270825,854,黔南,670.64,10,27,08
201910270830,854,黔南,286.93,10,27,08
201910270835,854,黔南,480.29,10,27,08
201910270840,854,黔南,496.14,10,27,08
201910270845,854,黔南,514.76,10,27,08
201910270850,854,黔南,685.04,10,27,08
201910270855,854,黔南,138.41,10,27,08
201910270900,854,黔南,1456.25,10,27,09
201910270905,854,黔南,940.51,10,27,09
201910270910,854,黔南,869.38,10,27,09
201910270915,854,黔南,751.72,10,27,09
201910270920,854,黔南,554.60,10,27,09
201910270925,854,黔南,489.21,10,27,09
201910270930,854,黔南,527.17,10,27,09
201910270935,854,黔南,643.87,10,27,09
201910270940,854,黔南,987.89,10,27,09
201910270945,854,黔南,784.36,10,27,09
201910270950,854,黔南,756.77,10,27,09
201910270955,854,黔南,503.37,10,27,09
201910271000,854,黔南,645.92,10,27,10
201910271005,854,黔南,794.17,10,27,10
201910271010,854,黔南,943.18,10,27,10
201910271015,854,黔南,536.08,10,27,10
201910271020,854,黔南,160.32,10,27,10
201910271025,854,黔南,222.45,10,27,10
201910271030,854,黔南,716.32,10,27,10
201910271035,854,黔南,250.35,10,27,10
201910271040,854,黔南,727.93,10,27,10
201910271045,854,黔南,405.78,10,27,10
201910271050,854,黔南,563.08,10,27,10
201910271055,854,黔南,323.58,10,27,10
201910271105,854,黔南,391.38,10,27,11
201910271110,854,黔南,1018.33,10,27,11
201910271115,854,黔南,1069.65,10,27,11
201910271120,854,黔南,782.88,10,27,11
201910271125,854,黔南,992.74,10,27,11
201910271130,854,黔南,1131.44,10,27,11
201910271135,854,黔南,951.48,10,27,11
201910271140,854,黔南,877.15,10,27,11
201910271145,854,黔南,814.22,10,27,11
201910271150,854,黔南,573.32,10,27,11
201910271155,854,黔南,2495.20,10,27,11
201910271200,854,黔南,1148.30,10,27,12
201910271205,854,黔南,489.17,10,27,12
201910271210,854,黔南,1060.27,10,27,12
201910271215,854,黔南,852.10,10,27,12
201910271220,854,黔南,502.27,10,27,12
201910271225,854,黔南,718.24,10,27,12
201910271230,854,黔南,1472.32,10,27,12
201910271235,854,黔南,1092.48,10,27,12
201910271240,854,黔南,1684.49,10,27,12
201910271245,854,黔南,657.87,10,27,12
201910271250,854,黔南,548.11,10,27,12
201910271255,854,黔南,1375.47,10,27,12
201910271300,854,黔南,916.14,10,27,13
201910271305,854,黔南,232.20,10,27,13
