日期,编码,地区,流量,月份,天,小时
201910270800,854,黔南,222.52,10,27,08
201910270805,854,黔南,193.30,10,27,08
201910270810,854,黔南,174.74,10,27,08
201910270815,854,黔南,193.09,10,27,08
201910270820,854,黔南,193.19,10,27,08
201910270825,854,黔南,275.50,10,27,08
201910270830,854,黔南,325.77,10,27,08
201910270835,854,黔南,284.98,10,27,08
201910270840,854,黔南,312.58,10,27,08
201910270845,854,黔南,265.99,10,27,08
201910270850,854,黔南,272.17,10,27,08
201910270855,854,黔南,260.51,10,27,08
201910270900,854,黔南,284.80,10,27,09
201910270905,854,黔南,256.22,10,27,09
201910270910,854,黔南,314.35,10,27,09
201910270915,854,黔南,363.85,10,27,09
201910270920,854,黔南,270.37,10,27,09
201910270925,854,黔南,325.82,10,27,09
201910270930,854,黔南,230.64,10,27,09
201910270935,854,黔南,297.78,10,27,09
201910270940,854,黔南,276.13,10,27,09
201910270945,854,黔南,278.21,10,27,09
201910270950,854,黔南,239.13,10,27,09
201910270955,854,黔南,230.41,10,27,09
201910271000,854,黔南,223.03,10,27,10
201910271005,854,黔南,312.00,10,27,10
201910271010,854,黔南,306.10,10,27,10
201910271015,854,黔南,320.63,10,27,10
201910271020,854,黔南,362.35,10,27,10
201910271025,854,黔南,354.70,10,27,10
201910271030,854,黔南,361.36,10,27,10
201910271035,854,黔南,303.62,10,27,10
201910271040,854,黔南,455.47,10,27,10
201910271045,854,黔南,318.72,10,27,10
201910271050,854,黔南,449.97,10,27,10
201910271055,854,黔南,385.87,10,27,10
201910271105,854,黔南,474.01,10,27,11
201910271110,854,黔南,336.61,10,27,11
201910271115,854,黔南,437.99,10,27,11
201910271120,854,黔南,325.59,10,27,11
201910271125,854,黔南,571.71,10,27,11
201910271130,854,黔南,364.27,10,27,11
201910271135,854,黔南,460.35,10,27,11
201910271140,854,黔南,365.67,10,27,11
201910271145,854,黔南,329.02,10,27,11
201910271150,854,黔南,290.65,10,27,11
201910271155,854,黔南,409.48,10,27,11
201910271200,854,黔南,391.58,10,27,12
201910271205,854,黔南,485.32,10,27,12
201910271210,854,黔南,346.83,10,27,12
201910271215,854,黔南,408.58,10,27,12
201910271220,854,黔南,338.24,10,27,12
