日期,编码,地区,流量,月份,天,小时
201910270800,854,黔南,3059.94,10,27,08
201910270805,854,黔南,3673.14,10,27,08
201910270810,854,黔南,4049.25,10,27,08
201910270815,854,黔南,4196.20,10,27,08
201910270820,854,黔南,4279.53,10,27,08
201910270825,854,黔南,4045.87,10,27,08
201910270830,854,黔南,4379.80,10,27,08
201910270835,854,黔南,5647.95,10,27,08
201910270840,854,黔南,4118.10,10,27,08
201910270845,854,黔南,4362.74,10,27,08
201910270850,854,黔南,4740.11,10,27,08
201910270855,854,黔南,5294.82,10,27,08
201910270900,854,黔南,5207.74,10,27,09
201910270905,854,黔南,5126.06,10,27,09
201910270910,854,黔南,6197.60,10,27,09
201910270915,854,黔南,6073.63,10,27,09
201910270920,854,黔南,5957.86,10,27,09
201910270925,854,黔南,6338.68,10,27,09
201910270930,854,黔南,6156.30,10,27,09
201910270935,854,黔南,7041.68,10,27,09
201910270940,854,黔南,6564.33,10,27,09
201910270945,854,黔南,7702.50,10,27,09
201910270950,854,黔南,6393.02,10,27,09
201910270955,854,黔南,6691.38,10,27,09
201910271000,854,黔南,6706.06,10,27,10
201910271005,854,黔南,6920.55,10,27,10
201910271010,854,黔南,6601.53,10,27,10
201910271015,854,黔南,7364.41,10,27,10
201910271020,854,黔南,6799.52,10,27,10
201910271025,854,黔南,7296.67,10,27,10
201910271030,854,黔南,7398.32,10,27,10
201910271035,854,黔南,7064.22,10,27,10
201910271040,854,黔南,7919.40,10,27,10
201910271045,854,黔南,8094.59,10,27,10
201910271050,854,黔南,8027.21,10,27,10
201910271055,854,黔南,8685.65,10,27,10
201910271105,854,黔南,9322.06,10,27,11
201910271110,854,黔南,9351.95,10,27,11
201910271115,854,黔南,9706.59,10,27,11
201910271120,854,黔南,9121.66,10,27,11
201910271125,854,黔南,8098.46,10,27,11
201910271130,854,黔南,8005.29,10,27,11
201910271135,854,黔南,8536.89,10,27,11
201910271140,854,黔南,8414.06,10,27,11
201910271145,854,黔南,8869.54,10,27,11
201910271150,854,黔南,9464.38,10,27,11
201910271155,854,黔南,8077.10,10,27,11
201910271200,854,黔南,7776.85,10,27,12
201910271205,854,黔南,8198.83,10,27,12
201910271210,854,黔南,8157.20,10,27,12
201910271215,854,黔南,8766.81,10,27,12
201910271220,854,黔南,9333.52,10,27,12
201910271225,854,黔南,8300.90,10,27,12
201910271230,854,黔南,9123.57,10,27,12
201910271235,854,黔南,8782.81,10,27,12
201910271240,854,黔南,9155.69,10,27,12
201910271245,854,黔南,9350.06,10,27,12
201910271250,854,黔南,8945.72,10,27,12
201910271255,854,黔南,8902.97,10,27,12
201910271300,854,黔南,8902.46,10,27,13
201910271305,854,黔南,8970.67,10,27,13
201910271310,854,黔南,9851.59,10,27,13
201910271315,854,黔南,10240.51,10,27,13
201910271320,854,黔南,8767.40,10,27,13
201910271325,854,黔南,9751.45,10,27,13
201910271330,854,黔南,9215.67,10,27,13
201910271335,854,黔南,9417.49,10,27,13
201910271340,854,黔南,10168.15,10,27,13
201910271345,854,黔南,8915.14,10,27,13
201910271350,854,黔南,9549.65,10,27,13
201910271355,854,黔南,8827.95,10,27,13
201910271400,854,黔南,9804.63,10,27,14
201910271405,854,黔南,10554.10,10,27,14
201910271410,854,黔南,9591.83,10,27,14
201910271415,854,黔南,8892.87,10,27,14
201910271420,854,黔南,9524.47,10,27,14
