日期,编码,地区,流量,月份,天,小时
201910270800,854,黔南,1.37,10,27,08
201910270805,854,黔南,0.79,10,27,08
201910270810,854,黔南,2.04,10,27,08
201910270815,854,黔南,1.37,10,27,08
201910270820,854,黔南,2.98,10,27,08
201910270825,854,黔南,1.01,10,27,08
201910270830,854,黔南,2.61,10,27,08
201910270835,854,黔南,0.97,10,27,08
201910270840,854,黔南,1.84,10,27,08
201910270845,854,黔南,1.53,10,27,08
201910270850,854,黔南,0.85,10,27,08
201910270855,854,黔南,2.16,10,27,08
201910270900,854,黔南,4.42,10,27,09
201910270905,854,黔南,4.51,10,27,09
201910270910,854,黔南,6.48,10,27,09
201910270915,854,黔南,4.33,10,27,09
201910270920,854,黔南,4.18,10,27,09
201910270925,854,黔南,14.40,10,27,09
201910270930,854,黔南,34.57,10,27,09
201910270935,854,黔南,49.85,10,27,09
201910270940,854,黔南,53.20,10,27,09
201910270945,854,黔南,48.12,10,27,09
201910270950,854,黔南,42.60,10,27,09
201910270955,854,黔南,50.46,10,27,09
201910271000,854,黔南,96.27,10,27,10
201910271005,854,黔南,97.90,10,27,10
201910271010,854,黔南,33.35,10,27,10
201910271015,854,黔南,7.22,10,27,10
201910271020,854,黔南,5.96,10,27,10
201910271025,854,黔南,10.76,10,27,10
201910271030,854,黔南,8.08,10,27,10
201910271035,854,黔南,9.53,10,27,10
201910271040,854,黔南,27.37,10,27,10
201910271045,854,黔南,46.74,10,27,10
201910271050,854,黔南,50.84,10,27,10
201910271055,854,黔南,60.63,10,27,10
201910271105,854,黔南,62.23,10,27,11
201910271110,854,黔南,58.16,10,27,11
201910271115,854,黔南,78.78,10,27,11
201910271120,854,黔南,63.86,10,27,11
201910271125,854,黔南,68.32,10,27,11
201910271130,854,黔南,33.63,10,27,11
201910271135,854,黔南,5.88,10,27,11
201910271140,854,黔南,12.51,10,27,11
201910271145,854,黔南,12.17,10,27,11
201910271150,854,黔南,10.11,10,27,11
201910271155,854,黔南,11.68,10,27,11
201910271200,854,黔南,14.97,10,27,12
201910271205,854,黔南,11.86,10,27,12
201910271210,854,黔南,8.71,10,27,12
201910271215,854,黔南,17.15,10,27,12
201910271220,854,黔南,16.19,10,27,12
201910271225,854,黔南,6.19,10,27,12
201910271230,854,黔南,9.79,10,27,12
201910271235,854,黔南,6.42,10,27,12
201910271240,854,黔南,6.50,10,27,12
201910271245,854,黔南,8.04,10,27,12
201910271250,854,黔南,4.06,10,27,12
201910271255,854,黔南,7.43,10,27,12
201910271300,854,黔南,9.20,10,27,13
201910271305,854,黔南,5.93,10,27,13
201910271310,854,黔南,2.49,10,27,13
201910271315,854,黔南,3.29,10,27,13
201910271320,854,黔南,3.46,10,27,13
201910271325,854,黔南,5.60,10,27,13
201910271330,854,黔南,3.47,10,27,13
201910271335,854,黔南,4.10,10,27,13
201910271340,854,黔南,4.25,10,27,13
201910271345,854,黔南,4.79,10,27,13
201910271350,854,黔南,3.08,10,27,13
201910271355,854,黔南,2.74,10,27,13
201910271400,854,黔南,3.71,10,27,14
201910271405,854,黔南,7.76,10,27,14
201910271410,854,黔南,4.09,10,27,14
201910271415,854,黔南,4.57,10,27,14
201910271420,854,黔南,5.98,10,27,14
201910271425,854,黔南,4.00,10,27,14
201910271430,854,黔南,10.58,10,27,14
201910271435,854,黔南,11.89,10,27,14
201910271440,854,黔南,4.22,10,27,14
201910271445,854,黔南,12.62,10,27,14
201910271450,854,黔南,5.53,10,27,14
201910271455,854,黔南,3.87,10,27,14
201910271500,854,黔南,2.46,10,27,15
201910271505,854,黔南,4.42,10,27,15
201910271510,854,黔南,4.30,10,27,15
201910271515,854,黔南,3.53,10,27,15
201910271520,854,黔南,4.65,10,27,15
201910271525,854,黔南,2.59,10,27,15
201910271530,854,黔南,3.57,10,27,15
201910271535,854,黔南,4.97,10,27,15
201910271540,854,黔南,3.58,10,27,15
201910271545,854,黔南,2.34,10,27,15
201910271550,854,黔南,2.91,10,27,15
201910271555,854,黔南,2.05,10,27,15
201910271600,854,黔南,6.00,10,27,16
201910271605,854,黔南,1.63,10,27,16
201910271610,854,黔南,1.17,10,27,16
201910271615,854,黔南,5.47,10,27,16
201910271620,854,黔南,3.92,10,27,16
201910271625,854,黔南,3.06,10,27,16
201910271630,854,黔南,2.53,10,27,16
201910271635,854,黔南,2.68,10,27,16
201910271640,854,黔南,3.42,10,27,16
201910271645,854,黔南,3.84,10,27,16
201910271650,854,黔南,2.03,10,27,16
201910271655,854,黔南,1.97,10,27,16
201910271700,854,黔南,7.76,10,27,17
201910271705,854,黔南,6.95,10,27,17
201910271710,854,黔南,2.90,10,27,17
201910271715,854,黔南,5.59,10,27,17
201910271720,854,黔南,5.01,10,27,17
201910271725,854,黔南,2.43,10,27,17
201910271730,854,黔南,3.60,10,27,17
201910271735,854,黔南,3.45,10,27,17
201910271740,854,黔南,36.96,10,27,17
201910271745,854,黔南,71.28,10,27,17
201910271750,854,黔南,81.49,10,27,17
201910271755,854,黔南,90.29,10,27,17
201910271800,854,黔南,71.24,10,27,18
201910271805,854,黔南,70.63,10,27,18
201910271810,854,黔南,81.55,10,27,18
201910271815,854,黔南,75.64,10,27,18
201910271820,854,黔南,88.62,10,27,18
201910271825,854,黔南,29.34,10,27,18
201910271830,854,黔南,42.97,10,27,18
201910271835,854,黔南,25.14,10,27,18
201910271840,854,黔南,7.52,10,27,18
201910271845,854,黔南,6.47,10,27,18
201910271850,854,黔南,6.15,10,27,18
201910271855,854,黔南,5.48,10,27,18
201910271900,854,黔南,7.92,10,27,19
201910271905,854,黔南,6.19,10,27,19
201910271910,854,黔南,4.10,10,27,19
201910271915,854,黔南,5.88,10,27,19
201910271920,854,黔南,6.15,10,27,19
201910271925,854,黔南,7.06,10,27,19
201910271930,854,黔南,6.63,10,27,19
201910271935,854,黔南,4.30,10,27,19
201910271940,854,黔南,8.71,10,27,19
201910271945,854,黔南,4.44,10,27,19
201910271950,854,黔南,2.89,10,27,19
201910272000,854,黔南,51.26,10,27,20
201910272005,854,黔南,34.90,10,27,20
201910272010,854,黔南,41.05,10,27,20
201910272015,854,黔南,2.49,10,27,20
201910272020,854,黔南,5.32,10,27,20
201910272025,854,黔南,2.47,10,27,20
201910272030,854,黔南,3.22,10,27,20
201910272035,854,黔南,2.35,10,27,20
201910272040,854,黔南,4.00,10,27,20
201910272045,854,黔南,1.85,10,27,20
201910272050,854,黔南,3.69,10,27,20
201910272055,854,黔南,1.48,10,27,20
201910272100,854,黔南,3.14,10,27,21
