日期,编码,地区,流量,月份,天,小时
201910270800,854,黔南,2280.94,10,27,08
201910270805,854,黔南,2483.67,10,27,08
201910270810,854,黔南,2952.22,10,27,08
201910270815,854,黔南,2625.87,10,27,08
201910270820,854,黔南,2515.61,10,27,08
201910270825,854,黔南,2343.26,10,27,08
201910270830,854,黔南,2125.11,10,27,08
201910270835,854,黔南,2623.92,10,27,08
201910270840,854,黔南,2563.93,10,27,08
201910270845,854,黔南,2407.66,10,27,08
201910270850,854,黔南,2360.02,10,27,08
201910270855,854,黔南,2937.70,10,27,08
201910270900,854,黔南,2997.89,10,27,09
201910270905,854,黔南,3062.37,10,27,09
201910270910,854,黔南,3203.18,10,27,09
201910270915,854,黔南,3051.05,10,27,09
201910270920,854,黔南,2991.25,10,27,09
201910270925,854,黔南,2710.16,10,27,09
201910270930,854,黔南,2949.43,10,27,09
201910270935,854,黔南,3389.65,10,27,09
201910270940,854,黔南,3128.08,10,27,09
201910270945,854,黔南,3294.23,10,27,09
201910270950,854,黔南,3149.63,10,27,09
201910270955,854,黔南,3307.28,10,27,09
201910271000,854,黔南,3249.21,10,27,10
201910271005,854,黔南,3201.02,10,27,10
201910271010,854,黔南,3395.56,10,27,10
201910271015,854,黔南,3237.09,10,27,10
201910271020,854,黔南,3237.64,10,27,10
201910271025,854,黔南,3706.92,10,27,10
201910271030,854,黔南,3108.01,10,27,10
201910271035,854,黔南,3393.72,10,27,10
201910271040,854,黔南,3290.27,10,27,10
201910271045,854,黔南,3441.71,10,27,10
201910271050,854,黔南,3526.82,10,27,10
201910271055,854,黔南,3508.68,10,27,10
201910271105,854,黔南,3411.16,10,27,11
201910271110,854,黔南,3418.89,10,27,11
201910271115,854,黔南,3608.94,10,27,11
201910271120,854,黔南,3364.15,10,27,11
201910271125,854,黔南,3508.72,10,27,11
201910271130,854,黔南,3446.55,10,27,11
201910271135,854,黔南,3404.58,10,27,11
201910271140,854,黔南,3234.52,10,27,11
201910271145,854,黔南,3605.44,10,27,11
201910271150,854,黔南,3654.06,10,27,11
201910271155,854,黔南,3484.63,10,27,11
201910271200,854,黔南,3315.52,10,27,12
201910271205,854,黔南,3507.59,10,27,12
201910271210,854,黔南,3750.99,10,27,12
201910271215,854,黔南,4147.44,10,27,12
201910271220,854,黔南,4230.43,10,27,12
201910271225,854,黔南,3888.93,10,27,12
201910271230,854,黔南,3421.84,10,27,12
201910271235,854,黔南,4345.74,10,27,12
201910271240,854,黔南,3833.55,10,27,12
201910271245,854,黔南,3869.54,10,27,12
201910271250,854,黔南,3723.79,10,27,12
201910271255,854,黔南,3895.67,10,27,12
201910271300,854,黔南,4070.72,10,27,13
201910271305,854,黔南,3898.34,10,27,13
201910271310,854,黔南,3322.06,10,27,13
201910271315,854,黔南,3736.20,10,27,13
201910271320,854,黔南,3878.79,10,27,13
201910271325,854,黔南,4240.97,10,27,13
201910271330,854,黔南,3621.73,10,27,13
201910271335,854,黔南,3636.79,10,27,13
201910271340,854,黔南,3746.66,10,27,13
201910271345,854,黔南,3610.91,10,27,13
201910271350,854,黔南,3723.34,10,27,13
201910271355,854,黔南,3855.23,10,27,13
201910271400,854,黔南,3484.86,10,27,14
201910271405,854,黔南,3298.12,10,27,14
201910271410,854,黔南,3741.82,10,27,14
201910271415,854,黔南,3585.59,10,27,14
201910271420,854,黔南,3464.58,10,27,14
201910271425,854,黔南,3204.42,10,27,14
201910271430,854,黔南,3378.84,10,27,14
201910271435,854,黔南,3493.04,10,27,14
201910271440,854,黔南,3426.91,10,27,14
201910271445,854,黔南,3382.65,10,27,14
201910271450,854,黔南,3612.55,10,27,14
201910271455,854,黔南,3409.55,10,27,14
201910271500,854,黔南,3720.08,10,27,15
201910271505,854,黔南,3718.15,10,27,15
201910271510,854,黔南,3325.46,10,27,15
201910271515,854,黔南,3458.14,10,27,15
201910271520,854,黔南,3274.02,10,27,15
201910271525,854,黔南,3330.99,10,27,15
201910271530,854,黔南,3573.86,10,27,15
201910271535,854,黔南,3523.19,10,27,15
201910271540,854,黔南,3697.72,10,27,15
201910271545,854,黔南,3484.59,10,27,15
201910271550,854,黔南,3131.07,10,27,15
201910271555,854,黔南,3071.55,10,27,15
201910271600,854,黔南,3580.22,10,27,16
201910271605,854,黔南,3599.73,10,27,16
201910271610,854,黔南,3226.23,10,27,16
201910271615,854,黔南,3599.24,10,27,16
201910271620,854,黔南,3201.58,10,27,16
201910271625,854,黔南,3120.04,10,27,16
201910271630,854,黔南,3283.51,10,27,16
201910271635,854,黔南,3190.80,10,27,16
201910271640,854,黔南,3233.26,10,27,16
201910271645,854,黔南,3109.78,10,27,16
201910271650,854,黔南,3304.53,10,27,16
201910271655,854,黔南,3004.71,10,27,16
201910271700,854,黔南,3279.88,10,27,17
201910271705,854,黔南,3058.32,10,27,17
201910271710,854,黔南,3200.31,10,27,17
201910271715,854,黔南,3604.00,10,27,17
201910271720,854,黔南,3729.73,10,27,17
201910271725,854,黔南,2947.69,10,27,17
201910271730,854,黔南,3218.99,10,27,17
201910271735,854,黔南,3364.68,10,27,17
201910271740,854,黔南,2978.35,10,27,17
201910271745,854,黔南,3437.30,10,27,17
201910271750,854,黔南,3084.95,10,27,17
201910271755,854,黔南,3109.75,10,27,17
201910271800,854,黔南,2990.77,10,27,18
201910271805,854,黔南,2768.38,10,27,18
201910271810,854,黔南,2764.68,10,27,18
201910271815,854,黔南,2808.73,10,27,18
201910271820,854,黔南,3076.28,10,27,18
201910271825,854,黔南,3077.20,10,27,18
201910271830,854,黔南,3075.42,10,27,18
201910271835,854,黔南,3054.29,10,27,18
201910271840,854,黔南,3087.25,10,27,18
201910271845,854,黔南,2975.24,10,27,18
201910271850,854,黔南,2857.24,10,27,18
201910271855,854,黔南,3129.50,10,27,18
201910271900,854,黔南,3367.20,10,27,19
201910271905,854,黔南,3358.59,10,27,19
201910271910,854,黔南,3256.24,10,27,19
201910271915,854,黔南,3326.20,10,27,19
201910271920,854,黔南,3238.49,10,27,19
201910271925,854,黔南,3129.26,10,27,19
201910271930,854,黔南,3174.77,10,27,19
201910271935,854,黔南,3309.62,10,27,19
201910271940,854,黔南,3174.65,10,27,19
201910271945,854,黔南,3238.14,10,27,19
201910271950,854,黔南,3121.30,10,27,19
201910272000,854,黔南,3502.16,10,27,20
201910272005,854,黔南,3394.94,10,27,20
201910272010,854,黔南,3199.74,10,27,20
201910272015,854,黔南,2902.56,10,27,20
201910272020,854,黔南,2834.37,10,27,20
201910272025,854,黔南,3018.04,10,27,20
201910272030,854,黔南,2740.35,10,27,20
201910272035,854,黔南,2889.98,10,27,20
201910272040,854,黔南,3184.30,10,27,20
201910272045,854,黔南,2811.71,10,27,20
201910272050,854,黔南,3188.37,10,27,20
201910272055,854,黔南,2818.29,10,27,20
201910272100,854,黔南,2722.82,10,27,21
201910272105,854,黔南,2809.96,10,27,21
201910272110,854,黔南,3049.16,10,27,21
201910272115,854,黔南,2693.81,10,27,21
201910272120,854,黔南,2477.41,10,27,21
201910272125,854,黔南,3046.70,10,27,21
201910272130,854,黔南,2817.76,10,27,21
201910272135,854,黔南,2361.88,10,27,21
201910272140,854,黔南,2674.04,10,27,21
201910272145,854,黔南,2695.00,10,27,21
201910272150,854,黔南,2568.49,10,27,21
201910272155,854,黔南,2521.20,10,27,21
201910272200,854,黔南,2433.25,10,27,22
201910272205,854,黔南,2369.11,10,27,22
201910272210,854,黔南,2340.36,10,27,22
201910272215,854,黔南,2616.82,10,27,22
201910272220,854,黔南,2478.98,10,27,22
201910272225,854,黔南,2573.40,10,27,22
201910272230,854,黔南,2221.47,10,27,22
201910272235,854,黔南,2217.51,10,27,22
201910272240,854,黔南,2323.76,10,27,22
201910272245,854,黔南,2423.29,10,27,22
201910272250,854,黔南,2415.74,10,27,22
201910272255,854,黔南,2388.38,10,27,22
201910272300,854,黔南,2157.56,10,27,23
201910272305,854,黔南,2054.07,10,27,23
201910272310,854,黔南,1952.75,10,27,23
201910272315,854,黔南,1920.33,10,27,23
201910272320,854,黔南,2052.87,10,27,23
201910272325,854,黔南,2081.94,10,27,23
201910272330,854,黔南,1703.22,10,27,23
201910272335,854,黔南,1772.86,10,27,23
201910272340,854,黔南,1658.69,10,27,23
201910272345,854,黔南,1949.99,10,27,23
201910272350,854,黔南,1930.03,10,27,23
201910272355,854,黔南,1826.44,10,27,23
201910280800,854,黔南,2520.19,10,28,08
201910280805,854,黔南,2754.93,10,28,08
201910280810,854,黔南,2596.81,10,28,08
201910280815,854,黔南,2898.46,10,28,08
201910280820,854,黔南,2646.70,10,28,08
201910280825,854,黔南,2721.05,10,28,08
201910280830,854,黔南,2709.18,10,28,08
201910280835,854,黔南,3012.74,10,28,08
201910280840,854,黔南,2689.16,10,28,08
201910280845,854,黔南,2728.77,10,28,08
201910280850,854,黔南,2740.59,10,28,08
201910280855,854,黔南,3046.39,10,28,08
201910280900,854,黔南,2910.53,10,28,09
201910280905,854,黔南,3485.90,10,28,09
201910280910,854,黔南,4039.82,10,28,09
201910280915,854,黔南,3707.13,10,28,09
201910280920,854,黔南,3232.42,10,28,09
201910280925,854,黔南,3292.49,10,28,09
201910280930,854,黔南,3148.08,10,28,09
201910280935,854,黔南,3517.44,10,28,09
201910280940,854,黔南,3538.98,10,28,09
201910280945,854,黔南,3307.08,10,28,09
201910280950,854,黔南,3563.94,10,28,09
201910280955,854,黔南,3703.23,10,28,09
201910281000,854,黔南,3976.53,10,28,10
201910281005,854,黔南,3719.33,10,28,10
201910281010,854,黔南,3839.66,10,28,10
201910281015,854,黔南,3816.50,10,28,10
201910281020,854,黔南,4025.45,10,28,10
201910281025,854,黔南,3404.66,10,28,10
201910281030,854,黔南,3508.57,10,28,10
201910281035,854,黔南,3403.98,10,28,10
201910281040,854,黔南,3795.78,10,28,10
201910281045,854,黔南,3651.99,10,28,10
201910281050,854,黔南,3573.39,10,28,10
201910281055,854,黔南,3727.58,10,28,10
201910281100,854,黔南,3506.44,10,28,11
201911140800,854,黔南,1762.36,11,14,08
201911140805,854,黔南,1912.66,11,14,08
201911140810,854,黔南,1816.43,11,14,08
201911140815,854,黔南,1914.03,11,14,08
201911140820,854,黔南,2006.98,11,14,08
201911140825,854,黔南,1907.61,11,14,08
201911140830,854,黔南,2231.69,11,14,08
201911140835,854,黔南,1902.59,11,14,08
201911140840,854,黔南,2558.27,11,14,08
201911140845,854,黔南,2373.61,11,14,08
201911140850,854,黔南,2264.45,11,14,08
201911140855,854,黔南,1983.34,11,14,08
201911140900,854,黔南,2539.82,11,14,09
201911140905,854,黔南,2428.08,11,14,09
201911140910,854,黔南,2646.49,11,14,09
201911140915,854,黔南,2853.37,11,14,09
201911140920,854,黔南,2266.27,11,14,09
201911140925,854,黔南,2244.19,11,14,09
201911140930,854,黔南,2388.30,11,14,09
201911140935,854,黔南,2375.57,11,14,09
201911140940,854,黔南,2286.23,11,14,09
201911140945,854,黔南,2395.07,11,14,09
201911140950,854,黔南,2230.79,11,14,09
201911140955,854,黔南,2385.44,11,14,09
201911141000,854,黔南,2313.88,11,14,10
201911141005,854,黔南,2345.59,11,14,10
201911141010,854,黔南,2272.56,11,14,10
201911141015,854,黔南,2598.77,11,14,10
