日期,编码,地区,流量,月份,天,小时
201910270800,850,贵安新区,14.60,10,27,08
201910270805,850,贵安新区,16.45,10,27,08
201910270810,850,贵安新区,10.32,10,27,08
201910270815,850,贵安新区,9.56,10,27,08
201910270820,850,贵安新区,11.32,10,27,08
201910270825,850,贵安新区,9.82,10,27,08
201910270830,850,贵安新区,14.38,10,27,08
201910270835,850,贵安新区,15.31,10,27,08
201910270840,850,贵安新区,43.91,10,27,08
201910270845,850,贵安新区,32.17,10,27,08
201910270850,850,贵安新区,23.61,10,27,08
201910270855,850,贵安新区,19.94,10,27,08
201910270900,850,贵安新区,30.63,10,27,09
201910270905,850,贵安新区,35.07,10,27,09
201910270910,850,贵安新区,39.80,10,27,09
201910270915,850,贵安新区,59.75,10,27,09
201910270920,850,贵安新区,17.70,10,27,09
201910270925,850,贵安新区,38.69,10,27,09
201910270930,850,贵安新区,54.23,10,27,09
201910270935,850,贵安新区,43.11,10,27,09
201910270940,850,贵安新区,45.42,10,27,09
201910270945,850,贵安新区,39.79,10,27,09
201910270950,850,贵安新区,38.21,10,27,09
201910270955,850,贵安新区,42.21,10,27,09
201910271000,850,贵安新区,103.92,10,27,10
201910271005,850,贵安新区,106.84,10,27,10
201910271010,850,贵安新区,82.45,10,27,10
201910271015,850,贵安新区,101.64,10,27,10
201910271020,850,贵安新区,87.34,10,27,10
201910271025,850,贵安新区,110.39,10,27,10
201910271030,850,贵安新区,86.65,10,27,10
201910271035,850,贵安新区,110.42,10,27,10
201910271040,850,贵安新区,81.80,10,27,10
201910271045,850,贵安新区,111.13,10,27,10
201910271050,850,贵安新区,84.87,10,27,10
201910271055,850,贵安新区,92.92,10,27,10
201910271105,850,贵安新区,73.39,10,27,11
201910271110,850,贵安新区,58.00,10,27,11
201910271115,850,贵安新区,60.11,10,27,11
201910271120,850,贵安新区,58.44,10,27,11
201910271125,850,贵安新区,100.45,10,27,11
201910271130,850,贵安新区,80.57,10,27,11
201910271135,850,贵安新区,96.86,10,27,11
