日期,编码,地区,流量,月份,天,小时
201910270800,850,贵安新区,12575.34,10,27,08
201910270805,850,贵安新区,13090.05,10,27,08
201910270810,850,贵安新区,12188.55,10,27,08
201910270815,850,贵安新区,12863.44,10,27,08
201910270820,850,贵安新区,14251.33,10,27,08
201910270825,850,贵安新区,14096.32,10,27,08
201910270830,850,贵安新区,14954.32,10,27,08
201910270835,850,贵安新区,14440.06,10,27,08
201910270840,850,贵安新区,15267.84,10,27,08
201910270845,850,贵安新区,13255.61,10,27,08
201910270850,850,贵安新区,14806.57,10,27,08
201910270855,850,贵安新区,14553.20,10,27,08
201910270900,850,贵安新区,14086.73,10,27,09
201910270905,850,贵安新区,14977.32,10,27,09
201910270910,850,贵安新区,14152.63,10,27,09
201910270915,850,贵安新区,14822.48,10,27,09
201910270920,850,贵安新区,14824.05,10,27,09
201910270925,850,贵安新区,13520.28,10,27,09
201910270930,850,贵安新区,14726.55,10,27,09
201910270935,850,贵安新区,13270.44,10,27,09
201910270940,850,贵安新区,15805.79,10,27,09
201910270945,850,贵安新区,15150.87,10,27,09
201910270950,850,贵安新区,17003.54,10,27,09
201910270955,850,贵安新区,18360.04,10,27,09
201910271000,850,贵安新区,17259.09,10,27,10
201910271005,850,贵安新区,19181.20,10,27,10
201910271010,850,贵安新区,17394.50,10,27,10
201910271015,850,贵安新区,17175.60,10,27,10
201910271020,850,贵安新区,18019.31,10,27,10
201910271025,850,贵安新区,18306.95,10,27,10
201910271030,850,贵安新区,19433.86,10,27,10
201910271035,850,贵安新区,17948.72,10,27,10
201910271040,850,贵安新区,18069.50,10,27,10
201910271045,850,贵安新区,20991.23,10,27,10
201910271050,850,贵安新区,19966.55,10,27,10
201910271055,850,贵安新区,20037.33,10,27,10
201910271105,850,贵安新区,21052.59,10,27,11
201910271110,850,贵安新区,22630.86,10,27,11
201910271115,850,贵安新区,21497.78,10,27,11
201910271120,850,贵安新区,21391.80,10,27,11
201910271125,850,贵安新区,21267.31,10,27,11
201910271130,850,贵安新区,22883.24,10,27,11
201910271135,850,贵安新区,23096.43,10,27,11
201910271140,850,贵安新区,24267.40,10,27,11
201910271145,850,贵安新区,22173.97,10,27,11
201910271150,850,贵安新区,26116.28,10,27,11
201910271155,850,贵安新区,22657.72,10,27,11
201910271200,850,贵安新区,26787.41,10,27,12
201910271205,850,贵安新区,23539.90,10,27,12
201910271210,850,贵安新区,25751.96,10,27,12
