日期,编码,地区,流量,月份,天,小时
201910270800,850,贵安新区,18.15,10,27,08
201910270805,850,贵安新区,24.64,10,27,08
201910270810,850,贵安新区,35.25,10,27,08
201910270815,850,贵安新区,16.39,10,27,08
201910270820,850,贵安新区,16.44,10,27,08
201910270825,850,贵安新区,9.67,10,27,08
201910270830,850,贵安新区,32.74,10,27,08
201910270835,850,贵安新区,30.07,10,27,08
201910270840,850,贵安新区,28.96,10,27,08
201910270845,850,贵安新区,42.20,10,27,08
201910270850,850,贵安新区,32.78,10,27,08
201910270855,850,贵安新区,16.16,10,27,08
201910270900,850,贵安新区,27.01,10,27,09
201910270905,850,贵安新区,13.73,10,27,09
201910270910,850,贵安新区,22.07,10,27,09
201910270915,850,贵安新区,12.55,10,27,09
201910270920,850,贵安新区,28.68,10,27,09
201910270925,850,贵安新区,34.25,10,27,09
201910270930,850,贵安新区,20.63,10,27,09
201910270935,850,贵安新区,26.75,10,27,09
201910270940,850,贵安新区,26.26,10,27,09
201910270945,850,贵安新区,52.07,10,27,09
201910270950,850,贵安新区,71.51,10,27,09
201910270955,850,贵安新区,41.98,10,27,09
201910271000,850,贵安新区,45.18,10,27,10
201910271005,850,贵安新区,36.16,10,27,10
201910271010,850,贵安新区,19.22,10,27,10
201910271015,850,贵安新区,37.03,10,27,10
201910271020,850,贵安新区,27.72,10,27,10
201910271025,850,贵安新区,31.92,10,27,10
201910271030,850,贵安新区,20.59,10,27,10
201910271035,850,贵安新区,41.18,10,27,10
201910271040,850,贵安新区,23.69,10,27,10
201910271045,850,贵安新区,35.43,10,27,10
201910271050,850,贵安新区,43.00,10,27,10
201910271055,850,贵安新区,28.08,10,27,10
201910271105,850,贵安新区,56.67,10,27,11
201910271110,850,贵安新区,38.41,10,27,11
201910271115,850,贵安新区,26.11,10,27,11
201910271120,850,贵安新区,26.86,10,27,11
201910271125,850,贵安新区,49.94,10,27,11
201910271130,850,贵安新区,35.69,10,27,11
201910271135,850,贵安新区,27.27,10,27,11
201910271140,850,贵安新区,25.21,10,27,11
201910271145,850,贵安新区,35.43,10,27,11
201910271150,850,贵安新区,43.48,10,27,11
201910271155,850,贵安新区,31.19,10,27,11
201910271200,850,贵安新区,45.61,10,27,12
201910271205,850,贵安新区,51.79,10,27,12
201910271210,850,贵安新区,40.05,10,27,12
201910271215,850,贵安新区,39.34,10,27,12
201910271220,850,贵安新区,36.87,10,27,12
201910271225,850,贵安新区,22.85,10,27,12
201910271230,850,贵安新区,50.39,10,27,12
201910271235,850,贵安新区,34.00,10,27,12
201910271240,850,贵安新区,67.42,10,27,12
201910271245,850,贵安新区,45.78,10,27,12
201910271250,850,贵安新区,32.55,10,27,12
201910271255,850,贵安新区,44.43,10,27,12
201910271300,850,贵安新区,45.03,10,27,13
201910271305,850,贵安新区,27.90,10,27,13
201910271310,850,贵安新区,35.53,10,27,13
201910271315,850,贵安新区,12.41,10,27,13
201910271320,850,贵安新区,27.94,10,27,13
201910271325,850,贵安新区,27.88,10,27,13
201910271330,850,贵安新区,42.77,10,27,13
201910271335,850,贵安新区,42.08,10,27,13
201910271340,850,贵安新区,55.81,10,27,13
201910271345,850,贵安新区,38.99,10,27,13
201910271350,850,贵安新区,34.59,10,27,13
201910271355,850,贵安新区,50.76,10,27,13
201910271400,850,贵安新区,26.92,10,27,14
201910271405,850,贵安新区,34.34,10,27,14
201910271410,850,贵安新区,21.13,10,27,14
201910271415,850,贵安新区,33.86,10,27,14
201910271420,850,贵安新区,52.08,10,27,14
201910271425,850,贵安新区,13.51,10,27,14
201910271430,850,贵安新区,57.76,10,27,14
201910271435,850,贵安新区,38.51,10,27,14
201910271440,850,贵安新区,48.66,10,27,14
201910271445,850,贵安新区,73.52,10,27,14
201910271450,850,贵安新区,38.90,10,27,14
201910271455,850,贵安新区,21.82,10,27,14
201910271500,850,贵安新区,40.11,10,27,15
201910271505,850,贵安新区,40.89,10,27,15
201910271510,850,贵安新区,17.67,10,27,15
201910271515,850,贵安新区,27.93,10,27,15
201910271520,850,贵安新区,31.93,10,27,15
201910271525,850,贵安新区,50.26,10,27,15
201910271530,850,贵安新区,39.77,10,27,15
201910271535,850,贵安新区,29.52,10,27,15
