日期,编码,地区,流量,月份,天,小时
201910270800,850,贵安新区,92.09,10,27,08
201910270805,850,贵安新区,11.14,10,27,08
201910270810,850,贵安新区,86.84,10,27,08
201910270815,850,贵安新区,76.13,10,27,08
201910270820,850,贵安新区,131.28,10,27,08
201910270825,850,贵安新区,242.74,10,27,08
201910270830,850,贵安新区,182.12,10,27,08
201910270835,850,贵安新区,180.35,10,27,08
201910270840,850,贵安新区,289.04,10,27,08
201910270845,850,贵安新区,264.17,10,27,08
201910270850,850,贵安新区,212.37,10,27,08
201910270855,850,贵安新区,188.76,10,27,08
201910270900,850,贵安新区,359.43,10,27,09
201910270905,850,贵安新区,138.90,10,27,09
201910270910,850,贵安新区,115.45,10,27,09
201910270915,850,贵安新区,206.78,10,27,09
201910270920,850,贵安新区,234.98,10,27,09
201910270925,850,贵安新区,227.69,10,27,09
201910270930,850,贵安新区,226.17,10,27,09
201910270935,850,贵安新区,208.75,10,27,09
201910270940,850,贵安新区,215.89,10,27,09
201910270945,850,贵安新区,176.99,10,27,09
201910270950,850,贵安新区,369.57,10,27,09
201910270955,850,贵安新区,168.82,10,27,09
201910271000,850,贵安新区,273.30,10,27,10
201910271005,850,贵安新区,180.00,10,27,10
201910271010,850,贵安新区,131.23,10,27,10
201910271015,850,贵安新区,249.42,10,27,10
201910271020,850,贵安新区,260.53,10,27,10
201910271025,850,贵安新区,340.93,10,27,10
201910271030,850,贵安新区,238.46,10,27,10
201910271035,850,贵安新区,160.77,10,27,10
201910271040,850,贵安新区,215.76,10,27,10
201910271045,850,贵安新区,130.11,10,27,10
201910271050,850,贵安新区,237.83,10,27,10
201910271055,850,贵安新区,387.18,10,27,10
201910271105,850,贵安新区,492.26,10,27,11
201910271110,850,贵安新区,254.64,10,27,11
201910271115,850,贵安新区,313.87,10,27,11
201910271120,850,贵安新区,329.20,10,27,11
201910271125,850,贵安新区,154.73,10,27,11
201910271130,850,贵安新区,210.18,10,27,11
201910271135,850,贵安新区,182.94,10,27,11
201910271140,850,贵安新区,172.23,10,27,11
201910271145,850,贵安新区,372.89,10,27,11
201910271150,850,贵安新区,421.57,10,27,11
201910271155,850,贵安新区,666.94,10,27,11
201910271200,850,贵安新区,292.72,10,27,12
201910271205,850,贵安新区,301.94,10,27,12
201910271210,850,贵安新区,516.57,10,27,12
201910271215,850,贵安新区,407.85,10,27,12
201910271220,850,贵安新区,211.62,10,27,12
201910271225,850,贵安新区,422.09,10,27,12
201910271230,850,贵安新区,301.02,10,27,12
201910271235,850,贵安新区,548.19,10,27,12
201910271240,850,贵安新区,512.23,10,27,12
201910271245,850,贵安新区,355.81,10,27,12
201910271250,850,贵安新区,377.11,10,27,12
201910271255,850,贵安新区,369.41,10,27,12
201910271300,850,贵安新区,256.73,10,27,13
201910271305,850,贵安新区,298.62,10,27,13
201910271310,850,贵安新区,323.81,10,27,13
201910271315,850,贵安新区,326.69,10,27,13
201910271320,850,贵安新区,326.61,10,27,13
201910271325,850,贵安新区,927.83,10,27,13
201910271330,850,贵安新区,302.47,10,27,13
201910271335,850,贵安新区,178.07,10,27,13
201910271340,850,贵安新区,293.74,10,27,13
201910271345,850,贵安新区,390.11,10,27,13
201910271350,850,贵安新区,420.66,10,27,13
201910271355,850,贵安新区,279.63,10,27,13
201910271400,850,贵安新区,141.52,10,27,14
201910271405,850,贵安新区,158.61,10,27,14
201910271410,850,贵安新区,258.49,10,27,14
201910271415,850,贵安新区,235.66,10,27,14
201910271420,850,贵安新区,129.06,10,27,14
201910271425,850,贵安新区,340.19,10,27,14
201910271430,850,贵安新区,354.11,10,27,14
201910271435,850,贵安新区,242.67,10,27,14
201910271440,850,贵安新区,467.92,10,27,14
201910271445,850,贵安新区,200.50,10,27,14
201910271450,850,贵安新区,281.29,10,27,14
201910271455,850,贵安新区,228.22,10,27,14
201910271500,850,贵安新区,347.65,10,27,15
201910271505,850,贵安新区,191.13,10,27,15
201910271510,850,贵安新区,294.16,10,27,15
201910271515,850,贵安新区,534.31,10,27,15
201910271520,850,贵安新区,314.94,10,27,15
201910271525,850,贵安新区,301.96,10,27,15
201910271530,850,贵安新区,276.03,10,27,15
201910271535,850,贵安新区,202.86,10,27,15
201910271540,850,贵安新区,329.82,10,27,15
201910271545,850,贵安新区,144.65,10,27,15
201910271550,850,贵安新区,255.21,10,27,15
201910271555,850,贵安新区,232.43,10,27,15
201910271600,850,贵安新区,287.75,10,27,16
201910271605,850,贵安新区,222.86,10,27,16
201910271610,850,贵安新区,361.69,10,27,16
201910271615,850,贵安新区,396.98,10,27,16
201910271620,850,贵安新区,314.80,10,27,16
201910271625,850,贵安新区,215.44,10,27,16
201910271630,850,贵安新区,148.91,10,27,16
201910271635,850,贵安新区,219.61,10,27,16
201910271640,850,贵安新区,227.95,10,27,16
201910271645,850,贵安新区,289.13,10,27,16
201910271650,850,贵安新区,167.57,10,27,16
201910271655,850,贵安新区,285.06,10,27,16
201910271700,850,贵安新区,234.23,10,27,17
201910271705,850,贵安新区,234.92,10,27,17
201910271710,850,贵安新区,320.83,10,27,17
201910271715,850,贵安新区,202.74,10,27,17
201910271720,850,贵安新区,236.84,10,27,17
201910271725,850,贵安新区,498.92,10,27,17
201910271730,850,贵安新区,242.37,10,27,17
201910271735,850,贵安新区,212.02,10,27,17
201910271740,850,贵安新区,123.05,10,27,17
201910271745,850,贵安新区,188.12,10,27,17
201910271750,850,贵安新区,173.81,10,27,17
201910271755,850,贵安新区,182.73,10,27,17
201910271800,850,贵安新区,163.87,10,27,18
201910271805,850,贵安新区,115.11,10,27,18
201910271810,850,贵安新区,132.37,10,27,18
201910271815,850,贵安新区,378.60,10,27,18
201910271820,850,贵安新区,191.79,10,27,18
201910271825,850,贵安新区,103.16,10,27,18
201910271830,850,贵安新区,185.41,10,27,18
201910271835,850,贵安新区,221.04,10,27,18
201910271840,850,贵安新区,238.88,10,27,18
201910271845,850,贵安新区,244.17,10,27,18
201910271850,850,贵安新区,460.16,10,27,18
201910271855,850,贵安新区,681.97,10,27,18
201910271900,850,贵安新区,460.50,10,27,19
201910271905,850,贵安新区,276.66,10,27,19
201910271910,850,贵安新区,316.96,10,27,19
201910271915,850,贵安新区,491.36,10,27,19
201910271920,850,贵安新区,297.95,10,27,19
201910271925,850,贵安新区,342.24,10,27,19
201910271930,850,贵安新区,828.50,10,27,19
201910271935,850,贵安新区,467.80,10,27,19
201910271940,850,贵安新区,476.80,10,27,19
201910271945,850,贵安新区,318.46,10,27,19
201910271950,850,贵安新区,533.59,10,27,19
201910271955,850,贵安新区,271.12,10,27,19
201910272000,850,贵安新区,348.01,10,27,20
201910272005,850,贵安新区,251.30,10,27,20
201910272010,850,贵安新区,393.98,10,27,20
201910272015,850,贵安新区,403.92,10,27,20
201910272020,850,贵安新区,435.10,10,27,20
201910272025,850,贵安新区,373.59,10,27,20
201910272030,850,贵安新区,467.06,10,27,20
201910272035,850,贵安新区,386.08,10,27,20
201910272040,850,贵安新区,384.02,10,27,20
201910272045,850,贵安新区,462.06,10,27,20
201910272050,850,贵安新区,488.33,10,27,20
201910272055,850,贵安新区,225.28,10,27,20
201910272100,850,贵安新区,126.16,10,27,21
201910272105,850,贵安新区,293.56,10,27,21
201910272110,850,贵安新区,411.44,10,27,21
201910272115,850,贵安新区,405.85,10,27,21
201910272120,850,贵安新区,315.06,10,27,21
201910272125,850,贵安新区,325.07,10,27,21
201910272130,850,贵安新区,451.45,10,27,21
201910272135,850,贵安新区,583.61,10,27,21
201910272140,850,贵安新区,440.90,10,27,21
201910272145,850,贵安新区,283.04,10,27,21
201910272150,850,贵安新区,322.82,10,27,21
201910272155,850,贵安新区,390.66,10,27,21
201910272200,850,贵安新区,329.30,10,27,22
201910272205,850,贵安新区,402.16,10,27,22
201910272210,850,贵安新区,483.68,10,27,22
201910272215,850,贵安新区,336.28,10,27,22
201910272220,850,贵安新区,261.49,10,27,22
201910272225,850,贵安新区,179.80,10,27,22
201910272230,850,贵安新区,172.28,10,27,22
201910272235,850,贵安新区,273.26,10,27,22
201910272240,850,贵安新区,400.30,10,27,22
201910272245,850,贵安新区,365.12,10,27,22
201910272250,850,贵安新区,195.71,10,27,22
201910272255,850,贵安新区,268.24,10,27,22
201910272300,850,贵安新区,235.69,10,27,23
201910272305,850,贵安新区,232.23,10,27,23
201910272310,850,贵安新区,191.16,10,27,23
201910272315,850,贵安新区,207.49,10,27,23
201910272320,850,贵安新区,296.34,10,27,23
201910272325,850,贵安新区,279.49,10,27,23
201910272330,850,贵安新区,269.20,10,27,23
201910272335,850,贵安新区,483.91,10,27,23
201910272340,850,贵安新区,409.20,10,27,23
201910272345,850,贵安新区,619.94,10,27,23
201910272350,850,贵安新区,586.85,10,27,23
201910272355,850,贵安新区,1153.92,10,27,23
201910280800,850,贵安新区,26.42,10,28,08
201910280805,850,贵安新区,26.58,10,28,08
201910280810,850,贵安新区,119.08,10,28,08
201910280815,850,贵安新区,169.07,10,28,08
201910280820,850,贵安新区,162.65,10,28,08
201910280825,850,贵安新区,160.49,10,28,08
201910280830,850,贵安新区,126.67,10,28,08
201910280835,850,贵安新区,180.78,10,28,08
201910280840,850,贵安新区,135.24,10,28,08
201910280845,850,贵安新区,120.13,10,28,08
201910280850,850,贵安新区,221.07,10,28,08
201910280855,850,贵安新区,103.30,10,28,08
201910280900,850,贵安新区,180.02,10,28,09
201910280905,850,贵安新区,75.28,10,28,09
201910280910,850,贵安新区,266.42,10,28,09
201910280915,850,贵安新区,227.38,10,28,09
201910280920,850,贵安新区,269.11,10,28,09
201910280925,850,贵安新区,226.36,10,28,09
201910280930,850,贵安新区,150.63,10,28,09
201910280935,850,贵安新区,315.18,10,28,09
201910280940,850,贵安新区,269.36,10,28,09
201910280945,850,贵安新区,429.01,10,28,09
201910280950,850,贵安新区,67.33,10,28,09
201910280955,850,贵安新区,120.52,10,28,09
201910281000,850,贵安新区,120.56,10,28,10
201910281005,850,贵安新区,356.62,10,28,10
201910281010,850,贵安新区,293.35,10,28,10
201910281015,850,贵安新区,775.81,10,28,10
201910281020,850,贵安新区,782.96,10,28,10
201910281025,850,贵安新区,905.47,10,28,10
201910281030,850,贵安新区,903.26,10,28,10
201910281035,850,贵安新区,983.85,10,28,10
201910281040,850,贵安新区,436.15,10,28,10
201910281045,850,贵安新区,363.16,10,28,10
201910281050,850,贵安新区,700.44,10,28,10
201910281055,850,贵安新区,1140.36,10,28,10
201910281100,850,贵安新区,529.34,10,28,11
201911140800,850,贵安新区,257.74,11,14,08
201911140805,850,贵安新区,262.82,11,14,08
201911140810,850,贵安新区,201.60,11,14,08
201911140815,850,贵安新区,199.74,11,14,08
201911140820,850,贵安新区,199.90,11,14,08
201911140825,850,贵安新区,257.31,11,14,08
201911140830,850,贵安新区,336.16,11,14,08
