日期,编码,地区,流量,月份,天,小时
201910270800,850,贵安新区,5347.49,10,27,08
201910270805,850,贵安新区,6202.59,10,27,08
201910270810,850,贵安新区,5421.51,10,27,08
201910270815,850,贵安新区,5561.77,10,27,08
201910270820,850,贵安新区,6234.46,10,27,08
201910270825,850,贵安新区,6111.21,10,27,08
201910270830,850,贵安新区,6083.72,10,27,08
201910270835,850,贵安新区,6417.89,10,27,08
201910270840,850,贵安新区,6745.89,10,27,08
201910270845,850,贵安新区,6533.23,10,27,08
201910270850,850,贵安新区,6637.37,10,27,08
201910270855,850,贵安新区,7349.22,10,27,08
201910270900,850,贵安新区,7101.18,10,27,09
201910270905,850,贵安新区,7965.36,10,27,09
201910270910,850,贵安新区,7787.46,10,27,09
201910270915,850,贵安新区,8769.09,10,27,09
201910270920,850,贵安新区,8566.03,10,27,09
201910270925,850,贵安新区,8781.23,10,27,09
201910270930,850,贵安新区,8967.82,10,27,09
201910270935,850,贵安新区,8757.53,10,27,09
201910270940,850,贵安新区,8856.97,10,27,09
201910270945,850,贵安新区,8738.65,10,27,09
201910270950,850,贵安新区,10583.20,10,27,09
201910270955,850,贵安新区,9470.07,10,27,09
201910271000,850,贵安新区,10191.14,10,27,10
201910271005,850,贵安新区,11262.32,10,27,10
201910271010,850,贵安新区,10965.28,10,27,10
201910271015,850,贵安新区,11177.44,10,27,10
201910271020,850,贵安新区,10250.14,10,27,10
201910271025,850,贵安新区,10259.39,10,27,10
201910271030,850,贵安新区,10444.28,10,27,10
201910271035,850,贵安新区,10834.54,10,27,10
201910271040,850,贵安新区,10900.03,10,27,10
201910271045,850,贵安新区,11205.95,10,27,10
201910271050,850,贵安新区,11696.56,10,27,10
201910271055,850,贵安新区,11485.66,10,27,10
201910271105,850,贵安新区,11378.03,10,27,11
201910271110,850,贵安新区,11148.10,10,27,11
201910271115,850,贵安新区,11082.60,10,27,11
201910271120,850,贵安新区,11016.89,10,27,11
201910271125,850,贵安新区,10760.19,10,27,11
201910271130,850,贵安新区,11141.47,10,27,11
201910271135,850,贵安新区,10485.82,10,27,11
201910271140,850,贵安新区,11009.43,10,27,11
201910271145,850,贵安新区,11004.42,10,27,11
201910271150,850,贵安新区,10894.01,10,27,11
201910271155,850,贵安新区,10723.57,10,27,11
201910271200,850,贵安新区,10430.14,10,27,12
201910271205,850,贵安新区,10479.77,10,27,12
201910271210,850,贵安新区,10435.17,10,27,12
201910271215,850,贵安新区,11062.96,10,27,12
201910271220,850,贵安新区,11592.53,10,27,12
201910271225,850,贵安新区,11853.02,10,27,12
201910271230,850,贵安新区,10635.32,10,27,12
201910271235,850,贵安新区,10947.97,10,27,12
201910271240,850,贵安新区,11095.65,10,27,12
201910271245,850,贵安新区,10969.14,10,27,12
201910271250,850,贵安新区,10682.17,10,27,12
201910271255,850,贵安新区,10598.39,10,27,12
201910271300,850,贵安新区,10481.35,10,27,13
201910271305,850,贵安新区,10500.91,10,27,13
201910271310,850,贵安新区,10312.62,10,27,13
201910271315,850,贵安新区,10706.95,10,27,13
201910271320,850,贵安新区,10332.59,10,27,13
201910271325,850,贵安新区,10159.52,10,27,13
201910271330,850,贵安新区,9648.14,10,27,13
201910271335,850,贵安新区,10342.25,10,27,13
201910271340,850,贵安新区,9852.30,10,27,13
201910271345,850,贵安新区,9806.59,10,27,13
201910271350,850,贵安新区,9249.16,10,27,13
201910271355,850,贵安新区,9369.75,10,27,13
201910271400,850,贵安新区,8859.45,10,27,14
201910271405,850,贵安新区,9632.06,10,27,14
201910271410,850,贵安新区,9783.03,10,27,14
201910271415,850,贵安新区,9389.60,10,27,14
201910271420,850,贵安新区,8864.94,10,27,14
201910271425,850,贵安新区,9213.14,10,27,14
201910271430,850,贵安新区,9214.44,10,27,14
201910271435,850,贵安新区,9494.85,10,27,14
201910271440,850,贵安新区,9006.22,10,27,14
201910271445,850,贵安新区,9532.89,10,27,14
201910271450,850,贵安新区,9689.64,10,27,14
201910271455,850,贵安新区,9548.51,10,27,14
201910271500,850,贵安新区,9429.39,10,27,15
201910271505,850,贵安新区,9334.26,10,27,15
201910271510,850,贵安新区,9527.10,10,27,15
201910271515,850,贵安新区,9051.36,10,27,15
201910271520,850,贵安新区,8637.13,10,27,15
201910271525,850,贵安新区,10124.78,10,27,15
201910271530,850,贵安新区,9651.18,10,27,15
201910271535,850,贵安新区,9000.54,10,27,15
201910271540,850,贵安新区,9370.46,10,27,15
201910271545,850,贵安新区,8773.04,10,27,15
201910271550,850,贵安新区,9658.23,10,27,15
201910271555,850,贵安新区,9783.85,10,27,15
201910271600,850,贵安新区,10332.91,10,27,16
201910271605,850,贵安新区,10142.68,10,27,16
201910271610,850,贵安新区,9426.61,10,27,16
201910271615,850,贵安新区,9213.41,10,27,16
201910271620,850,贵安新区,9069.56,10,27,16
201910271625,850,贵安新区,8928.71,10,27,16
201910271630,850,贵安新区,9406.00,10,27,16
201910271635,850,贵安新区,9635.29,10,27,16
201910271640,850,贵安新区,10033.24,10,27,16
201910271645,850,贵安新区,9260.05,10,27,16
201910271650,850,贵安新区,9669.22,10,27,16
201910271655,850,贵安新区,9287.51,10,27,16
201910271700,850,贵安新区,8984.07,10,27,17
201910271705,850,贵安新区,9300.90,10,27,17
201910271710,850,贵安新区,9467.93,10,27,17
201910271715,850,贵安新区,9355.07,10,27,17
201910271720,850,贵安新区,9308.75,10,27,17
201910271725,850,贵安新区,8906.03,10,27,17
201910271730,850,贵安新区,8872.79,10,27,17
201910271735,850,贵安新区,9366.78,10,27,17
201910271740,850,贵安新区,9250.43,10,27,17
201910271745,850,贵安新区,9376.91,10,27,17
