日期,编码,地区,流量,月份,天,小时
201910270800,851,贵阳,1824.56,10,27,08
201910270805,851,贵阳,1278.83,10,27,08
201910270810,851,贵阳,474.81,10,27,08
201910270815,851,贵阳,1328.12,10,27,08
201910270820,851,贵阳,984.76,10,27,08
201910270825,851,贵阳,364.33,10,27,08
201910270830,851,贵阳,620.93,10,27,08
201910270835,851,贵阳,370.45,10,27,08
201910270840,851,贵阳,1560.74,10,27,08
201910270845,851,贵阳,742.97,10,27,08
201910270850,851,贵阳,495.80,10,27,08
201910270855,851,贵阳,952.33,10,27,08
201910270900,851,贵阳,926.43,10,27,09
201910270905,851,贵阳,1239.09,10,27,09
201910270910,851,贵阳,1452.46,10,27,09
201910270915,851,贵阳,810.32,10,27,09
201910270920,851,贵阳,923.53,10,27,09
201910270925,851,贵阳,892.26,10,27,09
201910270930,851,贵阳,975.43,10,27,09
201910270935,851,贵阳,675.55,10,27,09
201910270940,851,贵阳,655.61,10,27,09
201910270945,851,贵阳,769.49,10,27,09
201910270950,851,贵阳,661.57,10,27,09
201910270955,851,贵阳,1088.31,10,27,09
201910271000,851,贵阳,1438.47,10,27,10
201910271005,851,贵阳,1120.74,10,27,10
201910271010,851,贵阳,1198.17,10,27,10
201910271015,851,贵阳,906.54,10,27,10
201910271020,851,贵阳,1258.96,10,27,10
201910271025,851,贵阳,980.56,10,27,10
201910271030,851,贵阳,1354.28,10,27,10
201910271035,851,贵阳,550.45,10,27,10
201910271040,851,贵阳,668.13,10,27,10
201910271045,851,贵阳,739.56,10,27,10
201910271050,851,贵阳,1237.14,10,27,10
201910271055,851,贵阳,1051.73,10,27,10
201910271105,851,贵阳,858.10,10,27,11
201910271110,851,贵阳,905.43,10,27,11
201910271115,851,贵阳,1151.39,10,27,11
201910271120,851,贵阳,979.81,10,27,11
201910271125,851,贵阳,801.87,10,27,11
201910271130,851,贵阳,593.97,10,27,11
201910271135,851,贵阳,1211.34,10,27,11
201910271140,851,贵阳,1150.13,10,27,11
201910271145,851,贵阳,1207.25,10,27,11
201910271150,851,贵阳,805.34,10,27,11
201910271155,851,贵阳,1447.54,10,27,11
201910271200,851,贵阳,684.92,10,27,12
201910271205,851,贵阳,706.65,10,27,12
201910271210,851,贵阳,1412.52,10,27,12
201910271215,851,贵阳,1152.99,10,27,12
201910271220,851,贵阳,1048.03,10,27,12
201910271225,851,贵阳,754.82,10,27,12
201910271230,851,贵阳,1085.92,10,27,12
201910271235,851,贵阳,885.47,10,27,12
201910271240,851,贵阳,1214.52,10,27,12
201910271245,851,贵阳,488.08,10,27,12
201910271250,851,贵阳,591.56,10,27,12
201910271255,851,贵阳,670.04,10,27,12
201910271300,851,贵阳,879.98,10,27,13
201910271305,851,贵阳,2382.38,10,27,13
201910271310,851,贵阳,669.06,10,27,13
201910271315,851,贵阳,1923.72,10,27,13
201910271320,851,贵阳,909.20,10,27,13
201910271325,851,贵阳,988.94,10,27,13
