日期,编码,地区,流量,月份,天,小时
201910270800,851,贵阳,4.63,10,27,08
201910270805,851,贵阳,2.08,10,27,08
201910270810,851,贵阳,3.04,10,27,08
201910270815,851,贵阳,2.00,10,27,08
201910270820,851,贵阳,3.36,10,27,08
201910270825,851,贵阳,2.28,10,27,08
201910270830,851,贵阳,2.42,10,27,08
201910270835,851,贵阳,1.43,10,27,08
201910270840,851,贵阳,3.10,10,27,08
201910270845,851,贵阳,1.92,10,27,08
201910270850,851,贵阳,4.57,10,27,08
201910270855,851,贵阳,3.14,10,27,08
201910270900,851,贵阳,8.55,10,27,09
201910270905,851,贵阳,9.23,10,27,09
201910270910,851,贵阳,7.98,10,27,09
201910270915,851,贵阳,10.23,10,27,09
201910270920,851,贵阳,10.03,10,27,09
201910270925,851,贵阳,33.07,10,27,09
201910270930,851,贵阳,112.62,10,27,09
201910270935,851,贵阳,126.31,10,27,09
201910270940,851,贵阳,161.75,10,27,09
201910270945,851,贵阳,80.32,10,27,09
201910270950,851,贵阳,81.67,10,27,09
201910270955,851,贵阳,76.73,10,27,09
201910271000,851,贵阳,540.69,10,27,10
201910271005,851,贵阳,478.37,10,27,10
201910271010,851,贵阳,184.14,10,27,10
201910271015,851,贵阳,32.97,10,27,10
201910271020,851,贵阳,19.44,10,27,10
201910271025,851,贵阳,19.82,10,27,10
201910271030,851,贵阳,38.74,10,27,10
201910271035,851,贵阳,18.24,10,27,10
201910271040,851,贵阳,115.03,10,27,10
201910271045,851,贵阳,128.66,10,27,10
201910271050,851,贵阳,168.65,10,27,10
201910271055,851,贵阳,373.52,10,27,10
201910271105,851,贵阳,185.25,10,27,11
201910271110,851,贵阳,161.01,10,27,11
201910271115,851,贵阳,206.83,10,27,11
201910271120,851,贵阳,179.80,10,27,11
201910271125,851,贵阳,209.77,10,27,11
201910271130,851,贵阳,74.27,10,27,11
201910271135,851,贵阳,30.91,10,27,11
201910271140,851,贵阳,21.33,10,27,11
201910271145,851,贵阳,20.38,10,27,11
201910271150,851,贵阳,16.95,10,27,11
201910271155,851,贵阳,18.03,10,27,11
201910271200,851,贵阳,89.86,10,27,12
201910271205,851,贵阳,31.31,10,27,12
201910271210,851,贵阳,19.54,10,27,12
201910271215,851,贵阳,58.33,10,27,12
201910271220,851,贵阳,40.38,10,27,12
201910271225,851,贵阳,17.73,10,27,12
201910271230,851,贵阳,13.54,10,27,12
201910271235,851,贵阳,14.64,10,27,12
201910271240,851,贵阳,17.23,10,27,12
201910271245,851,贵阳,13.70,10,27,12
201910271250,851,贵阳,10.61,10,27,12
201910271255,851,贵阳,14.01,10,27,12
