日期,编码,地区,流量,月份,天,小时
201910270800,851,贵阳,1776.54,10,27,08
201910270805,851,贵阳,1293.21,10,27,08
201910270810,851,贵阳,1588.82,10,27,08
201910270815,851,贵阳,1935.02,10,27,08
201910270820,851,贵阳,1722.50,10,27,08
201910270825,851,贵阳,2587.85,10,27,08
201910270830,851,贵阳,1657.79,10,27,08
201910270835,851,贵阳,2117.40,10,27,08
201910270840,851,贵阳,1583.90,10,27,08
201910270845,851,贵阳,1892.44,10,27,08
201910270850,851,贵阳,1518.27,10,27,08
201910270855,851,贵阳,1259.73,10,27,08
201910270900,851,贵阳,1947.20,10,27,09
201910270905,851,贵阳,888.32,10,27,09
201910270910,851,贵阳,1388.07,10,27,09
201910270915,851,贵阳,1553.15,10,27,09
201910270920,851,贵阳,1383.38,10,27,09
201910270925,851,贵阳,914.94,10,27,09
201910270930,851,贵阳,1310.97,10,27,09
201910270935,851,贵阳,1255.31,10,27,09
201910270940,851,贵阳,2041.96,10,27,09
201910270945,851,贵阳,2198.70,10,27,09
201910270950,851,贵阳,2889.41,10,27,09
201910270955,851,贵阳,2287.71,10,27,09
201910271000,851,贵阳,2012.99,10,27,10
201910271005,851,贵阳,1376.00,10,27,10
201910271010,851,贵阳,2285.32,10,27,10
201910271015,851,贵阳,1602.68,10,27,10
201910271020,851,贵阳,2466.68,10,27,10
201910271025,851,贵阳,1896.67,10,27,10
201910271030,851,贵阳,2587.35,10,27,10
201910271035,851,贵阳,1624.55,10,27,10
201910271040,851,贵阳,1671.12,10,27,10
201910271045,851,贵阳,1985.42,10,27,10
201910271050,851,贵阳,1376.38,10,27,10
201910271055,851,贵阳,1530.96,10,27,10
201910271105,851,贵阳,2014.50,10,27,11
201910271110,851,贵阳,3176.81,10,27,11
201910271115,851,贵阳,2338.41,10,27,11
201910271120,851,贵阳,3025.09,10,27,11
201910271125,851,贵阳,2854.05,10,27,11
201910271130,851,贵阳,1963.61,10,27,11
201910271135,851,贵阳,3457.55,10,27,11
201910271140,851,贵阳,3100.52,10,27,11
201910271145,851,贵阳,2796.42,10,27,11
201910271150,851,贵阳,2647.65,10,27,11
201910271155,851,贵阳,2014.10,10,27,11
201910271200,851,贵阳,1750.65,10,27,12
201910271205,851,贵阳,1737.92,10,27,12
201910271210,851,贵阳,2217.48,10,27,12
201910271215,851,贵阳,1895.12,10,27,12
201910271220,851,贵阳,2267.09,10,27,12
201910271225,851,贵阳,3745.16,10,27,12
201910271230,851,贵阳,3398.83,10,27,12
201910271235,851,贵阳,2402.24,10,27,12
201910271240,851,贵阳,2241.84,10,27,12
201910271245,851,贵阳,3010.92,10,27,12
201910271250,851,贵阳,3863.39,10,27,12
201910271255,851,贵阳,1528.06,10,27,12
201910271300,851,贵阳,3562.14,10,27,13
201910271305,851,贵阳,2430.10,10,27,13
201910271310,851,贵阳,3286.27,10,27,13
201910271315,851,贵阳,3248.42,10,27,13
201910271320,851,贵阳,3400.55,10,27,13
201910271325,851,贵阳,3090.68,10,27,13
201910271330,851,贵阳,2599.54,10,27,13
201910271335,851,贵阳,2187.65,10,27,13
201910271340,851,贵阳,2008.81,10,27,13
201910271345,851,贵阳,2300.67,10,27,13
201910271350,851,贵阳,2004.46,10,27,13
201910271355,851,贵阳,1901.80,10,27,13
201910271400,851,贵阳,2284.01,10,27,14
201910271405,851,贵阳,2059.99,10,27,14
201910271410,851,贵阳,1998.53,10,27,14
201910271415,851,贵阳,2708.59,10,27,14
201910271420,851,贵阳,2230.91,10,27,14
201910271425,851,贵阳,3222.02,10,27,14
201910271430,851,贵阳,4259.15,10,27,14
201910271435,851,贵阳,4866.73,10,27,14
201910271440,851,贵阳,4702.99,10,27,14
201910271445,851,贵阳,4075.05,10,27,14
201910271450,851,贵阳,3541.16,10,27,14
201910271455,851,贵阳,3181.44,10,27,14
201910271500,851,贵阳,3073.23,10,27,15
201910271505,851,贵阳,2842.75,10,27,15
201910271510,851,贵阳,1944.08,10,27,15
201910271515,851,贵阳,2650.72,10,27,15
201910271520,851,贵阳,2582.25,10,27,15
201910271525,851,贵阳,3002.95,10,27,15
201910271530,851,贵阳,2786.22,10,27,15
201910271535,851,贵阳,1954.19,10,27,15
201910271540,851,贵阳,2913.57,10,27,15
201910271545,851,贵阳,2275.83,10,27,15
201910271550,851,贵阳,2304.57,10,27,15
201910271555,851,贵阳,2351.83,10,27,15
201910271600,851,贵阳,2477.08,10,27,16
201910271605,851,贵阳,3058.18,10,27,16
201910271610,851,贵阳,2311.54,10,27,16
201910271615,851,贵阳,2507.11,10,27,16
201910271620,851,贵阳,2083.76,10,27,16
201910271625,851,贵阳,1893.15,10,27,16
201910271630,851,贵阳,2352.45,10,27,16
201910271635,851,贵阳,2392.80,10,27,16
201910271640,851,贵阳,2587.42,10,27,16
201910271645,851,贵阳,2171.22,10,27,16
201910271650,851,贵阳,2584.13,10,27,16
201910271655,851,贵阳,2377.83,10,27,16
201910271700,851,贵阳,2847.69,10,27,17
201910271705,851,贵阳,2331.89,10,27,17
201910271710,851,贵阳,2234.90,10,27,17
201910271715,851,贵阳,2724.37,10,27,17
201910271720,851,贵阳,2369.70,10,27,17
201910271725,851,贵阳,3180.39,10,27,17
201910271730,851,贵阳,2214.70,10,27,17
201910271735,851,贵阳,2932.21,10,27,17
201910271740,851,贵阳,1906.23,10,27,17
201910271745,851,贵阳,2510.62,10,27,17
201910271750,851,贵阳,2302.56,10,27,17
201910271755,851,贵阳,2525.02,10,27,17
201910271800,851,贵阳,3304.11,10,27,18
201910271805,851,贵阳,2302.14,10,27,18
201910271810,851,贵阳,2034.25,10,27,18
201910271815,851,贵阳,3397.36,10,27,18
201910271820,851,贵阳,2623.77,10,27,18
201910271825,851,贵阳,2353.00,10,27,18
201910271830,851,贵阳,2024.81,10,27,18
201910271835,851,贵阳,2523.33,10,27,18
201910271840,851,贵阳,2390.46,10,27,18
201910271845,851,贵阳,2254.87,10,27,18
201910271850,851,贵阳,2063.18,10,27,18
201910271855,851,贵阳,4371.67,10,27,18
201910271900,851,贵阳,2569.82,10,27,19
201910271905,851,贵阳,3064.86,10,27,19
201910271910,851,贵阳,2916.88,10,27,19
201910271915,851,贵阳,2760.50,10,27,19
201910271920,851,贵阳,1931.40,10,27,19
201910271925,851,贵阳,2158.92,10,27,19
201910271930,851,贵阳,2718.99,10,27,19
