日期,编码,地区,流量,月份,天,小时
201910270800,851,贵阳,1357.70,10,27,08
201910270805,851,贵阳,1550.95,10,27,08
201910270810,851,贵阳,1863.20,10,27,08
201910270815,851,贵阳,2468.06,10,27,08
201910270820,851,贵阳,2544.19,10,27,08
201910270825,851,贵阳,2729.58,10,27,08
201910270830,851,贵阳,2783.04,10,27,08
201910270835,851,贵阳,2209.51,10,27,08
201910270840,851,贵阳,2411.93,10,27,08
201910270845,851,贵阳,2139.48,10,27,08
201910270850,851,贵阳,2422.61,10,27,08
201910270855,851,贵阳,3334.05,10,27,08
201910270900,851,贵阳,2266.51,10,27,09
201910270905,851,贵阳,2670.44,10,27,09
201910270910,851,贵阳,3129.04,10,27,09
201910270915,851,贵阳,2723.91,10,27,09
201910270920,851,贵阳,3546.43,10,27,09
201910270925,851,贵阳,2776.96,10,27,09
201910270930,851,贵阳,2999.86,10,27,09
201910270935,851,贵阳,2629.67,10,27,09
201910270940,851,贵阳,2729.61,10,27,09
201910270945,851,贵阳,3543.17,10,27,09
201910270950,851,贵阳,4766.07,10,27,09
201910270955,851,贵阳,4033.13,10,27,09
201910271000,851,贵阳,5209.86,10,27,10
201910271005,851,贵阳,3429.21,10,27,10
201910271010,851,贵阳,3541.28,10,27,10
201910271015,851,贵阳,4083.59,10,27,10
201910271020,851,贵阳,2855.85,10,27,10
201910271025,851,贵阳,3702.19,10,27,10
201910271030,851,贵阳,4753.77,10,27,10
201910271035,851,贵阳,3699.27,10,27,10
201910271040,851,贵阳,3576.12,10,27,10
201910271045,851,贵阳,6139.39,10,27,10
201910271050,851,贵阳,4809.92,10,27,10
201910271055,851,贵阳,4174.54,10,27,10
201910271105,851,贵阳,4156.59,10,27,11
201910271110,851,贵阳,3729.54,10,27,11
201910271115,851,贵阳,3626.54,10,27,11
201910271120,851,贵阳,4849.03,10,27,11
201910271125,851,贵阳,5341.84,10,27,11
201910271130,851,贵阳,4559.69,10,27,11
201910271135,851,贵阳,3810.69,10,27,11
201910271140,851,贵阳,4400.51,10,27,11
201910271145,851,贵阳,4656.49,10,27,11
201910271150,851,贵阳,3863.94,10,27,11
201910271155,851,贵阳,4151.23,10,27,11
201910271200,851,贵阳,4170.30,10,27,12
201910271205,851,贵阳,3902.73,10,27,12
201910271210,851,贵阳,3406.62,10,27,12
201910271215,851,贵阳,4125.90,10,27,12
201910271220,851,贵阳,4446.61,10,27,12
201910271225,851,贵阳,4513.87,10,27,12
201910271230,851,贵阳,5426.31,10,27,12
201910271235,851,贵阳,3581.92,10,27,12
201910271240,851,贵阳,4435.18,10,27,12
201910271245,851,贵阳,3906.37,10,27,12
201910271250,851,贵阳,5317.74,10,27,12
201910271255,851,贵阳,4518.53,10,27,12
201910271300,851,贵阳,4434.79,10,27,13
201910271305,851,贵阳,4617.66,10,27,13
201910271310,851,贵阳,4005.54,10,27,13
201910271315,851,贵阳,4083.81,10,27,13
201910271320,851,贵阳,4327.43,10,27,13
201910271325,851,贵阳,4463.71,10,27,13
201910271330,851,贵阳,4324.68,10,27,13
201910271335,851,贵阳,5494.06,10,27,13
201910271340,851,贵阳,4408.12,10,27,13
201910271345,851,贵阳,4077.38,10,27,13
201910271350,851,贵阳,3965.54,10,27,13
201910271355,851,贵阳,4246.20,10,27,13
201910271400,851,贵阳,3604.85,10,27,14
201910271405,851,贵阳,3903.30,10,27,14
