日期,编码,地区,流量,月份,天,小时
201910270800,851,贵阳,587.31,10,27,08
201910270805,851,贵阳,590.38,10,27,08
201910270810,851,贵阳,532.44,10,27,08
201910270815,851,贵阳,673.60,10,27,08
201910270820,851,贵阳,598.43,10,27,08
201910270825,851,贵阳,690.63,10,27,08
201910270830,851,贵阳,717.06,10,27,08
201910270835,851,贵阳,625.31,10,27,08
201910270840,851,贵阳,761.99,10,27,08
201910270845,851,贵阳,659.74,10,27,08
201910270850,851,贵阳,655.90,10,27,08
201910270855,851,贵阳,697.51,10,27,08
201910270900,851,贵阳,735.86,10,27,09
201910270905,851,贵阳,860.00,10,27,09
201910270910,851,贵阳,724.29,10,27,09
201910270915,851,贵阳,921.50,10,27,09
201910270920,851,贵阳,832.78,10,27,09
201910270925,851,贵阳,693.93,10,27,09
201910270930,851,贵阳,825.76,10,27,09
201910270935,851,贵阳,854.65,10,27,09
201910270940,851,贵阳,857.12,10,27,09
201910270945,851,贵阳,1098.15,10,27,09
201910270950,851,贵阳,923.67,10,27,09
201910270955,851,贵阳,989.02,10,27,09
201910271000,851,贵阳,1068.15,10,27,10
201910271005,851,贵阳,1062.72,10,27,10
201910271010,851,贵阳,997.34,10,27,10
201910271015,851,贵阳,1040.48,10,27,10
201910271020,851,贵阳,1100.96,10,27,10
201910271025,851,贵阳,1019.77,10,27,10
201910271030,851,贵阳,1063.81,10,27,10
201910271035,851,贵阳,1173.56,10,27,10
201910271040,851,贵阳,1011.76,10,27,10
201910271045,851,贵阳,1035.71,10,27,10
201910271050,851,贵阳,936.43,10,27,10
201910271055,851,贵阳,996.56,10,27,10
201910271105,851,贵阳,1020.27,10,27,11
201910271110,851,贵阳,1093.60,10,27,11
201910271115,851,贵阳,1009.32,10,27,11
201910271120,851,贵阳,1175.24,10,27,11
201910271125,851,贵阳,994.90,10,27,11
201910271130,851,贵阳,1151.32,10,27,11
201910271135,851,贵阳,1050.60,10,27,11
201910271140,851,贵阳,1325.55,10,27,11
201910271145,851,贵阳,1131.67,10,27,11
201910271150,851,贵阳,1070.34,10,27,11
201910271155,851,贵阳,975.12,10,27,11
201910271200,851,贵阳,1141.67,10,27,12
201910271205,851,贵阳,978.99,10,27,12
201910271210,851,贵阳,1038.82,10,27,12
201910271215,851,贵阳,1203.17,10,27,12
201910271220,851,贵阳,1134.81,10,27,12
201910271225,851,贵阳,1110.45,10,27,12
201910271230,851,贵阳,1244.23,10,27,12
201910271235,851,贵阳,1082.64,10,27,12
201910271240,851,贵阳,1084.50,10,27,12
201910271245,851,贵阳,1084.49,10,27,12
201910271250,851,贵阳,1247.50,10,27,12
201910271255,851,贵阳,1221.57,10,27,12
201910271300,851,贵阳,1121.74,10,27,13
201910271305,851,贵阳,1302.40,10,27,13
201910271310,851,贵阳,1236.74,10,27,13
201910271315,851,贵阳,1215.52,10,27,13
201910271320,851,贵阳,1484.59,10,27,13
201910271325,851,贵阳,1400.67,10,27,13
201910271330,851,贵阳,1143.69,10,27,13
201910271335,851,贵阳,1060.53,10,27,13
201910271340,851,贵阳,916.51,10,27,13
201910271345,851,贵阳,1027.86,10,27,13
201910271350,851,贵阳,1015.90,10,27,13
201910271355,851,贵阳,995.81,10,27,13
201910271400,851,贵阳,972.71,10,27,14
201910271405,851,贵阳,926.72,10,27,14
201910271410,851,贵阳,1208.73,10,27,14
201910271415,851,贵阳,967.05,10,27,14
201910271420,851,贵阳,1047.88,10,27,14
201910271425,851,贵阳,999.43,10,27,14
201910271430,851,贵阳,1235.50,10,27,14
201910271435,851,贵阳,1037.90,10,27,14
201910271440,851,贵阳,966.25,10,27,14
201910271445,851,贵阳,1171.32,10,27,14
201910271450,851,贵阳,1152.16,10,27,14
201910271455,851,贵阳,1021.17,10,27,14
201910271500,851,贵阳,1183.01,10,27,15
201910271505,851,贵阳,1176.75,10,27,15
201910271510,851,贵阳,894.82,10,27,15
201910271515,851,贵阳,902.16,10,27,15
201910271520,851,贵阳,1168.93,10,27,15
201910271525,851,贵阳,1036.40,10,27,15
201910271530,851,贵阳,1049.91,10,27,15
201910271535,851,贵阳,1097.41,10,27,15
201910271540,851,贵阳,1111.13,10,27,15
201910271545,851,贵阳,1077.85,10,27,15
201910271550,851,贵阳,870.72,10,27,15
201910271555,851,贵阳,1098.50,10,27,15
201910271600,851,贵阳,980.04,10,27,16
201910271605,851,贵阳,956.85,10,27,16
201910271610,851,贵阳,1005.16,10,27,16
201910271615,851,贵阳,1010.53,10,27,16
201910271620,851,贵阳,949.82,10,27,16
201910271625,851,贵阳,1126.62,10,27,16
