日期,编码,地区,流量,月份,天,小时
201910270800,851,贵阳,69076.51,10,27,08
201910270805,851,贵阳,75154.49,10,27,08
201910270810,851,贵阳,80284.10,10,27,08
201910270815,851,贵阳,80077.20,10,27,08
201910270820,851,贵阳,82450.39,10,27,08
201910270825,851,贵阳,82279.78,10,27,08
201910270830,851,贵阳,88313.36,10,27,08
201910270835,851,贵阳,88946.67,10,27,08
201910270840,851,贵阳,90614.95,10,27,08
201910270845,851,贵阳,91930.85,10,27,08
201910270850,851,贵阳,95905.05,10,27,08
201910270855,851,贵阳,95772.17,10,27,08
201910270900,851,贵阳,100157.00,10,27,09
201910270905,851,贵阳,101732.71,10,27,09
201910270910,851,贵阳,104541.89,10,27,09
201910270915,851,贵阳,105695.53,10,27,09
201910270920,851,贵阳,112625.20,10,27,09
201910270925,851,贵阳,113562.60,10,27,09
201910270930,851,贵阳,111285.70,10,27,09
201910270935,851,贵阳,116748.10,10,27,09
201910270940,851,贵阳,120417.74,10,27,09
201910270945,851,贵阳,119763.04,10,27,09
201910270950,851,贵阳,120922.65,10,27,09
201910270955,851,贵阳,122659.61,10,27,09
201910271000,851,贵阳,123245.40,10,27,10
201910271005,851,贵阳,129105.48,10,27,10
201910271010,851,贵阳,128038.05,10,27,10
201910271015,851,贵阳,131837.47,10,27,10
201910271020,851,贵阳,132578.85,10,27,10
201910271025,851,贵阳,135671.03,10,27,10
201910271030,851,贵阳,137676.30,10,27,10
201910271035,851,贵阳,135857.89,10,27,10
201910271040,851,贵阳,138314.04,10,27,10
201910271045,851,贵阳,137637.44,10,27,10
201910271050,851,贵阳,140263.25,10,27,10
201910271055,851,贵阳,141189.63,10,27,10
201910271105,851,贵阳,141586.62,10,27,11
201910271110,851,贵阳,142728.28,10,27,11
201910271115,851,贵阳,146177.93,10,27,11
201910271120,851,贵阳,143958.01,10,27,11
201910271125,851,贵阳,143748.15,10,27,11
201910271130,851,贵阳,141717.09,10,27,11
201910271135,851,贵阳,142742.24,10,27,11
201910271140,851,贵阳,143014.32,10,27,11
201910271145,851,贵阳,139609.47,10,27,11
201910271150,851,贵阳,141353.78,10,27,11
201910271155,851,贵阳,143448.83,10,27,11
201910271200,851,贵阳,142665.70,10,27,12
201910271205,851,贵阳,146072.81,10,27,12
201910271210,851,贵阳,139060.28,10,27,12
201910271215,851,贵阳,139216.03,10,27,12
201910271220,851,贵阳,148365.03,10,27,12
201910271225,851,贵阳,142231.57,10,27,12
201910271230,851,贵阳,143872.46,10,27,12
201910271235,851,贵阳,147567.87,10,27,12
201910271240,851,贵阳,150410.08,10,27,12
201910271245,851,贵阳,144651.74,10,27,12
201910271250,851,贵阳,145458.01,10,27,12
201910271255,851,贵阳,147652.18,10,27,12
201910271300,851,贵阳,146047.93,10,27,13
201910271305,851,贵阳,140388.68,10,27,13
201910271310,851,贵阳,138904.88,10,27,13
201910271315,851,贵阳,140262.76,10,27,13
201910271320,851,贵阳,137725.47,10,27,13
