日期,编码,地区,流量,月份,天,小时
201910270800,85,贵州,19.90,10,27,08
201910270805,85,贵州,15.11,10,27,08
201910270810,85,贵州,15.12,10,27,08
201910270815,85,贵州,10.43,10,27,08
201910270820,85,贵州,19.44,10,27,08
201910270825,85,贵州,13.33,10,27,08
201910270830,85,贵州,21.96,10,27,08
201910270835,85,贵州,22.75,10,27,08
201910270840,85,贵州,22.06,10,27,08
201910270845,85,贵州,20.59,10,27,08
201910270850,85,贵州,29.45,10,27,08
201910270855,85,贵州,29.53,10,27,08
201910270900,85,贵州,56.78,10,27,09
201910270905,85,贵州,44.29,10,27,09
201910270910,85,贵州,46.26,10,27,09
201910270915,85,贵州,54.19,10,27,09
201910270920,85,贵州,56.78,10,27,09
201910270925,85,贵州,125.44,10,27,09
201910270930,85,贵州,519.60,10,27,09
201910270935,85,贵州,637.43,10,27,09
201910270940,85,贵州,718.69,10,27,09
201910270945,85,贵州,648.44,10,27,09
201910270950,85,贵州,537.80,10,27,09
201910270955,85,贵州,602.56,10,27,09
201910271000,85,贵州,1481.64,10,27,10
201910271005,85,贵州,1328.98,10,27,10
201910271010,85,贵州,440.79,10,27,10
201910271015,85,贵州,112.52,10,27,10
201910271020,85,贵州,81.81,10,27,10
201910271025,85,贵州,88.91,10,27,10
201910271030,85,贵州,139.10,10,27,10
201910271035,85,贵州,86.11,10,27,10
201910271040,85,贵州,356.14,10,27,10
201910271045,85,贵州,459.06,10,27,10
201910271050,85,贵州,541.36,10,27,10
201910271055,85,贵州,894.91,10,27,10
201910271105,85,贵州,630.86,10,27,11
201910271110,85,贵州,585.45,10,27,11
201910271115,85,贵州,681.56,10,27,11
201910271120,85,贵州,638.80,10,27,11
201910271125,85,贵州,717.61,10,27,11
201910271130,85,贵州,304.35,10,27,11
201910271135,85,贵州,94.29,10,27,11
201910271140,85,贵州,131.16,10,27,11
201910271145,85,贵州,117.36,10,27,11
201910271150,85,贵州,117.30,10,27,11
201910271155,85,贵州,126.06,10,27,11
201910271200,85,贵州,233.21,10,27,12
201910271205,85,贵州,145.50,10,27,12
201910271210,85,贵州,91.18,10,27,12
201910271215,85,贵州,279.26,10,27,12
201910271220,85,贵州,249.07,10,27,12
201910271225,85,贵州,85.51,10,27,12
201910271230,85,贵州,99.90,10,27,12
201910271235,85,贵州,93.89,10,27,12
201910271240,85,贵州,106.06,10,27,12
201910271245,85,贵州,76.25,10,27,12
201910271250,85,贵州,55.50,10,27,12
201910271255,85,贵州,77.30,10,27,12
201910271300,85,贵州,89.18,10,27,13
201910271305,85,贵州,77.01,10,27,13
201910271310,85,贵州,43.66,10,27,13
201910271315,85,贵州,63.86,10,27,13
201910271320,85,贵州,57.37,10,27,13
201910271325,85,贵州,58.85,10,27,13
201910271330,85,贵州,51.87,10,27,13
201910271335,85,贵州,56.44,10,27,13
201910271340,85,贵州,46.60,10,27,13
201910271345,85,贵州,81.15,10,27,13
201910271350,85,贵州,55.63,10,27,13
201910271355,85,贵州,51.97,10,27,13
201910271400,85,贵州,61.33,10,27,14
201910271405,85,贵州,57.75,10,27,14
201910271410,85,贵州,57.08,10,27,14
201910271415,85,贵州,66.59,10,27,14
201910271420,85,贵州,72.22,10,27,14
201910271425,85,贵州,53.00,10,27,14
201910271430,85,贵州,132.47,10,27,14
201910271435,85,贵州,159.09,10,27,14
201910271440,85,贵州,60.41,10,27,14
201910271445,85,贵州,190.96,10,27,14
201910271450,85,贵州,113.66,10,27,14
201910271455,85,贵州,55.20,10,27,14
201910271500,85,贵州,58.25,10,27,15
201910271505,85,贵州,55.64,10,27,15
201910271510,85,贵州,51.72,10,27,15
201910271515,85,贵州,45.05,10,27,15
201910271520,85,贵州,46.31,10,27,15
201910271525,85,贵州,43.25,10,27,15
201910271530,85,贵州,34.86,10,27,15
201910271535,85,贵州,36.87,10,27,15
201910271540,85,贵州,35.52,10,27,15
201910271545,85,贵州,39.67,10,27,15
201910271550,85,贵州,33.07,10,27,15
201910271555,85,贵州,33.16,10,27,15
201910271600,85,贵州,170.13,10,27,16
201910271605,85,贵州,44.27,10,27,16
201910271610,85,贵州,32.33,10,27,16
201910271615,85,贵州,43.92,10,27,16
201910271620,85,贵州,41.15,10,27,16
201910271625,85,贵州,37.68,10,27,16
201910271630,85,贵州,30.63,10,27,16
201910271635,85,贵州,41.50,10,27,16
201910271640,85,贵州,35.00,10,27,16
201910271645,85,贵州,46.61,10,27,16
201910271650,85,贵州,40.61,10,27,16
201910271655,85,贵州,42.88,10,27,16
201910271700,85,贵州,115.20,10,27,17
201910271705,85,贵州,78.89,10,27,17
201910271710,85,贵州,37.08,10,27,17
201910271715,85,贵州,80.60,10,27,17
201910271720,85,贵州,73.84,10,27,17
201910271725,85,贵州,26.72,10,27,17
201910271730,85,贵州,78.43,10,27,17
201910271735,85,贵州,39.73,10,27,17
201910271740,85,贵州,264.65,10,27,17
201910271745,85,贵州,814.01,10,27,17
201910271750,85,贵州,1111.43,10,27,17
201910271755,85,贵州,1245.33,10,27,17
201910271800,85,贵州,1062.09,10,27,18
201910271805,85,贵州,964.50,10,27,18
201910271810,85,贵州,902.04,10,27,18
201910271815,85,贵州,951.48,10,27,18
201910271820,85,贵州,924.57,10,27,18
201910271825,85,贵州,399.64,10,27,18
201910271830,85,贵州,367.97,10,27,18
201910271835,85,贵州,233.29,10,27,18
201910271840,85,贵州,106.55,10,27,18
201910271845,85,贵州,79.92,10,27,18
201910271850,85,贵州,78.92,10,27,18
201910271855,85,贵州,87.89,10,27,18
201910271900,85,贵州,88.86,10,27,19
201910271905,85,贵州,100.80,10,27,19
201910271910,85,贵州,75.33,10,27,19
201910271915,85,贵州,87.71,10,27,19
201910271920,85,贵州,72.61,10,27,19
201910271925,85,贵州,87.36,10,27,19
201910271930,85,贵州,79.26,10,27,19
201910271935,85,贵州,68.11,10,27,19
201910271940,85,贵州,81.05,10,27,19
201910271945,85,贵州,40.01,10,27,19
201910271950,85,贵州,37.61,10,27,19
201910271955,85,贵州,32.09,10,27,19
201910272000,85,贵州,818.42,10,27,20
201910272005,85,贵州,649.69,10,27,20
201910272010,85,贵州,490.61,10,27,20
201910272015,85,贵州,50.31,10,27,20
201910272020,85,贵州,38.88,10,27,20
201910272025,85,贵州,35.97,10,27,20
201910272030,85,贵州,34.08,10,27,20
201910272035,85,贵州,32.18,10,27,20
201910272040,85,贵州,36.08,10,27,20
201910272045,85,贵州,41.17,10,27,20
201910272050,85,贵州,54.77,10,27,20
201910272055,85,贵州,27.07,10,27,20
201910272100,85,贵州,29.23,10,27,21
201910272105,85,贵州,39.03,10,27,21
201910272110,85,贵州,30.23,10,27,21
201910272115,85,贵州,68.63,10,27,21
201910272120,85,贵州,24.98,10,27,21
201910272125,85,贵州,181.07,10,27,21
201910272130,85,贵州,17.27,10,27,21
201910272135,85,贵州,195.82,10,27,21
201910272140,85,贵州,17.58,10,27,21
201910272145,85,贵州,121.98,10,27,21
201910272150,85,贵州,16.44,10,27,21
201910272155,85,贵州,204.78,10,27,21
201910272200,85,贵州,14.62,10,27,22
201910272205,85,贵州,165.22,10,27,22
201910272210,85,贵州,20.99,10,27,22
201910272215,85,贵州,253.32,10,27,22
201910272220,85,贵州,17.32,10,27,22
201910272225,85,贵州,194.48,10,27,22
201910272230,85,贵州,11.99,10,27,22
201910272235,85,贵州,13.47,10,27,22
201910272240,85,贵州,11.89,10,27,22
201910272245,85,贵州,17.45,10,27,22
201910272250,85,贵州,15.01,10,27,22
201910272255,85,贵州,14.15,10,27,22
201910272300,85,贵州,14.85,10,27,23
201910272305,85,贵州,13.73,10,27,23
201910272310,85,贵州,17.85,10,27,23
201910272315,85,贵州,10.74,10,27,23
201910272320,85,贵州,11.55,10,27,23
201910272325,85,贵州,11.89,10,27,23
201910272330,85,贵州,9.71,10,27,23
201910272335,85,贵州,13.29,10,27,23
201910272340,85,贵州,9.14,10,27,23
201910272345,85,贵州,11.42,10,27,23
201910272350,85,贵州,5.25,10,27,23
201910272355,85,贵州,8.00,10,27,23
201910280800,85,贵州,34.40,10,28,08
201910280805,85,贵州,117.25,10,28,08
201910280810,85,贵州,636.46,10,28,08
201910280815,85,贵州,677.84,10,28,08
201910280820,85,贵州,747.54,10,28,08
201910280825,85,贵州,682.75,10,28,08
201910280830,85,贵州,580.59,10,28,08
201910280835,85,贵州,662.54,10,28,08
201910280840,85,贵州,650.43,10,28,08
201910280845,85,贵州,655.14,10,28,08
201910280850,85,贵州,61.22,10,28,08
201910280855,85,贵州,53.42,10,28,08
201910280900,85,贵州,185.04,10,28,09
201910280905,85,贵州,71.69,10,28,09
201910280910,85,贵州,116.77,10,28,09
201910280915,85,贵州,113.19,10,28,09
201910280920,85,贵州,124.75,10,28,09
201910280925,85,贵州,108.09,10,28,09
201910280930,85,贵州,87.34,10,28,09
201910280935,85,贵州,113.32,10,28,09
201910280940,85,贵州,112.76,10,28,09
201910280945,85,贵州,97.70,10,28,09
201910280950,85,贵州,86.67,10,28,09
201910280955,85,贵州,79.99,10,28,09
201910281000,85,贵州,292.51,10,28,10
201910281005,85,贵州,194.00,10,28,10
201910281010,85,贵州,134.65,10,28,10
201910281015,85,贵州,191.24,10,28,10
201910281020,85,贵州,99.83,10,28,10
201910281025,85,贵州,98.63,10,28,10
201910281030,85,贵州,140.12,10,28,10
201910281035,85,贵州,205.82,10,28,10
201910281040,85,贵州,149.03,10,28,10
201910281045,85,贵州,122.99,10,28,10
201910281050,85,贵州,175.83,10,28,10
201910281055,85,贵州,309.73,10,28,10
201910281100,85,贵州,187.67,10,28,11
201911140800,85,贵州,56.30,11,14,08
201911140805,85,贵州,89.20,11,14,08
201911140810,85,贵州,470.86,11,14,08
201911140815,85,贵州,550.41,11,14,08
201911140820,85,贵州,575.53,11,14,08
201911140825,85,贵州,492.55,11,14,08
201911140830,85,贵州,439.72,11,14,08
201911140835,85,贵州,478.23,11,14,08
201911140840,85,贵州,512.34,11,14,08
201911140845,85,贵州,537.96,11,14,08
201911140850,85,贵州,65.97,11,14,08
201911140855,85,贵州,56.81,11,14,08
201911140900,85,贵州,132.52,11,14,09
201911140905,85,贵州,92.94,11,14,09
201911140910,85,贵州,86.29,11,14,09
201911140915,85,贵州,101.81,11,14,09
201911140920,85,贵州,181.17,11,14,09
201911140925,85,贵州,260.87,11,14,09
201911140930,85,贵州,286.89,11,14,09
201911140935,85,贵州,104.45,11,14,09
201911140940,85,贵州,76.24,11,14,09
201911140945,85,贵州,68.06,11,14,09
201911140950,85,贵州,72.80,11,14,09
201911140955,85,贵州,156.48,11,14,09
201911141000,85,贵州,247.62,11,14,10
201911141005,85,贵州,263.30,11,14,10
201911141010,85,贵州,199.81,11,14,10
201911141015,85,贵州,165.06,11,14,10
201911141020,85,贵州,160.53,11,14,10
201911141025,85,贵州,124.46,11,14,10
201911141030,85,贵州,168.89,11,14,10
201911141035,85,贵州,154.58,11,14,10
201911141040,85,贵州,167.47,11,14,10
201911141045,85,贵州,138.51,11,14,10
201911141050,85,贵州,236.00,11,14,10
201911141055,85,贵州,263.88,11,14,10
201911141100,85,贵州,517.14,11,14,11
201911141105,85,贵州,241.50,11,14,11
201911141110,85,贵州,241.58,11,14,11
201911141115,85,贵州,188.63,11,14,11
201911141120,85,贵州,169.34,11,14,11
201911141125,85,贵州,124.78,11,14,11
201911141130,85,贵州,161.88,11,14,11
201911141135,85,贵州,114.99,11,14,11
201911141140,85,贵州,111.03,11,14,11
201911141145,85,贵州,91.02,11,14,11
201911141150,85,贵州,87.03,11,14,11
201911141155,85,贵州,92.34,11,14,11
201911141200,85,贵州,273.96,11,14,12
201911141205,85,贵州,432.09,11,14,12
201911141210,85,贵州,392.10,11,14,12
201911141215,85,贵州,498.51,11,14,12
201911141220,85,贵州,353.39,11,14,12
201911141225,85,贵州,255.61,11,14,12
201911141230,85,贵州,1777.87,11,14,12
201911141235,85,贵州,1551.01,11,14,12
201911141240,85,贵州,1560.03,11,14,12
201911141245,85,贵州,1651.07,11,14,12
201911141250,85,贵州,1490.17,11,14,12
201911141255,85,贵州,148.82,11,14,12
201911141300,85,贵州,72.00,11,14,13
201911141305,85,贵州,70.07,11,14,13
201911141310,85,贵州,56.09,11,14,13
201911141315,85,贵州,41.09,11,14,13
201911141320,85,贵州,29.32,11,14,13
201911141325,85,贵州,35.39,11,14,13
201911141330,85,贵州,40.50,11,14,13
201911141335,85,贵州,39.74,11,14,13
201911141340,85,贵州,42.81,11,14,13
201911141345,85,贵州,34.95,11,14,13
201911141350,85,贵州,36.07,11,14,13
201911141355,85,贵州,36.01,11,14,13
201911141400,85,贵州,74.92,11,14,14
201911141405,85,贵州,59.73,11,14,14
201911141410,85,贵州,106.17,11,14,14
201911141415,85,贵州,64.63,11,14,14
201911141420,85,贵州,61.70,11,14,14
201911141425,85,贵州,56.79,11,14,14
201911141430,85,贵州,161.84,11,14,14
201911141435,85,贵州,200.95,11,14,14
201911141440,85,贵州,80.15,11,14,14
201911141445,85,贵州,91.19,11,14,14
201911141450,85,贵州,110.90,11,14,14
201911141455,85,贵州,105.21,11,14,14
201911141500,85,贵州,179.41,11,14,15
201911141505,85,贵州,141.55,11,14,15
201911141510,85,贵州,88.21,11,14,15
201911141515,85,贵州,89.96,11,14,15
201911141520,85,贵州,86.85,11,14,15
201911141525,85,贵州,128.84,11,14,15
201911141530,85,贵州,120.85,11,14,15
201911141535,85,贵州,94.59,11,14,15
201911141540,85,贵州,94.43,11,14,15
201911141545,85,贵州,98.86,11,14,15
201911141550,85,贵州,86.93,11,14,15
201911141555,85,贵州,91.31,11,14,15
201911141600,85,贵州,96.88,11,14,16
201911141605,85,贵州,110.82,11,14,16
201911141610,85,贵州,87.34,11,14,16
201911141615,85,贵州,220.20,11,14,16
201911141620,85,贵州,109.58,11,14,16
201911141625,85,贵州,88.57,11,14,16
201911141630,85,贵州,108.54,11,14,16
201911141635,85,贵州,102.18,11,14,16
201911141640,85,贵州,111.90,11,14,16
201911141645,85,贵州,92.90,11,14,16
201911141650,85,贵州,99.50,11,14,16
201911141655,85,贵州,95.06,11,14,16
201911141700,85,贵州,255.70,11,14,17
201911141705,85,贵州,106.99,11,14,17
201911141710,85,贵州,104.68,11,14,17
201911141715,85,贵州,130.12,11,14,17
201911141720,85,贵州,188.45,11,14,17
201911141725,85,贵州,148.05,11,14,17
201911141730,85,贵州,303.17,11,14,17
201911141735,85,贵州,330.03,11,14,17
201911141740,85,贵州,100.26,11,14,17
201911141745,85,贵州,154.16,11,14,17
201911141750,85,贵州,882.87,11,14,17
201911141755,85,贵州,877.72,11,14,17
201911141800,85,贵州,1048.55,11,14,18
201911141805,85,贵州,910.72,11,14,18
201911141810,85,贵州,751.55,11,14,18
201911141815,85,贵州,836.54,11,14,18
201911141820,85,贵州,820.78,11,14,18
201911141825,85,贵州,819.37,11,14,18
201911141830,85,贵州,107.27,11,14,18
201911141835,85,贵州,98.44,11,14,18
201911141840,85,贵州,74.70,11,14,18
201911141845,85,贵州,70.32,11,14,18
201911141850,85,贵州,70.78,11,14,18
201911141855,85,贵州,374.12,11,14,18
201911141900,85,贵州,527.89,11,14,19
201911141905,85,贵州,509.87,11,14,19
201911141910,85,贵州,508.99,11,14,19
201911141915,85,贵州,482.60,11,14,19
201911141920,85,贵州,484.14,11,14,19
201911141925,85,贵州,433.43,11,14,19
201911141930,85,贵州,373.38,11,14,19
201911141935,85,贵州,395.50,11,14,19
201911141940,85,贵州,388.64,11,14,19
201911141945,85,贵州,307.04,11,14,19
201911141950,85,贵州,179.68,11,14,19
201911141955,85,贵州,86.24,11,14,19
201911142000,85,贵州,92.40,11,14,20
201911142005,85,贵州,89.45,11,14,20
201911142010,85,贵州,79.50,11,14,20
201911142015,85,贵州,73.96,11,14,20
201911142020,85,贵州,80.76,11,14,20
201911142025,85,贵州,78.24,11,14,20
201911142030,85,贵州,78.61,11,14,20
201911142035,85,贵州,84.38,11,14,20
201911142040,85,贵州,104.89,11,14,20
201911142045,85,贵州,71.88,11,14,20
201911142050,85,贵州,84.91,11,14,20
201911142055,85,贵州,71.70,11,14,20
201911142100,85,贵州,73.50,11,14,21
201911142105,85,贵州,79.53,11,14,21
201911142110,85,贵州,69.22,11,14,21
201911142115,85,贵州,74.93,11,14,21
201911142120,85,贵州,70.35,11,14,21
201911142125,85,贵州,67.65,11,14,21
201911142130,85,贵州,66.55,11,14,21
201911142135,85,贵州,59.49,11,14,21
201911142140,85,贵州,62.50,11,14,21
201911142145,85,贵州,71.99,11,14,21
201911142150,85,贵州,61.04,11,14,21
201911142155,85,贵州,58.57,11,14,21
201911142200,85,贵州,55.11,11,14,22
201911142205,85,贵州,55.79,11,14,22
201911142210,85,贵州,40.08,11,14,22
201911142215,85,贵州,43.48,11,14,22
201911142220,85,贵州,31.63,11,14,22
201911142225,85,贵州,19.59,11,14,22
201911142230,85,贵州,14.91,11,14,22
201911142235,85,贵州,20.63,11,14,22
201911142240,85,贵州,16.91,11,14,22
201911142245,85,贵州,16.02,11,14,22
201911142250,85,贵州,15.30,11,14,22
201911142255,85,贵州,16.01,11,14,22
201911142300,85,贵州,16.97,11,14,23
201911142305,85,贵州,19.81,11,14,23
201911142310,85,贵州,17.89,11,14,23
201911142315,85,贵州,21.89,11,14,23
201911142320,85,贵州,13.88,11,14,23
201911142325,85,贵州,14.91,11,14,23
201911142330,85,贵州,14.71,11,14,23
201911142335,85,贵州,10.60,11,14,23
201911142340,85,贵州,8.54,11,14,23
201911142345,85,贵州,9.37,11,14,23
201911142350,85,贵州,10.79,11,14,23
201911142355,85,贵州,9.31,11,14,23
201911150800,85,贵州,63.21,11,15,08
201911150805,85,贵州,104.31,11,15,08
201911150810,85,贵州,550.85,11,15,08
201911150815,85,贵州,628.33,11,15,08
201911150820,85,贵州,737.91,11,15,08
201911150825,85,贵州,602.22,11,15,08
201911150830,85,贵州,520.50,11,15,08
201911150835,85,贵州,611.90,11,15,08
201911150840,85,贵州,604.76,11,15,08
201911150845,85,贵州,617.24,11,15,08
201911150850,85,贵州,66.01,11,15,08
201911150855,85,贵州,79.47,11,15,08
201911150900,85,贵州,208.82,11,15,09
201911150905,85,贵州,89.48,11,15,09
201911150910,85,贵州,104.07,11,15,09
201911150915,85,贵州,85.30,11,15,09
201911150920,85,贵州,76.70,11,15,09
201911150925,85,贵州,78.44,11,15,09
201911150930,85,贵州,78.36,11,15,09
201911150935,85,贵州,72.38,11,15,09
201911150940,85,贵州,60.65,11,15,09
201911150945,85,贵州,68.14,11,15,09
201911150950,85,贵州,65.48,11,15,09
201911150955,85,贵州,59.61,11,15,09
201911151000,85,贵州,214.24,11,15,10
201911151005,85,贵州,266.06,11,15,10
201911151010,85,贵州,166.44,11,15,10
201911151015,85,贵州,170.96,11,15,10
201911151020,85,贵州,149.64,11,15,10
201911151025,85,贵州,149.77,11,15,10
201911151030,85,贵州,177.58,11,15,10
201911151035,85,贵州,168.16,11,15,10
201911151040,85,贵州,131.73,11,15,10
201911151045,85,贵州,88.96,11,15,10
201911151050,85,贵州,162.61,11,15,10
201911151055,85,贵州,200.54,11,15,10
201911151100,85,贵州,396.59,11,15,11
201911151105,85,贵州,114.37,11,15,11
201911151110,85,贵州,236.64,11,15,11
201911151115,85,贵州,275.37,11,15,11
201911151120,85,贵州,168.38,11,15,11
201911151125,85,贵州,105.48,11,15,11
201911151130,85,贵州,148.23,11,15,11
201910270800,85,贵州,19.90,10,27,08
201910270805,85,贵州,15.11,10,27,08
201910270810,85,贵州,15.12,10,27,08
201910270815,85,贵州,10.43,10,27,08
201910270820,85,贵州,19.44,10,27,08
201910270825,85,贵州,13.33,10,27,08
201910270830,85,贵州,21.96,10,27,08
201910270835,85,贵州,22.75,10,27,08
201910270840,85,贵州,22.06,10,27,08
201910270845,85,贵州,20.59,10,27,08
201910270850,85,贵州,29.45,10,27,08
201910270855,85,贵州,29.53,10,27,08
201910270900,85,贵州,56.78,10,27,09
201910270905,85,贵州,44.29,10,27,09
201910270910,85,贵州,46.26,10,27,09
201910270915,85,贵州,54.19,10,27,09
201910270920,85,贵州,56.78,10,27,09
201910270925,85,贵州,125.44,10,27,09
201910270930,85,贵州,519.60,10,27,09
201910270935,85,贵州,637.43,10,27,09
201910270940,85,贵州,718.69,10,27,09
201910270945,85,贵州,648.44,10,27,09
201910270950,85,贵州,537.80,10,27,09
201910270955,85,贵州,602.56,10,27,09
201910271000,85,贵州,1481.64,10,27,10
201910271005,85,贵州,1328.98,10,27,10
201910271010,85,贵州,440.79,10,27,10
201910271015,85,贵州,112.52,10,27,10
201910271020,85,贵州,81.81,10,27,10
201910271025,85,贵州,88.91,10,27,10
201910271030,85,贵州,139.10,10,27,10
201910271035,85,贵州,86.11,10,27,10
201910271040,85,贵州,356.14,10,27,10
201910271045,85,贵州,459.06,10,27,10
201910271050,85,贵州,541.36,10,27,10
201910271055,85,贵州,894.91,10,27,10
201910271105,85,贵州,630.86,10,27,11
201910271110,85,贵州,585.45,10,27,11
201910271115,85,贵州,681.56,10,27,11
201910271120,85,贵州,638.80,10,27,11
201910271125,85,贵州,717.61,10,27,11
201910271130,85,贵州,304.35,10,27,11
201910271135,85,贵州,94.29,10,27,11
201910271140,85,贵州,131.16,10,27,11
201910271145,85,贵州,117.36,10,27,11
201910271150,85,贵州,117.30,10,27,11
201910271155,85,贵州,126.06,10,27,11
201910271200,85,贵州,233.21,10,27,12
201910271205,85,贵州,145.50,10,27,12
201910271210,85,贵州,91.18,10,27,12
201910271215,85,贵州,279.26,10,27,12
201910271220,85,贵州,249.07,10,27,12
201910271225,85,贵州,85.51,10,27,12
201910271230,85,贵州,99.90,10,27,12
201910271235,85,贵州,93.89,10,27,12
201910271240,85,贵州,106.06,10,27,12
201910271245,85,贵州,76.25,10,27,12
201910271250,85,贵州,55.50,10,27,12
201910271255,85,贵州,77.30,10,27,12
201910271300,85,贵州,89.18,10,27,13
201910271305,85,贵州,77.01,10,27,13
201910271310,85,贵州,43.66,10,27,13
201910271315,85,贵州,63.86,10,27,13
201910271320,85,贵州,57.37,10,27,13
201910271325,85,贵州,58.85,10,27,13
201910271330,85,贵州,51.87,10,27,13
201910271335,85,贵州,56.44,10,27,13
201910271340,85,贵州,46.60,10,27,13
201910271345,85,贵州,81.15,10,27,13
201910271350,85,贵州,55.63,10,27,13
201910271355,85,贵州,51.97,10,27,13
201910271400,85,贵州,61.33,10,27,14
201910271405,85,贵州,57.75,10,27,14
201910271410,85,贵州,57.08,10,27,14
201910271415,85,贵州,66.59,10,27,14
201910271420,85,贵州,72.22,10,27,14
201910271425,85,贵州,53.00,10,27,14
201910271430,85,贵州,132.47,10,27,14
201910271435,85,贵州,159.09,10,27,14
201910271440,85,贵州,60.41,10,27,14
201910271445,85,贵州,190.96,10,27,14
201910271450,85,贵州,113.66,10,27,14
201910271455,85,贵州,55.20,10,27,14
201910271500,85,贵州,58.25,10,27,15
201910271505,85,贵州,55.64,10,27,15
201910271510,85,贵州,51.72,10,27,15
201910271515,85,贵州,45.05,10,27,15
201910271520,85,贵州,46.31,10,27,15
201910271525,85,贵州,43.25,10,27,15
201910271530,85,贵州,34.86,10,27,15
201910271535,85,贵州,36.87,10,27,15
201910271540,85,贵州,35.52,10,27,15
201910271545,85,贵州,39.67,10,27,15
201910271550,85,贵州,33.07,10,27,15
201910271555,85,贵州,33.16,10,27,15
201910271600,85,贵州,170.13,10,27,16
201910271605,85,贵州,44.27,10,27,16
201910271610,85,贵州,32.33,10,27,16
201910271615,85,贵州,43.92,10,27,16
201910271620,85,贵州,41.15,10,27,16
201910271625,85,贵州,37.68,10,27,16
201910271630,85,贵州,30.63,10,27,16
201910271635,85,贵州,41.50,10,27,16
201910271640,85,贵州,35.00,10,27,16
201910271645,85,贵州,46.61,10,27,16
201910271650,85,贵州,40.61,10,27,16
201910271655,85,贵州,42.88,10,27,16
201910271700,85,贵州,115.20,10,27,17
201910271705,85,贵州,78.89,10,27,17
201910271710,85,贵州,37.08,10,27,17
201910271715,85,贵州,80.60,10,27,17
201910271720,85,贵州,73.84,10,27,17
201910271725,85,贵州,26.72,10,27,17
201910271730,85,贵州,78.43,10,27,17
201910271735,85,贵州,39.73,10,27,17
201910271740,85,贵州,264.65,10,27,17
201910271745,85,贵州,814.01,10,27,17
