日期,编码,地区,流量,月份,天,小时
201910270800,85,贵州,399989.05,10,27,08
201910270805,85,贵州,404057.50,10,27,08
201910270810,85,贵州,417014.95,10,27,08
201910270815,85,贵州,417591.89,10,27,08
201910270820,85,贵州,438717.91,10,27,08
201910270825,85,贵州,428632.10,10,27,08
201910270830,85,贵州,456375.94,10,27,08
201910270835,85,贵州,440873.67,10,27,08
201910270840,85,贵州,453503.99,10,27,08
201910270845,85,贵州,456495.19,10,27,08
201910270850,85,贵州,466158.68,10,27,08
201910270855,85,贵州,476971.16,10,27,08
201910270900,85,贵州,482486.28,10,27,09
201910270905,85,贵州,494816.78,10,27,09
201910270910,85,贵州,493650.26,10,27,09
201910270915,85,贵州,502194.11,10,27,09
201910270920,85,贵州,502434.00,10,27,09
201910270925,85,贵州,501647.90,10,27,09
201910270930,85,贵州,512465.95,10,27,09
201910270935,85,贵州,514908.03,10,27,09
201910270940,85,贵州,514847.40,10,27,09
201910270945,85,贵州,517829.93,10,27,09
201910270950,85,贵州,539557.37,10,27,09
201910270955,85,贵州,535362.11,10,27,09
201910271000,85,贵州,541902.69,10,27,10
201910271005,85,贵州,562246.94,10,27,10
201910271010,85,贵州,547971.49,10,27,10
201910271015,85,贵州,545258.21,10,27,10
201910271020,85,贵州,566587.20,10,27,10
201910271025,85,贵州,554876.35,10,27,10
201910271030,85,贵州,567143.73,10,27,10
201910271035,85,贵州,576940.94,10,27,10
201910271040,85,贵州,575159.05,10,27,10
201910271045,85,贵州,591161.04,10,27,10
201910271050,85,贵州,591398.94,10,27,10
201910271055,85,贵州,586287.75,10,27,10
201910271105,85,贵州,584882.20,10,27,11
201910271110,85,贵州,597589.21,10,27,11
201910271115,85,贵州,597522.33,10,27,11
201910271120,85,贵州,598907.50,10,27,11
201910271125,85,贵州,608168.66,10,27,11
201910271130,85,贵州,600956.07,10,27,11
201910271135,85,贵州,609373.04,10,27,11
201910271140,85,贵州,613818.55,10,27,11
201910271145,85,贵州,598378.30,10,27,11
201910271150,85,贵州,591940.90,10,27,11
201910271155,85,贵州,607796.54,10,27,11
201910271200,85,贵州,587376.35,10,27,12
