日期,编码,地区,流量,月份,天,小时
201910270800,85,贵州,38885.27,10,27,08
201910270805,85,贵州,40564.81,10,27,08
201910270810,85,贵州,43767.78,10,27,08
201910270815,85,贵州,44984.13,10,27,08
201910270820,85,贵州,43568.57,10,27,08
201910270825,85,贵州,45587.03,10,27,08
201910270830,85,贵州,52089.51,10,27,08
201910270835,85,贵州,53601.81,10,27,08
201910270840,85,贵州,51640.51,10,27,08
201910270845,85,贵州,53611.99,10,27,08
201910270850,85,贵州,54017.83,10,27,08
201910270855,85,贵州,53695.33,10,27,08
201910270900,85,贵州,61742.19,10,27,09
201910270905,85,贵州,63906.63,10,27,09
201910270910,85,贵州,56504.33,10,27,09
201910270915,85,贵州,58577.73,10,27,09
201910270920,85,贵州,58698.14,10,27,09
201910270925,85,贵州,61179.55,10,27,09
201910270930,85,贵州,60732.92,10,27,09
201910270935,85,贵州,65418.78,10,27,09
201910270940,85,贵州,66559.99,10,27,09
201910270945,85,贵州,62650.74,10,27,09
201910270950,85,贵州,69439.02,10,27,09
201910270955,85,贵州,67630.18,10,27,09
201910271000,85,贵州,69747.12,10,27,10
201910271005,85,贵州,72553.87,10,27,10
201910271010,85,贵州,70950.49,10,27,10
201910271015,85,贵州,69491.62,10,27,10
201910271020,85,贵州,71026.19,10,27,10
201910271025,85,贵州,70820.27,10,27,10
201910271030,85,贵州,75099.51,10,27,10
201910271035,85,贵州,73558.17,10,27,10
201910271040,85,贵州,75225.89,10,27,10
201910271045,85,贵州,76597.44,10,27,10
201910271050,85,贵州,80158.87,10,27,10
201910271055,85,贵州,81070.75,10,27,10
201910271105,85,贵州,78189.60,10,27,11
201910271110,85,贵州,80236.48,10,27,11
201910271115,85,贵州,79438.27,10,27,11
201910271120,85,贵州,84611.23,10,27,11
201910271125,85,贵州,78289.99,10,27,11
201910271130,85,贵州,80006.86,10,27,11
201910271135,85,贵州,77402.20,10,27,11
201910271140,85,贵州,82551.62,10,27,11
201910271145,85,贵州,76774.66,10,27,11
201910271150,85,贵州,77666.08,10,27,11
201910271155,85,贵州,78313.03,10,27,11
201910271200,85,贵州,81357.22,10,27,12
201910271205,85,贵州,82993.42,10,27,12
201910271210,85,贵州,86928.77,10,27,12
201910271215,85,贵州,85330.93,10,27,12
201910271220,85,贵州,87665.97,10,27,12
201910271225,85,贵州,88632.58,10,27,12
201910271230,85,贵州,90064.81,10,27,12
201910271235,85,贵州,92447.63,10,27,12
201910271240,85,贵州,92036.49,10,27,12
201910271245,85,贵州,92395.68,10,27,12
201910271250,85,贵州,93383.99,10,27,12
201910271255,85,贵州,90474.04,10,27,12
201910271300,85,贵州,89178.99,10,27,13
201910271305,85,贵州,89145.56,10,27,13
201910271310,85,贵州,84613.38,10,27,13
201910271315,85,贵州,89152.22,10,27,13
201910271320,85,贵州,83923.07,10,27,13
201910271325,85,贵州,83588.32,10,27,13
201910271330,85,贵州,89558.49,10,27,13
201910271335,85,贵州,92472.64,10,27,13
201910271340,85,贵州,85274.55,10,27,13
201910271345,85,贵州,89621.75,10,27,13
201910271350,85,贵州,86943.56,10,27,13
201910271355,85,贵州,90763.94,10,27,13
201910271400,85,贵州,87441.67,10,27,14
201910271405,85,贵州,88567.27,10,27,14
201910271410,85,贵州,87923.61,10,27,14
201910271415,85,贵州,90493.63,10,27,14
201910271420,85,贵州,87725.30,10,27,14
201910271425,85,贵州,89774.03,10,27,14
201910271430,85,贵州,89522.59,10,27,14
201910271435,85,贵州,90714.93,10,27,14
201910271440,85,贵州,90343.58,10,27,14
201910271445,85,贵州,88621.31,10,27,14
201910271450,85,贵州,89348.31,10,27,14
201910271455,85,贵州,83921.05,10,27,14
201910271500,85,贵州,87851.42,10,27,15
