日期,编码,地区,流量,月份,天,小时
201910270800,85,贵州,3957.97,10,27,08
201910270805,85,贵州,2896.70,10,27,08
201910270810,85,贵州,3614.22,10,27,08
201910270815,85,贵州,3685.29,10,27,08
201910270820,85,贵州,3738.24,10,27,08
201910270825,85,贵州,4636.42,10,27,08
201910270830,85,贵州,3984.48,10,27,08
201910270835,85,贵州,4167.01,10,27,08
201910270840,85,贵州,4191.95,10,27,08
201910270845,85,贵州,4568.61,10,27,08
201910270850,85,贵州,3751.27,10,27,08
201910270855,85,贵州,3230.34,10,27,08
201910270900,85,贵州,4671.90,10,27,09
201910270905,85,贵州,3228.18,10,27,09
201910270910,85,贵州,3366.84,10,27,09
201910270915,85,贵州,4033.00,10,27,09
201910270920,85,贵州,4208.04,10,27,09
201910270925,85,贵州,3156.27,10,27,09
201910270930,85,贵州,4368.24,10,27,09
201910270935,85,贵州,4524.63,10,27,09
201910270940,85,贵州,5268.02,10,27,09
201910270945,85,贵州,5496.28,10,27,09
201910270950,85,贵州,5921.39,10,27,09
201910270955,85,贵州,5354.84,10,27,09
201910271000,85,贵州,4745.60,10,27,10
201910271005,85,贵州,3999.84,10,27,10
201910271010,85,贵州,5597.93,10,27,10
201910271015,85,贵州,4157.03,10,27,10
201910271020,85,贵州,5355.67,10,27,10
201910271025,85,贵州,5139.08,10,27,10
201910271030,85,贵州,5922.10,10,27,10
201910271035,85,贵州,5174.02,10,27,10
201910271040,85,贵州,4844.26,10,27,10
201910271045,85,贵州,5031.39,10,27,10
201910271050,85,贵州,4769.11,10,27,10
201910271055,85,贵州,5486.70,10,27,10
201910271105,85,贵州,6453.14,10,27,11
201910271110,85,贵州,6983.17,10,27,11
201910271115,85,贵州,6200.24,10,27,11
201910271120,85,贵州,6162.71,10,27,11
201910271125,85,贵州,6007.98,10,27,11
201910271130,85,贵州,5881.20,10,27,11
201910271135,85,贵州,8304.43,10,27,11
201910271140,85,贵州,7434.82,10,27,11
201910271145,85,贵州,7317.36,10,27,11
201910271150,85,贵州,7450.07,10,27,11
201910271155,85,贵州,6236.68,10,27,11
201910271200,85,贵州,5434.61,10,27,12
201910271205,85,贵州,4436.30,10,27,12
201910271210,85,贵州,6001.90,10,27,12
201910271215,85,贵州,5965.27,10,27,12
201910271220,85,贵州,6220.80,10,27,12
201910271225,85,贵州,7426.76,10,27,12
201910271230,85,贵州,7110.16,10,27,12
201910271235,85,贵州,6068.41,10,27,12
201910271240,85,贵州,6631.40,10,27,12
201910271245,85,贵州,6375.10,10,27,12
201910271250,85,贵州,7443.51,10,27,12
201910271255,85,贵州,5052.52,10,27,12
201910271300,85,贵州,6964.67,10,27,13
201910271305,85,贵州,6872.92,10,27,13
201910271310,85,贵州,8523.24,10,27,13
201910271315,85,贵州,7665.72,10,27,13
201910271320,85,贵州,8403.28,10,27,13
201910271325,85,贵州,8697.18,10,27,13
201910271330,85,贵州,7181.76,10,27,13
201910271335,85,贵州,5989.50,10,27,13
201910271340,85,贵州,6475.13,10,27,13
201910271345,85,贵州,6777.61,10,27,13
201910271350,85,贵州,6625.40,10,27,13
201910271355,85,贵州,5507.47,10,27,13
