日期,编码,地区,流量,月份,天,小时
201910270800,85,贵州,7015189.76,10,27,08
201910270805,85,贵州,7289613.25,10,27,08
201910270810,85,贵州,7615487.13,10,27,08
201910270815,85,贵州,7674092.62,10,27,08
201910270820,85,贵州,7780584.92,10,27,08
201910270825,85,贵州,7984070.19,10,27,08
201910270830,85,贵州,8173025.56,10,27,08
201910270835,85,贵州,8381661.79,10,27,08
201910270840,85,贵州,8428900.88,10,27,08
201910270845,85,贵州,8737317.40,10,27,08
201910270850,85,贵州,8852896.78,10,27,08
201910270855,85,贵州,8842422.91,10,27,08
201910270900,85,贵州,8989038.60,10,27,09
201910270905,85,贵州,9021162.93,10,27,09
201910270910,85,贵州,9114272.03,10,27,09
201910270915,85,贵州,9288516.17,10,27,09
201910270920,85,贵州,9424455.42,10,27,09
201910270925,85,贵州,9463056.40,10,27,09
201910270930,85,贵州,9728247.50,10,27,09
201910270935,85,贵州,9823103.00,10,27,09
201910270940,85,贵州,9873408.01,10,27,09
201910270945,85,贵州,9884059.61,10,27,09
201910270950,85,贵州,10108285.67,10,27,09
201910270955,85,贵州,10192288.56,10,27,09
201910271000,85,贵州,10159106.78,10,27,10
201910271005,85,贵州,10323004.08,10,27,10
201910271010,85,贵州,10392589.10,10,27,10
201910271015,85,贵州,10493818.11,10,27,10
201910271020,85,贵州,10557547.27,10,27,10
201910271025,85,贵州,10666420.94,10,27,10
201910271030,85,贵州,10925044.23,10,27,10
201910271035,85,贵州,10932821.23,10,27,10
201910271040,85,贵州,11062949.95,10,27,10
201910271045,85,贵州,10829697.34,10,27,10
201910271050,85,贵州,10963175.77,10,27,10
201910271055,85,贵州,11089607.93,10,27,10
201910271105,85,贵州,11087212.51,10,27,11
201910271110,85,贵州,11103141.17,10,27,11
201910271115,85,贵州,11377104.30,10,27,11
201910271120,85,贵州,11333044.36,10,27,11
201910271125,85,贵州,11319456.49,10,27,11
201910271130,85,贵州,11315267.13,10,27,11
201910271135,85,贵州,11316251.67,10,27,11
201910271140,85,贵州,11542974.64,10,27,11
201910271145,85,贵州,11430382.10,10,27,11
201910271150,85,贵州,11581382.14,10,27,11
201910271155,85,贵州,11753971.60,10,27,11
201910271200,85,贵州,11205069.80,10,27,12
201910271205,85,贵州,11428969.96,10,27,12
201910271210,85,贵州,11668184.49,10,27,12
201910271215,85,贵州,11880087.74,10,27,12
201910271220,85,贵州,12010125.05,10,27,12
201910271225,85,贵州,12262103.03,10,27,12
201910271230,85,贵州,12668637.42,10,27,12
201910271235,85,贵州,12652513.88,10,27,12
201910271240,85,贵州,12746579.26,10,27,12
201910271245,85,贵州,12571405.14,10,27,12
201910271250,85,贵州,12484381.50,10,27,12
201910271255,85,贵州,12280546.16,10,27,12
201910271300,85,贵州,12149501.29,10,27,13
201910271305,85,贵州,12023931.38,10,27,13
201910271310,85,贵州,11833726.64,10,27,13
201910271315,85,贵州,11801403.33,10,27,13
201910271320,85,贵州,11913849.03,10,27,13
201910271325,85,贵州,11814074.86,10,27,13
201910271330,85,贵州,11697489.38,10,27,13
201910271335,85,贵州,11747308.84,10,27,13
201910271340,85,贵州,11541020.19,10,27,13
201910271345,85,贵州,11606829.84,10,27,13
