日期,编码,地区,流量,月份,天,小时
201910270800,85,贵州,9853.33,10,27,08
201910270805,85,贵州,10096.45,10,27,08
201910270810,85,贵州,10836.90,10,27,08
201910270815,85,贵州,12128.04,10,27,08
201910270820,85,贵州,10929.06,10,27,08
201910270825,85,贵州,11459.62,10,27,08
201910270830,85,贵州,11417.14,10,27,08
201910270835,85,贵州,12022.86,10,27,08
201910270840,85,贵州,11875.99,10,27,08
201910270845,85,贵州,12759.12,10,27,08
201910270850,85,贵州,12733.74,10,27,08
201910270855,85,贵州,13194.36,10,27,08
201910270900,85,贵州,13474.87,10,27,09
201910270905,85,贵州,14880.15,10,27,09
201910270910,85,贵州,15239.15,10,27,09
201910270915,85,贵州,15859.41,10,27,09
201910270920,85,贵州,14721.54,10,27,09
201910270925,85,贵州,16891.67,10,27,09
201910270930,85,贵州,16941.61,10,27,09
201910270935,85,贵州,17545.05,10,27,09
201910270940,85,贵州,17765.89,10,27,09
201910270945,85,贵州,17502.58,10,27,09
201910270950,85,贵州,17502.83,10,27,09
201910270955,85,贵州,19132.82,10,27,09
201910271000,85,贵州,19164.03,10,27,10
201910271005,85,贵州,17961.46,10,27,10
201910271010,85,贵州,19998.23,10,27,10
201910271015,85,贵州,17765.03,10,27,10
201910271020,85,贵州,20366.94,10,27,10
201910271025,85,贵州,18457.13,10,27,10
201910271030,85,贵州,21591.49,10,27,10
201910271035,85,贵州,18744.77,10,27,10
201910271040,85,贵州,18306.34,10,27,10
201910271045,85,贵州,18483.19,10,27,10
201910271050,85,贵州,19367.30,10,27,10
201910271055,85,贵州,17895.67,10,27,10
201910271105,85,贵州,17898.88,10,27,11
201910271110,85,贵州,18857.91,10,27,11
201910271115,85,贵州,19535.22,10,27,11
201910271120,85,贵州,19403.57,10,27,11
201910271125,85,贵州,18323.61,10,27,11
201910271130,85,贵州,19629.25,10,27,11
201910271135,85,贵州,18341.05,10,27,11
201910271140,85,贵州,19107.15,10,27,11
201910271145,85,贵州,15305.93,10,27,11
201910271150,85,贵州,20205.83,10,27,11
201910271155,85,贵州,17443.21,10,27,11
201910271200,85,贵州,19333.62,10,27,12
201910271205,85,贵州,17992.25,10,27,12
201910271210,85,贵州,19086.21,10,27,12
201910271215,85,贵州,19503.58,10,27,12
201910271220,85,贵州,17925.73,10,27,12
201910271225,85,贵州,18321.27,10,27,12
201910271230,85,贵州,17740.84,10,27,12
201910271235,85,贵州,20514.26,10,27,12
201910271240,85,贵州,17199.12,10,27,12
201910271245,85,贵州,21502.69,10,27,12
201910271250,85,贵州,17914.36,10,27,12
201910271255,85,贵州,20655.99,10,27,12
201910271300,85,贵州,17121.96,10,27,13
201910271305,85,贵州,19339.27,10,27,13
201910271310,85,贵州,18910.96,10,27,13
201910271315,85,贵州,20090.67,10,27,13
201910271320,85,贵州,19216.72,10,27,13
201910271325,85,贵州,18871.08,10,27,13
201910271330,85,贵州,19327.48,10,27,13
201910271335,85,贵州,20391.62,10,27,13
201910271340,85,贵州,19931.04,10,27,13
201910271345,85,贵州,20230.01,10,27,13
201910271350,85,贵州,21020.35,10,27,13
201910271355,85,贵州,18953.64,10,27,13
201910271400,85,贵州,19601.85,10,27,14
201910271405,85,贵州,18655.65,10,27,14
201910271410,85,贵州,20852.62,10,27,14
201910271415,85,贵州,21297.73,10,27,14
201910271420,85,贵州,23428.78,10,27,14
201910271425,85,贵州,21788.41,10,27,14
201910271430,85,贵州,23223.46,10,27,14
201910271435,85,贵州,23196.39,10,27,14
201910271440,85,贵州,21443.61,10,27,14
201910271445,85,贵州,22898.94,10,27,14
201910271450,85,贵州,20927.74,10,27,14
201910271455,85,贵州,20349.31,10,27,14
201910271500,85,贵州,21020.38,10,27,15
201910271505,85,贵州,21058.31,10,27,15
201910271510,85,贵州,22113.74,10,27,15
201910271515,85,贵州,23420.02,10,27,15
201910271520,85,贵州,21733.52,10,27,15
201910271525,85,贵州,22532.55,10,27,15
201910271530,85,贵州,22549.16,10,27,15
201910271535,85,贵州,21145.09,10,27,15
201910271540,85,贵州,22145.89,10,27,15
201910271545,85,贵州,24323.38,10,27,15
201910271550,85,贵州,22334.82,10,27,15
201910271555,85,贵州,23351.80,10,27,15
201910271600,85,贵州,19513.36,10,27,16
201910271605,85,贵州,22576.48,10,27,16
201910271610,85,贵州,21257.78,10,27,16
201910271615,85,贵州,21698.86,10,27,16
201910271620,85,贵州,20413.46,10,27,16
201910271625,85,贵州,20330.25,10,27,16
201910271630,85,贵州,21719.95,10,27,16
201910271635,85,贵州,19611.59,10,27,16
201910271640,85,贵州,20510.33,10,27,16
201910271645,85,贵州,20998.24,10,27,16
201910271650,85,贵州,19458.90,10,27,16
201910271655,85,贵州,21608.91,10,27,16
201910271700,85,贵州,18957.64,10,27,17
