日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,57444.91,10,27,08
201910270805,855,黔东南,56073.26,10,27,08
201910270810,855,黔东南,58716.37,10,27,08
201910270815,855,黔东南,59388.29,10,27,08
201910270820,855,黔东南,59218.41,10,27,08
201910270825,855,黔东南,62670.38,10,27,08
201910270830,855,黔东南,60736.96,10,27,08
201910270835,855,黔东南,63547.50,10,27,08
201910270840,855,黔东南,65927.28,10,27,08
201910270845,855,黔东南,65728.87,10,27,08
201910270850,855,黔东南,66860.79,10,27,08
201910270855,855,黔东南,67862.20,10,27,08
201910270900,855,黔东南,67918.59,10,27,09
201910270905,855,黔东南,68926.47,10,27,09
201910270910,855,黔东南,70070.81,10,27,09
201910270915,855,黔东南,69650.54,10,27,09
201910270920,855,黔东南,70727.85,10,27,09
201910270925,855,黔东南,74141.88,10,27,09
201910270930,855,黔东南,73970.94,10,27,09
201910270935,855,黔东南,72142.00,10,27,09
201910270940,855,黔东南,75156.16,10,27,09
201910270945,855,黔东南,71781.66,10,27,09
201910270950,855,黔东南,75432.20,10,27,09
201910270955,855,黔东南,74691.52,10,27,09
201910271000,855,黔东南,73116.02,10,27,10
201910271005,855,黔东南,73374.26,10,27,10
201910271010,855,黔东南,74197.18,10,27,10
201910271015,855,黔东南,75806.76,10,27,10
201910271020,855,黔东南,75350.79,10,27,10
201910271025,855,黔东南,74613.50,10,27,10
201910271030,855,黔东南,73359.70,10,27,10
201910271035,855,黔东南,72378.62,10,27,10
201910271040,855,黔东南,71153.41,10,27,10
201910271045,855,黔东南,70779.13,10,27,10
201910271050,855,黔东南,72198.07,10,27,10
201910271055,855,黔东南,73959.19,10,27,10
201910271105,855,黔东南,73534.81,10,27,11
201910271110,855,黔东南,71150.61,10,27,11
201910271115,855,黔东南,74610.77,10,27,11
201910271120,855,黔东南,72449.13,10,27,11
201910271125,855,黔东南,74499.35,10,27,11
201910271130,855,黔东南,75565.50,10,27,11
201910271135,855,黔东南,72976.12,10,27,11
201910271140,855,黔东南,76473.00,10,27,11
201910271145,855,黔东南,73387.48,10,27,11
