日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,5747.22,10,27,08
201910270805,855,黔东南,6309.88,10,27,08
201910270810,855,黔东南,5903.74,10,27,08
201910270815,855,黔东南,6530.53,10,27,08
201910270820,855,黔东南,6511.84,10,27,08
201910270825,855,黔东南,7173.63,10,27,08
201910270830,855,黔东南,7957.34,10,27,08
201910270835,855,黔东南,8513.70,10,27,08
201910270840,855,黔东南,9516.01,10,27,08
201910270845,855,黔东南,8941.78,10,27,08
201910270850,855,黔东南,9064.51,10,27,08
201910270855,855,黔东南,8855.79,10,27,08
201910270900,855,黔东南,8913.22,10,27,09
201910270905,855,黔东南,9933.55,10,27,09
201910270910,855,黔东南,9666.41,10,27,09
201910270915,855,黔东南,10699.33,10,27,09
201910270920,855,黔东南,10157.54,10,27,09
201910270925,855,黔东南,10821.81,10,27,09
201910270930,855,黔东南,11230.91,10,27,09
201910270935,855,黔东南,10997.34,10,27,09
201910270940,855,黔东南,11228.93,10,27,09
201910270945,855,黔东南,11459.23,10,27,09
201910270950,855,黔东南,11784.04,10,27,09
201910270955,855,黔东南,12305.75,10,27,09
201910271000,855,黔东南,11972.09,10,27,10
201910271005,855,黔东南,12905.81,10,27,10
201910271010,855,黔东南,12798.25,10,27,10
201910271015,855,黔东南,13189.51,10,27,10
201910271020,855,黔东南,12920.33,10,27,10
201910271025,855,黔东南,13859.20,10,27,10
201910271030,855,黔东南,12863.34,10,27,10
201910271035,855,黔东南,14120.21,10,27,10
201910271040,855,黔东南,13989.88,10,27,10
201910271045,855,黔东南,14002.19,10,27,10
201910271050,855,黔东南,14030.33,10,27,10
201910271055,855,黔东南,16989.22,10,27,10
201910271105,855,黔东南,15262.71,10,27,11
201910271110,855,黔东南,14362.77,10,27,11
201910271115,855,黔东南,14887.14,10,27,11
201910271120,855,黔东南,13989.21,10,27,11
201910271125,855,黔东南,16157.47,10,27,11
201910271130,855,黔东南,16375.38,10,27,11
201910271135,855,黔东南,14410.40,10,27,11
201910271140,855,黔东南,14706.78,10,27,11
201910271145,855,黔东南,15407.60,10,27,11
201910271150,855,黔东南,15579.85,10,27,11
201910271155,855,黔东南,15500.26,10,27,11
201910271200,855,黔东南,14712.37,10,27,12
201910271205,855,黔东南,15629.98,10,27,12
201910271210,855,黔东南,15590.69,10,27,12
201910271215,855,黔东南,16524.79,10,27,12
201910271220,855,黔东南,15637.69,10,27,12
201910271225,855,黔东南,15659.25,10,27,12
201910271230,855,黔东南,16534.04,10,27,12
201910271235,855,黔东南,16406.76,10,27,12
201910271240,855,黔东南,16890.17,10,27,12
201910271245,855,黔东南,16565.29,10,27,12
201910271250,855,黔东南,17437.48,10,27,12
201910271255,855,黔东南,16553.94,10,27,12
201910271300,855,黔东南,16212.78,10,27,13
201910271305,855,黔东南,17352.51,10,27,13
201910271310,855,黔东南,16664.67,10,27,13
201910271315,855,黔东南,17089.64,10,27,13
201910271320,855,黔东南,16561.52,10,27,13
201910271325,855,黔东南,17982.61,10,27,13
201910271330,855,黔东南,16177.60,10,27,13
201910271335,855,黔东南,17415.86,10,27,13
201910271340,855,黔东南,16361.66,10,27,13
201910271345,855,黔东南,17702.57,10,27,13
201910271350,855,黔东南,18159.74,10,27,13
201910271355,855,黔东南,16872.98,10,27,13
201910271400,855,黔东南,17220.76,10,27,14
201910271405,855,黔东南,16347.20,10,27,14
201910271410,855,黔东南,17376.99,10,27,14
201910271415,855,黔东南,17772.40,10,27,14
