日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,182101.99,10,27,08
201910270805,855,黔东南,190170.92,10,27,08
201910270810,855,黔东南,191653.18,10,27,08
201910270815,855,黔东南,196022.24,10,27,08
201910270820,855,黔东南,201941.00,10,27,08
201910270825,855,黔东南,202209.19,10,27,08
201910270830,855,黔东南,205905.84,10,27,08
201910270835,855,黔东南,211985.51,10,27,08
201910270840,855,黔东南,213311.22,10,27,08
201910270845,855,黔东南,218948.00,10,27,08
201910270850,855,黔东南,222268.36,10,27,08
201910270855,855,黔东南,220872.80,10,27,08
201910270900,855,黔东南,238429.05,10,27,09
201910270905,855,黔东南,238545.17,10,27,09
201910270910,855,黔东南,240708.29,10,27,09
201910270915,855,黔东南,247300.80,10,27,09
201910270920,855,黔东南,249249.65,10,27,09
201910270925,855,黔东南,235722.28,10,27,09
201910270930,855,黔东南,254309.76,10,27,09
201910270935,855,黔东南,255391.81,10,27,09
201910270940,855,黔东南,256144.92,10,27,09
201910270945,855,黔东南,263840.11,10,27,09
201910270950,855,黔东南,261553.38,10,27,09
201910270955,855,黔东南,261867.56,10,27,09
201910271000,855,黔东南,266342.60,10,27,10
201910271005,855,黔东南,266735.20,10,27,10
201910271010,855,黔东南,270103.94,10,27,10
201910271015,855,黔东南,273046.18,10,27,10
201910271020,855,黔东南,270397.56,10,27,10
201910271025,855,黔东南,270365.13,10,27,10
201910271030,855,黔东南,271308.03,10,27,10
201910271035,855,黔东南,279083.72,10,27,10
201910271040,855,黔东南,277527.49,10,27,10
201910271045,855,黔东南,287299.26,10,27,10
201910271050,855,黔东南,279421.32,10,27,10
201910271055,855,黔东南,278429.73,10,27,10
201910271105,855,黔东南,279529.56,10,27,11
201910271110,855,黔东南,289980.86,10,27,11
201910271115,855,黔东南,292387.90,10,27,11
201910271120,855,黔东南,299955.36,10,27,11
201910271125,855,黔东南,301704.19,10,27,11
201910271130,855,黔东南,300624.54,10,27,11
201910271135,855,黔东南,282986.15,10,27,11
201910271140,855,黔东南,303409.25,10,27,11
201910271145,855,黔东南,300101.91,10,27,11
201910271150,855,黔东南,306027.02,10,27,11
201910271155,855,黔东南,328971.79,10,27,11
201910271200,855,黔东南,297353.97,10,27,12
201910271205,855,黔东南,319063.78,10,27,12
201910271210,855,黔东南,312908.12,10,27,12
201910271215,855,黔东南,334569.19,10,27,12
201910271220,855,黔东南,330010.13,10,27,12
201910271225,855,黔东南,346403.58,10,27,12
201910271230,855,黔东南,350323.60,10,27,12
201910271235,855,黔东南,348223.50,10,27,12
201910271240,855,黔东南,343775.22,10,27,12
201910271245,855,黔东南,345749.05,10,27,12
201910271250,855,黔东南,341349.50,10,27,12
201910271255,855,黔东南,336518.52,10,27,12
201910271300,855,黔东南,316976.43,10,27,13
201910271305,855,黔东南,330114.68,10,27,13
201910271310,855,黔东南,326544.76,10,27,13
201910271315,855,黔东南,324215.19,10,27,13
201910271320,855,黔东南,314989.97,10,27,13
201910271325,855,黔东南,321120.07,10,27,13
201910271330,855,黔东南,311999.60,10,27,13
201910271335,855,黔东南,312541.98,10,27,13
201910271340,855,黔东南,301282.59,10,27,13
201910271345,855,黔东南,307167.81,10,27,13
201910271350,855,黔东南,303692.72,10,27,13
201910271355,855,黔东南,300484.09,10,27,13
201910271400,855,黔东南,307382.11,10,27,14
201910271405,855,黔东南,298818.22,10,27,14
201910271410,855,黔东南,297637.02,10,27,14
201910271415,855,黔东南,294978.18,10,27,14
201910271420,855,黔东南,290684.96,10,27,14
201910271425,855,黔东南,289512.97,10,27,14
201910271430,855,黔东南,296466.17,10,27,14
201910271435,855,黔东南,301656.48,10,27,14
201910271440,855,黔东南,288589.19,10,27,14
201910271445,855,黔东南,294527.46,10,27,14
201910271450,855,黔东南,295719.81,10,27,14
201910271455,855,黔东南,290607.00,10,27,14
201910271500,855,黔东南,291854.87,10,27,15
201910271505,855,黔东南,288369.68,10,27,15
201910271510,855,黔东南,278822.15,10,27,15
201910271515,855,黔东南,287971.96,10,27,15
201910271520,855,黔东南,294239.43,10,27,15
201910271525,855,黔东南,297237.80,10,27,15
201910271530,855,黔东南,282772.17,10,27,15
201910271535,855,黔东南,283953.06,10,27,15
201910271540,855,黔东南,289507.51,10,27,15
201910271545,855,黔东南,289561.47,10,27,15
201910271550,855,黔东南,289583.61,10,27,15
201910271555,855,黔东南,291769.12,10,27,15
201910271600,855,黔东南,292910.62,10,27,16
201910271605,855,黔东南,286852.87,10,27,16
201910271610,855,黔东南,281709.44,10,27,16
201910271615,855,黔东南,284702.86,10,27,16
201910271620,855,黔东南,282032.72,10,27,16
201910271625,855,黔东南,282661.32,10,27,16
201910271630,855,黔东南,263542.03,10,27,16
201910271635,855,黔东南,285434.20,10,27,16
201910271640,855,黔东南,269322.08,10,27,16
201910271645,855,黔东南,274322.82,10,27,16
201910271650,855,黔东南,278062.44,10,27,16
201910271655,855,黔东南,287836.11,10,27,16
201910271700,855,黔东南,286422.35,10,27,17
201910271705,855,黔东南,288547.06,10,27,17
201910271710,855,黔东南,284384.85,10,27,17
201910271715,855,黔东南,289496.24,10,27,17
201910271720,855,黔东南,264802.53,10,27,17
201910271725,855,黔东南,287322.18,10,27,17
201910271730,855,黔东南,285683.46,10,27,17
201910271735,855,黔东南,272214.24,10,27,17
201910271740,855,黔东南,282118.48,10,27,17
201910271745,855,黔东南,286582.30,10,27,17
201910271750,855,黔东南,288923.46,10,27,17
201910271755,855,黔东南,283685.46,10,27,17
201910271800,855,黔东南,290100.74,10,27,18
201910271805,855,黔东南,303146.41,10,27,18
201910271810,855,黔东南,304329.55,10,27,18
201910271815,855,黔东南,311337.28,10,27,18
201910271820,855,黔东南,312496.66,10,27,18
201910271825,855,黔东南,327152.74,10,27,18
201910271830,855,黔东南,326420.58,10,27,18
201910271835,855,黔东南,336396.63,10,27,18
201910271840,855,黔东南,348090.06,10,27,18
201910271845,855,黔东南,370956.58,10,27,18
201910271850,855,黔东南,384363.78,10,27,18
201910271855,855,黔东南,383327.31,10,27,18
201910271900,855,黔东南,370215.48,10,27,19
201910271905,855,黔东南,380262.41,10,27,19
201910271910,855,黔东南,385609.48,10,27,19
201910271915,855,黔东南,390239.19,10,27,19
201910271920,855,黔东南,402082.76,10,27,19
201910271925,855,黔东南,420506.36,10,27,19
201910271930,855,黔东南,415431.33,10,27,19
201910271935,855,黔东南,414825.23,10,27,19
201910271940,855,黔东南,422129.08,10,27,19
201910271945,855,黔东南,436301.38,10,27,19
201910271950,855,黔东南,442623.96,10,27,19
201910272000,855,黔东南,450841.25,10,27,20
201910272005,855,黔东南,452469.05,10,27,20
201910272010,855,黔东南,462889.57,10,27,20
201910272015,855,黔东南,469708.34,10,27,20
201910272020,855,黔东南,472433.90,10,27,20
201910272025,855,黔东南,468592.32,10,27,20
201910272030,855,黔东南,479787.79,10,27,20
201910272035,855,黔东南,465518.58,10,27,20
201910272040,855,黔东南,477579.44,10,27,20
201910272045,855,黔东南,468300.66,10,27,20
201910272050,855,黔东南,473727.71,10,27,20
201910272055,855,黔东南,468955.14,10,27,20
201910272100,855,黔东南,473936.97,10,27,21
201910272105,855,黔东南,465098.45,10,27,21
201910272110,855,黔东南,461790.24,10,27,21
201910272115,855,黔东南,469978.68,10,27,21
201910272120,855,黔东南,457993.33,10,27,21
201910272125,855,黔东南,459936.54,10,27,21
201910272130,855,黔东南,454278.22,10,27,21
201910272135,855,黔东南,419404.97,10,27,21
201910272140,855,黔东南,440191.84,10,27,21
201910272145,855,黔东南,434122.93,10,27,21
201910272150,855,黔东南,430285.42,10,27,21
201910272155,855,黔东南,424987.40,10,27,21
201910272200,855,黔东南,415980.58,10,27,22
201910272205,855,黔东南,414594.06,10,27,22
201910272210,855,黔东南,405334.94,10,27,22
201910272215,855,黔东南,421661.79,10,27,22
201910272220,855,黔东南,417658.76,10,27,22
201910272225,855,黔东南,418347.85,10,27,22
201910272230,855,黔东南,399067.07,10,27,22
201910272235,855,黔东南,399127.60,10,27,22
201910272240,855,黔东南,371619.97,10,27,22
201910272245,855,黔东南,375113.14,10,27,22
201910272250,855,黔东南,363004.62,10,27,22
201910272255,855,黔东南,355730.36,10,27,22
201910272300,855,黔东南,333584.90,10,27,23
