日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,15373.59,10,27,08
201910270805,855,黔东南,15208.47,10,27,08
201910270810,855,黔东南,16494.78,10,27,08
201910270815,855,黔东南,16814.29,10,27,08
201910270820,855,黔东南,16828.61,10,27,08
201910270825,855,黔东南,17311.33,10,27,08
201910270830,855,黔东南,20400.04,10,27,08
201910270835,855,黔东南,21098.45,10,27,08
201910270840,855,黔东南,20895.00,10,27,08
201910270845,855,黔东南,19692.11,10,27,08
201910270850,855,黔东南,20363.70,10,27,08
201910270855,855,黔东南,20772.65,10,27,08
201910270900,855,黔东南,22305.92,10,27,09
201910270905,855,黔东南,23802.64,10,27,09
201910270910,855,黔东南,23746.27,10,27,09
201910270915,855,黔东南,23363.12,10,27,09
201910270920,855,黔东南,24704.24,10,27,09
201910270925,855,黔东南,26356.80,10,27,09
201910270930,855,黔东南,24334.42,10,27,09
201910270935,855,黔东南,26837.84,10,27,09
201910270940,855,黔东南,24073.88,10,27,09
201910270945,855,黔东南,26997.93,10,27,09
201910270950,855,黔东南,27101.55,10,27,09
201910270955,855,黔东南,29324.20,10,27,09
201910271000,855,黔东南,30745.27,10,27,10
201910271005,855,黔东南,31619.91,10,27,10
201910271010,855,黔东南,29275.57,10,27,10
201910271015,855,黔东南,31342.75,10,27,10
201910271020,855,黔东南,32390.34,10,27,10
201910271025,855,黔东南,31600.32,10,27,10
201910271030,855,黔东南,36093.78,10,27,10
201910271035,855,黔东南,34062.74,10,27,10
201910271040,855,黔东南,35531.76,10,27,10
201910271045,855,黔东南,36106.63,10,27,10
201910271050,855,黔东南,36162.21,10,27,10
201910271055,855,黔东南,35691.59,10,27,10
201910271105,855,黔东南,34920.96,10,27,11
201910271110,855,黔东南,34778.59,10,27,11
201910271115,855,黔东南,35596.96,10,27,11
201910271120,855,黔东南,34784.29,10,27,11
201910271125,855,黔东南,33948.34,10,27,11
201910271130,855,黔东南,34100.28,10,27,11
201910271135,855,黔东南,35452.41,10,27,11
201910271140,855,黔东南,35155.96,10,27,11
201910271145,855,黔东南,34813.39,10,27,11
201910271150,855,黔东南,35421.77,10,27,11
201910271155,855,黔东南,38661.80,10,27,11
201910271200,855,黔东南,31137.38,10,27,12
201910271205,855,黔东南,38231.22,10,27,12
201910271210,855,黔东南,33275.43,10,27,12
201910271215,855,黔东南,35433.38,10,27,12
201910271220,855,黔东南,34714.62,10,27,12
201910271225,855,黔东南,37283.41,10,27,12
201910271230,855,黔东南,38405.87,10,27,12
201910271235,855,黔东南,39525.76,10,27,12
201910271240,855,黔东南,38302.66,10,27,12
201910271245,855,黔东南,43108.02,10,27,12
201910271250,855,黔东南,39062.87,10,27,12
201910271255,855,黔东南,41324.11,10,27,12
201910271300,855,黔东南,40012.75,10,27,13
201910271305,855,黔东南,40283.87,10,27,13
201910271310,855,黔东南,39385.73,10,27,13
201910271315,855,黔东南,39854.00,10,27,13
201910271320,855,黔东南,39268.36,10,27,13
201910271325,855,黔东南,41059.18,10,27,13
201910271330,855,黔东南,38721.91,10,27,13
201910271335,855,黔东南,40005.30,10,27,13
201910271340,855,黔东南,39809.38,10,27,13
201910271345,855,黔东南,38504.39,10,27,13
201910271350,855,黔东南,42331.99,10,27,13
201910271355,855,黔东南,39998.72,10,27,13
201910271400,855,黔东南,40302.36,10,27,14
201910271405,855,黔东南,35862.77,10,27,14
201910271410,855,黔东南,39326.93,10,27,14
201910271415,855,黔东南,38053.03,10,27,14
201910271420,855,黔东南,40948.84,10,27,14
201910271425,855,黔东南,37754.54,10,27,14
201910271430,855,黔东南,41427.05,10,27,14
201910271435,855,黔东南,39303.79,10,27,14
201910271440,855,黔东南,39147.55,10,27,14
201910271445,855,黔东南,40234.59,10,27,14
201910271450,855,黔东南,38077.21,10,27,14
201910271455,855,黔东南,40606.46,10,27,14
201910271500,855,黔东南,39934.06,10,27,15
201910271505,855,黔东南,41321.06,10,27,15
201910271510,855,黔东南,45107.01,10,27,15
201910271515,855,黔东南,41081.56,10,27,15
201910271520,855,黔东南,40315.78,10,27,15
201910271525,855,黔东南,42766.84,10,27,15
201910271530,855,黔东南,39501.65,10,27,15
201910271535,855,黔东南,40687.73,10,27,15
201910271540,855,黔东南,41518.90,10,27,15
201910271545,855,黔东南,39114.47,10,27,15
201910271550,855,黔东南,39263.05,10,27,15
201910271555,855,黔东南,38845.44,10,27,15
201910271600,855,黔东南,41388.75,10,27,16
201910271605,855,黔东南,41367.01,10,27,16
201910271610,855,黔东南,39414.39,10,27,16
201910271615,855,黔东南,38778.77,10,27,16
201910271620,855,黔东南,40121.90,10,27,16
201910271625,855,黔东南,38735.48,10,27,16
201910271630,855,黔东南,40030.07,10,27,16
201910271635,855,黔东南,38982.05,10,27,16
201910271640,855,黔东南,39827.71,10,27,16
201910271645,855,黔东南,40448.16,10,27,16
201910271650,855,黔东南,40627.02,10,27,16
201910271655,855,黔东南,40132.57,10,27,16
201910271700,855,黔东南,38756.52,10,27,17
201910271705,855,黔东南,36396.38,10,27,17
201910271710,855,黔东南,36930.47,10,27,17
201910271715,855,黔东南,37937.44,10,27,17
201910271720,855,黔东南,37790.20,10,27,17
201910271725,855,黔东南,33739.96,10,27,17
201910271730,855,黔东南,34173.98,10,27,17
201910271735,855,黔东南,32840.48,10,27,17
201910271740,855,黔东南,34178.37,10,27,17
201910271745,855,黔东南,33737.44,10,27,17
201910271750,855,黔东南,33479.33,10,27,17
201910271755,855,黔东南,31623.50,10,27,17
201910271800,855,黔东南,30959.05,10,27,18
201910271805,855,黔东南,31751.85,10,27,18
201910271810,855,黔东南,29342.43,10,27,18
201910271815,855,黔东南,30982.37,10,27,18
201910271820,855,黔东南,30501.22,10,27,18
201910271825,855,黔东南,31342.19,10,27,18
201910271830,855,黔东南,32000.53,10,27,18
201910271835,855,黔东南,32417.09,10,27,18
201910271840,855,黔东南,33468.48,10,27,18
201910271845,855,黔东南,34052.35,10,27,18
201910271850,855,黔东南,36596.57,10,27,18
201910271855,855,黔东南,38916.53,10,27,18
201910271900,855,黔东南,40441.32,10,27,19
201910271905,855,黔东南,40182.15,10,27,19
201910271910,855,黔东南,41453.67,10,27,19
201910271915,855,黔东南,41580.74,10,27,19
201910271920,855,黔东南,43054.75,10,27,19
201910271925,855,黔东南,43246.65,10,27,19
201910271930,855,黔东南,43772.77,10,27,19
201910271935,855,黔东南,45074.46,10,27,19
201910271940,855,黔东南,47918.16,10,27,19
201910271945,855,黔东南,51413.46,10,27,19
201910271950,855,黔东南,52657.16,10,27,19
201910272000,855,黔东南,50994.17,10,27,20
201910272005,855,黔东南,52103.46,10,27,20
201910272010,855,黔东南,51662.47,10,27,20
201910272015,855,黔东南,54474.34,10,27,20
201910272020,855,黔东南,56766.41,10,27,20
201910272025,855,黔东南,58544.06,10,27,20
201910272030,855,黔东南,58276.32,10,27,20
201910272035,855,黔东南,60693.26,10,27,20
201910272040,855,黔东南,60328.44,10,27,20
201910272045,855,黔东南,61571.37,10,27,20
201910272050,855,黔东南,58106.29,10,27,20
201910272055,855,黔东南,64987.91,10,27,20
201910272100,855,黔东南,64745.47,10,27,21
201910272105,855,黔东南,62638.53,10,27,21
201910272110,855,黔东南,64897.21,10,27,21
201910272115,855,黔东南,61894.24,10,27,21
201910272120,855,黔东南,62007.67,10,27,21
201910272125,855,黔东南,67454.76,10,27,21
201910272130,855,黔东南,62850.42,10,27,21
201910272135,855,黔东南,67743.85,10,27,21
201910272140,855,黔东南,60860.32,10,27,21
201910272145,855,黔东南,62848.63,10,27,21
201910272150,855,黔东南,66552.61,10,27,21
201910272155,855,黔东南,63704.79,10,27,21
201910272200,855,黔东南,66358.12,10,27,22
201910272205,855,黔东南,68879.78,10,27,22
201910272210,855,黔东南,61174.24,10,27,22
201910272215,855,黔东南,60871.01,10,27,22
201910272220,855,黔东南,62787.69,10,27,22
201910272225,855,黔东南,59097.06,10,27,22
201910272230,855,黔东南,58764.34,10,27,22
201910272235,855,黔东南,62549.60,10,27,22
201910272240,855,黔东南,56071.44,10,27,22
201910272245,855,黔东南,56327.26,10,27,22
201910272250,855,黔东南,58039.79,10,27,22
201910272255,855,黔东南,58341.19,10,27,22
201910272300,855,黔东南,49588.60,10,27,23
201910272305,855,黔东南,53211.57,10,27,23
201910272310,855,黔东南,50741.37,10,27,23
201910272315,855,黔东南,50224.67,10,27,23
201910272320,855,黔东南,49977.89,10,27,23
201910272325,855,黔东南,51544.91,10,27,23
201910272330,855,黔东南,47718.62,10,27,23
201910272335,855,黔东南,49001.04,10,27,23
201910272340,855,黔东南,46096.75,10,27,23
201910272345,855,黔东南,48197.62,10,27,23
201910272350,855,黔东南,41270.37,10,27,23
201910272355,855,黔东南,41166.08,10,27,23
201910280800,855,黔东南,15671.65,10,28,08
201910280805,855,黔东南,13951.52,10,28,08
201910280810,855,黔东南,15019.16,10,28,08
201910280815,855,黔东南,15616.22,10,28,08
201910280820,855,黔东南,15379.82,10,28,08
201910280825,855,黔东南,14406.74,10,28,08
201910280830,855,黔东南,14018.30,10,28,08
201910280835,855,黔东南,13684.74,10,28,08
201910280840,855,黔东南,15155.57,10,28,08
201910280845,855,黔东南,14687.61,10,28,08
201910280850,855,黔东南,15322.79,10,28,08
201910280855,855,黔东南,14379.51,10,28,08
201910280900,855,黔东南,14441.97,10,28,09
201910280905,855,黔东南,14809.46,10,28,09
201910280910,855,黔东南,13921.01,10,28,09
201910280915,855,黔东南,14355.95,10,28,09
201910280920,855,黔东南,13695.68,10,28,09
201910280925,855,黔东南,13936.11,10,28,09
201910280930,855,黔东南,14319.82,10,28,09
201910280935,855,黔东南,15889.29,10,28,09
201910280940,855,黔东南,15040.43,10,28,09
201910280945,855,黔东南,15355.77,10,28,09
201910280950,855,黔东南,13837.07,10,28,09
201910280955,855,黔东南,14606.80,10,28,09
201910281000,855,黔东南,16443.18,10,28,10
201910281005,855,黔东南,14345.07,10,28,10
201910281010,855,黔东南,15207.48,10,28,10
201910281015,855,黔东南,17420.84,10,28,10
201910281020,855,黔东南,15192.07,10,28,10
201910281025,855,黔东南,15468.38,10,28,10
201910281030,855,黔东南,16102.47,10,28,10
201910281035,855,黔东南,16475.73,10,28,10
201910281040,855,黔东南,15410.32,10,28,10
201910281045,855,黔东南,16262.32,10,28,10
201910281050,855,黔东南,15934.55,10,28,10
201910281055,855,黔东南,15599.72,10,28,10
201910281100,855,黔东南,15577.32,10,28,11
201911140800,855,黔东南,14625.85,11,14,08
201911140805,855,黔东南,15503.60,11,14,08
201911140810,855,黔东南,14810.69,11,14,08
201911140815,855,黔东南,15930.26,11,14,08
201911140820,855,黔东南,14597.23,11,14,08
201911140825,855,黔东南,14921.83,11,14,08
201911140830,855,黔东南,15580.18,11,14,08
201911140835,855,黔东南,14852.23,11,14,08
201911140840,855,黔东南,15307.45,11,14,08
201911140845,855,黔东南,15252.02,11,14,08
201911140850,855,黔东南,15322.07,11,14,08
201911140855,855,黔东南,15603.22,11,14,08
201911140900,855,黔东南,15812.56,11,14,09
201911140905,855,黔东南,17123.58,11,14,09
201911140910,855,黔东南,16354.23,11,14,09
201911140915,855,黔东南,14864.67,11,14,09
201911140920,855,黔东南,16563.25,11,14,09
201911140925,855,黔东南,16220.48,11,14,09
201911140930,855,黔东南,16506.60,11,14,09
201911140935,855,黔东南,17116.24,11,14,09
201911140940,855,黔东南,16873.68,11,14,09
201911140945,855,黔东南,18316.14,11,14,09
201911140950,855,黔东南,18379.73,11,14,09
201911140955,855,黔东南,18285.84,11,14,09
201911141000,855,黔东南,18381.68,11,14,10
201911141005,855,黔东南,18154.96,11,14,10
201911141010,855,黔东南,18416.50,11,14,10
201911141015,855,黔东南,18615.97,11,14,10
201911141020,855,黔东南,19471.03,11,14,10
201911141025,855,黔东南,18678.46,11,14,10
201911141030,855,黔东南,18919.93,11,14,10
201911141035,855,黔东南,19280.90,11,14,10
201911141040,855,黔东南,18883.44,11,14,10
201911141045,855,黔东南,18669.94,11,14,10
201911141050,855,黔东南,21148.07,11,14,10
201911141055,855,黔东南,19826.89,11,14,10
201911141100,855,黔东南,17860.50,11,14,11
201911141105,855,黔东南,19288.37,11,14,11
201911141110,855,黔东南,19104.75,11,14,11
201911141115,855,黔东南,18509.66,11,14,11
201911141120,855,黔东南,18581.25,11,14,11
201911141125,855,黔东南,20034.09,11,14,11
201911141130,855,黔东南,19187.40,11,14,11
201911141135,855,黔东南,18865.62,11,14,11
201911141140,855,黔东南,19968.81,11,14,11
201911141145,855,黔东南,19347.69,11,14,11
201911141150,855,黔东南,19047.73,11,14,11
201911141155,855,黔东南,19909.06,11,14,11
201911141200,855,黔东南,19379.41,11,14,12
201911141205,855,黔东南,20371.46,11,14,12
201911141210,855,黔东南,21232.30,11,14,12
201911141215,855,黔东南,23339.02,11,14,12
201911141220,855,黔东南,25494.63,11,14,12
201911141225,855,黔东南,26998.44,11,14,12
201911141230,855,黔东南,26502.77,11,14,12
201911141235,855,黔东南,24657.96,11,14,12
201911141240,855,黔东南,27700.31,11,14,12
