日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,6995.43,10,27,08
201910270805,855,黔东南,6443.06,10,27,08
201910270810,855,黔东南,7454.44,10,27,08
201910270815,855,黔东南,8363.56,10,27,08
201910270820,855,黔东南,8044.00,10,27,08
201910270825,855,黔东南,8075.73,10,27,08
201910270830,855,黔东南,9095.78,10,27,08
201910270835,855,黔东南,10245.40,10,27,08
201910270840,855,黔东南,8765.73,10,27,08
201910270845,855,黔东南,7962.35,10,27,08
201910270850,855,黔东南,8006.18,10,27,08
201910270855,855,黔东南,8679.58,10,27,08
201910270900,855,黔东南,9601.73,10,27,09
201910270905,855,黔东南,9737.44,10,27,09
201910270910,855,黔东南,9010.85,10,27,09
201910270915,855,黔东南,8255.98,10,27,09
201910270920,855,黔东南,8466.31,10,27,09
201910270925,855,黔东南,7424.81,10,27,09
201910270930,855,黔东南,7702.57,10,27,09
201910270935,855,黔东南,8075.30,10,27,09
201910270940,855,黔东南,7760.23,10,27,09
201910270945,855,黔东南,7417.26,10,27,09
201910270950,855,黔东南,7609.30,10,27,09
201910270955,855,黔东南,7259.93,10,27,09
201910271000,855,黔东南,9060.00,10,27,10
201910271005,855,黔东南,7974.67,10,27,10
201910271010,855,黔东南,8092.69,10,27,10
201910271015,855,黔东南,8938.81,10,27,10
201910271020,855,黔东南,10032.65,10,27,10
201910271025,855,黔东南,8718.33,10,27,10
201910271030,855,黔东南,8864.08,10,27,10
201910271035,855,黔东南,9855.77,10,27,10
201910271040,855,黔东南,9295.18,10,27,10
201910271045,855,黔东南,9595.77,10,27,10
201910271050,855,黔东南,9260.07,10,27,10
201910271055,855,黔东南,10070.79,10,27,10
201910271105,855,黔东南,11186.31,10,27,11
201910271110,855,黔东南,10774.41,10,27,11
201910271115,855,黔东南,11217.74,10,27,11
201910271120,855,黔东南,10205.46,10,27,11
201910271125,855,黔东南,11308.84,10,27,11
201910271130,855,黔东南,10332.99,10,27,11
201910271135,855,黔东南,10979.53,10,27,11
201910271140,855,黔东南,10429.39,10,27,11
201910271145,855,黔东南,10519.08,10,27,11
201910271150,855,黔东南,9376.17,10,27,11
201910271155,855,黔东南,10694.94,10,27,11
201910271200,855,黔东南,11081.31,10,27,12
201910271205,855,黔东南,12365.67,10,27,12
201910271210,855,黔东南,12149.34,10,27,12
201910271215,855,黔东南,11449.25,10,27,12
201910271220,855,黔东南,10538.13,10,27,12
201910271225,855,黔东南,13493.74,10,27,12
201910271230,855,黔东南,13650.13,10,27,12
201910271235,855,黔东南,13439.35,10,27,12
201910271240,855,黔东南,12758.01,10,27,12
201910271245,855,黔东南,14129.05,10,27,12
201910271250,855,黔东南,12069.81,10,27,12
201910271255,855,黔东南,11294.44,10,27,12
201910271300,855,黔东南,13009.40,10,27,13
201910271305,855,黔东南,12562.25,10,27,13
201910271310,855,黔东南,11518.95,10,27,13
201910271315,855,黔东南,12019.41,10,27,13
201910271320,855,黔东南,12490.07,10,27,13
201910271325,855,黔东南,12646.83,10,27,13
201910271330,855,黔东南,13321.78,10,27,13
201910271335,855,黔东南,13417.01,10,27,13
201910271340,855,黔东南,12023.13,10,27,13
201910271345,855,黔东南,13393.60,10,27,13
201910271350,855,黔东南,14297.87,10,27,13
201910271355,855,黔东南,12834.81,10,27,13
201910271400,855,黔东南,13228.26,10,27,14
201910271405,855,黔东南,12499.93,10,27,14
201910271410,855,黔东南,11690.68,10,27,14
201910271415,855,黔东南,12390.33,10,27,14
201910271420,855,黔东南,13469.32,10,27,14
201910271425,855,黔东南,13137.48,10,27,14
