日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,346.08,10,27,08
201910270805,855,黔东南,334.83,10,27,08
201910270810,855,黔东南,470.82,10,27,08
201910270815,855,黔东南,342.80,10,27,08
201910270820,855,黔东南,275.30,10,27,08
201910270825,855,黔东南,341.71,10,27,08
201910270830,855,黔东南,414.26,10,27,08
201910270835,855,黔东南,495.13,10,27,08
201910270840,855,黔东南,424.47,10,27,08
201910270845,855,黔东南,397.32,10,27,08
201910270850,855,黔东南,453.01,10,27,08
201910270855,855,黔东南,371.97,10,27,08
201910270900,855,黔东南,364.32,10,27,09
201910270905,855,黔东南,339.73,10,27,09
201910270910,855,黔东南,320.98,10,27,09
201910270915,855,黔东南,387.65,10,27,09
201910270920,855,黔东南,324.82,10,27,09
201910270925,855,黔东南,375.67,10,27,09
201910270930,855,黔东南,550.28,10,27,09
201910270935,855,黔东南,466.73,10,27,09
201910270940,855,黔东南,445.14,10,27,09
201910270945,855,黔东南,520.08,10,27,09
201910270950,855,黔东南,469.96,10,27,09
201910270955,855,黔东南,526.27,10,27,09
201910271000,855,黔东南,483.07,10,27,10
201910271005,855,黔东南,529.75,10,27,10
201910271010,855,黔东南,557.50,10,27,10
201910271015,855,黔东南,510.27,10,27,10
201910271020,855,黔东南,480.77,10,27,10
201910271025,855,黔东南,491.66,10,27,10
201910271030,855,黔东南,554.08,10,27,10
201910271035,855,黔东南,655.47,10,27,10
201910271040,855,黔东南,517.35,10,27,10
201910271045,855,黔东南,453.78,10,27,10
201910271050,855,黔东南,501.40,10,27,10
201910271055,855,黔东南,549.45,10,27,10
201910271105,855,黔东南,476.06,10,27,11
201910271110,855,黔东南,591.73,10,27,11
201910271115,855,黔东南,605.13,10,27,11
201910271120,855,黔东南,574.19,10,27,11
201910271125,855,黔东南,581.02,10,27,11
201910271130,855,黔东南,495.57,10,27,11
201910271135,855,黔东南,481.82,10,27,11
201910271140,855,黔东南,625.01,10,27,11
201910271145,855,黔东南,492.44,10,27,11
201910271150,855,黔东南,510.47,10,27,11
201910271155,855,黔东南,487.21,10,27,11
201910271200,855,黔东南,532.46,10,27,12
201910271205,855,黔东南,438.72,10,27,12
201910271210,855,黔东南,445.58,10,27,12
201910271215,855,黔东南,494.08,10,27,12
201910271220,855,黔东南,525.07,10,27,12
201910271225,855,黔东南,518.42,10,27,12
201910271230,855,黔东南,545.54,10,27,12
201910271235,855,黔东南,581.53,10,27,12
201910271240,855,黔东南,454.32,10,27,12
201910271245,855,黔东南,497.16,10,27,12
201910271250,855,黔东南,470.26,10,27,12
201910271255,855,黔东南,458.68,10,27,12
201910271300,855,黔东南,620.26,10,27,13
201910271305,855,黔东南,523.93,10,27,13
201910271310,855,黔东南,551.62,10,27,13
201910271315,855,黔东南,550.00,10,27,13
201910271320,855,黔东南,783.89,10,27,13
201910271325,855,黔东南,499.16,10,27,13
201910271330,855,黔东南,495.22,10,27,13
201910271335,855,黔东南,456.31,10,27,13
201910271340,855,黔东南,480.19,10,27,13
201910271345,855,黔东南,527.39,10,27,13
201910271350,855,黔东南,495.05,10,27,13
201910271355,855,黔东南,451.10,10,27,13
201910271400,855,黔东南,516.51,10,27,14
201910271405,855,黔东南,499.49,10,27,14
201910271410,855,黔东南,464.06,10,27,14
201910271415,855,黔东南,546.55,10,27,14
201910271420,855,黔东南,478.21,10,27,14
201910271425,855,黔东南,501.08,10,27,14
201910271430,855,黔东南,606.31,10,27,14
201910271435,855,黔东南,532.02,10,27,14
201910271440,855,黔东南,581.32,10,27,14
201910271445,855,黔东南,621.30,10,27,14
201910271450,855,黔东南,518.52,10,27,14
201910271455,855,黔东南,461.99,10,27,14
201910271500,855,黔东南,485.09,10,27,15
201910271505,855,黔东南,518.40,10,27,15
