日期,编码,地区,流量,月份,天,小时
201910270800,855,黔东南,1537.04,10,27,08
201910270805,855,黔东南,1663.14,10,27,08
201910270810,855,黔东南,1796.67,10,27,08
201910270815,855,黔东南,1934.08,10,27,08
201910270820,855,黔东南,1682.24,10,27,08
201910270825,855,黔东南,1788.64,10,27,08
201910270830,855,黔东南,1672.27,10,27,08
201910270835,855,黔东南,1630.41,10,27,08
201910270840,855,黔东南,1934.92,10,27,08
201910270845,855,黔东南,2049.25,10,27,08
201910270850,855,黔东南,2516.19,10,27,08
201910270855,855,黔东南,2322.30,10,27,08
201910270900,855,黔东南,2539.11,10,27,09
201910270905,855,黔东南,2569.91,10,27,09
201910270910,855,黔东南,2639.22,10,27,09
201910270915,855,黔东南,2334.94,10,27,09
201910270920,855,黔东南,2186.28,10,27,09
201910270925,855,黔东南,2486.64,10,27,09
201910270930,855,黔东南,2315.51,10,27,09
201910270935,855,黔东南,2432.87,10,27,09
201910270940,855,黔东南,2523.60,10,27,09
201910270945,855,黔东南,2178.59,10,27,09
201910270950,855,黔东南,2946.64,10,27,09
201910270955,855,黔东南,2479.19,10,27,09
201910271000,855,黔东南,2556.30,10,27,10
201910271005,855,黔东南,2482.76,10,27,10
201910271010,855,黔东南,2759.35,10,27,10
201910271015,855,黔东南,2472.70,10,27,10
201910271020,855,黔东南,2933.92,10,27,10
201910271025,855,黔东南,2654.84,10,27,10
201910271030,855,黔东南,3453.33,10,27,10
201910271035,855,黔东南,2844.50,10,27,10
201910271040,855,黔东南,3173.71,10,27,10
201910271045,855,黔东南,2938.64,10,27,10
201910271050,855,黔东南,3277.05,10,27,10
201910271055,855,黔东南,1909.05,10,27,10
201910271105,855,黔东南,1946.26,10,27,11
201910271110,855,黔东南,3191.85,10,27,11
201910271115,855,黔东南,2656.85,10,27,11
201910271120,855,黔东南,2686.96,10,27,11
201910271125,855,黔东南,2416.69,10,27,11
201910271130,855,黔东南,2261.69,10,27,11
201910271135,855,黔东南,2221.01,10,27,11
201910271140,855,黔东南,2187.20,10,27,11
201910271145,855,黔东南,2293.33,10,27,11
201910271150,855,黔东南,2343.83,10,27,11
201910271155,855,黔东南,2838.11,10,27,11
201910271200,855,黔东南,2247.46,10,27,12
201910271205,855,黔东南,2466.24,10,27,12
201910271210,855,黔东南,2157.65,10,27,12
201910271215,855,黔东南,2989.95,10,27,12
201910271220,855,黔东南,2208.87,10,27,12
201910271225,855,黔东南,3168.11,10,27,12
201910271230,855,黔东南,2128.18,10,27,12
201910271235,855,黔东南,2703.01,10,27,12
201910271240,855,黔东南,2263.55,10,27,12
201910271245,855,黔东南,3382.72,10,27,12
201910271250,855,黔东南,2535.17,10,27,12
201910271255,855,黔东南,2685.95,10,27,12
201910271300,855,黔东南,2907.24,10,27,13
201910271305,855,黔东南,2748.04,10,27,13
201910271310,855,黔东南,3445.56,10,27,13
201910271315,855,黔东南,2949.27,10,27,13
201910271320,855,黔东南,3220.76,10,27,13
201910271325,855,黔东南,2689.80,10,27,13
201910271330,855,黔东南,3560.92,10,27,13
201910271335,855,黔东南,3038.21,10,27,13
201910271340,855,黔东南,2691.22,10,27,13
201910271345,855,黔东南,3312.08,10,27,13
201910271350,855,黔东南,2854.66,10,27,13
201910271355,855,黔东南,3244.89,10,27,13
201910271400,855,黔东南,2628.39,10,27,14
201910271405,855,黔东南,2879.76,10,27,14
201910271410,855,黔东南,2792.41,10,27,14
201910271415,855,黔东南,3681.13,10,27,14
201910271420,855,黔东南,3056.74,10,27,14
201910271425,855,黔东南,2864.75,10,27,14
201910271430,855,黔东南,3191.73,10,27,14
201910271435,855,黔东南,3174.89,10,27,14
201910271440,855,黔东南,2690.97,10,27,14
201910271445,855,黔东南,3125.93,10,27,14
201910271450,855,黔东南,2527.92,10,27,14
201910271455,855,黔东南,3535.06,10,27,14
201910271500,855,黔东南,2994.91,10,27,15
201910271505,855,黔东南,3510.12,10,27,15
201910271510,855,黔东南,2282.10,10,27,15
201910271515,855,黔东南,3903.83,10,27,15
201910271520,855,黔东南,2965.62,10,27,15
201910271525,855,黔东南,3332.14,10,27,15
201910271530,855,黔东南,2475.90,10,27,15
201910271535,855,黔东南,3547.00,10,27,15
201910271540,855,黔东南,2266.21,10,27,15
201910271545,855,黔东南,3640.78,10,27,15
201910271550,855,黔东南,2634.47,10,27,15
201910271555,855,黔东南,3441.68,10,27,15
201910271600,855,黔东南,2345.71,10,27,16
201910271605,855,黔东南,3676.22,10,27,16
201910271610,855,黔东南,2335.14,10,27,16
201910271615,855,黔东南,3415.57,10,27,16
201910271620,855,黔东南,1909.55,10,27,16
201910271625,855,黔东南,2968.23,10,27,16
201910271630,855,黔东南,2372.52,10,27,16
201910271635,855,黔东南,3565.83,10,27,16
201910271640,855,黔东南,2462.81,10,27,16
201910271645,855,黔东南,3760.94,10,27,16
201910271650,855,黔东南,2247.20,10,27,16
201910271655,855,黔东南,3031.01,10,27,16
201910271700,855,黔东南,2013.23,10,27,17
201910271705,855,黔东南,2560.95,10,27,17
201910271710,855,黔东南,1982.13,10,27,17
201910271715,855,黔东南,3020.95,10,27,17
201910271720,855,黔东南,1806.02,10,27,17
201910271725,855,黔东南,2379.96,10,27,17
201910271730,855,黔东南,1874.53,10,27,17
201910271735,855,黔东南,1751.61,10,27,17
201910271740,855,黔东南,1827.47,10,27,17
201910271745,855,黔东南,2022.87,10,27,17
201910271750,855,黔东南,2391.69,10,27,17
201910271755,855,黔东南,2423.70,10,27,17
201910271800,855,黔东南,1747.01,10,27,18
201910271805,855,黔东南,2382.88,10,27,18
201910271810,855,黔东南,2252.05,10,27,18
201910271815,855,黔东南,2653.36,10,27,18
201910271820,855,黔东南,1758.75,10,27,18
201910271825,855,黔东南,2493.11,10,27,18
201910271830,855,黔东南,2466.48,10,27,18
201910271835,855,黔东南,1982.67,10,27,18
201910271840,855,黔东南,1743.29,10,27,18
201910271845,855,黔东南,2190.43,10,27,18
201910271850,855,黔东南,1918.83,10,27,18
201910271855,855,黔东南,1748.66,10,27,18
201910271900,855,黔东南,2132.59,10,27,19
201910271905,855,黔东南,1910.56,10,27,19
