日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,15017.60,10,27,08
201910270805,858,六盘水,20799.33,10,27,08
201910270810,858,六盘水,14959.27,10,27,08
201910270815,858,六盘水,20543.00,10,27,08
201910270820,858,六盘水,23616.12,10,27,08
201910270825,858,六盘水,19287.53,10,27,08
201910270830,858,六盘水,17631.15,10,27,08
201910270835,858,六盘水,25672.75,10,27,08
201910270840,858,六盘水,20350.70,10,27,08
201910270845,858,六盘水,23262.43,10,27,08
201910270850,858,六盘水,20749.22,10,27,08
201910270855,858,六盘水,21527.28,10,27,08
201910270900,858,六盘水,21983.54,10,27,09
201910270905,858,六盘水,25316.78,10,27,09
201910270910,858,六盘水,20366.78,10,27,09
201910270915,858,六盘水,17962.63,10,27,09
201910270920,858,六盘水,19550.20,10,27,09
201910270925,858,六盘水,21311.38,10,27,09
201910270930,858,六盘水,26036.84,10,27,09
201910270935,858,六盘水,23336.80,10,27,09
201910270940,858,六盘水,21167.25,10,27,09
201910270945,858,六盘水,26965.53,10,27,09
201910270950,858,六盘水,25805.90,10,27,09
201910270955,858,六盘水,25970.88,10,27,09
201910271000,858,六盘水,27553.70,10,27,10
201910271005,858,六盘水,25745.05,10,27,10
201910271010,858,六盘水,25228.04,10,27,10
201910271015,858,六盘水,26163.79,10,27,10
201910271020,858,六盘水,29938.73,10,27,10
201910271025,858,六盘水,24471.52,10,27,10
201910271030,858,六盘水,28606.45,10,27,10
201910271035,858,六盘水,22708.88,10,27,10
201910271040,858,六盘水,31442.42,10,27,10
201910271045,858,六盘水,28073.81,10,27,10
201910271050,858,六盘水,23298.70,10,27,10
201910271055,858,六盘水,29712.04,10,27,10
201910271105,858,六盘水,28234.21,10,27,11
201910271110,858,六盘水,26253.15,10,27,11
201910271115,858,六盘水,30244.91,10,27,11
201910271120,858,六盘水,33935.26,10,27,11
201910271125,858,六盘水,31395.82,10,27,11
201910271130,858,六盘水,30025.55,10,27,11
201910271135,858,六盘水,33191.41,10,27,11
201910271140,858,六盘水,35477.25,10,27,11
201910271145,858,六盘水,34409.13,10,27,11
201910271150,858,六盘水,29330.29,10,27,11
201910271155,858,六盘水,32146.14,10,27,11
201910271200,858,六盘水,34977.09,10,27,12
201910271205,858,六盘水,30830.51,10,27,12
201910271210,858,六盘水,34156.69,10,27,12
201910271215,858,六盘水,33216.62,10,27,12
201910271220,858,六盘水,38211.02,10,27,12
201910271225,858,六盘水,32253.80,10,27,12
201910271230,858,六盘水,28741.48,10,27,12
201910271235,858,六盘水,34702.61,10,27,12
201910271240,858,六盘水,37047.16,10,27,12
201910271245,858,六盘水,35217.23,10,27,12
201910271250,858,六盘水,33424.35,10,27,12
201910271255,858,六盘水,41990.52,10,27,12
201910271300,858,六盘水,33793.91,10,27,13
201910271305,858,六盘水,33328.52,10,27,13
201910271310,858,六盘水,34122.91,10,27,13
201910271315,858,六盘水,32267.75,10,27,13
201910271320,858,六盘水,32968.29,10,27,13
201910271325,858,六盘水,30408.00,10,27,13
201910271330,858,六盘水,31534.03,10,27,13
201910271335,858,六盘水,35001.49,10,27,13
201910271340,858,六盘水,29183.16,10,27,13
201910271345,858,六盘水,31813.48,10,27,13
201910271350,858,六盘水,31249.86,10,27,13
201910271355,858,六盘水,34796.53,10,27,13
201910271400,858,六盘水,33479.92,10,27,14
201910271405,858,六盘水,34465.66,10,27,14
201910271410,858,六盘水,33235.60,10,27,14
201910271415,858,六盘水,39152.69,10,27,14
201910271420,858,六盘水,34465.07,10,27,14
201910271425,858,六盘水,30216.55,10,27,14
201910271430,858,六盘水,27930.15,10,27,14
201910271435,858,六盘水,27258.61,10,27,14
201910271440,858,六盘水,30598.55,10,27,14
201910271445,858,六盘水,30290.62,10,27,14
201910271450,858,六盘水,29607.93,10,27,14
201910271455,858,六盘水,37712.22,10,27,14
201910271500,858,六盘水,37170.32,10,27,15
201910271505,858,六盘水,40699.71,10,27,15
201910271510,858,六盘水,36945.83,10,27,15
201910271515,858,六盘水,35560.80,10,27,15
201910271520,858,六盘水,37693.62,10,27,15
201910271525,858,六盘水,34259.38,10,27,15
201910271530,858,六盘水,33545.24,10,27,15
201910271535,858,六盘水,32888.44,10,27,15
201910271540,858,六盘水,31295.14,10,27,15
201910271545,858,六盘水,34440.49,10,27,15
201910271550,858,六盘水,34353.76,10,27,15
201910271555,858,六盘水,30827.59,10,27,15
201910271600,858,六盘水,30332.11,10,27,16
201910271605,858,六盘水,31963.02,10,27,16
201910271610,858,六盘水,34724.83,10,27,16
201910271615,858,六盘水,34519.84,10,27,16
201910271620,858,六盘水,30153.10,10,27,16
201910271625,858,六盘水,27429.13,10,27,16
201910271630,858,六盘水,25934.32,10,27,16
201910271635,858,六盘水,32453.75,10,27,16
201910271640,858,六盘水,30093.90,10,27,16
201910271645,858,六盘水,31498.27,10,27,16
201910271650,858,六盘水,30931.88,10,27,16
