日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,27788.54,10,27,08
201910270805,858,六盘水,28216.15,10,27,08
201910270810,858,六盘水,27159.81,10,27,08
201910270815,858,六盘水,28850.84,10,27,08
201910270820,858,六盘水,30398.11,10,27,08
201910270825,858,六盘水,31814.50,10,27,08
201910270830,858,六盘水,31534.01,10,27,08
201910270835,858,六盘水,32534.35,10,27,08
201910270840,858,六盘水,33451.78,10,27,08
201910270845,858,六盘水,35311.83,10,27,08
201910270850,858,六盘水,34430.20,10,27,08
201910270855,858,六盘水,34768.58,10,27,08
201910270900,858,六盘水,34410.86,10,27,09
201910270905,858,六盘水,35910.06,10,27,09
201910270910,858,六盘水,36251.53,10,27,09
201910270915,858,六盘水,36126.54,10,27,09
201910270920,858,六盘水,35168.77,10,27,09
201910270925,858,六盘水,35994.61,10,27,09
201910270930,858,六盘水,35717.21,10,27,09
201910270935,858,六盘水,35018.68,10,27,09
201910270940,858,六盘水,38818.30,10,27,09
201910270945,858,六盘水,39020.03,10,27,09
201910270950,858,六盘水,39297.86,10,27,09
201910270955,858,六盘水,40646.21,10,27,09
201910271000,858,六盘水,39654.21,10,27,10
201910271005,858,六盘水,39040.60,10,27,10
201910271010,858,六盘水,39101.15,10,27,10
201910271015,858,六盘水,39701.01,10,27,10
201910271020,858,六盘水,37836.33,10,27,10
201910271025,858,六盘水,37273.97,10,27,10
201910271030,858,六盘水,37780.29,10,27,10
201910271035,858,六盘水,37890.23,10,27,10
201910271040,858,六盘水,37718.53,10,27,10
201910271045,858,六盘水,41034.94,10,27,10
201910271050,858,六盘水,38534.58,10,27,10
201910271055,858,六盘水,39900.47,10,27,10
201910271105,858,六盘水,41530.36,10,27,11
201910271110,858,六盘水,40394.72,10,27,11
201910271115,858,六盘水,43402.15,10,27,11
201910271120,858,六盘水,40653.30,10,27,11
201910271125,858,六盘水,43212.45,10,27,11
201910271130,858,六盘水,41864.13,10,27,11
201910271135,858,六盘水,41416.00,10,27,11
201910271140,858,六盘水,40593.86,10,27,11
201910271145,858,六盘水,41558.96,10,27,11
201910271150,858,六盘水,41012.24,10,27,11
201910271155,858,六盘水,40226.05,10,27,11
201910271200,858,六盘水,40123.41,10,27,12
201910271205,858,六盘水,41757.48,10,27,12
201910271210,858,六盘水,41226.58,10,27,12
201910271215,858,六盘水,40128.17,10,27,12
201910271220,858,六盘水,41085.32,10,27,12
201910271225,858,六盘水,44656.01,10,27,12
201910271230,858,六盘水,45422.00,10,27,12
201910271235,858,六盘水,44603.56,10,27,12
201910271240,858,六盘水,45339.07,10,27,12
201910271245,858,六盘水,47485.24,10,27,12
201910271250,858,六盘水,44969.84,10,27,12
201910271255,858,六盘水,44473.96,10,27,12
201910271300,858,六盘水,44188.19,10,27,13
201910271305,858,六盘水,45192.52,10,27,13
201910271310,858,六盘水,44897.22,10,27,13
201910271315,858,六盘水,44488.88,10,27,13
201910271320,858,六盘水,45896.75,10,27,13
