日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,11.49,10,27,08
201910270805,858,六盘水,8.84,10,27,08
201910270810,858,六盘水,14.71,10,27,08
201910270815,858,六盘水,11.57,10,27,08
201910270820,858,六盘水,11.79,10,27,08
201910270825,858,六盘水,18.63,10,27,08
201910270830,858,六盘水,51.64,10,27,08
201910270835,858,六盘水,24.98,10,27,08
201910270840,858,六盘水,32.57,10,27,08
201910270845,858,六盘水,19.13,10,27,08
201910270850,858,六盘水,63.32,10,27,08
201910270855,858,六盘水,16.59,10,27,08
201910270900,858,六盘水,14.73,10,27,09
201910270905,858,六盘水,12.35,10,27,09
201910270910,858,六盘水,10.76,10,27,09
201910270915,858,六盘水,26.96,10,27,09
201910270920,858,六盘水,14.11,10,27,09
201910270925,858,六盘水,19.19,10,27,09
201910270930,858,六盘水,99.52,10,27,09
201910270935,858,六盘水,21.19,10,27,09
201910270940,858,六盘水,25.58,10,27,09
201910270945,858,六盘水,27.64,10,27,09
201910270950,858,六盘水,51.39,10,27,09
201910270955,858,六盘水,10.34,10,27,09
201910271000,858,六盘水,33.06,10,27,10
201910271005,858,六盘水,30.19,10,27,10
201910271010,858,六盘水,18.35,10,27,10
201910271015,858,六盘水,56.32,10,27,10
201910271020,858,六盘水,12.07,10,27,10
201910271025,858,六盘水,47.89,10,27,10
201910271030,858,六盘水,23.56,10,27,10
201910271035,858,六盘水,5.30,10,27,10
201910271040,858,六盘水,20.31,10,27,10
201910271045,858,六盘水,55.15,10,27,10
201910271050,858,六盘水,8.99,10,27,10
201910271055,858,六盘水,53.25,10,27,10
201910271105,858,六盘水,35.22,10,27,11
201910271110,858,六盘水,27.21,10,27,11
201910271115,858,六盘水,70.92,10,27,11
201910271120,858,六盘水,120.71,10,27,11
201910271125,858,六盘水,20.06,10,27,11
201910271130,858,六盘水,23.17,10,27,11
201910271135,858,六盘水,42.49,10,27,11
201910271140,858,六盘水,320.66,10,27,11
201910271145,858,六盘水,37.12,10,27,11
201910271150,858,六盘水,15.15,10,27,11
201910271155,858,六盘水,21.04,10,27,11
201910271200,858,六盘水,23.80,10,27,12
201910271205,858,六盘水,60.59,10,27,12
201910271210,858,六盘水,30.14,10,27,12
201910271215,858,六盘水,27.84,10,27,12
201910271220,858,六盘水,126.61,10,27,12
201910271225,858,六盘水,56.31,10,27,12
201910271230,858,六盘水,116.52,10,27,12
201910271235,858,六盘水,36.87,10,27,12
201910271240,858,六盘水,14.05,10,27,12
201910271245,858,六盘水,44.78,10,27,12
201910271250,858,六盘水,33.36,10,27,12
201910271255,858,六盘水,24.16,10,27,12
201910271300,858,六盘水,42.65,10,27,13
201910271305,858,六盘水,26.47,10,27,13
201910271310,858,六盘水,11.34,10,27,13
201910271315,858,六盘水,114.46,10,27,13
201910271320,858,六盘水,39.49,10,27,13
201910271325,858,六盘水,15.01,10,27,13
201910271330,858,六盘水,35.19,10,27,13
201910271335,858,六盘水,26.86,10,27,13
201910271340,858,六盘水,28.41,10,27,13
201910271345,858,六盘水,35.22,10,27,13
201910271350,858,六盘水,22.72,10,27,13
201910271355,858,六盘水,20.19,10,27,13
201910271400,858,六盘水,41.74,10,27,14
201910271405,858,六盘水,30.85,10,27,14
201910271410,858,六盘水,54.01,10,27,14
201910271415,858,六盘水,122.70,10,27,14
201910271420,858,六盘水,44.82,10,27,14
201910271425,858,六盘水,14.46,10,27,14
201910271430,858,六盘水,17.81,10,27,14
201910271435,858,六盘水,36.45,10,27,14
201910271440,858,六盘水,25.37,10,27,14
201910271445,858,六盘水,18.45,10,27,14
201910271450,858,六盘水,196.59,10,27,14
201910271455,858,六盘水,75.35,10,27,14
201910271500,858,六盘水,132.01,10,27,15
201910271505,858,六盘水,25.74,10,27,15
201910271510,858,六盘水,43.01,10,27,15
201910271515,858,六盘水,23.29,10,27,15
201910271520,858,六盘水,14.57,10,27,15
201910271525,858,六盘水,9.84,10,27,15
201910271530,858,六盘水,18.24,10,27,15
201910271535,858,六盘水,30.06,10,27,15
201910271540,858,六盘水,17.13,10,27,15
201910271545,858,六盘水,18.87,10,27,15
201910271550,858,六盘水,50.74,10,27,15
201910271555,858,六盘水,19.34,10,27,15
201910271600,858,六盘水,32.53,10,27,16
201910271605,858,六盘水,37.43,10,27,16
201910271610,858,六盘水,23.85,10,27,16
201910271615,858,六盘水,38.87,10,27,16
201910271620,858,六盘水,22.55,10,27,16
201910271625,858,六盘水,44.19,10,27,16
201910271630,858,六盘水,35.89,10,27,16
201910271635,858,六盘水,21.89,10,27,16
201910271640,858,六盘水,32.83,10,27,16
201910271645,858,六盘水,19.72,10,27,16
201910271650,858,六盘水,19.76,10,27,16
201910271655,858,六盘水,68.35,10,27,16
201910271700,858,六盘水,20.08,10,27,17
201910271705,858,六盘水,67.70,10,27,17
201910271710,858,六盘水,33.59,10,27,17
201910271715,858,六盘水,71.34,10,27,17
201910271720,858,六盘水,39.20,10,27,17
201910271725,858,六盘水,50.56,10,27,17
201910271730,858,六盘水,23.11,10,27,17
201910271735,858,六盘水,46.73,10,27,17
201910271740,858,六盘水,16.68,10,27,17
201910271745,858,六盘水,46.24,10,27,17
201910271750,858,六盘水,17.63,10,27,17
201910271755,858,六盘水,27.40,10,27,17
201910271800,858,六盘水,18.99,10,27,18
201910271805,858,六盘水,37.81,10,27,18
201910271810,858,六盘水,27.48,10,27,18
201910271815,858,六盘水,102.35,10,27,18
201910271820,858,六盘水,24.48,10,27,18
201910271825,858,六盘水,32.83,10,27,18
201910271830,858,六盘水,21.16,10,27,18
201910271835,858,六盘水,98.71,10,27,18
201910271840,858,六盘水,33.76,10,27,18
201910271845,858,六盘水,15.98,10,27,18
201910271850,858,六盘水,9.68,10,27,18
201910271855,858,六盘水,19.30,10,27,18
201910271900,858,六盘水,32.33,10,27,19
201910271905,858,六盘水,49.10,10,27,19
201910271910,858,六盘水,35.48,10,27,19
201910271915,858,六盘水,27.75,10,27,19
201910271920,858,六盘水,63.43,10,27,19
201910271925,858,六盘水,17.85,10,27,19
201910271930,858,六盘水,15.55,10,27,19
201910271935,858,六盘水,30.02,10,27,19
201910271940,858,六盘水,44.39,10,27,19
201910271945,858,六盘水,42.50,10,27,19
201910271950,858,六盘水,13.02,10,27,19
201910271955,858,六盘水,21.01,10,27,19
201910272000,858,六盘水,23.04,10,27,20
201910272005,858,六盘水,29.97,10,27,20
201910272010,858,六盘水,55.91,10,27,20
201910272015,858,六盘水,22.34,10,27,20
201910272020,858,六盘水,22.31,10,27,20
201910272025,858,六盘水,21.54,10,27,20
201910272030,858,六盘水,46.21,10,27,20
