日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,70497.03,10,27,08
201910270805,858,六盘水,75175.86,10,27,08
201910270810,858,六盘水,77899.13,10,27,08
201910270815,858,六盘水,73604.96,10,27,08
201910270820,858,六盘水,78652.82,10,27,08
201910270825,858,六盘水,81312.99,10,27,08
201910270830,858,六盘水,82195.84,10,27,08
201910270835,858,六盘水,85919.24,10,27,08
201910270840,858,六盘水,87256.94,10,27,08
201910270845,858,六盘水,92018.50,10,27,08
201910270850,858,六盘水,89310.77,10,27,08
201910270855,858,六盘水,93164.30,10,27,08
201910270900,858,六盘水,94163.92,10,27,09
201910270905,858,六盘水,96546.21,10,27,09
201910270910,858,六盘水,101109.94,10,27,09
201910270915,858,六盘水,100119.10,10,27,09
201910270920,858,六盘水,102696.54,10,27,09
201910270925,858,六盘水,103418.91,10,27,09
201910270930,858,六盘水,107696.58,10,27,09
201910270935,858,六盘水,104453.28,10,27,09
201910270940,858,六盘水,107249.54,10,27,09
201910270945,858,六盘水,110025.26,10,27,09
201910270950,858,六盘水,106061.16,10,27,09
201910270955,858,六盘水,113051.11,10,27,09
201910271000,858,六盘水,111094.72,10,27,10
201910271005,858,六盘水,117666.35,10,27,10
201910271010,858,六盘水,116424.96,10,27,10
201910271015,858,六盘水,118159.39,10,27,10
201910271020,858,六盘水,118092.97,10,27,10
201910271025,858,六盘水,119849.13,10,27,10
201910271030,858,六盘水,119524.21,10,27,10
201910271035,858,六盘水,114345.91,10,27,10
201910271040,858,六盘水,119545.51,10,27,10
201910271045,858,六盘水,122959.91,10,27,10
201910271050,858,六盘水,124781.19,10,27,10
201910271055,858,六盘水,124651.66,10,27,10
201910271105,858,六盘水,123202.79,10,27,11
201910271110,858,六盘水,122876.63,10,27,11
201910271115,858,六盘水,124148.11,10,27,11
201910271120,858,六盘水,125397.08,10,27,11
201910271125,858,六盘水,124574.63,10,27,11
201910271130,858,六盘水,123384.14,10,27,11
201910271135,858,六盘水,129389.00,10,27,11
201910271140,858,六盘水,128457.52,10,27,11
201910271145,858,六盘水,127816.97,10,27,11
201910271150,858,六盘水,130313.09,10,27,11
201910271155,858,六盘水,127812.40,10,27,11
201910271200,858,六盘水,133870.66,10,27,12
201910271205,858,六盘水,130111.66,10,27,12
201910271210,858,六盘水,134357.16,10,27,12
201910271215,858,六盘水,133180.90,10,27,12
201910271220,858,六盘水,140791.69,10,27,12
201910271225,858,六盘水,142780.62,10,27,12
201910271230,858,六盘水,149289.62,10,27,12
201910271235,858,六盘水,145026.85,10,27,12
201910271240,858,六盘水,142183.51,10,27,12
201910271245,858,六盘水,143729.11,10,27,12
201910271250,858,六盘水,141681.50,10,27,12
201910271255,858,六盘水,139133.89,10,27,12
201910271300,858,六盘水,141081.29,10,27,13
201910271305,858,六盘水,137732.13,10,27,13
201910271310,858,六盘水,139121.54,10,27,13
201910271315,858,六盘水,141338.02,10,27,13
201910271320,858,六盘水,138016.36,10,27,13
201910271325,858,六盘水,138232.08,10,27,13
201910271330,858,六盘水,133533.45,10,27,13
201910271335,858,六盘水,134156.32,10,27,13
201910271340,858,六盘水,128216.11,10,27,13
201910271345,858,六盘水,130382.22,10,27,13
201910271350,858,六盘水,129055.57,10,27,13
201910271355,858,六盘水,132560.72,10,27,13
201910271400,858,六盘水,131020.24,10,27,14
201910271405,858,六盘水,134507.91,10,27,14
201910271410,858,六盘水,131735.17,10,27,14
201910271415,858,六盘水,129558.72,10,27,14
201910271420,858,六盘水,130472.74,10,27,14
201910271425,858,六盘水,126730.92,10,27,14
201910271430,858,六盘水,130986.34,10,27,14
201910271435,858,六盘水,128579.47,10,27,14
201910271440,858,六盘水,128295.36,10,27,14
201910271445,858,六盘水,130346.28,10,27,14
201910271450,858,六盘水,129521.41,10,27,14
201910271455,858,六盘水,129007.62,10,27,14
201910271500,858,六盘水,129390.82,10,27,15
201910271505,858,六盘水,124697.05,10,27,15
201910271510,858,六盘水,129952.47,10,27,15
201910271515,858,六盘水,125251.68,10,27,15
201910271520,858,六盘水,131234.90,10,27,15
201910271525,858,六盘水,126083.38,10,27,15
201910271530,858,六盘水,128238.66,10,27,15
201910271535,858,六盘水,130787.95,10,27,15
201910271540,858,六盘水,131141.39,10,27,15
201910271545,858,六盘水,131599.21,10,27,15
201910271550,858,六盘水,130625.78,10,27,15
201910271555,858,六盘水,129392.06,10,27,15
201910271600,858,六盘水,130263.95,10,27,16
201910271605,858,六盘水,131129.41,10,27,16
201910271610,858,六盘水,130020.22,10,27,16
201910271615,858,六盘水,130256.83,10,27,16
201910271620,858,六盘水,132680.05,10,27,16
201910271625,858,六盘水,125321.15,10,27,16
201910271630,858,六盘水,129041.02,10,27,16
201910271635,858,六盘水,128373.18,10,27,16
201910271640,858,六盘水,118756.31,10,27,16
201910271645,858,六盘水,129753.06,10,27,16
201910271650,858,六盘水,126297.06,10,27,16
201910271655,858,六盘水,127344.84,10,27,16
201910271700,858,六盘水,125528.68,10,27,17
201910271705,858,六盘水,132493.45,10,27,17
201910271710,858,六盘水,125088.55,10,27,17
201910271715,858,六盘水,131277.45,10,27,17
201910271720,858,六盘水,129543.33,10,27,17
201910271725,858,六盘水,133325.84,10,27,17
201910271730,858,六盘水,133468.69,10,27,17
201910271735,858,六盘水,128825.02,10,27,17
201910271740,858,六盘水,131883.20,10,27,17
201910271745,858,六盘水,131600.83,10,27,17
201910271750,858,六盘水,131254.27,10,27,17
201910271755,858,六盘水,131092.95,10,27,17
201910271800,858,六盘水,133466.70,10,27,18
201910271805,858,六盘水,131705.25,10,27,18
201910271810,858,六盘水,136906.71,10,27,18
201910271815,858,六盘水,136027.00,10,27,18
201910271820,858,六盘水,140087.79,10,27,18
201910271825,858,六盘水,143198.24,10,27,18
201910271830,858,六盘水,143837.25,10,27,18
201910271835,858,六盘水,146875.87,10,27,18
201910271840,858,六盘水,146957.17,10,27,18
201910271845,858,六盘水,153501.83,10,27,18
201910271850,858,六盘水,159746.63,10,27,18
201910271855,858,六盘水,158907.93,10,27,18
201910271900,858,六盘水,152275.99,10,27,19
201910271905,858,六盘水,158717.26,10,27,19
201910271910,858,六盘水,161442.93,10,27,19
201910271915,858,六盘水,166805.87,10,27,19
201910271920,858,六盘水,163619.65,10,27,19
201910271925,858,六盘水,174063.69,10,27,19
201910271930,858,六盘水,178666.02,10,27,19
201910271935,858,六盘水,178247.18,10,27,19
201910271940,858,六盘水,186771.47,10,27,19
201910271945,858,六盘水,185554.10,10,27,19
201910271950,858,六盘水,190291.10,10,27,19
201910271955,858,六盘水,186086.81,10,27,19
201910272000,858,六盘水,196616.69,10,27,20
201910272005,858,六盘水,193021.42,10,27,20
201910272010,858,六盘水,190890.70,10,27,20
201910272015,858,六盘水,198077.68,10,27,20
201910272020,858,六盘水,198733.35,10,27,20
201910272025,858,六盘水,202067.17,10,27,20
201910272030,858,六盘水,198567.19,10,27,20
201910272035,858,六盘水,200909.92,10,27,20
201910272040,858,六盘水,200615.14,10,27,20
201910272045,858,六盘水,203812.57,10,27,20
201910272050,858,六盘水,202964.44,10,27,20
201910272055,858,六盘水,200477.83,10,27,20
201910272100,858,六盘水,203647.83,10,27,21
201910272105,858,六盘水,200098.52,10,27,21
201910272110,858,六盘水,194497.87,10,27,21
201910272115,858,六盘水,195637.74,10,27,21
201910272120,858,六盘水,191839.19,10,27,21
201910272125,858,六盘水,191626.82,10,27,21
201910272130,858,六盘水,190796.21,10,27,21
201910272135,858,六盘水,192130.91,10,27,21
