日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,0.42,10,27,08
201910270805,858,六盘水,0.84,10,27,08
201910270810,858,六盘水,0.61,10,27,08
201910270815,858,六盘水,0.56,10,27,08
201910270820,858,六盘水,1.20,10,27,08
201910270825,858,六盘水,1.57,10,27,08
201910270830,858,六盘水,1.10,10,27,08
201910270835,858,六盘水,0.73,10,27,08
201910270840,858,六盘水,0.73,10,27,08
201910270845,858,六盘水,1.18,10,27,08
201910270850,858,六盘水,1.34,10,27,08
201910270855,858,六盘水,1.51,10,27,08
201910270900,858,六盘水,1.83,10,27,09
201910270905,858,六盘水,2.54,10,27,09
201910270910,858,六盘水,4.92,10,27,09
201910270915,858,六盘水,5.66,10,27,09
201910270920,858,六盘水,4.69,10,27,09
201910270925,858,六盘水,7.13,10,27,09
201910270930,858,六盘水,29.25,10,27,09
201910270935,858,六盘水,32.96,10,27,09
201910270940,858,六盘水,38.86,10,27,09
201910270945,858,六盘水,33.18,10,27,09
201910270950,858,六盘水,31.56,10,27,09
201910270955,858,六盘水,32.08,10,27,09
201910271000,858,六盘水,66.07,10,27,10
201910271005,858,六盘水,67.52,10,27,10
201910271010,858,六盘水,20.36,10,27,10
201910271015,858,六盘水,5.93,10,27,10
201910271020,858,六盘水,6.04,10,27,10
201910271025,858,六盘水,7.22,10,27,10
201910271030,858,六盘水,16.30,10,27,10
201910271035,858,六盘水,6.94,10,27,10
201910271040,858,六盘水,5.85,10,27,10
201910271045,858,六盘水,3.59,10,27,10
201910271050,858,六盘水,9.62,10,27,10
201910271055,858,六盘水,20.90,10,27,10
201910271105,858,六盘水,7.81,10,27,11
201910271110,858,六盘水,8.22,10,27,11
201910271115,858,六盘水,4.71,10,27,11
201910271120,858,六盘水,7.18,10,27,11
201910271125,858,六盘水,5.35,10,27,11
201910271130,858,六盘水,6.10,10,27,11
201910271135,858,六盘水,4.84,10,27,11
201910271140,858,六盘水,9.23,10,27,11
201910271145,858,六盘水,10.38,10,27,11
201910271150,858,六盘水,7.69,10,27,11
201910271155,858,六盘水,10.45,10,27,11
201910271200,858,六盘水,11.16,10,27,12
