日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,216.25,10,27,08
201910270805,858,六盘水,233.41,10,27,08
201910270810,858,六盘水,106.43,10,27,08
201910270815,858,六盘水,55.08,10,27,08
201910270820,858,六盘水,150.81,10,27,08
201910270825,858,六盘水,143.73,10,27,08
201910270830,858,六盘水,108.42,10,27,08
201910270835,858,六盘水,64.37,10,27,08
201910270840,858,六盘水,169.85,10,27,08
201910270845,858,六盘水,336.66,10,27,08
201910270850,858,六盘水,273.94,10,27,08
201910270855,858,六盘水,184.78,10,27,08
201910270900,858,六盘水,253.31,10,27,09
201910270905,858,六盘水,357.24,10,27,09
201910270910,858,六盘水,273.02,10,27,09
201910270915,858,六盘水,288.83,10,27,09
201910270920,858,六盘水,191.59,10,27,09
201910270925,858,六盘水,231.76,10,27,09
201910270930,858,六盘水,220.43,10,27,09
201910270935,858,六盘水,108.92,10,27,09
201910270940,858,六盘水,325.19,10,27,09
201910270945,858,六盘水,311.85,10,27,09
201910270950,858,六盘水,272.64,10,27,09
201910270955,858,六盘水,240.88,10,27,09
201910271000,858,六盘水,107.56,10,27,10
201910271005,858,六盘水,107.54,10,27,10
201910271010,858,六盘水,139.87,10,27,10
201910271015,858,六盘水,278.02,10,27,10
201910271020,858,六盘水,196.03,10,27,10
201910271025,858,六盘水,214.66,10,27,10
201910271030,858,六盘水,488.18,10,27,10
201910271035,858,六盘水,283.03,10,27,10
201910271040,858,六盘水,163.74,10,27,10
201910271045,858,六盘水,165.61,10,27,10
201910271050,858,六盘水,231.32,10,27,10
201910271055,858,六盘水,137.33,10,27,10
201910271105,858,六盘水,163.59,10,27,11
201910271110,858,六盘水,263.05,10,27,11
201910271115,858,六盘水,236.13,10,27,11
201910271120,858,六盘水,334.10,10,27,11
201910271125,858,六盘水,236.72,10,27,11
201910271130,858,六盘水,250.92,10,27,11
201910271135,858,六盘水,706.61,10,27,11
201910271140,858,六盘水,240.98,10,27,11
201910271145,858,六盘水,99.36,10,27,11
201910271150,858,六盘水,45.20,10,27,11
201910271155,858,六盘水,303.83,10,27,11
201910271200,858,六盘水,285.30,10,27,12
201910271205,858,六盘水,160.80,10,27,12
201910271210,858,六盘水,162.11,10,27,12
201910271215,858,六盘水,296.97,10,27,12
201910271220,858,六盘水,251.71,10,27,12
201910271225,858,六盘水,188.44,10,27,12
201910271230,858,六盘水,300.88,10,27,12
201910271235,858,六盘水,396.06,10,27,12
201910271240,858,六盘水,212.84,10,27,12
201910271245,858,六盘水,317.50,10,27,12
201910271250,858,六盘水,201.87,10,27,12
201910271255,858,六盘水,130.16,10,27,12
201910271300,858,六盘水,193.30,10,27,13
201910271305,858,六盘水,158.12,10,27,13
201910271310,858,六盘水,296.89,10,27,13
201910271315,858,六盘水,184.04,10,27,13
201910271320,858,六盘水,320.64,10,27,13
201910271325,858,六盘水,284.07,10,27,13
201910271330,858,六盘水,191.38,10,27,13
201910271335,858,六盘水,299.03,10,27,13
201910271340,858,六盘水,489.44,10,27,13
201910271345,858,六盘水,739.84,10,27,13
201910271350,858,六盘水,237.22,10,27,13
201910271355,858,六盘水,237.77,10,27,13
201910271400,858,六盘水,244.98,10,27,14
201910271405,858,六盘水,247.00,10,27,14
201910271410,858,六盘水,368.58,10,27,14
201910271415,858,六盘水,258.36,10,27,14
201910271420,858,六盘水,178.67,10,27,14
201910271425,858,六盘水,149.21,10,27,14
201910271430,858,六盘水,375.47,10,27,14
201910271435,858,六盘水,310.85,10,27,14
201910271440,858,六盘水,213.24,10,27,14
201910271445,858,六盘水,274.02,10,27,14
201910271450,858,六盘水,216.60,10,27,14
201910271455,858,六盘水,374.91,10,27,14
201910271500,858,六盘水,305.87,10,27,15
201910271505,858,六盘水,361.92,10,27,15
201910271510,858,六盘水,291.53,10,27,15
201910271515,858,六盘水,288.87,10,27,15
201910271520,858,六盘水,459.40,10,27,15
201910271525,858,六盘水,492.30,10,27,15
201910271530,858,六盘水,170.29,10,27,15
201910271535,858,六盘水,228.92,10,27,15
201910271540,858,六盘水,253.10,10,27,15
201910271545,858,六盘水,147.18,10,27,15
201910271550,858,六盘水,188.31,10,27,15
201910271555,858,六盘水,114.75,10,27,15
201910271600,858,六盘水,471.45,10,27,16
201910271605,858,六盘水,417.65,10,27,16
201910271610,858,六盘水,134.31,10,27,16
201910271615,858,六盘水,189.20,10,27,16
201910271620,858,六盘水,122.58,10,27,16
201910271625,858,六盘水,101.14,10,27,16
201910271630,858,六盘水,158.17,10,27,16
201910271635,858,六盘水,360.99,10,27,16
201910271640,858,六盘水,372.66,10,27,16
201910271645,858,六盘水,302.01,10,27,16
201910271650,858,六盘水,439.97,10,27,16
201910271655,858,六盘水,236.52,10,27,16
201910271700,858,六盘水,445.46,10,27,17
201910271705,858,六盘水,276.20,10,27,17
201910271710,858,六盘水,134.93,10,27,17
201910271715,858,六盘水,382.30,10,27,17
201910271720,858,六盘水,77.16,10,27,17
201910271725,858,六盘水,75.39,10,27,17
201910271730,858,六盘水,64.13,10,27,17
201910271735,858,六盘水,94.12,10,27,17
201910271740,858,六盘水,372.77,10,27,17
201910271745,858,六盘水,257.57,10,27,17
201910271750,858,六盘水,49.45,10,27,17
201910271755,858,六盘水,61.51,10,27,17
201910271800,858,六盘水,151.01,10,27,18
201910271805,858,六盘水,140.02,10,27,18
201910271810,858,六盘水,199.45,10,27,18
201910271815,858,六盘水,211.29,10,27,18
201910271820,858,六盘水,230.60,10,27,18
201910271825,858,六盘水,78.00,10,27,18
201910271830,858,六盘水,115.20,10,27,18
201910271835,858,六盘水,445.39,10,27,18
201910271840,858,六盘水,312.16,10,27,18
201910271845,858,六盘水,309.93,10,27,18
201910271850,858,六盘水,339.71,10,27,18
201910271855,858,六盘水,258.12,10,27,18
201910271900,858,六盘水,252.53,10,27,19
201910271905,858,六盘水,245.67,10,27,19
201910271910,858,六盘水,242.98,10,27,19
201910271915,858,六盘水,236.04,10,27,19
201910271920,858,六盘水,151.42,10,27,19
201910271925,858,六盘水,192.87,10,27,19
201910271930,858,六盘水,202.90,10,27,19
201910271935,858,六盘水,247.44,10,27,19
201910271940,858,六盘水,283.50,10,27,19
201910271945,858,六盘水,248.13,10,27,19
201910271950,858,六盘水,186.45,10,27,19
201910271955,858,六盘水,275.69,10,27,19
201910272000,858,六盘水,312.03,10,27,20
201910272005,858,六盘水,359.00,10,27,20
201910272010,858,六盘水,241.65,10,27,20
201910272015,858,六盘水,121.18,10,27,20
201910272020,858,六盘水,132.03,10,27,20
201910272025,858,六盘水,233.28,10,27,20
201910272030,858,六盘水,182.08,10,27,20
201910272035,858,六盘水,208.82,10,27,20
