日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,437097.53,10,27,08
201910270805,858,六盘水,459016.30,10,27,08
201910270810,858,六盘水,468963.70,10,27,08
201910270815,858,六盘水,484321.72,10,27,08
201910270820,858,六盘水,495639.93,10,27,08
201910270825,858,六盘水,498331.59,10,27,08
201910270830,858,六盘水,518834.01,10,27,08
201910270835,858,六盘水,527589.43,10,27,08
201910270840,858,六盘水,543865.49,10,27,08
201910270845,858,六盘水,553772.19,10,27,08
201910270850,858,六盘水,565146.74,10,27,08
201910270855,858,六盘水,564920.64,10,27,08
201910270900,858,六盘水,575784.28,10,27,09
201910270905,858,六盘水,586917.50,10,27,09
201910270910,858,六盘水,588785.64,10,27,09
201910270915,858,六盘水,603650.05,10,27,09
201910270920,858,六盘水,613105.64,10,27,09
201910270925,858,六盘水,616113.89,10,27,09
201910270930,858,六盘水,625316.91,10,27,09
201910270935,858,六盘水,642344.48,10,27,09
201910270940,858,六盘水,652864.47,10,27,09
201910270945,858,六盘水,660216.83,10,27,09
201910270950,858,六盘水,677410.88,10,27,09
201910270955,858,六盘水,679460.91,10,27,09
201910271000,858,六盘水,681972.49,10,27,10
201910271005,858,六盘水,688469.76,10,27,10
201910271010,858,六盘水,687406.50,10,27,10
201910271015,858,六盘水,688015.92,10,27,10
201910271020,858,六盘水,693936.00,10,27,10
201910271025,858,六盘水,696262.64,10,27,10
201910271030,858,六盘水,703286.37,10,27,10
201910271035,858,六盘水,714156.42,10,27,10
201910271040,858,六盘水,716262.53,10,27,10
201910271045,858,六盘水,714924.37,10,27,10
201910271050,858,六盘水,713204.58,10,27,10
201910271055,858,六盘水,714654.14,10,27,10
201910271105,858,六盘水,714301.84,10,27,11
201910271110,858,六盘水,717872.43,10,27,11
201910271115,858,六盘水,722928.01,10,27,11
201910271120,858,六盘水,730923.35,10,27,11
201910271125,858,六盘水,727308.96,10,27,11
201910271130,858,六盘水,729894.42,10,27,11
201910271135,858,六盘水,725270.99,10,27,11
201910271140,858,六盘水,729304.55,10,27,11
201910271145,858,六盘水,736934.34,10,27,11
201910271150,858,六盘水,744524.79,10,27,11
201910271155,858,六盘水,744163.88,10,27,11
201910271200,858,六盘水,731937.45,10,27,12
201910271205,858,六盘水,725193.05,10,27,12
201910271210,858,六盘水,740036.30,10,27,12
201910271215,858,六盘水,743790.21,10,27,12
201910271220,858,六盘水,755165.13,10,27,12
201910271225,858,六盘水,771328.81,10,27,12
201910271230,858,六盘水,808793.37,10,27,12
201910271235,858,六盘水,811857.92,10,27,12
201910271240,858,六盘水,812474.52,10,27,12
201910271245,858,六盘水,810229.79,10,27,12
201910271250,858,六盘水,814539.06,10,27,12
201910271255,858,六盘水,804098.37,10,27,12
201910271300,858,六盘水,811455.58,10,27,13
201910271305,858,六盘水,793115.03,10,27,13
201910271310,858,六盘水,780565.71,10,27,13
201910271315,858,六盘水,782555.82,10,27,13
201910271320,858,六盘水,785018.29,10,27,13
201910271325,858,六盘水,783907.47,10,27,13
201910271330,858,六盘水,777969.38,10,27,13
201910271335,858,六盘水,768527.15,10,27,13
201910271340,858,六盘水,769671.40,10,27,13
201910271345,858,六盘水,769113.63,10,27,13
201910271350,858,六盘水,762074.90,10,27,13
201910271355,858,六盘水,755961.63,10,27,13
201910271400,858,六盘水,749619.61,10,27,14
201910271405,858,六盘水,756969.81,10,27,14
201910271410,858,六盘水,761300.46,10,27,14
201910271415,858,六盘水,763847.89,10,27,14
201910271420,858,六盘水,769888.51,10,27,14
201910271425,858,六盘水,753957.12,10,27,14
201910271430,858,六盘水,763037.76,10,27,14
201910271435,858,六盘水,757697.51,10,27,14
201910271440,858,六盘水,759426.39,10,27,14
201910271445,858,六盘水,761761.25,10,27,14
201910271450,858,六盘水,752341.07,10,27,14
201910271455,858,六盘水,762685.29,10,27,14
201910271500,858,六盘水,769311.85,10,27,15
201910271505,858,六盘水,767598.87,10,27,15
201910271510,858,六盘水,758741.04,10,27,15
201910271515,858,六盘水,756854.39,10,27,15
201910271520,858,六盘水,748458.89,10,27,15
201910271525,858,六盘水,755325.85,10,27,15
201910271530,858,六盘水,756453.26,10,27,15
201910271535,858,六盘水,753979.81,10,27,15
201910271540,858,六盘水,756547.25,10,27,15
201910271545,858,六盘水,746382.97,10,27,15
201910271550,858,六盘水,754303.47,10,27,15
201910271555,858,六盘水,751489.42,10,27,15
201910271600,858,六盘水,751438.37,10,27,16
201910271605,858,六盘水,742952.00,10,27,16
201910271610,858,六盘水,737602.95,10,27,16
201910271615,858,六盘水,752975.23,10,27,16
201910271620,858,六盘水,761343.66,10,27,16
201910271625,858,六盘水,766078.33,10,27,16
201910271630,858,六盘水,767393.33,10,27,16
201910271635,858,六盘水,763312.16,10,27,16
