日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,720.41,10,27,08
201910270805,858,六盘水,763.21,10,27,08
201910270810,858,六盘水,829.33,10,27,08
201910270815,858,六盘水,1150.49,10,27,08
201910270820,858,六盘水,782.26,10,27,08
201910270825,858,六盘水,733.43,10,27,08
201910270830,858,六盘水,1057.96,10,27,08
201910270835,858,六盘水,1030.45,10,27,08
201910270840,858,六盘水,1139.14,10,27,08
201910270845,858,六盘水,805.92,10,27,08
201910270850,858,六盘水,979.77,10,27,08
201910270855,858,六盘水,898.31,10,27,08
201910270900,858,六盘水,1011.24,10,27,09
201910270905,858,六盘水,1093.37,10,27,09
201910270910,858,六盘水,1211.16,10,27,09
201910270915,858,六盘水,1318.04,10,27,09
201910270920,858,六盘水,1397.13,10,27,09
201910270925,858,六盘水,1257.44,10,27,09
201910270930,858,六盘水,1096.78,10,27,09
201910270935,858,六盘水,1392.75,10,27,09
201910270940,858,六盘水,1164.82,10,27,09
201910270945,858,六盘水,1469.04,10,27,09
201910270950,858,六盘水,1053.84,10,27,09
201910270955,858,六盘水,1512.64,10,27,09
201910271000,858,六盘水,1015.72,10,27,10
201910271005,858,六盘水,1357.87,10,27,10
201910271010,858,六盘水,1526.66,10,27,10
201910271015,858,六盘水,1125.64,10,27,10
201910271020,858,六盘水,1639.26,10,27,10
201910271025,858,六盘水,1028.17,10,27,10
201910271030,858,六盘水,1615.23,10,27,10
201910271035,858,六盘水,1077.10,10,27,10
201910271040,858,六盘水,1418.31,10,27,10
201910271045,858,六盘水,1034.03,10,27,10
201910271050,858,六盘水,1283.56,10,27,10
201910271055,858,六盘水,1063.00,10,27,10
201910271105,858,六盘水,1526.81,10,27,11
201910271110,858,六盘水,1274.98,10,27,11
201910271115,858,六盘水,1420.77,10,27,11
201910271120,858,六盘水,1784.87,10,27,11
201910271125,858,六盘水,1499.26,10,27,11
201910271130,858,六盘水,1470.25,10,27,11
201910271135,858,六盘水,1288.49,10,27,11
201910271140,858,六盘水,1958.86,10,27,11
201910271145,858,六盘水,914.18,10,27,11
201910271150,858,六盘水,2311.55,10,27,11
201910271155,858,六盘水,1313.61,10,27,11
