日期,编码,地区,流量,月份,天,小时
201910270800,858,六盘水,3148.38,10,27,08
201910270805,858,六盘水,3476.57,10,27,08
201910270810,858,六盘水,3302.45,10,27,08
201910270815,858,六盘水,3555.90,10,27,08
201910270820,858,六盘水,3910.92,10,27,08
201910270825,858,六盘水,3959.87,10,27,08
201910270830,858,六盘水,4003.72,10,27,08
201910270835,858,六盘水,4131.82,10,27,08
201910270840,858,六盘水,4264.84,10,27,08
201910270845,858,六盘水,3995.06,10,27,08
201910270850,858,六盘水,4183.25,10,27,08
201910270855,858,六盘水,4401.36,10,27,08
201910270900,858,六盘水,4083.27,10,27,09
201910270905,858,六盘水,4667.33,10,27,09
201910270910,858,六盘水,4898.98,10,27,09
201910270915,858,六盘水,4984.56,10,27,09
201910270920,858,六盘水,4868.34,10,27,09
201910270925,858,六盘水,4660.27,10,27,09
201910270930,858,六盘水,6371.76,10,27,09
201910270935,858,六盘水,4797.73,10,27,09
201910270940,858,六盘水,4976.80,10,27,09
201910270945,858,六盘水,4960.12,10,27,09
201910270950,858,六盘水,5186.57,10,27,09
201910270955,858,六盘水,4962.70,10,27,09
201910271000,858,六盘水,5778.54,10,27,10
201910271005,858,六盘水,6292.67,10,27,10
201910271010,858,六盘水,5452.28,10,27,10
201910271015,858,六盘水,4784.27,10,27,10
201910271020,858,六盘水,5250.93,10,27,10
201910271025,858,六盘水,5696.91,10,27,10
201910271030,858,六盘水,5552.98,10,27,10
201910271035,858,六盘水,5503.71,10,27,10
201910271040,858,六盘水,5410.54,10,27,10
201910271045,858,六盘水,6031.61,10,27,10
201910271050,858,六盘水,5988.07,10,27,10
201910271055,858,六盘水,6112.94,10,27,10
201910271105,858,六盘水,5535.34,10,27,11
201910271110,858,六盘水,5973.52,10,27,11
201910271115,858,六盘水,6075.05,10,27,11
201910271120,858,六盘水,5414.44,10,27,11
201910271125,858,六盘水,5772.36,10,27,11
201910271130,858,六盘水,5811.66,10,27,11
201910271135,858,六盘水,5406.06,10,27,11
201910271140,858,六盘水,5476.44,10,27,11
201910271145,858,六盘水,5307.27,10,27,11
