日期,编码,地区,流量,月份,天,小时
201910270800,856,铜仁,270.38,10,27,08
201910270805,856,铜仁,331.60,10,27,08
201910270810,856,铜仁,402.79,10,27,08
201910270815,856,铜仁,444.97,10,27,08
201910270820,856,铜仁,613.54,10,27,08
201910270825,856,铜仁,347.39,10,27,08
201910270830,856,铜仁,350.28,10,27,08
201910270835,856,铜仁,434.57,10,27,08
201910270840,856,铜仁,365.56,10,27,08
201910270845,856,铜仁,374.37,10,27,08
201910270850,856,铜仁,434.74,10,27,08
201910270855,856,铜仁,418.36,10,27,08
201910270900,856,铜仁,408.00,10,27,09
201910270905,856,铜仁,447.15,10,27,09
201910270910,856,铜仁,301.25,10,27,09
201910270915,856,铜仁,388.69,10,27,09
201910270920,856,铜仁,353.58,10,27,09
201910270925,856,铜仁,423.93,10,27,09
201910270930,856,铜仁,438.71,10,27,09
201910270935,856,铜仁,476.77,10,27,09
201910270940,856,铜仁,303.47,10,27,09
201910270945,856,铜仁,552.83,10,27,09
201910270950,856,铜仁,303.20,10,27,09
201910270955,856,铜仁,544.00,10,27,09
201910271000,856,铜仁,355.59,10,27,10
201910271005,856,铜仁,544.28,10,27,10
201910271010,856,铜仁,324.14,10,27,10
201910271015,856,铜仁,347.08,10,27,10
201910271020,856,铜仁,352.04,10,27,10
201910271025,856,铜仁,401.14,10,27,10
201910271030,856,铜仁,409.85,10,27,10
201910271035,856,铜仁,557.28,10,27,10
201910271040,856,铜仁,410.60,10,27,10
201910271045,856,铜仁,469.94,10,27,10
201910271050,856,铜仁,437.81,10,27,10
201910271055,856,铜仁,429.43,10,27,10
201910271105,856,铜仁,535.11,10,27,11
201910271110,856,铜仁,445.85,10,27,11
201910271115,856,铜仁,504.64,10,27,11
201910271120,856,铜仁,549.03,10,27,11
201910271125,856,铜仁,488.24,10,27,11
201910271130,856,铜仁,596.80,10,27,11
201910271135,856,铜仁,647.07,10,27,11
201910271140,856,铜仁,588.78,10,27,11
201910271145,856,铜仁,517.61,10,27,11
201910271150,856,铜仁,410.06,10,27,11
201910271155,856,铜仁,612.60,10,27,11
201910271200,856,铜仁,646.63,10,27,12
201910271205,856,铜仁,480.48,10,27,12
201910271210,856,铜仁,541.99,10,27,12
201910271215,856,铜仁,712.37,10,27,12
201910271220,856,铜仁,504.49,10,27,12
201910271225,856,铜仁,579.46,10,27,12
201910271230,856,铜仁,522.02,10,27,12
201910271235,856,铜仁,724.90,10,27,12
201910271240,856,铜仁,671.56,10,27,12
201910271245,856,铜仁,540.59,10,27,12
201910271250,856,铜仁,537.44,10,27,12
201910271255,856,铜仁,476.59,10,27,12
201910271300,856,铜仁,529.41,10,27,13
201910271305,856,铜仁,670.25,10,27,13
201910271310,856,铜仁,669.09,10,27,13
201910271315,856,铜仁,513.96,10,27,13
201910271320,856,铜仁,652.14,10,27,13
201910271325,856,铜仁,608.94,10,27,13
201910271330,856,铜仁,671.92,10,27,13
201910271335,856,铜仁,480.35,10,27,13
201910271340,856,铜仁,565.61,10,27,13
201910271345,856,铜仁,452.17,10,27,13
201910271350,856,铜仁,508.77,10,27,13
201910271355,856,铜仁,601.36,10,27,13
201910271400,856,铜仁,421.91,10,27,14
201910271405,856,铜仁,467.98,10,27,14
201910271410,856,铜仁,477.35,10,27,14
201910271415,856,铜仁,671.91,10,27,14
201910271420,856,铜仁,447.96,10,27,14
201910271425,856,铜仁,439.86,10,27,14
201910271430,856,铜仁,389.16,10,27,14
201910271435,856,铜仁,453.94,10,27,14
201910271440,856,铜仁,424.28,10,27,14
201910271445,856,铜仁,501.27,10,27,14
201910271450,856,铜仁,680.33,10,27,14
201910271455,856,铜仁,545.58,10,27,14
201910271500,856,铜仁,472.82,10,27,15
201910271505,856,铜仁,592.69,10,27,15
201910271510,856,铜仁,495.84,10,27,15
201910271515,856,铜仁,540.41,10,27,15
201910271520,856,铜仁,539.40,10,27,15
201910271525,856,铜仁,582.61,10,27,15
201910271530,856,铜仁,594.37,10,27,15
201910271535,856,铜仁,500.32,10,27,15
201910271540,856,铜仁,490.81,10,27,15
201910271545,856,铜仁,509.51,10,27,15
201910271550,856,铜仁,639.43,10,27,15
201910271555,856,铜仁,589.29,10,27,15
201910271600,856,铜仁,555.20,10,27,16
201910271605,856,铜仁,544.17,10,27,16
201910271610,856,铜仁,542.95,10,27,16
201910271615,856,铜仁,657.03,10,27,16
201910271620,856,铜仁,537.23,10,27,16
201910271625,856,铜仁,571.41,10,27,16
201910271630,856,铜仁,340.42,10,27,16
201910271635,856,铜仁,442.46,10,27,16
201910271640,856,铜仁,404.35,10,27,16
201910271645,856,铜仁,454.81,10,27,16
201910271650,856,铜仁,566.21,10,27,16
201910271655,856,铜仁,390.85,10,27,16
201910271700,856,铜仁,393.94,10,27,17
201910271705,856,铜仁,401.77,10,27,17
201910271710,856,铜仁,357.40,10,27,17
201910271715,856,铜仁,512.11,10,27,17
201910271720,856,铜仁,390.44,10,27,17
201910271725,856,铜仁,398.23,10,27,17
201910271730,856,铜仁,447.53,10,27,17
201910271735,856,铜仁,477.26,10,27,17
201910271740,856,铜仁,336.90,10,27,17
201910271745,856,铜仁,393.86,10,27,17
201910271750,856,铜仁,259.83,10,27,17
201910271755,856,铜仁,477.07,10,27,17
201910271800,856,铜仁,300.97,10,27,18
201910271805,856,铜仁,387.37,10,27,18
201910271810,856,铜仁,250.88,10,27,18
201910271815,856,铜仁,307.66,10,27,18
201910271820,856,铜仁,187.74,10,27,18
201910271825,856,铜仁,292.01,10,27,18
201910271830,856,铜仁,326.71,10,27,18
201910271835,856,铜仁,367.47,10,27,18
201910271840,856,铜仁,296.65,10,27,18
201910271845,856,铜仁,197.74,10,27,18
201910271850,856,铜仁,314.62,10,27,18
201910271855,856,铜仁,192.96,10,27,18
201910271900,856,铜仁,315.91,10,27,19
201910271905,856,铜仁,251.63,10,27,19
201910271910,856,铜仁,276.27,10,27,19
201910271915,856,铜仁,299.88,10,27,19
201910271920,856,铜仁,305.40,10,27,19
201910271925,856,铜仁,337.42,10,27,19
201910271930,856,铜仁,271.82,10,27,19
201910271935,856,铜仁,390.70,10,27,19
201910271940,856,铜仁,386.18,10,27,19
201910271945,856,铜仁,406.07,10,27,19
201910271950,856,铜仁,331.19,10,27,19
201910271955,856,铜仁,340.98,10,27,19
201910272000,856,铜仁,218.95,10,27,20
201910272005,856,铜仁,288.09,10,27,20
201910272010,856,铜仁,222.49,10,27,20
201910272015,856,铜仁,193.46,10,27,20
201910272020,856,铜仁,250.14,10,27,20
201910272025,856,铜仁,236.67,10,27,20
201910272030,856,铜仁,252.51,10,27,20
201910272035,856,铜仁,223.07,10,27,20
201910272040,856,铜仁,201.13,10,27,20
201910272045,856,铜仁,246.10,10,27,20
201910272050,856,铜仁,191.08,10,27,20
201910272055,856,铜仁,282.34,10,27,20
201910272100,856,铜仁,251.42,10,27,21
201910272105,856,铜仁,335.62,10,27,21
201910272110,856,铜仁,253.12,10,27,21
201910272115,856,铜仁,339.85,10,27,21
201910272120,856,铜仁,353.70,10,27,21
201910272125,856,铜仁,418.63,10,27,21
201910272130,856,铜仁,331.61,10,27,21
201910272135,856,铜仁,356.97,10,27,21
201910272140,856,铜仁,387.29,10,27,21
201910272145,856,铜仁,290.49,10,27,21
201910272150,856,铜仁,312.58,10,27,21
201910272155,856,铜仁,211.11,10,27,21
201910272200,856,铜仁,515.49,10,27,22
201910272205,856,铜仁,476.16,10,27,22
201910272210,856,铜仁,451.36,10,27,22
201910272215,856,铜仁,375.62,10,27,22
201910272220,856,铜仁,514.22,10,27,22
201910272225,856,铜仁,353.18,10,27,22
201910272230,856,铜仁,632.00,10,27,22
201910272235,856,铜仁,395.71,10,27,22
201910272240,856,铜仁,444.11,10,27,22
201910272245,856,铜仁,399.28,10,27,22
201910272250,856,铜仁,453.20,10,27,22
201910272255,856,铜仁,390.23,10,27,22
201910272300,856,铜仁,412.99,10,27,23
201910272305,856,铜仁,293.46,10,27,23
201910272310,856,铜仁,321.51,10,27,23
201910272315,856,铜仁,314.53,10,27,23
201910272320,856,铜仁,338.38,10,27,23
201910272325,856,铜仁,541.72,10,27,23
201910272330,856,铜仁,371.21,10,27,23
201910272335,856,铜仁,589.44,10,27,23
201910272340,856,铜仁,475.50,10,27,23
201910272345,856,铜仁,486.39,10,27,23
201910272350,856,铜仁,547.45,10,27,23
201910272355,856,铜仁,430.40,10,27,23
201910280800,856,铜仁,68.36,10,28,08
201910280805,856,铜仁,130.18,10,28,08
201910280810,856,铜仁,91.07,10,28,08
201910280815,856,铜仁,82.99,10,28,08
201910280820,856,铜仁,139.32,10,28,08
201910280825,856,铜仁,158.53,10,28,08
201910280830,856,铜仁,131.07,10,28,08
201910280835,856,铜仁,154.74,10,28,08
201910280840,856,铜仁,175.15,10,28,08
201910280845,856,铜仁,80.05,10,28,08
201910280850,856,铜仁,111.64,10,28,08
201910280855,856,铜仁,134.42,10,28,08
201910280900,856,铜仁,67.33,10,28,09
201910280905,856,铜仁,129.24,10,28,09
201910280910,856,铜仁,76.16,10,28,09
201910280915,856,铜仁,134.15,10,28,09
201910280920,856,铜仁,83.45,10,28,09
201910280925,856,铜仁,152.59,10,28,09
201910280930,856,铜仁,86.12,10,28,09
201910280935,856,铜仁,147.03,10,28,09
201910280940,856,铜仁,91.73,10,28,09
201910280945,856,铜仁,98.02,10,28,09
201910280950,856,铜仁,97.43,10,28,09
201910280955,856,铜仁,118.97,10,28,09
201910281000,856,铜仁,91.37,10,28,10
201910281005,856,铜仁,110.58,10,28,10
201910281010,856,铜仁,162.82,10,28,10
201910281015,856,铜仁,104.25,10,28,10
201910281020,856,铜仁,167.92,10,28,10
201910281025,856,铜仁,160.90,10,28,10
201910281030,856,铜仁,137.15,10,28,10
201910281035,856,铜仁,204.44,10,28,10
201910281040,856,铜仁,170.56,10,28,10
201910281045,856,铜仁,156.63,10,28,10
201910281050,856,铜仁,140.95,10,28,10
201910281055,856,铜仁,159.19,10,28,10
201910281100,856,铜仁,136.76,10,28,11
201911140800,856,铜仁,53.90,11,14,08
201911140805,856,铜仁,82.10,11,14,08
201911140810,856,铜仁,114.63,11,14,08
201911140815,856,铜仁,79.87,11,14,08
201911140820,856,铜仁,157.00,11,14,08
201911140825,856,铜仁,111.88,11,14,08
201911140830,856,铜仁,140.66,11,14,08
201911140835,856,铜仁,108.75,11,14,08
201911140840,856,铜仁,201.53,11,14,08
201911140845,856,铜仁,107.11,11,14,08
201911140850,856,铜仁,112.03,11,14,08
201911140855,856,铜仁,113.09,11,14,08
201911140900,856,铜仁,172.52,11,14,09
201911140905,856,铜仁,136.38,11,14,09
201911140910,856,铜仁,262.53,11,14,09
201911140915,856,铜仁,273.15,11,14,09
201911140920,856,铜仁,281.10,11,14,09
201911140925,856,铜仁,361.85,11,14,09
201911140930,856,铜仁,292.66,11,14,09
201911140935,856,铜仁,231.49,11,14,09
201911140940,856,铜仁,311.83,11,14,09
201911140945,856,铜仁,191.16,11,14,09
201911140950,856,铜仁,96.84,11,14,09
201911140955,856,铜仁,122.17,11,14,09
201911141000,856,铜仁,80.29,11,14,10
201911141005,856,铜仁,154.28,11,14,10
201911141010,856,铜仁,143.60,11,14,10
201911141015,856,铜仁,131.16,11,14,10
201911141020,856,铜仁,134.33,11,14,10
201911141025,856,铜仁,354.78,11,14,10
201911141030,856,铜仁,228.09,11,14,10
201911141035,856,铜仁,200.62,11,14,10
201911141040,856,铜仁,113.57,11,14,10
201911141045,856,铜仁,232.82,11,14,10
201911141050,856,铜仁,174.44,11,14,10
201911141055,856,铜仁,313.93,11,14,10
201911141100,856,铜仁,164.50,11,14,11
201911141105,856,铜仁,350.07,11,14,11
201911141110,856,铜仁,132.08,11,14,11
201911141115,856,铜仁,176.49,11,14,11
201911141120,856,铜仁,261.21,11,14,11
201911141125,856,铜仁,267.20,11,14,11
201911141130,856,铜仁,316.04,11,14,11
201911141135,856,铜仁,236.03,11,14,11
201911141140,856,铜仁,395.93,11,14,11
201911141145,856,铜仁,247.70,11,14,11
201911141150,856,铜仁,379.99,11,14,11
201911141155,856,铜仁,155.14,11,14,11
201911141200,856,铜仁,328.20,11,14,12
201911141205,856,铜仁,151.34,11,14,12
201911141210,856,铜仁,245.51,11,14,12
201911141215,856,铜仁,302.85,11,14,12
201911141220,856,铜仁,272.60,11,14,12
201911141225,856,铜仁,374.31,11,14,12
201911141230,856,铜仁,316.16,11,14,12
201911141235,856,铜仁,386.93,11,14,12
201911141240,856,铜仁,437.14,11,14,12
201911141245,856,铜仁,347.06,11,14,12
201911141250,856,铜仁,627.38,11,14,12
201911141255,856,铜仁,389.89,11,14,12
201911141300,856,铜仁,551.77,11,14,13
201911141305,856,铜仁,472.79,11,14,13
201911141310,856,铜仁,532.13,11,14,13
201911141315,856,铜仁,409.27,11,14,13
201911141320,856,铜仁,497.61,11,14,13
201911141325,856,铜仁,491.88,11,14,13
201911141330,856,铜仁,331.23,11,14,13
201911141335,856,铜仁,267.60,11,14,13
201911141340,856,铜仁,315.88,11,14,13
