日期,编码,地区,流量,月份,天,小时
201910270800,856,铜仁,7.26,10,27,08
201910270805,856,铜仁,69.42,10,27,08
201910270810,856,铜仁,17.55,10,27,08
201910270815,856,铜仁,59.42,10,27,08
201910270820,856,铜仁,47.51,10,27,08
201910270825,856,铜仁,11.51,10,27,08
201910270830,856,铜仁,10.75,10,27,08
201910270835,856,铜仁,16.38,10,27,08
201910270840,856,铜仁,16.41,10,27,08
201910270845,856,铜仁,14.22,10,27,08
201910270850,856,铜仁,16.52,10,27,08
201910270855,856,铜仁,5.90,10,27,08
201910270900,856,铜仁,30.16,10,27,09
201910270905,856,铜仁,17.36,10,27,09
201910270910,856,铜仁,21.94,10,27,09
201910270915,856,铜仁,22.76,10,27,09
201910270920,856,铜仁,41.29,10,27,09
201910270925,856,铜仁,32.29,10,27,09
201910270930,856,铜仁,5.72,10,27,09
201910270935,856,铜仁,12.50,10,27,09
201910270940,856,铜仁,41.35,10,27,09
201910270945,856,铜仁,33.05,10,27,09
201910270950,856,铜仁,33.72,10,27,09
201910270955,856,铜仁,71.03,10,27,09
201910271000,856,铜仁,25.30,10,27,10
201910271005,856,铜仁,44.59,10,27,10
201910271010,856,铜仁,23.24,10,27,10
201910271015,856,铜仁,29.32,10,27,10
201910271020,856,铜仁,26.52,10,27,10
201910271025,856,铜仁,54.65,10,27,10
201910271030,856,铜仁,57.17,10,27,10
201910271035,856,铜仁,108.24,10,27,10
201910271040,856,铜仁,25.27,10,27,10
201910271045,856,铜仁,25.81,10,27,10
201910271050,856,铜仁,16.83,10,27,10
201910271055,856,铜仁,18.60,10,27,10
201910271105,856,铜仁,43.50,10,27,11
201910271110,856,铜仁,10.91,10,27,11
201910271115,856,铜仁,16.59,10,27,11
201910271120,856,铜仁,23.27,10,27,11
201910271125,856,铜仁,151.73,10,27,11
201910271130,856,铜仁,14.56,10,27,11
201910271135,856,铜仁,22.37,10,27,11
201910271140,856,铜仁,24.72,10,27,11
201910271145,856,铜仁,23.75,10,27,11
201910271150,856,铜仁,62.83,10,27,11
201910271155,856,铜仁,17.91,10,27,11
201910271200,856,铜仁,17.40,10,27,12
201910271205,856,铜仁,16.02,10,27,12
201910271210,856,铜仁,21.90,10,27,12
201910271215,856,铜仁,21.28,10,27,12
201910271220,856,铜仁,36.58,10,27,12
201910271225,856,铜仁,33.39,10,27,12
201910271230,856,铜仁,32.11,10,27,12
201910271235,856,铜仁,18.48,10,27,12
201910271240,856,铜仁,8.48,10,27,12
201910271245,856,铜仁,25.14,10,27,12
201910271250,856,铜仁,49.83,10,27,12
201910271255,856,铜仁,55.16,10,27,12
201910271300,856,铜仁,41.55,10,27,13
201910271305,856,铜仁,28.88,10,27,13
201910271310,856,铜仁,27.37,10,27,13
201910271315,856,铜仁,118.92,10,27,13
201910271320,856,铜仁,17.69,10,27,13
201910271325,856,铜仁,31.03,10,27,13
201910271330,856,铜仁,37.19,10,27,13
201910271335,856,铜仁,30.78,10,27,13
201910271340,856,铜仁,13.51,10,27,13
201910271345,856,铜仁,17.55,10,27,13
201910271350,856,铜仁,56.16,10,27,13
201910271355,856,铜仁,103.78,10,27,13
201910271400,856,铜仁,23.12,10,27,14
201910271405,856,铜仁,36.09,10,27,14
201910271410,856,铜仁,23.66,10,27,14
201910271415,856,铜仁,44.25,10,27,14
201910271420,856,铜仁,36.29,10,27,14
201910271425,856,铜仁,22.15,10,27,14
201910271430,856,铜仁,42.54,10,27,14
201910271435,856,铜仁,26.49,10,27,14
201910271440,856,铜仁,30.48,10,27,14
201910271445,856,铜仁,100.53,10,27,14
201910271450,856,铜仁,55.65,10,27,14
201910271455,856,铜仁,72.37,10,27,14
201910271500,856,铜仁,35.33,10,27,15
201910271505,856,铜仁,34.98,10,27,15
201910271510,856,铜仁,21.15,10,27,15
201910271515,856,铜仁,20.49,10,27,15
201910271520,856,铜仁,24.22,10,27,15
201910271525,856,铜仁,57.53,10,27,15
201910271530,856,铜仁,11.57,10,27,15
201910271535,856,铜仁,26.69,10,27,15
201910271540,856,铜仁,33.72,10,27,15
201910271545,856,铜仁,48.59,10,27,15
201910271550,856,铜仁,27.13,10,27,15
201910271555,856,铜仁,11.54,10,27,15
201910271600,856,铜仁,28.47,10,27,16
201910271605,856,铜仁,47.52,10,27,16
201910271610,856,铜仁,8.82,10,27,16
201910271615,856,铜仁,67.67,10,27,16
201910271620,856,铜仁,28.96,10,27,16
201910271625,856,铜仁,46.71,10,27,16
201910271630,856,铜仁,15.92,10,27,16
201910271635,856,铜仁,5.04,10,27,16
201910271640,856,铜仁,18.37,10,27,16
201910271645,856,铜仁,20.87,10,27,16
201910271650,856,铜仁,33.35,10,27,16
201910271655,856,铜仁,10.55,10,27,16
201910271700,856,铜仁,29.66,10,27,17
201910271705,856,铜仁,41.05,10,27,17
201910271710,856,铜仁,24.52,10,27,17
201910271715,856,铜仁,30.33,10,27,17
201910271720,856,铜仁,23.58,10,27,17
201910271725,856,铜仁,37.25,10,27,17
201910271730,856,铜仁,47.32,10,27,17
201910271735,856,铜仁,17.55,10,27,17
201910271740,856,铜仁,221.37,10,27,17
201910271745,856,铜仁,26.54,10,27,17
201910271750,856,铜仁,10.26,10,27,17
201910271755,856,铜仁,17.24,10,27,17
201910271800,856,铜仁,27.59,10,27,18
201910271805,856,铜仁,13.47,10,27,18
201910271810,856,铜仁,23.26,10,27,18
201910271815,856,铜仁,90.78,10,27,18
201910271820,856,铜仁,18.90,10,27,18
201910271825,856,铜仁,45.62,10,27,18
201910271830,856,铜仁,26.64,10,27,18
201910271835,856,铜仁,60.58,10,27,18
201910271840,856,铜仁,25.85,10,27,18
201910271845,856,铜仁,89.64,10,27,18
201910271850,856,铜仁,79.09,10,27,18
201910271855,856,铜仁,28.94,10,27,18
201910271900,856,铜仁,49.19,10,27,19
201910271905,856,铜仁,152.74,10,27,19
201910271910,856,铜仁,22.25,10,27,19
201910271915,856,铜仁,41.76,10,27,19
201910271920,856,铜仁,53.35,10,27,19
201910271925,856,铜仁,47.64,10,27,19
201910271930,856,铜仁,21.67,10,27,19
201910271935,856,铜仁,35.30,10,27,19
201910271940,856,铜仁,36.34,10,27,19
201910271945,856,铜仁,18.00,10,27,19
201910271950,856,铜仁,204.83,10,27,19
201910271955,856,铜仁,16.26,10,27,19
201910272000,856,铜仁,69.82,10,27,20
201910272005,856,铜仁,55.09,10,27,20
201910272010,856,铜仁,22.00,10,27,20
201910272015,856,铜仁,13.48,10,27,20
201910272020,856,铜仁,41.99,10,27,20
201910272025,856,铜仁,22.06,10,27,20
201910272030,856,铜仁,21.64,10,27,20
201910272035,856,铜仁,137.60,10,27,20
201910272040,856,铜仁,98.91,10,27,20
201910272045,856,铜仁,40.63,10,27,20
201910272050,856,铜仁,17.99,10,27,20
201910272055,856,铜仁,9.74,10,27,20
201910272100,856,铜仁,173.58,10,27,21
201910272105,856,铜仁,81.61,10,27,21
201910272110,856,铜仁,31.96,10,27,21
201910272115,856,铜仁,21.59,10,27,21
201910272120,856,铜仁,38.14,10,27,21
201910272125,856,铜仁,88.62,10,27,21
201910272130,856,铜仁,36.79,10,27,21
201910272135,856,铜仁,18.33,10,27,21
201910272140,856,铜仁,81.15,10,27,21
201910272145,856,铜仁,50.85,10,27,21
201910272150,856,铜仁,50.03,10,27,21
201910272155,856,铜仁,150.47,10,27,21
201910272200,856,铜仁,36.37,10,27,22
201910272205,856,铜仁,101.71,10,27,22
201910272210,856,铜仁,33.18,10,27,22
201910272215,856,铜仁,153.14,10,27,22
201910272220,856,铜仁,65.54,10,27,22
201910272225,856,铜仁,29.12,10,27,22
201910272230,856,铜仁,69.04,10,27,22
201910272235,856,铜仁,22.23,10,27,22
201910272240,856,铜仁,42.13,10,27,22
201910272245,856,铜仁,56.01,10,27,22
201910272250,856,铜仁,31.36,10,27,22
201910272255,856,铜仁,33.10,10,27,22
201910272300,856,铜仁,44.25,10,27,23
201910272305,856,铜仁,55.03,10,27,23
201910272310,856,铜仁,94.31,10,27,23
201910272315,856,铜仁,35.04,10,27,23
201910272320,856,铜仁,239.66,10,27,23
201910272325,856,铜仁,76.08,10,27,23
201910272330,856,铜仁,52.91,10,27,23
201910272335,856,铜仁,27.28,10,27,23
201910272340,856,铜仁,37.53,10,27,23
201910272345,856,铜仁,38.20,10,27,23
201910272350,856,铜仁,14.99,10,27,23
201910272355,856,铜仁,18.24,10,27,23
201910280800,856,铜仁,45.89,10,28,08
201910280805,856,铜仁,20.73,10,28,08
201910280810,856,铜仁,49.32,10,28,08
201910280815,856,铜仁,42.97,10,28,08
201910280820,856,铜仁,44.97,10,28,08
201910280825,856,铜仁,24.27,10,28,08
201910280830,856,铜仁,36.85,10,28,08
201910280835,856,铜仁,52.52,10,28,08
201910280840,856,铜仁,39.86,10,28,08
201910280845,856,铜仁,21.68,10,28,08
201910280850,856,铜仁,55.39,10,28,08
201910280855,856,铜仁,44.34,10,28,08
201910280900,856,铜仁,48.66,10,28,09
201910280905,856,铜仁,45.19,10,28,09
201910280910,856,铜仁,65.95,10,28,09
201910280915,856,铜仁,110.29,10,28,09
201910280920,856,铜仁,189.23,10,28,09
201910280925,856,铜仁,84.64,10,28,09
201910280930,856,铜仁,340.13,10,28,09
201910280935,856,铜仁,291.15,10,28,09
201910280940,856,铜仁,285.28,10,28,09
201910280945,856,铜仁,222.09,10,28,09
201910280950,856,铜仁,214.71,10,28,09
201910280955,856,铜仁,240.29,10,28,09
201910281000,856,铜仁,184.49,10,28,10
201910281005,856,铜仁,195.93,10,28,10
201910281010,856,铜仁,184.69,10,28,10
201910281015,856,铜仁,153.88,10,28,10
201910281020,856,铜仁,168.00,10,28,10
201910281025,856,铜仁,178.56,10,28,10
201910281030,856,铜仁,260.24,10,28,10
201910281035,856,铜仁,163.73,10,28,10
201910281040,856,铜仁,163.15,10,28,10
201910281045,856,铜仁,255.30,10,28,10
201910281050,856,铜仁,150.75,10,28,10
201910281055,856,铜仁,226.29,10,28,10
201910281100,856,铜仁,291.72,10,28,11
201911140800,856,铜仁,76.83,11,14,08
201911140805,856,铜仁,59.71,11,14,08
201911140810,856,铜仁,44.98,11,14,08
201911140815,856,铜仁,29.17,11,14,08
201911140820,856,铜仁,40.90,11,14,08
201911140825,856,铜仁,240.44,11,14,08
201911140830,856,铜仁,148.24,11,14,08
201911140835,856,铜仁,65.14,11,14,08
201911140840,856,铜仁,161.20,11,14,08
201911140845,856,铜仁,79.91,11,14,08
201911140850,856,铜仁,32.59,11,14,08
201911140855,856,铜仁,121.42,11,14,08
201911140900,856,铜仁,196.24,11,14,09
201911140905,856,铜仁,129.48,11,14,09
201911140910,856,铜仁,87.35,11,14,09
201911140915,856,铜仁,232.50,11,14,09
201911140920,856,铜仁,300.03,11,14,09
201911140925,856,铜仁,215.11,11,14,09
201911140930,856,铜仁,204.69,11,14,09
201911140935,856,铜仁,383.83,11,14,09
201911140940,856,铜仁,506.55,11,14,09
201911140945,856,铜仁,375.56,11,14,09
201911140950,856,铜仁,429.24,11,14,09
201911140955,856,铜仁,273.03,11,14,09
201911141000,856,铜仁,351.57,11,14,10
201911141005,856,铜仁,358.52,11,14,10
201911141010,856,铜仁,443.01,11,14,10
201911141015,856,铜仁,354.37,11,14,10
201911141020,856,铜仁,336.97,11,14,10
201911141025,856,铜仁,263.53,11,14,10
201911141030,856,铜仁,166.55,11,14,10
201911141035,856,铜仁,293.20,11,14,10
201911141040,856,铜仁,183.33,11,14,10
201911141045,856,铜仁,421.14,11,14,10
201911141050,856,铜仁,296.28,11,14,10
201911141055,856,铜仁,198.88,11,14,10
201911141100,856,铜仁,416.05,11,14,11
201911141105,856,铜仁,274.13,11,14,11
201911141110,856,铜仁,445.72,11,14,11
201911141115,856,铜仁,328.36,11,14,11
201911141120,856,铜仁,265.16,11,14,11
201911141125,856,铜仁,187.91,11,14,11
201911141130,856,铜仁,236.88,11,14,11
201911141135,856,铜仁,190.44,11,14,11
201911141140,856,铜仁,109.21,11,14,11
201911141145,856,铜仁,129.95,11,14,11
201911141150,856,铜仁,123.04,11,14,11
201911141155,856,铜仁,385.31,11,14,11
201911141200,856,铜仁,156.19,11,14,12
201911141205,856,铜仁,626.08,11,14,12
201911141210,856,铜仁,121.18,11,14,12
201911141215,856,铜仁,148.79,11,14,12
201911141220,856,铜仁,510.29,11,14,12
201911141225,856,铜仁,268.87,11,14,12
201911141230,856,铜仁,359.24,11,14,12
201911141235,856,铜仁,123.64,11,14,12
201911141240,856,铜仁,169.55,11,14,12
201911141245,856,铜仁,92.00,11,14,12
201911141250,856,铜仁,186.48,11,14,12
201911141255,856,铜仁,94.78,11,14,12
201911141300,856,铜仁,211.51,11,14,13
201911141305,856,铜仁,169.66,11,14,13
201911141310,856,铜仁,259.28,11,14,13
201911141315,856,铜仁,337.03,11,14,13
201911141320,856,铜仁,295.83,11,14,13
201911141325,856,铜仁,372.61,11,14,13
201911141330,856,铜仁,267.79,11,14,13
201911141335,856,铜仁,387.68,11,14,13
201911141340,856,铜仁,258.13,11,14,13
201911141345,856,铜仁,359.16,11,14,13
201911141350,856,铜仁,305.33,11,14,13
201911141355,856,铜仁,273.61,11,14,13
201911141400,856,铜仁,278.67,11,14,14
201911141405,856,铜仁,510.84,11,14,14
201911141410,856,铜仁,421.61,11,14,14
201911141415,856,铜仁,251.82,11,14,14
201911141420,856,铜仁,335.20,11,14,14
201911141425,856,铜仁,278.35,11,14,14
201911141430,856,铜仁,265.63,11,14,14
201911141435,856,铜仁,256.90,11,14,14
201911141440,856,铜仁,132.88,11,14,14
201911141445,856,铜仁,185.77,11,14,14
201911141450,856,铜仁,314.50,11,14,14
201911141455,856,铜仁,180.75,11,14,14
201911141500,856,铜仁,241.17,11,14,15
201911141505,856,铜仁,113.84,11,14,15
201911141510,856,铜仁,363.42,11,14,15
201911141515,856,铜仁,231.65,11,14,15
201911141520,856,铜仁,154.91,11,14,15
201911141525,856,铜仁,250.00,11,14,15
201911141530,856,铜仁,160.78,11,14,15
201911141535,856,铜仁,88.33,11,14,15
201911141540,856,铜仁,78.05,11,14,15
201911141545,856,铜仁,138.49,11,14,15
201911141550,856,铜仁,77.92,11,14,15
201911141555,856,铜仁,142.33,11,14,15
201911141600,856,铜仁,187.33,11,14,16
201911141605,856,铜仁,71.78,11,14,16
201911141610,856,铜仁,243.47,11,14,16
201911141615,856,铜仁,129.22,11,14,16
201911141620,856,铜仁,616.72,11,14,16
201911141625,856,铜仁,225.04,11,14,16
201911141630,856,铜仁,128.72,11,14,16
201911141635,856,铜仁,290.99,11,14,16
201911141640,856,铜仁,270.64,11,14,16
201911141645,856,铜仁,125.69,11,14,16
201911141650,856,铜仁,651.63,11,14,16
201911141655,856,铜仁,57.30,11,14,16
201911141700,856,铜仁,336.71,11,14,17
201911141705,856,铜仁,378.85,11,14,17
201911141710,856,铜仁,195.48,11,14,17
201911141715,856,铜仁,96.96,11,14,17
201911141720,856,铜仁,196.91,11,14,17
201911141725,856,铜仁,149.82,11,14,17
201911141730,856,铜仁,55.49,11,14,17
201911141735,856,铜仁,397.25,11,14,17
201911141740,856,铜仁,230.58,11,14,17
201911141745,856,铜仁,302.50,11,14,17
201911141750,856,铜仁,193.54,11,14,17
201911141755,856,铜仁,290.31,11,14,17
201911141800,856,铜仁,124.31,11,14,18
201911141805,856,铜仁,460.28,11,14,18
201911141810,856,铜仁,107.08,11,14,18
201911141815,856,铜仁,243.22,11,14,18
201911141820,856,铜仁,105.98,11,14,18
201911141825,856,铜仁,128.66,11,14,18
201911141830,856,铜仁,301.36,11,14,18
201911141835,856,铜仁,233.50,11,14,18
201911141840,856,铜仁,187.64,11,14,18
201911141845,856,铜仁,105.13,11,14,18
201911141850,856,铜仁,272.99,11,14,18
201911141855,856,铜仁,210.84,11,14,18
201911141900,856,铜仁,203.55,11,14,19
201911141905,856,铜仁,110.55,11,14,19
201911141910,856,铜仁,174.51,11,14,19
201911141915,856,铜仁,228.78,11,14,19
201911141920,856,铜仁,184.71,11,14,19
201911141925,856,铜仁,149.23,11,14,19
201911141930,856,铜仁,195.88,11,14,19
201911141935,856,铜仁,62.67,11,14,19
201911141940,856,铜仁,190.21,11,14,19
201911141945,856,铜仁,170.32,11,14,19
201911141950,856,铜仁,115.78,11,14,19
201911141955,856,铜仁,124.58,11,14,19
201911142000,856,铜仁,159.93,11,14,20
201911142005,856,铜仁,207.31,11,14,20
201911142010,856,铜仁,206.24,11,14,20
201911142015,856,铜仁,203.63,11,14,20
201911142020,856,铜仁,280.59,11,14,20
201911142025,856,铜仁,78.24,11,14,20
201911142030,856,铜仁,361.27,11,14,20
201911142035,856,铜仁,1601.22,11,14,20
201911142040,856,铜仁,231.85,11,14,20
201911142045,856,铜仁,260.75,11,14,20
201911142050,856,铜仁,212.87,11,14,20
201911142055,856,铜仁,241.05,11,14,20
201911142100,856,铜仁,234.06,11,14,21
201911142105,856,铜仁,198.32,11,14,21
201911142110,856,铜仁,265.21,11,14,21
201911142115,856,铜仁,241.50,11,14,21
201911142120,856,铜仁,345.40,11,14,21
201911142125,856,铜仁,288.95,11,14,21
201911142130,856,铜仁,484.96,11,14,21
201911142135,856,铜仁,195.12,11,14,21
201911142140,856,铜仁,331.11,11,14,21
201911142145,856,铜仁,114.20,11,14,21
201911142150,856,铜仁,193.76,11,14,21
201911142155,856,铜仁,57.12,11,14,21
201911142200,856,铜仁,156.32,11,14,22
201911142205,856,铜仁,93.39,11,14,22
201911142210,856,铜仁,262.25,11,14,22
201911142215,856,铜仁,296.82,11,14,22
201911142220,856,铜仁,210.90,11,14,22
201911142225,856,铜仁,388.68,11,14,22
201911142230,856,铜仁,282.07,11,14,22
201911142235,856,铜仁,296.87,11,14,22
201911142240,856,铜仁,296.49,11,14,22
201911142245,856,铜仁,239.65,11,14,22
201911142250,856,铜仁,193.33,11,14,22
201911142255,856,铜仁,346.82,11,14,22
201911142300,856,铜仁,306.66,11,14,23
201911142305,856,铜仁,197.00,11,14,23
201911142310,856,铜仁,409.34,11,14,23
201911142315,856,铜仁,158.79,11,14,23
201911142320,856,铜仁,575.06,11,14,23
201911142325,856,铜仁,184.85,11,14,23
201911142330,856,铜仁,267.17,11,14,23
201911142335,856,铜仁,101.28,11,14,23
201911142340,856,铜仁,167.43,11,14,23
201911142345,856,铜仁,61.21,11,14,23
201911142350,856,铜仁,417.63,11,14,23
201911142355,856,铜仁,72.95,11,14,23
201911150800,856,铜仁,180.53,11,15,08
201911150805,856,铜仁,333.18,11,15,08
201911150810,856,铜仁,298.99,11,15,08
201911150815,856,铜仁,152.87,11,15,08
201911150820,856,铜仁,45.61,11,15,08
201911150825,856,铜仁,213.60,11,15,08
201911150830,856,铜仁,275.16,11,15,08
201911150835,856,铜仁,159.80,11,15,08
201911150840,856,铜仁,77.67,11,15,08
201911150845,856,铜仁,204.57,11,15,08
201911150850,856,铜仁,81.78,11,15,08
201911150855,856,铜仁,163.91,11,15,08
201911150900,856,铜仁,42.00,11,15,09
201911150905,856,铜仁,287.23,11,15,09
201911150910,856,铜仁,207.17,11,15,09
201911150915,856,铜仁,259.57,11,15,09
201911150920,856,铜仁,237.47,11,15,09
201911150925,856,铜仁,373.81,11,15,09
201911150930,856,铜仁,289.23,11,15,09
201911150935,856,铜仁,402.04,11,15,09
201911150940,856,铜仁,262.57,11,15,09
201911150945,856,铜仁,622.03,11,15,09
201911150950,856,铜仁,279.98,11,15,09
201911150955,856,铜仁,388.23,11,15,09
201911151000,856,铜仁,244.29,11,15,10
201911151005,856,铜仁,179.28,11,15,10
201911151010,856,铜仁,487.98,11,15,10
201911151015,856,铜仁,371.87,11,15,10
201911151020,856,铜仁,332.60,11,15,10
