日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,357.92,10,27,08
201910270805,859,黔西南,564.76,10,27,08
201910270810,859,黔西南,794.34,10,27,08
201910270815,859,黔西南,739.57,10,27,08
201910270820,859,黔西南,201.13,10,27,08
201910270825,859,黔西南,160.03,10,27,08
201910270830,859,黔西南,492.39,10,27,08
201910270835,859,黔西南,202.54,10,27,08
201910270840,859,黔西南,404.24,10,27,08
201910270845,859,黔西南,424.46,10,27,08
201910270850,859,黔西南,496.75,10,27,08
201910270855,859,黔西南,629.74,10,27,08
201910270900,859,黔西南,1013.97,10,27,09
201910270905,859,黔西南,472.98,10,27,09
201910270910,859,黔西南,802.76,10,27,09
201910270915,859,黔西南,950.23,10,27,09
201910270920,859,黔西南,632.36,10,27,09
201910270925,859,黔西南,458.40,10,27,09
201910270930,859,黔西南,573.85,10,27,09
201910270935,859,黔西南,799.36,10,27,09
201910270940,859,黔西南,273.68,10,27,09
201910270945,859,黔西南,492.04,10,27,09
201910270950,859,黔西南,381.97,10,27,09
201910270955,859,黔西南,995.05,10,27,09
201910271000,859,黔西南,1540.79,10,27,10
201910271005,859,黔西南,1353.63,10,27,10
201910271010,859,黔西南,1842.21,10,27,10
201910271015,859,黔西南,944.20,10,27,10
201910271020,859,黔西南,558.54,10,27,10
201910271025,859,黔西南,457.39,10,27,10
201910271030,859,黔西南,593.42,10,27,10
201910271035,859,黔西南,562.06,10,27,10
201910271040,859,黔西南,314.46,10,27,10
201910271045,859,黔西南,312.83,10,27,10
201910271050,859,黔西南,483.81,10,27,10
201910271055,859,黔西南,662.23,10,27,10
201910271105,859,黔西南,775.78,10,27,11
201910271110,859,黔西南,874.00,10,27,11
201910271115,859,黔西南,655.97,10,27,11
201910271120,859,黔西南,380.73,10,27,11
201910271125,859,黔西南,755.40,10,27,11
201910271130,859,黔西南,985.39,10,27,11
201910271135,859,黔西南,860.28,10,27,11
201910271140,859,黔西南,831.08,10,27,11
201910271145,859,黔西南,461.14,10,27,11
201910271150,859,黔西南,639.44,10,27,11
201910271155,859,黔西南,262.30,10,27,11
201910271200,859,黔西南,1035.37,10,27,12
201910271205,859,黔西南,345.07,10,27,12
201910271210,859,黔西南,910.94,10,27,12
201910271215,859,黔西南,1283.78,10,27,12
201910271220,859,黔西南,1196.58,10,27,12
201910271225,859,黔西南,661.80,10,27,12
201910271230,859,黔西南,1930.66,10,27,12
201910271235,859,黔西南,2682.96,10,27,12
201910271240,859,黔西南,1277.18,10,27,12
201910271245,859,黔西南,1151.19,10,27,12
201910271250,859,黔西南,420.28,10,27,12
201910271255,859,黔西南,679.33,10,27,12
201910271300,859,黔西南,936.32,10,27,13
201910271305,859,黔西南,1027.32,10,27,13
201910271310,859,黔西南,523.03,10,27,13
201910271315,859,黔西南,942.55,10,27,13
201910271320,859,黔西南,649.24,10,27,13
201910271325,859,黔西南,710.39,10,27,13
201910271330,859,黔西南,629.87,10,27,13
201910271335,859,黔西南,775.45,10,27,13
201910271340,859,黔西南,469.83,10,27,13
201910271345,859,黔西南,928.76,10,27,13
201910271350,859,黔西南,532.22,10,27,13
201910271355,859,黔西南,829.22,10,27,13
201910271400,859,黔西南,720.60,10,27,14
201910271405,859,黔西南,597.67,10,27,14
201910271410,859,黔西南,395.78,10,27,14
201910271415,859,黔西南,521.90,10,27,14
201910271420,859,黔西南,454.75,10,27,14
201910271425,859,黔西南,597.84,10,27,14
201910271430,859,黔西南,821.58,10,27,14
201910271435,859,黔西南,876.71,10,27,14
201910271440,859,黔西南,490.76,10,27,14
201910271445,859,黔西南,786.99,10,27,14
201910271450,859,黔西南,1365.06,10,27,14
201910271455,859,黔西南,521.46,10,27,14
201910271500,859,黔西南,710.85,10,27,15
201910271505,859,黔西南,475.32,10,27,15
201910271510,859,黔西南,357.61,10,27,15
201910271515,859,黔西南,751.44,10,27,15
201910271520,859,黔西南,763.07,10,27,15
201910271525,859,黔西南,1039.68,10,27,15
201910271530,859,黔西南,709.23,10,27,15
201910271535,859,黔西南,679.27,10,27,15
201910271540,859,黔西南,622.60,10,27,15
201910271545,859,黔西南,1222.02,10,27,15
201910271550,859,黔西南,338.87,10,27,15
201910271555,859,黔西南,492.19,10,27,15
201910271600,859,黔西南,317.41,10,27,16
201910271605,859,黔西南,454.17,10,27,16
201910271610,859,黔西南,632.83,10,27,16
201910271615,859,黔西南,465.77,10,27,16
201910271620,859,黔西南,453.94,10,27,16
201910271625,859,黔西南,430.86,10,27,16
201910271630,859,黔西南,281.03,10,27,16
201910271635,859,黔西南,149.04,10,27,16
201910271640,859,黔西南,277.85,10,27,16
201910271645,859,黔西南,462.27,10,27,16
201910271650,859,黔西南,858.46,10,27,16
201910271655,859,黔西南,980.96,10,27,16
201910271700,859,黔西南,1862.86,10,27,17
201910271705,859,黔西南,590.56,10,27,17
201910271710,859,黔西南,555.04,10,27,17
201910271715,859,黔西南,813.33,10,27,17
201910271720,859,黔西南,591.90,10,27,17
201910271725,859,黔西南,682.20,10,27,17
201910271730,859,黔西南,424.14,10,27,17
201910271735,859,黔西南,527.88,10,27,17
201910271740,859,黔西南,558.31,10,27,17
201910271745,859,黔西南,698.65,10,27,17
201910271750,859,黔西南,354.92,10,27,17
201910271755,859,黔西南,655.34,10,27,17
201910271800,859,黔西南,374.15,10,27,18
201910271805,859,黔西南,490.93,10,27,18
201910271810,859,黔西南,1162.45,10,27,18
201910271815,859,黔西南,413.28,10,27,18
201910271820,859,黔西南,111.91,10,27,18
201910271825,859,黔西南,256.26,10,27,18
201910271830,859,黔西南,324.30,10,27,18
201910271835,859,黔西南,403.74,10,27,18
201910271840,859,黔西南,690.47,10,27,18
201910271845,859,黔西南,95.49,10,27,18
201910271850,859,黔西南,472.29,10,27,18
201910271855,859,黔西南,911.64,10,27,18
201910271900,859,黔西南,278.12,10,27,19
201910271905,859,黔西南,494.10,10,27,19
201910271910,859,黔西南,859.74,10,27,19
201910271915,859,黔西南,674.15,10,27,19
201910271920,859,黔西南,539.85,10,27,19
201910271925,859,黔西南,456.18,10,27,19
201910271930,859,黔西南,429.16,10,27,19
201910271935,859,黔西南,248.30,10,27,19
201910271940,859,黔西南,488.86,10,27,19
201910271945,859,黔西南,476.76,10,27,19
201910271950,859,黔西南,348.74,10,27,19
201910271955,859,黔西南,385.59,10,27,19
201910272000,859,黔西南,758.98,10,27,20
201910272005,859,黔西南,543.48,10,27,20
201910272010,859,黔西南,401.38,10,27,20
201910272015,859,黔西南,578.46,10,27,20
201910272020,859,黔西南,563.78,10,27,20
201910272025,859,黔西南,684.54,10,27,20
201910272030,859,黔西南,331.20,10,27,20
201910272035,859,黔西南,365.89,10,27,20
201910272040,859,黔西南,431.83,10,27,20
201910272045,859,黔西南,686.58,10,27,20
201910272050,859,黔西南,413.14,10,27,20
201910272055,859,黔西南,204.08,10,27,20
201910272100,859,黔西南,466.69,10,27,21
201910272105,859,黔西南,1070.34,10,27,21
201910272110,859,黔西南,719.01,10,27,21
201910272115,859,黔西南,718.35,10,27,21
201910272120,859,黔西南,617.71,10,27,21
201910272125,859,黔西南,793.01,10,27,21
201910272130,859,黔西南,503.58,10,27,21
201910272135,859,黔西南,384.61,10,27,21
201910272140,859,黔西南,460.10,10,27,21
201910272145,859,黔西南,326.78,10,27,21
201910272150,859,黔西南,107.22,10,27,21
201910272155,859,黔西南,624.75,10,27,21
201910272200,859,黔西南,272.68,10,27,22
201910272205,859,黔西南,247.43,10,27,22
201910272210,859,黔西南,605.81,10,27,22
201910272215,859,黔西南,500.43,10,27,22
201910272220,859,黔西南,162.96,10,27,22
201910272225,859,黔西南,60.91,10,27,22
201910272230,859,黔西南,229.98,10,27,22
201910272235,859,黔西南,145.30,10,27,22
201910272240,859,黔西南,189.34,10,27,22
201910272245,859,黔西南,272.82,10,27,22
201910272250,859,黔西南,311.99,10,27,22
201910272255,859,黔西南,146.50,10,27,22
201910272300,859,黔西南,106.89,10,27,23
201910272305,859,黔西南,47.83,10,27,23
201910272310,859,黔西南,183.46,10,27,23
201910272315,859,黔西南,218.25,10,27,23
