日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,20364.07,10,27,08
201910270805,859,黔西南,23503.28,10,27,08
201910270810,859,黔西南,20013.82,10,27,08
201910270815,859,黔西南,22728.28,10,27,08
201910270820,859,黔西南,21931.79,10,27,08
201910270825,859,黔西南,22759.07,10,27,08
201910270830,859,黔西南,26026.50,10,27,08
201910270835,859,黔西南,25210.50,10,27,08
201910270840,859,黔西南,25621.21,10,27,08
201910270845,859,黔西南,26598.43,10,27,08
201910270850,859,黔西南,26636.86,10,27,08
201910270855,859,黔西南,25446.94,10,27,08
201910270900,859,黔西南,33301.10,10,27,09
201910270905,859,黔西南,29974.15,10,27,09
201910270910,859,黔西南,26326.69,10,27,09
201910270915,859,黔西南,25905.21,10,27,09
201910270920,859,黔西南,35118.69,10,27,09
201910270925,859,黔西南,31672.47,10,27,09
201910270930,859,黔西南,33915.55,10,27,09
201910270935,859,黔西南,33302.82,10,27,09
201910270940,859,黔西南,34145.87,10,27,09
201910270945,859,黔西南,33631.70,10,27,09
201910270950,859,黔西南,30877.97,10,27,09
201910270955,859,黔西南,34818.47,10,27,09
201910271000,859,黔西南,40825.97,10,27,10
201910271005,859,黔西南,38338.67,10,27,10
201910271010,859,黔西南,37091.34,10,27,10
201910271015,859,黔西南,36295.64,10,27,10
201910271020,859,黔西南,33301.66,10,27,10
201910271025,859,黔西南,43758.59,10,27,10
201910271030,859,黔西南,42483.88,10,27,10
201910271035,859,黔西南,36658.54,10,27,10
201910271040,859,黔西南,34889.25,10,27,10
201910271045,859,黔西南,39768.10,10,27,10
201910271050,859,黔西南,40534.05,10,27,10
201910271055,859,黔西南,36454.45,10,27,10
201910271105,859,黔西南,39167.10,10,27,11
201910271110,859,黔西南,42446.81,10,27,11
201910271115,859,黔西南,48872.24,10,27,11
201910271120,859,黔西南,42051.11,10,27,11
201910271125,859,黔西南,43874.17,10,27,11
201910271130,859,黔西南,43506.17,10,27,11
201910271135,859,黔西南,54286.68,10,27,11
201910271140,859,黔西南,53847.03,10,27,11
201910271145,859,黔西南,46967.54,10,27,11
201910271150,859,黔西南,45031.20,10,27,11
201910271155,859,黔西南,45866.91,10,27,11
201910271200,859,黔西南,58255.12,10,27,12
