日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,49.07,10,27,08
201910270805,859,黔西南,72.49,10,27,08
201910270810,859,黔西南,81.50,10,27,08
201910270815,859,黔西南,72.84,10,27,08
201910270820,859,黔西南,51.77,10,27,08
201910270825,859,黔西南,98.33,10,27,08
201910270830,859,黔西南,110.50,10,27,08
201910270835,859,黔西南,53.64,10,27,08
201910270840,859,黔西南,54.30,10,27,08
201910270845,859,黔西南,114.98,10,27,08
201910270850,859,黔西南,84.24,10,27,08
201910270855,859,黔西南,80.82,10,27,08
201910270900,859,黔西南,80.83,10,27,09
201910270905,859,黔西南,94.58,10,27,09
201910270910,859,黔西南,92.40,10,27,09
201910270915,859,黔西南,81.46,10,27,09
201910270920,859,黔西南,64.88,10,27,09
201910270925,859,黔西南,71.99,10,27,09
201910270930,859,黔西南,102.88,10,27,09
201910270935,859,黔西南,79.47,10,27,09
201910270940,859,黔西南,82.62,10,27,09
201910270945,859,黔西南,104.76,10,27,09
201910270950,859,黔西南,112.19,10,27,09
201910270955,859,黔西南,129.68,10,27,09
201910271000,859,黔西南,86.10,10,27,10
201910271005,859,黔西南,97.01,10,27,10
201910271010,859,黔西南,99.01,10,27,10
201910271015,859,黔西南,104.35,10,27,10
201910271020,859,黔西南,88.20,10,27,10
201910271025,859,黔西南,79.70,10,27,10
201910271030,859,黔西南,103.24,10,27,10
201910271035,859,黔西南,132.38,10,27,10
201910271040,859,黔西南,93.56,10,27,10
201910271045,859,黔西南,91.08,10,27,10
201910271050,859,黔西南,95.25,10,27,10
201910271055,859,黔西南,78.24,10,27,10
201910271105,859,黔西南,107.42,10,27,11
201910271110,859,黔西南,104.05,10,27,11
201910271115,859,黔西南,92.39,10,27,11
201910271120,859,黔西南,89.16,10,27,11
201910271125,859,黔西南,106.38,10,27,11
201910271130,859,黔西南,116.11,10,27,11
201910271135,859,黔西南,105.93,10,27,11
201910271140,859,黔西南,88.93,10,27,11
201910271145,859,黔西南,116.93,10,27,11
201910271150,859,黔西南,105.31,10,27,11
201910271155,859,黔西南,104.14,10,27,11
201910271200,859,黔西南,73.02,10,27,12
201910271205,859,黔西南,127.77,10,27,12
201910271210,859,黔西南,87.08,10,27,12
201910271215,859,黔西南,70.76,10,27,12
201910271220,859,黔西南,94.32,10,27,12
201910271225,859,黔西南,176.95,10,27,12
201910271230,859,黔西南,82.38,10,27,12
201910271235,859,黔西南,94.17,10,27,12
201910271240,859,黔西南,82.38,10,27,12
201910271245,859,黔西南,96.46,10,27,12
201910271250,859,黔西南,143.34,10,27,12
201910271255,859,黔西南,80.90,10,27,12
201910271300,859,黔西南,96.93,10,27,13
201910271305,859,黔西南,127.91,10,27,13
201910271310,859,黔西南,99.02,10,27,13
201910271315,859,黔西南,87.71,10,27,13
201910271320,859,黔西南,101.38,10,27,13
201910271325,859,黔西南,101.28,10,27,13
201910271330,859,黔西南,107.63,10,27,13
201910271335,859,黔西南,95.23,10,27,13
201910271340,859,黔西南,51.21,10,27,13
201910271345,859,黔西南,87.44,10,27,13
201910271350,859,黔西南,75.45,10,27,13
201910271355,859,黔西南,95.64,10,27,13
201910271400,859,黔西南,91.17,10,27,14
201910271405,859,黔西南,92.38,10,27,14
201910271410,859,黔西南,141.58,10,27,14
201910271415,859,黔西南,114.66,10,27,14
201910271420,859,黔西南,90.53,10,27,14
201910271425,859,黔西南,191.36,10,27,14
201910271430,859,黔西南,87.28,10,27,14
201910271435,859,黔西南,98.66,10,27,14
201910271440,859,黔西南,81.38,10,27,14
201910271445,859,黔西南,99.00,10,27,14
201910271450,859,黔西南,115.91,10,27,14
201910271455,859,黔西南,81.20,10,27,14
201910271500,859,黔西南,120.24,10,27,15
201910271505,859,黔西南,89.36,10,27,15
201910271510,859,黔西南,103.50,10,27,15
201910271515,859,黔西南,106.99,10,27,15
201910271520,859,黔西南,81.60,10,27,15
201910271525,859,黔西南,121.45,10,27,15
201910271530,859,黔西南,125.48,10,27,15
201910271535,859,黔西南,101.50,10,27,15
201910271540,859,黔西南,137.94,10,27,15
201910271545,859,黔西南,73.71,10,27,15
201910271550,859,黔西南,121.72,10,27,15
