日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,1.08,10,27,08
201910270805,859,黔西南,1.16,10,27,08
201910270810,859,黔西南,1.09,10,27,08
201910270815,859,黔西南,1.34,10,27,08
201910270820,859,黔西南,0.90,10,27,08
201910270825,859,黔西南,1.30,10,27,08
201910270830,859,黔西南,2.25,10,27,08
201910270835,859,黔西南,2.64,10,27,08
201910270840,859,黔西南,1.65,10,27,08
201910270845,859,黔西南,2.85,10,27,08
201910270850,859,黔西南,10.11,10,27,08
201910270855,859,黔西南,13.18,10,27,08
201910270900,859,黔西南,11.23,10,27,09
201910270905,859,黔西南,6.28,10,27,09
201910270910,859,黔西南,2.39,10,27,09
201910270915,859,黔西南,3.09,10,27,09
201910270920,859,黔西南,4.38,10,27,09
201910270925,859,黔西南,11.60,10,27,09
201910270930,859,黔西南,39.26,10,27,09
201910270935,859,黔西南,49.70,10,27,09
201910270940,859,黔西南,51.48,10,27,09
201910270945,859,黔西南,54.55,10,27,09
201910270950,859,黔西南,45.04,10,27,09
201910270955,859,黔西南,58.85,10,27,09
201910271000,859,黔西南,95.26,10,27,10
201910271005,859,黔西南,53.70,10,27,10
201910271010,859,黔西南,19.14,10,27,10
201910271015,859,黔西南,7.38,10,27,10
201910271020,859,黔西南,2.86,10,27,10
201910271025,859,黔西南,10.08,10,27,10
201910271030,859,黔西南,15.65,10,27,10
201910271035,859,黔西南,11.22,10,27,10
201910271040,859,黔西南,50.22,10,27,10
201910271045,859,黔西南,47.19,10,27,10
201910271050,859,黔西南,43.39,10,27,10
201910271055,859,黔西南,50.92,10,27,10
201910271105,859,黔西南,81.11,10,27,11
201910271110,859,黔西南,78.26,10,27,11
201910271115,859,黔西南,69.92,10,27,11
201910271120,859,黔西南,74.90,10,27,11
201910271125,859,黔西南,71.39,10,27,11
201910271130,859,黔西南,39.94,10,27,11
201910271135,859,黔西南,9.06,10,27,11
201910271140,859,黔西南,18.29,10,27,11
201910271145,859,黔西南,14.27,10,27,11
201910271150,859,黔西南,19.96,10,27,11
201910271155,859,黔西南,20.12,10,27,11
201910271200,859,黔西南,21.26,10,27,12
201910271205,859,黔西南,18.37,10,27,12
201910271210,859,黔西南,15.00,10,27,12
