日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,30526.75,10,27,08
201910270805,859,黔西南,31686.24,10,27,08
201910270810,859,黔西南,32702.14,10,27,08
201910270815,859,黔西南,32490.04,10,27,08
201910270820,859,黔西南,32132.24,10,27,08
201910270825,859,黔西南,34767.45,10,27,08
201910270830,859,黔西南,36064.24,10,27,08
201910270835,859,黔西南,33598.59,10,27,08
201910270840,859,黔西南,36786.02,10,27,08
201910270845,859,黔西南,35683.06,10,27,08
201910270850,859,黔西南,35438.77,10,27,08
201910270855,859,黔西南,37891.94,10,27,08
201910270900,859,黔西南,36036.92,10,27,09
201910270905,859,黔西南,40316.67,10,27,09
201910270910,859,黔西南,38525.96,10,27,09
201910270915,859,黔西南,38945.13,10,27,09
201910270920,859,黔西南,37578.47,10,27,09
201910270925,859,黔西南,39482.14,10,27,09
201910270930,859,黔西南,40737.47,10,27,09
201910270935,859,黔西南,39384.43,10,27,09
201910270940,859,黔西南,40857.09,10,27,09
201910270945,859,黔西南,40756.39,10,27,09
201910270950,859,黔西南,42514.52,10,27,09
201910270955,859,黔西南,40385.86,10,27,09
201910271000,859,黔西南,43294.83,10,27,10
201910271005,859,黔西南,44145.78,10,27,10
201910271010,859,黔西南,43826.68,10,27,10
201910271015,859,黔西南,43665.96,10,27,10
201910271020,859,黔西南,46547.32,10,27,10
201910271025,859,黔西南,45128.77,10,27,10
201910271030,859,黔西南,45902.67,10,27,10
201910271035,859,黔西南,44822.74,10,27,10
201910271040,859,黔西南,47709.01,10,27,10
201910271045,859,黔西南,47232.77,10,27,10
201910271050,859,黔西南,49411.29,10,27,10
201910271055,859,黔西南,45689.32,10,27,10
201910271105,859,黔西南,46867.12,10,27,11
201910271110,859,黔西南,48884.51,10,27,11
201910271115,859,黔西南,49062.41,10,27,11
201910271120,859,黔西南,49620.02,10,27,11
201910271125,859,黔西南,48620.39,10,27,11
201910271130,859,黔西南,49609.04,10,27,11
201910271135,859,黔西南,48870.01,10,27,11
201910271140,859,黔西南,48862.64,10,27,11
201910271145,859,黔西南,46229.70,10,27,11
201910271150,859,黔西南,47749.75,10,27,11
201910271155,859,黔西南,47469.78,10,27,11
201910271200,859,黔西南,43432.08,10,27,12
201910271205,859,黔西南,50057.77,10,27,12
201910271210,859,黔西南,50737.58,10,27,12
201910271215,859,黔西南,49227.95,10,27,12
201910271220,859,黔西南,49990.74,10,27,12
201910271225,859,黔西南,49886.59,10,27,12
