日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,558.53,10,27,08
201910270805,859,黔西南,685.16,10,27,08
201910270810,859,黔西南,1714.63,10,27,08
201910270815,859,黔西南,1078.85,10,27,08
201910270820,859,黔西南,1125.66,10,27,08
201910270825,859,黔西南,1616.23,10,27,08
201910270830,859,黔西南,1246.79,10,27,08
201910270835,859,黔西南,1052.05,10,27,08
201910270840,859,黔西南,842.54,10,27,08
201910270845,859,黔西南,860.29,10,27,08
201910270850,859,黔西南,915.92,10,27,08
201910270855,859,黔西南,898.95,10,27,08
201910270900,859,黔西南,776.73,10,27,09
201910270905,859,黔西南,812.69,10,27,09
201910270910,859,黔西南,1267.37,10,27,09
201910270915,859,黔西南,1215.91,10,27,09
201910270920,859,黔西南,1160.37,10,27,09
201910270925,859,黔西南,830.24,10,27,09
201910270930,859,黔西南,1049.27,10,27,09
201910270935,859,黔西南,1354.82,10,27,09
201910270940,859,黔西南,1467.52,10,27,09
201910270945,859,黔西南,1292.54,10,27,09
201910270950,859,黔西南,1253.56,10,27,09
201910270955,859,黔西南,1493.85,10,27,09
201910271000,859,黔西南,1453.65,10,27,10
201910271005,859,黔西南,1354.93,10,27,10
201910271010,859,黔西南,1883.66,10,27,10
201910271015,859,黔西南,1651.10,10,27,10
201910271020,859,黔西南,1954.21,10,27,10
201910271025,859,黔西南,1933.36,10,27,10
201910271030,859,黔西南,1567.49,10,27,10
201910271035,859,黔西南,1268.43,10,27,10
201910271040,859,黔西南,1551.03,10,27,10
201910271045,859,黔西南,2984.21,10,27,10
201910271050,859,黔西南,1526.08,10,27,10
201910271055,859,黔西南,1648.96,10,27,10
201910271105,859,黔西南,1435.26,10,27,11
201910271110,859,黔西南,1360.48,10,27,11
201910271115,859,黔西南,2176.24,10,27,11
201910271120,859,黔西南,1089.01,10,27,11
201910271125,859,黔西南,1727.79,10,27,11
201910271130,859,黔西南,1046.99,10,27,11
201910271135,859,黔西南,1539.28,10,27,11
201910271140,859,黔西南,1450.82,10,27,11
201910271145,859,黔西南,1318.85,10,27,11
201910271150,859,黔西南,1307.22,10,27,11
201910271155,859,黔西南,1707.52,10,27,11
201910271200,859,黔西南,1177.85,10,27,12
201910271205,859,黔西南,1263.08,10,27,12
201910271210,859,黔西南,1357.04,10,27,12
201910271215,859,黔西南,1283.37,10,27,12
201910271220,859,黔西南,1288.70,10,27,12
201910271225,859,黔西南,1425.54,10,27,12
201910271230,859,黔西南,1531.54,10,27,12
201910271235,859,黔西南,1590.53,10,27,12
201910271240,859,黔西南,1736.35,10,27,12
201910271245,859,黔西南,1258.13,10,27,12
201910271250,859,黔西南,1607.76,10,27,12
201910271255,859,黔西南,1379.59,10,27,12
201910271300,859,黔西南,1286.01,10,27,13
201910271305,859,黔西南,1502.98,10,27,13
201910271310,859,黔西南,1502.41,10,27,13
201910271315,859,黔西南,1938.52,10,27,13
201910271320,859,黔西南,1556.68,10,27,13
201910271325,859,黔西南,2303.01,10,27,13
201910271330,859,黔西南,2340.53,10,27,13
201910271335,859,黔西南,2169.02,10,27,13
201910271340,859,黔西南,3168.58,10,27,13
201910271345,859,黔西南,1714.92,10,27,13
201910271350,859,黔西南,1431.16,10,27,13
201910271355,859,黔西南,1266.92,10,27,13
201910271400,859,黔西南,1670.58,10,27,14
201910271405,859,黔西南,1896.37,10,27,14
201910271410,859,黔西南,1253.07,10,27,14
201910271415,859,黔西南,2292.37,10,27,14
201910271420,859,黔西南,1159.39,10,27,14
201910271425,859,黔西南,1627.45,10,27,14
201910271430,859,黔西南,1469.33,10,27,14
201910271435,859,黔西南,1265.97,10,27,14
201910271440,859,黔西南,1494.82,10,27,14
201910271445,859,黔西南,1155.16,10,27,14
201910271450,859,黔西南,2038.40,10,27,14
201910271455,859,黔西南,1081.91,10,27,14
201910271500,859,黔西南,1897.73,10,27,15
201910271505,859,黔西南,1527.15,10,27,15
201910271510,859,黔西南,1233.06,10,27,15
201910271515,859,黔西南,1223.12,10,27,15
201910271520,859,黔西南,1618.00,10,27,15
201910271525,859,黔西南,1342.87,10,27,15
201910271530,859,黔西南,1343.11,10,27,15
201910271535,859,黔西南,1287.29,10,27,15
201910271540,859,黔西南,1737.90,10,27,15
201910271545,859,黔西南,2029.00,10,27,15
201910271550,859,黔西南,1915.24,10,27,15
201910271555,859,黔西南,2058.53,10,27,15
201910271600,859,黔西南,2421.21,10,27,16
201910271605,859,黔西南,2035.48,10,27,16
201910271610,859,黔西南,2308.47,10,27,16
201910271615,859,黔西南,2236.64,10,27,16
201910271620,859,黔西南,2447.01,10,27,16
201910271625,859,黔西南,2329.13,10,27,16
201910271630,859,黔西南,1978.95,10,27,16
201910271635,859,黔西南,2244.06,10,27,16
201910271640,859,黔西南,1761.98,10,27,16
201910271645,859,黔西南,2665.08,10,27,16
201910271650,859,黔西南,2308.64,10,27,16
201910271655,859,黔西南,2132.74,10,27,16
201910271700,859,黔西南,2384.98,10,27,17
201910271705,859,黔西南,1652.66,10,27,17
201910271710,859,黔西南,2871.40,10,27,17
201910271715,859,黔西南,2201.50,10,27,17
201910271720,859,黔西南,2760.37,10,27,17
201910271725,859,黔西南,2098.19,10,27,17
201910271730,859,黔西南,1848.77,10,27,17
201910271735,859,黔西南,2056.15,10,27,17
201910271740,859,黔西南,2183.11,10,27,17
201910271745,859,黔西南,1934.55,10,27,17
201910271750,859,黔西南,1667.52,10,27,17
201910271755,859,黔西南,1595.94,10,27,17
201910271800,859,黔西南,1411.83,10,27,18
201910271805,859,黔西南,1872.72,10,27,18
201910271810,859,黔西南,1492.17,10,27,18
201910271815,859,黔西南,1570.54,10,27,18
201910271820,859,黔西南,1546.78,10,27,18
201910271825,859,黔西南,1335.58,10,27,18
201910271830,859,黔西南,1488.93,10,27,18
201910271835,859,黔西南,1791.78,10,27,18
201910271840,859,黔西南,1843.28,10,27,18
201910271845,859,黔西南,1847.47,10,27,18
201910271850,859,黔西南,2015.89,10,27,18
201910271855,859,黔西南,1892.49,10,27,18
201910271900,859,黔西南,1623.88,10,27,19
201910271905,859,黔西南,2108.86,10,27,19
201910271910,859,黔西南,2292.56,10,27,19
201910271915,859,黔西南,2488.58,10,27,19
201910271920,859,黔西南,2451.71,10,27,19
201910271925,859,黔西南,2566.52,10,27,19
