日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,30698.99,10,27,08
201910270805,859,黔西南,34121.56,10,27,08
201910270810,859,黔西南,36011.31,10,27,08
201910270815,859,黔西南,34283.54,10,27,08
201910270820,859,黔西南,34185.31,10,27,08
201910270825,859,黔西南,34266.10,10,27,08
201910270830,859,黔西南,35816.30,10,27,08
201910270835,859,黔西南,36201.13,10,27,08
201910270840,859,黔西南,36477.41,10,27,08
201910270845,859,黔西南,35021.16,10,27,08
201910270850,859,黔西南,36941.63,10,27,08
201910270855,859,黔西南,39420.64,10,27,08
201910270900,859,黔西南,38519.80,10,27,09
201910270905,859,黔西南,41122.16,10,27,09
201910270910,859,黔西南,44134.02,10,27,09
201910270915,859,黔西南,43360.18,10,27,09
201910270920,859,黔西南,43679.11,10,27,09
201910270925,859,黔西南,42338.65,10,27,09
201910270930,859,黔西南,42543.21,10,27,09
201910270935,859,黔西南,41317.27,10,27,09
201910270940,859,黔西南,42934.67,10,27,09
201910270945,859,黔西南,44617.69,10,27,09
201910270950,859,黔西南,44413.40,10,27,09
201910270955,859,黔西南,44505.29,10,27,09
201910271000,859,黔西南,49381.54,10,27,10
201910271005,859,黔西南,47573.48,10,27,10
201910271010,859,黔西南,48041.64,10,27,10
201910271015,859,黔西南,49664.82,10,27,10
201910271020,859,黔西南,49412.11,10,27,10
201910271025,859,黔西南,51190.51,10,27,10
201910271030,859,黔西南,49688.53,10,27,10
201910271035,859,黔西南,49405.36,10,27,10
201910271040,859,黔西南,52046.88,10,27,10
201910271045,859,黔西南,52345.00,10,27,10
201910271050,859,黔西南,51868.70,10,27,10
201910271055,859,黔西南,51120.11,10,27,10
201910271105,859,黔西南,50571.91,10,27,11
201910271110,859,黔西南,49271.42,10,27,11
201910271115,859,黔西南,51916.78,10,27,11
201910271120,859,黔西南,54427.41,10,27,11
201910271125,859,黔西南,51139.97,10,27,11
201910271130,859,黔西南,49919.59,10,27,11
201910271135,859,黔西南,49340.51,10,27,11
201910271140,859,黔西南,49595.82,10,27,11
201910271145,859,黔西南,49612.66,10,27,11
201910271150,859,黔西南,49388.33,10,27,11
201910271155,859,黔西南,53505.44,10,27,11
201910271200,859,黔西南,45197.18,10,27,12
201910271205,859,黔西南,53075.61,10,27,12
201910271210,859,黔西南,53919.99,10,27,12
201910271215,859,黔西南,52196.90,10,27,12
201910271220,859,黔西南,52772.48,10,27,12
201910271225,859,黔西南,53012.43,10,27,12
201910271230,859,黔西南,52154.23,10,27,12
201910271235,859,黔西南,55045.07,10,27,12
201910271240,859,黔西南,56369.72,10,27,12
201910271245,859,黔西南,57460.51,10,27,12
201910271250,859,黔西南,54627.90,10,27,12
201910271255,859,黔西南,57238.59,10,27,12
201910271300,859,黔西南,55164.90,10,27,13
201910271305,859,黔西南,53950.26,10,27,13
201910271310,859,黔西南,54703.16,10,27,13
201910271315,859,黔西南,53738.49,10,27,13
201910271320,859,黔西南,54735.73,10,27,13
201910271325,859,黔西南,54154.11,10,27,13
201910271330,859,黔西南,53646.42,10,27,13
201910271335,859,黔西南,51167.72,10,27,13
201910271340,859,黔西南,53790.40,10,27,13
201910271345,859,黔西南,52260.84,10,27,13
201910271350,859,黔西南,53051.56,10,27,13
201910271355,859,黔西南,52538.14,10,27,13
201910271400,859,黔西南,55401.66,10,27,14
201910271405,859,黔西南,55968.49,10,27,14
201910271410,859,黔西南,54967.87,10,27,14
201910271415,859,黔西南,54204.74,10,27,14
201910271420,859,黔西南,53159.85,10,27,14
