日期,编码,地区,流量,月份,天,小时
201910270800,859,黔西南,907.74,10,27,08
201910270805,859,黔西南,1481.26,10,27,08
201910270810,859,黔西南,798.97,10,27,08
201910270815,859,黔西南,1627.08,10,27,08
201910270820,859,黔西南,1020.26,10,27,08
201910270825,859,黔西南,1232.03,10,27,08
201910270830,859,黔西南,749.95,10,27,08
201910270835,859,黔西南,1231.47,10,27,08
201910270840,859,黔西南,1013.24,10,27,08
201910270845,859,黔西南,1385.55,10,27,08
201910270850,859,黔西南,1116.41,10,27,08
201910270855,859,黔西南,1670.77,10,27,08
201910270900,859,黔西南,1279.38,10,27,09
201910270905,859,黔西南,2164.80,10,27,09
201910270910,859,黔西南,1202.73,10,27,09
201910270915,859,黔西南,2454.81,10,27,09
201910270920,859,黔西南,1210.84,10,27,09
201910270925,859,黔西南,2523.51,10,27,09
201910270930,859,黔西南,1335.70,10,27,09
201910270935,859,黔西南,1933.56,10,27,09
201910270940,859,黔西南,1481.30,10,27,09
201910270945,859,黔西南,1948.05,10,27,09
201910270950,859,黔西南,1066.12,10,27,09
201910270955,859,黔西南,1844.24,10,27,09
201910271000,859,黔西南,1403.85,10,27,10
201910271005,859,黔西南,1841.32,10,27,10
201910271010,859,黔西南,1297.01,10,27,10
201910271015,859,黔西南,1626.69,10,27,10
201910271020,859,黔西南,1898.37,10,27,10
201910271025,859,黔西南,1601.22,10,27,10
201910271030,859,黔西南,1607.23,10,27,10
201910271035,859,黔西南,1544.26,10,27,10
201910271040,859,黔西南,1001.27,10,27,10
201910271045,859,黔西南,1410.18,10,27,10
201910271050,859,黔西南,1205.79,10,27,10
201910271055,859,黔西南,1383.97,10,27,10
201910271105,859,黔西南,1201.15,10,27,11
201910271110,859,黔西南,1378.10,10,27,11
201910271115,859,黔西南,1393.79,10,27,11
201910271120,859,黔西南,1727.25,10,27,11
201910271125,859,黔西南,1192.00,10,27,11
201910271130,859,黔西南,1431.71,10,27,11
201910271135,859,黔西南,1696.34,10,27,11
201910271140,859,黔西南,1303.59,10,27,11
201910271145,859,黔西南,1627.48,10,27,11
201910271150,859,黔西南,1054.31,10,27,11
201910271155,859,黔西南,1624.27,10,27,11
201910271200,859,黔西南,1201.45,10,27,12
201910271205,859,黔西南,1653.41,10,27,12
201910271210,859,黔西南,1521.64,10,27,12
201910271215,859,黔西南,1697.40,10,27,12
201910271220,859,黔西南,1394.78,10,27,12
201910271225,859,黔西南,1466.00,10,27,12
201910271230,859,黔西南,1224.41,10,27,12
201910271235,859,黔西南,1977.91,10,27,12
201910271240,859,黔西南,1431.39,10,27,12
201910271245,859,黔西南,1230.36,10,27,12
201910271250,859,黔西南,1539.87,10,27,12
201910271255,859,黔西南,1697.99,10,27,12
201910271300,859,黔西南,1450.94,10,27,13
201910271305,859,黔西南,1569.03,10,27,13
201910271310,859,黔西南,2002.94,10,27,13
201910271315,859,黔西南,1394.25,10,27,13
201910271320,859,黔西南,2371.90,10,27,13
201910271325,859,黔西南,1671.02,10,27,13
201910271330,859,黔西南,1587.47,10,27,13
201910271335,859,黔西南,2082.89,10,27,13
201910271340,859,黔西南,1925.79,10,27,13
201910271345,859,黔西南,2006.10,10,27,13
201910271350,859,黔西南,1928.68,10,27,13
201910271355,859,黔西南,1549.83,10,27,13
201910271400,859,黔西南,1979.80,10,27,14
201910271405,859,黔西南,1265.72,10,27,14
201910271410,859,黔西南,1977.66,10,27,14
201910271415,859,黔西南,1493.73,10,27,14
201910271420,859,黔西南,1746.33,10,27,14
201910271425,859,黔西南,1598.28,10,27,14
201910271430,859,黔西南,1921.38,10,27,14
201910271435,859,黔西南,2021.85,10,27,14
201910271440,859,黔西南,1932.38,10,27,14
201910271445,859,黔西南,1719.72,10,27,14
201910271450,859,黔西南,2055.24,10,27,14
201910271455,859,黔西南,1252.62,10,27,14
201910271500,859,黔西南,1752.13,10,27,15
