日期,编码,地区,流量,月份,天,小时
201910270800,852,遵义,377.25,10,27,08
201910270805,852,遵义,333.96,10,27,08
201910270810,852,遵义,404.47,10,27,08
201910270815,852,遵义,392.67,10,27,08
201910270820,852,遵义,475.57,10,27,08
201910270825,852,遵义,370.47,10,27,08
201910270830,852,遵义,511.45,10,27,08
201910270835,852,遵义,397.03,10,27,08
201910270840,852,遵义,457.22,10,27,08
201910270845,852,遵义,500.98,10,27,08
201910270850,852,遵义,330.10,10,27,08
201910270855,852,遵义,404.57,10,27,08
201910270900,852,遵义,442.41,10,27,09
201910270905,852,遵义,433.44,10,27,09
201910270910,852,遵义,548.16,10,27,09
201910270915,852,遵义,686.40,10,27,09
201910270920,852,遵义,635.02,10,27,09
201910270925,852,遵义,504.93,10,27,09
201910270930,852,遵义,514.32,10,27,09
201910270935,852,遵义,412.87,10,27,09
201910270940,852,遵义,613.42,10,27,09
201910270945,852,遵义,482.29,10,27,09
201910270950,852,遵义,717.85,10,27,09
201910270955,852,遵义,672.31,10,27,09
201910271000,852,遵义,746.61,10,27,10
201910271005,852,遵义,733.30,10,27,10
201910271010,852,遵义,664.42,10,27,10
201910271015,852,遵义,679.10,10,27,10
201910271020,852,遵义,615.92,10,27,10
201910271025,852,遵义,583.24,10,27,10
201910271030,852,遵义,739.77,10,27,10
201910271035,852,遵义,611.88,10,27,10
201910271040,852,遵义,719.81,10,27,10
201910271045,852,遵义,587.62,10,27,10
201910271050,852,遵义,720.39,10,27,10
201910271055,852,遵义,583.02,10,27,10
201910271105,852,遵义,572.35,10,27,11
201910271110,852,遵义,843.46,10,27,11
201910271115,852,遵义,639.27,10,27,11
201910271120,852,遵义,819.76,10,27,11
201910271125,852,遵义,530.49,10,27,11
201910271130,852,遵义,631.63,10,27,11
201910271135,852,遵义,510.81,10,27,11
201910271140,852,遵义,850.51,10,27,11
201910271145,852,遵义,724.37,10,27,11
201910271150,852,遵义,677.62,10,27,11
201910271155,852,遵义,549.81,10,27,11
201910271200,852,遵义,806.79,10,27,12
201910271205,852,遵义,628.81,10,27,12
201910271210,852,遵义,728.92,10,27,12
201910271215,852,遵义,733.94,10,27,12
201910271220,852,遵义,670.24,10,27,12
201910271225,852,遵义,856.14,10,27,12
201910271230,852,遵义,683.24,10,27,12
201910271235,852,遵义,741.27,10,27,12
201910271240,852,遵义,603.54,10,27,12
201910271245,852,遵义,396.58,10,27,12
201910271250,852,遵义,661.34,10,27,12
201910271255,852,遵义,536.66,10,27,12
201910271300,852,遵义,769.82,10,27,13
201910271305,852,遵义,717.43,10,27,13
201910271310,852,遵义,646.77,10,27,13
201910271315,852,遵义,653.32,10,27,13
201910271320,852,遵义,748.57,10,27,13
201910271325,852,遵义,566.17,10,27,13
201910271330,852,遵义,787.80,10,27,13
201910271335,852,遵义,555.37,10,27,13
201910271340,852,遵义,579.97,10,27,13
201910271345,852,遵义,580.97,10,27,13
201910271350,852,遵义,748.25,10,27,13
201910271355,852,遵义,597.59,10,27,13
201910271400,852,遵义,707.07,10,27,14
201910271405,852,遵义,741.24,10,27,14
201910271410,852,遵义,677.79,10,27,14
201910271415,852,遵义,602.27,10,27,14
201910271420,852,遵义,654.05,10,27,14
201910271425,852,遵义,695.60,10,27,14
