日期,编码,地区,流量,月份,天,小时
201910270800,852,遵义,185486.82,10,27,08
201910270805,852,遵义,193662.06,10,27,08
201910270810,852,遵义,209946.17,10,27,08
201910270815,852,遵义,214762.42,10,27,08
201910270820,852,遵义,222236.97,10,27,08
201910270825,852,遵义,217733.11,10,27,08
201910270830,852,遵义,236157.46,10,27,08
201910270835,852,遵义,244473.29,10,27,08
201910270840,852,遵义,245526.67,10,27,08
201910270845,852,遵义,252527.22,10,27,08
201910270850,852,遵义,252319.82,10,27,08
201910270855,852,遵义,264442.90,10,27,08
201910270900,852,遵义,268517.11,10,27,09
201910270905,852,遵义,274234.74,10,27,09
201910270910,852,遵义,282876.78,10,27,09
201910270915,852,遵义,272685.99,10,27,09
201910270920,852,遵义,293499.53,10,27,09
201910270925,852,遵义,272141.03,10,27,09
201910270930,852,遵义,302326.57,10,27,09
201910270935,852,遵义,302446.08,10,27,09
201910270940,852,遵义,310312.42,10,27,09
201910270945,852,遵义,313251.19,10,27,09
201910270950,852,遵义,301351.02,10,27,09
201910270955,852,遵义,321423.80,10,27,09
201910271000,852,遵义,331871.10,10,27,10
201910271005,852,遵义,338358.32,10,27,10
201910271010,852,遵义,334035.17,10,27,10
201910271015,852,遵义,320395.20,10,27,10
201910271020,852,遵义,319949.89,10,27,10
201910271025,852,遵义,330261.58,10,27,10
201910271030,852,遵义,352480.32,10,27,10
201910271035,852,遵义,356367.26,10,27,10
201910271040,852,遵义,357876.50,10,27,10
201910271045,852,遵义,362067.29,10,27,10
201910271050,852,遵义,331232.73,10,27,10
201910271055,852,遵义,334870.00,10,27,10
201910271105,852,遵义,358305.84,10,27,11
201910271110,852,遵义,345701.28,10,27,11
201910271115,852,遵义,365466.61,10,27,11
201910271120,852,遵义,339320.94,10,27,11
201910271125,852,遵义,343259.26,10,27,11
201910271130,852,遵义,373284.28,10,27,11
201910271135,852,遵义,346316.51,10,27,11
201910271140,852,遵义,372440.15,10,27,11
201910271145,852,遵义,359784.91,10,27,11
201910271150,852,遵义,376908.77,10,27,11
201910271155,852,遵义,395749.92,10,27,11
201910271200,852,遵义,357090.79,10,27,12
201910271205,852,遵义,363209.83,10,27,12
201910271210,852,遵义,394556.17,10,27,12
201910271215,852,遵义,409887.42,10,27,12
201910271220,852,遵义,409061.80,10,27,12
201910271225,852,遵义,393859.74,10,27,12
201910271230,852,遵义,380653.46,10,27,12
201910271235,852,遵义,407533.43,10,27,12
201910271240,852,遵义,401654.29,10,27,12
201910271245,852,遵义,389523.88,10,27,12
201910271250,852,遵义,393443.92,10,27,12
201910271255,852,遵义,387147.01,10,27,12
201910271300,852,遵义,352862.80,10,27,13
201910271305,852,遵义,351682.71,10,27,13
201910271310,852,遵义,342792.36,10,27,13
201910271315,852,遵义,367274.81,10,27,13
201910271320,852,遵义,369272.77,10,27,13
201910271325,852,遵义,351014.99,10,27,13
201910271330,852,遵义,363328.13,10,27,13
201910271335,852,遵义,369007.48,10,27,13
201910271340,852,遵义,337918.81,10,27,13
201910271345,852,遵义,330818.47,10,27,13
201910271350,852,遵义,326775.42,10,27,13
201910271355,852,遵义,329629.52,10,27,13
201910271400,852,遵义,327866.34,10,27,14
201910271405,852,遵义,351734.75,10,27,14
201910271410,852,遵义,355120.43,10,27,14
201910271415,852,遵义,352036.38,10,27,14
