日期,编码,地区,流量,月份,天,小时
201910270800,852,遵义,179.84,10,27,08
201910270805,852,遵义,223.24,10,27,08
201910270810,852,遵义,238.93,10,27,08
201910270815,852,遵义,162.31,10,27,08
201910270820,852,遵义,143.44,10,27,08
201910270825,852,遵义,240.63,10,27,08
201910270830,852,遵义,276.27,10,27,08
201910270835,852,遵义,197.13,10,27,08
201910270840,852,遵义,203.05,10,27,08
201910270845,852,遵义,139.37,10,27,08
201910270850,852,遵义,184.02,10,27,08
201910270855,852,遵义,177.50,10,27,08
201910270900,852,遵义,303.82,10,27,09
201910270905,852,遵义,184.26,10,27,09
201910270910,852,遵义,212.87,10,27,09
201910270915,852,遵义,203.37,10,27,09
201910270920,852,遵义,201.40,10,27,09
201910270925,852,遵义,203.46,10,27,09
201910270930,852,遵义,250.45,10,27,09
201910270935,852,遵义,284.42,10,27,09
201910270940,852,遵义,183.12,10,27,09
201910270945,852,遵义,202.21,10,27,09
201910270950,852,遵义,234.46,10,27,09
201910270955,852,遵义,157.10,10,27,09
201910271000,852,遵义,283.65,10,27,10
201910271005,852,遵义,233.06,10,27,10
201910271010,852,遵义,522.55,10,27,10
201910271015,852,遵义,220.75,10,27,10
201910271020,852,遵义,221.43,10,27,10
201910271025,852,遵义,227.68,10,27,10
201910271030,852,遵义,204.68,10,27,10
201910271035,852,遵义,281.67,10,27,10
201910271040,852,遵义,251.91,10,27,10
201910271045,852,遵义,266.35,10,27,10
201910271050,852,遵义,245.38,10,27,10
201910271055,852,遵义,227.63,10,27,10
201910271105,852,遵义,191.81,10,27,11
201910271110,852,遵义,181.81,10,27,11
201910271115,852,遵义,290.64,10,27,11
201910271120,852,遵义,517.67,10,27,11
201910271125,852,遵义,241.93,10,27,11
201910271130,852,遵义,400.32,10,27,11
201910271135,852,遵义,275.24,10,27,11
201910271140,852,遵义,257.24,10,27,11
201910271145,852,遵义,238.06,10,27,11
201910271150,852,遵义,342.00,10,27,11
201910271155,852,遵义,247.25,10,27,11
201910271200,852,遵义,303.97,10,27,12
201910271205,852,遵义,240.84,10,27,12
201910271210,852,遵义,287.22,10,27,12
201910271215,852,遵义,227.12,10,27,12
201910271220,852,遵义,289.62,10,27,12
201910271225,852,遵义,251.07,10,27,12
201910271230,852,遵义,242.45,10,27,12
201910271235,852,遵义,254.93,10,27,12
201910271240,852,遵义,261.90,10,27,12
201910271245,852,遵义,185.71,10,27,12
201910271250,852,遵义,278.12,10,27,12
201910271255,852,遵义,288.42,10,27,12
201910271300,852,遵义,226.27,10,27,13
201910271305,852,遵义,225.67,10,27,13
201910271310,852,遵义,270.50,10,27,13
201910271315,852,遵义,264.82,10,27,13
201910271320,852,遵义,234.47,10,27,13
201910271325,852,遵义,273.96,10,27,13
201910271330,852,遵义,344.81,10,27,13
201910271335,852,遵义,362.97,10,27,13
201910271340,852,遵义,235.79,10,27,13
201910271345,852,遵义,363.43,10,27,13
201910271350,852,遵义,241.73,10,27,13
201910271355,852,遵义,200.37,10,27,13
201910271400,852,遵义,220.66,10,27,14
201910271405,852,遵义,243.09,10,27,14
201910271410,852,遵义,217.85,10,27,14
201910271415,852,遵义,280.78,10,27,14
201910271420,852,遵义,228.71,10,27,14
201910271425,852,遵义,218.51,10,27,14
201910271430,852,遵义,245.07,10,27,14
201910271435,852,遵义,210.41,10,27,14
201910271440,852,遵义,165.05,10,27,14
201910271445,852,遵义,226.13,10,27,14
201910271450,852,遵义,192.28,10,27,14
201910271455,852,遵义,180.65,10,27,14
201910271500,852,遵义,196.65,10,27,15
201910271505,852,遵义,269.95,10,27,15
201910271510,852,遵义,225.03,10,27,15
201910271515,852,遵义,189.79,10,27,15
201910271520,852,遵义,214.44,10,27,15
201910271525,852,遵义,210.30,10,27,15
201910271530,852,遵义,217.08,10,27,15
201910271535,852,遵义,222.56,10,27,15
201910271540,852,遵义,243.02,10,27,15
201910271545,852,遵义,344.46,10,27,15
201910271550,852,遵义,201.92,10,27,15
201910271555,852,遵义,265.24,10,27,15
201910271600,852,遵义,183.27,10,27,16
201910271605,852,遵义,184.94,10,27,16
201910271610,852,遵义,244.49,10,27,16
201910271615,852,遵义,262.75,10,27,16
