日期,编码,地区,流量,月份,天,小时
201910270800,852,遵义,60302.34,10,27,08
201910270805,852,遵义,64047.15,10,27,08
201910270810,852,遵义,65924.17,10,27,08
201910270815,852,遵义,66673.48,10,27,08
201910270820,852,遵义,66815.87,10,27,08
201910270825,852,遵义,69162.66,10,27,08
201910270830,852,遵义,70630.69,10,27,08
201910270835,852,遵义,68435.30,10,27,08
201910270840,852,遵义,71001.51,10,27,08
201910270845,852,遵义,73381.72,10,27,08
201910270850,852,遵义,75278.95,10,27,08
201910270855,852,遵义,76584.62,10,27,08
201910270900,852,遵义,76411.96,10,27,09
201910270905,852,遵义,78868.82,10,27,09
201910270910,852,遵义,79330.95,10,27,09
201910270915,852,遵义,77608.97,10,27,09
201910270920,852,遵义,80857.69,10,27,09
201910270925,852,遵义,81135.77,10,27,09
201910270930,852,遵义,82863.48,10,27,09
201910270935,852,遵义,82761.51,10,27,09
201910270940,852,遵义,84237.41,10,27,09
201910270945,852,遵义,84228.19,10,27,09
201910270950,852,遵义,89254.79,10,27,09
201910270955,852,遵义,88754.00,10,27,09
201910271000,852,遵义,86128.28,10,27,10
201910271005,852,遵义,89544.30,10,27,10
201910271010,852,遵义,87439.85,10,27,10
201910271015,852,遵义,88828.01,10,27,10
201910271020,852,遵义,89426.74,10,27,10
201910271025,852,遵义,87286.79,10,27,10
201910271030,852,遵义,90847.35,10,27,10
201910271035,852,遵义,91071.32,10,27,10
201910271040,852,遵义,95707.85,10,27,10
201910271045,852,遵义,93383.77,10,27,10
201910271050,852,遵义,97845.62,10,27,10
201910271055,852,遵义,94511.92,10,27,10
201910271105,852,遵义,93978.65,10,27,11
201910271110,852,遵义,93257.82,10,27,11
201910271115,852,遵义,95495.28,10,27,11
201910271120,852,遵义,96417.94,10,27,11
201910271125,852,遵义,95466.06,10,27,11
201910271130,852,遵义,96794.70,10,27,11
201910271135,852,遵义,98317.33,10,27,11
201910271140,852,遵义,95073.81,10,27,11
201910271145,852,遵义,94324.77,10,27,11
201910271150,852,遵义,95745.17,10,27,11
201910271155,852,遵义,94200.51,10,27,11
201910271200,852,遵义,94610.23,10,27,12
201910271205,852,遵义,95952.90,10,27,12
201910271210,852,遵义,94704.86,10,27,12
201910271215,852,遵义,99394.02,10,27,12
201910271220,852,遵义,98269.05,10,27,12
201910271225,852,遵义,103131.65,10,27,12
201910271230,852,遵义,101713.32,10,27,12
201910271235,852,遵义,101217.59,10,27,12
201910271240,852,遵义,99576.09,10,27,12
201910271245,852,遵义,99241.54,10,27,12
201910271250,852,遵义,101583.37,10,27,12
201910271255,852,遵义,96566.06,10,27,12
201910271300,852,遵义,92840.04,10,27,13
201910271305,852,遵义,94535.54,10,27,13
201910271310,852,遵义,94840.14,10,27,13
201910271315,852,遵义,94943.37,10,27,13
201910271320,852,遵义,97969.20,10,27,13
201910271325,852,遵义,96549.77,10,27,13
201910271330,852,遵义,95735.91,10,27,13
201910271335,852,遵义,97387.43,10,27,13
201910271340,852,遵义,92653.63,10,27,13
201910271345,852,遵义,95203.07,10,27,13
201910271350,852,遵义,96828.10,10,27,13
201910271355,852,遵义,96426.73,10,27,13
201910271400,852,遵义,95112.16,10,27,14
201910271405,852,遵义,95380.09,10,27,14
201910271410,852,遵义,91860.51,10,27,14
201910271415,852,遵义,92256.93,10,27,14
201910271420,852,遵义,93219.30,10,27,14
201910271425,852,遵义,89075.31,10,27,14
201910271430,852,遵义,91255.47,10,27,14
201910271435,852,遵义,94187.24,10,27,14
201910271440,852,遵义,90725.05,10,27,14
201910271445,852,遵义,95883.84,10,27,14
201910271450,852,遵义,90825.05,10,27,14
201910271455,852,遵义,91774.22,10,27,14
201910271500,852,遵义,90739.14,10,27,15
201910271505,852,遵义,91646.76,10,27,15
201910271510,852,遵义,90577.40,10,27,15
201910271515,852,遵义,93467.32,10,27,15
201910271520,852,遵义,90307.43,10,27,15
