日期,编码,地区,流量,月份,天,小时
201910270800,852,遵义,5981.55,10,27,08
201910270805,852,遵义,6397.47,10,27,08
201910270810,852,遵义,6261.21,10,27,08
201910270815,852,遵义,6808.52,10,27,08
201910270820,852,遵义,6224.06,10,27,08
201910270825,852,遵义,6161.75,10,27,08
201910270830,852,遵义,6417.39,10,27,08
201910270835,852,遵义,7054.56,10,27,08
201910270840,852,遵义,7004.99,10,27,08
201910270845,852,遵义,6758.12,10,27,08
201910270850,852,遵义,7348.07,10,27,08
201910270855,852,遵义,9177.13,10,27,08
201910270900,852,遵义,9061.16,10,27,09
201910270905,852,遵义,8772.73,10,27,09
201910270910,852,遵义,8710.47,10,27,09
201910270915,852,遵义,8845.01,10,27,09
201910270920,852,遵义,8781.72,10,27,09
201910270925,852,遵义,10206.48,10,27,09
201910270930,852,遵义,9633.14,10,27,09
201910270935,852,遵义,7854.76,10,27,09
201910270940,852,遵义,8755.53,10,27,09
201910270945,852,遵义,9737.14,10,27,09
201910270950,852,遵义,9825.74,10,27,09
201910270955,852,遵义,8986.76,10,27,09
201910271000,852,遵义,9295.86,10,27,10
201910271005,852,遵义,9745.12,10,27,10
201910271010,852,遵义,10048.38,10,27,10
201910271015,852,遵义,10542.95,10,27,10
201910271020,852,遵义,10313.78,10,27,10
201910271025,852,遵义,10334.27,10,27,10
201910271030,852,遵义,10233.26,10,27,10
201910271035,852,遵义,9945.54,10,27,10
201910271040,852,遵义,11680.93,10,27,10
201910271045,852,遵义,11317.75,10,27,10
201910271050,852,遵义,11771.99,10,27,10
201910271055,852,遵义,13663.91,10,27,10
201910271105,852,遵义,10866.51,10,27,11
201910271110,852,遵义,11444.63,10,27,11
201910271115,852,遵义,11214.14,10,27,11
201910271120,852,遵义,13934.10,10,27,11
201910271125,852,遵义,10085.14,10,27,11
201910271130,852,遵义,10383.32,10,27,11
201910271135,852,遵义,10038.85,10,27,11
201910271140,852,遵义,12490.54,10,27,11
201910271145,852,遵义,9079.70,10,27,11
201910271150,852,遵义,10339.29,10,27,11
201910271155,852,遵义,10119.39,10,27,11
201910271200,852,遵义,10483.99,10,27,12
201910271205,852,遵义,9873.48,10,27,12
201910271210,852,遵义,11723.77,10,27,12
201910271215,852,遵义,11582.62,10,27,12
201910271220,852,遵义,12102.38,10,27,12
201910271225,852,遵义,10974.50,10,27,12
201910271230,852,遵义,13003.74,10,27,12
201910271235,852,遵义,14062.18,10,27,12
201910271240,852,遵义,12590.47,10,27,12
201910271245,852,遵义,12178.39,10,27,12
201910271250,852,遵义,12323.93,10,27,12
201910271255,852,遵义,12950.70,10,27,12
201910271300,852,遵义,11230.38,10,27,13
201910271305,852,遵义,13081.68,10,27,13
201910271310,852,遵义,11977.52,10,27,13
201910271315,852,遵义,11998.72,10,27,13
201910271320,852,遵义,10620.17,10,27,13
201910271325,852,遵义,10033.94,10,27,13
201910271330,852,遵义,14545.35,10,27,13
201910271335,852,遵义,15396.90,10,27,13
201910271340,852,遵义,11123.52,10,27,13
201910271345,852,遵义,11265.37,10,27,13
201910271350,852,遵义,10008.91,10,27,13
201910271355,852,遵义,10578.82,10,27,13
201910271400,852,遵义,14226.63,10,27,14
201910271405,852,遵义,12188.99,10,27,14
201910271410,852,遵义,11687.94,10,27,14
