日期,编码,地区,流量,月份,天,小时
201910270800,852,遵义,1359.57,10,27,08
201910270805,852,遵义,1433.31,10,27,08
201910270810,852,遵义,1789.03,10,27,08
201910270815,852,遵义,1318.75,10,27,08
201910270820,852,遵义,1903.34,10,27,08
201910270825,852,遵义,1513.02,10,27,08
201910270830,852,遵义,2050.99,10,27,08
201910270835,852,遵义,1652.99,10,27,08
201910270840,852,遵义,1602.65,10,27,08
201910270845,852,遵义,1936.93,10,27,08
201910270850,852,遵义,1581.57,10,27,08
201910270855,852,遵义,1826.44,10,27,08
201910270900,852,遵义,1228.86,10,27,09
201910270905,852,遵义,1932.59,10,27,09
201910270910,852,遵义,1446.54,10,27,09
201910270915,852,遵义,1610.14,10,27,09
201910270920,852,遵义,1682.01,10,27,09
201910270925,852,遵义,1799.01,10,27,09
201910270930,852,遵义,1663.16,10,27,09
201910270935,852,遵义,1825.05,10,27,09
201910270940,852,遵义,1977.60,10,27,09
201910270945,852,遵义,1536.36,10,27,09
201910270950,852,遵义,2364.00,10,27,09
201910270955,852,遵义,2158.30,10,27,09
201910271000,852,遵义,2438.48,10,27,10
201910271005,852,遵义,2346.22,10,27,10
201910271010,852,遵义,3076.22,10,27,10
201910271015,852,遵义,2402.06,10,27,10
201910271020,852,遵义,2613.47,10,27,10
201910271025,852,遵义,2779.67,10,27,10
201910271030,852,遵义,3286.77,10,27,10
201910271035,852,遵义,2434.98,10,27,10
201910271040,852,遵义,2266.72,10,27,10
201910271045,852,遵义,3015.72,10,27,10
201910271050,852,遵义,2379.81,10,27,10
201910271055,852,遵义,2840.64,10,27,10
201910271105,852,遵义,2555.89,10,27,11
201910271110,852,遵义,2359.13,10,27,11
201910271115,852,遵义,2370.26,10,27,11
201910271120,852,遵义,2259.23,10,27,11
201910271125,852,遵义,2570.43,10,27,11
201910271130,852,遵义,2583.08,10,27,11
201910271135,852,遵义,2424.15,10,27,11
201910271140,852,遵义,2840.05,10,27,11
201910271145,852,遵义,1595.71,10,27,11
201910271150,852,遵义,3282.21,10,27,11
201910271155,852,遵义,2028.82,10,27,11
201910271200,852,遵义,3452.16,10,27,12
201910271205,852,遵义,2209.58,10,27,12
201910271210,852,遵义,3007.62,10,27,12
201910271215,852,遵义,2750.35,10,27,12
201910271220,852,遵义,2409.22,10,27,12
201910271225,852,遵义,2258.15,10,27,12
201910271230,852,遵义,2394.10,10,27,12
201910271235,852,遵义,2809.05,10,27,12
201910271240,852,遵义,2705.70,10,27,12
201910271245,852,遵义,2942.01,10,27,12
201910271250,852,遵义,1873.41,10,27,12
201910271255,852,遵义,3068.57,10,27,12
201910271300,852,遵义,1997.16,10,27,13
201910271305,852,遵义,2089.59,10,27,13
201910271310,852,遵义,2355.35,10,27,13
201910271315,852,遵义,2076.27,10,27,13
201910271320,852,遵义,2253.17,10,27,13
201910271325,852,遵义,1906.18,10,27,13
201910271330,852,遵义,2193.88,10,27,13
201910271335,852,遵义,2305.51,10,27,13
201910271340,852,遵义,2924.41,10,27,13
201910271345,852,遵义,2131.58,10,27,13
201910271350,852,遵义,3444.02,10,27,13
201910271355,852,遵义,1691.74,10,27,13
201910271400,852,遵义,2284.19,10,27,14
201910271405,852,遵义,1604.02,10,27,14
201910271410,852,遵义,2899.77,10,27,14
201910271415,852,遵义,2135.55,10,27,14
201910271420,852,遵义,3313.85,10,27,14
201910271425,852,遵义,2241.55,10,27,14
201910271430,852,遵义,2754.40,10,27,14
201910271435,852,遵义,2449.12,10,27,14
201910271440,852,遵义,2476.69,10,27,14
201910271445,852,遵义,2619.25,10,27,14
201910271450,852,遵义,2320.95,10,27,14
201910271455,852,遵义,2294.74,10,27,14
201910271500,852,遵义,2407.98,10,27,15
201910271505,852,遵义,2381.37,10,27,15
201910271510,852,遵义,2762.52,10,27,15
201910271515,852,遵义,2326.52,10,27,15
201910271520,852,遵义,2600.91,10,27,15
201910271525,852,遵义,1816.25,10,27,15
201910271530,852,遵义,2681.98,10,27,15
201910271535,852,遵义,2133.88,10,27,15
201910271540,852,遵义,2536.19,10,27,15
201910271545,852,遵义,1907.30,10,27,15
201910271550,852,遵义,2163.46,10,27,15
201910271555,852,遵义,1889.92,10,27,15
201910271600,852,遵义,2004.21,10,27,16
201910271605,852,遵义,2561.13,10,27,16
201910271610,852,遵义,2388.29,10,27,16
201910271615,852,遵义,2547.36,10,27,16
201910271620,852,遵义,1965.36,10,27,16
201910271625,852,遵义,1882.71,10,27,16
201910271630,852,遵义,2610.54,10,27,16
201910271635,852,遵义,2031.16,10,27,16
201910271640,852,遵义,2346.65,10,27,16
201910271645,852,遵义,2109.91,10,27,16
201910271650,852,遵义,1900.78,10,27,16
201910271655,852,遵义,1787.16,10,27,16
201910271700,852,遵义,2521.07,10,27,17
201910271705,852,遵义,2189.11,10,27,17
201910271710,852,遵义,2085.77,10,27,17
201910271715,852,遵义,1794.22,10,27,17
201910271720,852,遵义,2017.43,10,27,17
201910271725,852,遵义,1945.46,10,27,17
201910271730,852,遵义,1879.00,10,27,17
201910271735,852,遵义,1676.76,10,27,17
201910271740,852,遵义,1699.93,10,27,17
201910271745,852,遵义,1511.10,10,27,17
201910271750,852,遵义,1731.27,10,27,17
201910271755,852,遵义,1272.80,10,27,17
201910271800,852,遵义,1721.92,10,27,18
201910271805,852,遵义,1580.70,10,27,18
201910271810,852,遵义,2077.24,10,27,18
201910271815,852,遵义,1339.95,10,27,18
201910271820,852,遵义,1171.79,10,27,18
201910271825,852,遵义,1701.18,10,27,18
201910271830,852,遵义,1020.38,10,27,18
201910271835,852,遵义,1267.35,10,27,18
201910271840,852,遵义,1209.81,10,27,18
201910271845,852,遵义,1746.04,10,27,18
201910271850,852,遵义,1190.54,10,27,18
201910271855,852,遵义,1906.12,10,27,18
201910271900,852,遵义,1374.94,10,27,19
201910271905,852,遵义,1847.55,10,27,19
201910271910,852,遵义,1780.19,10,27,19
201910271915,852,遵义,2849.39,10,27,19
201910271920,852,遵义,1989.06,10,27,19
201910271925,852,遵义,2317.50,10,27,19
201910271930,852,遵义,1725.17,10,27,19
201910271935,852,遵义,2416.73,10,27,19
201910271940,852,遵义,2401.33,10,27,19
201910271945,852,遵义,2474.15,10,27,19
201910271950,852,遵义,2439.70,10,27,19
201910271955,852,遵义,2127.35,10,27,19
201910272000,852,遵义,2742.23,10,27,20
201910272005,852,遵义,2237.84,10,27,20
201910272010,852,遵义,2255.88,10,27,20
201910272015,852,遵义,1937.37,10,27,20
201910272020,852,遵义,2134.78,10,27,20
201910272025,852,遵义,2334.05,10,27,20
201910272030,852,遵义,2167.34,10,27,20
201910272035,852,遵义,2452.39,10,27,20
201910272040,852,遵义,2451.27,10,27,20
201910272045,852,遵义,2076.44,10,27,20
201910272050,852,遵义,2540.11,10,27,20
201910272055,852,遵义,2014.57,10,27,20
201910272100,852,遵义,2474.36,10,27,21
201910272105,852,遵义,1945.63,10,27,21
201910272110,852,遵义,2144.26,10,27,21
201910272115,852,遵义,2146.52,10,27,21
201910272120,852,遵义,2243.31,10,27,21
201910272125,852,遵义,1896.64,10,27,21
201910272130,852,遵义,1959.45,10,27,21
201910272135,852,遵义,1353.11,10,27,21
201910272140,852,遵义,2136.15,10,27,21
201910272145,852,遵义,1760.43,10,27,21
201910272150,852,遵义,1768.90,10,27,21
201910272155,852,遵义,2262.18,10,27,21
201910272200,852,遵义,2130.82,10,27,22
201910272205,852,遵义,1502.70,10,27,22
201910272210,852,遵义,2435.22,10,27,22
201910272215,852,遵义,1822.37,10,27,22
201910272220,852,遵义,2242.10,10,27,22
201910272225,852,遵义,2269.86,10,27,22
201910272230,852,遵义,1783.27,10,27,22
201910272235,852,遵义,2005.80,10,27,22
201910272240,852,遵义,2275.52,10,27,22
201910272245,852,遵义,2216.01,10,27,22
201910272250,852,遵义,1706.88,10,27,22
201910272255,852,遵义,1654.19,10,27,22
201910272300,852,遵义,1927.51,10,27,23
201910272305,852,遵义,1892.51,10,27,23
201910272310,852,遵义,1834.19,10,27,23
201910272315,852,遵义,2144.70,10,27,23
201910272320,852,遵义,2029.12,10,27,23
201910272325,852,遵义,2096.58,10,27,23
201910272330,852,遵义,1877.03,10,27,23
201910272335,852,遵义,1902.98,10,27,23
201910272340,852,遵义,1606.35,10,27,23
201910272345,852,遵义,2086.59,10,27,23
201910272350,852,遵义,1955.03,10,27,23
201910272355,852,遵义,1255.95,10,27,23
201910280800,852,遵义,667.21,10,28,08
201910280805,852,遵义,441.74,10,28,08
201910280810,852,遵义,977.45,10,28,08
201910280815,852,遵义,424.66,10,28,08
201910280820,852,遵义,710.07,10,28,08
201910280825,852,遵义,469.45,10,28,08
201910280830,852,遵义,781.96,10,28,08
201910280835,852,遵义,585.41,10,28,08
201910280840,852,遵义,899.62,10,28,08
201910280845,852,遵义,530.65,10,28,08
201910280850,852,遵义,608.28,10,28,08
201910280855,852,遵义,591.40,10,28,08
201910280900,852,遵义,589.55,10,28,09
201910280905,852,遵义,638.51,10,28,09
201910280910,852,遵义,575.61,10,28,09
201910280915,852,遵义,479.84,10,28,09
201910280920,852,遵义,628.79,10,28,09
