201911151135:59.80253601074219, 201911151140:61.560516357421875, 201911151145:63.31849670410156, 201911151150:65.07647705078125, 201911151155:66.83447265625, 201911151200:46.560272216796875, 201911151205:48.31825256347656, 201911151210:50.07623291015625, 201911151215:51.83421325683594, 201911151220:53.592193603515625, 201911151225:55.35017395019531, 201911151230:57.108154296875, 
201911151135:58.99474334716797, 201911151140:60.02622985839844, 201911151145:61.057716369628906, 201911151150:62.089195251464844, 201911151155:63.12068176269531, 201911151200:51.16956329345703, 201911151205:52.2010498046875, 201911151210:53.23253631591797, 201911151215:54.264015197753906, 201911151220:55.295501708984375, 201911151225:56.32698059082031, 201911151230:57.35846710205078, 
201911151135:54.384178161621094, 201911151140:55.74037170410156, 201911151145:57.09656524658203, 201911151150:58.4527587890625, 201911151155:59.80895233154297, 201911151200:44.84473419189453, 201911151205:46.200927734375, 201911151210:47.55712127685547, 201911151215:48.91331481933594, 201911151220:50.269508361816406, 201911151225:51.625701904296875, 201911151230:52.981895446777344, 
201911151135:63.312076568603516, 201911151140:63.87596893310547, 201911151145:64.43986129760742, 201911151150:65.00375747680664, 201911151155:65.5676498413086, 201911151200:58.7801399230957, 201911151205:59.344032287597656, 201911151210:59.90792465209961, 201911151215:60.47181701660156, 201911151220:61.035709381103516, 201911151225:61.59960174560547, 201911151230:62.16349411010742, 
201911151135:56.05751609802246, 201911151140:56.42515754699707, 201911151145:56.79279899597168, 201911151150:57.16044044494629, 201911151155:57.528079986572266, 201911151200:53.021148681640625, 201911151205:53.3887882232666, 201911151210:53.75642967224121, 201911151215:54.12407112121582, 201911151220:54.49171257019043, 201911151225:54.859352111816406, 201911151230:55.226993560791016, 
201911151135:64.57931518554688, 201911151140:66.02777862548828, 201911151145:67.47624206542969, 201911151150:68.9247055053711, 201911151155:70.3731689453125, 201911151200:53.80708312988281, 201911151205:55.25554656982422, 201911151210:56.704010009765625, 201911151215:58.15248107910156, 201911151220:59.60094451904297, 201911151225:61.049407958984375, 201911151230:62.49787139892578, 
201911151135:65.69603729248047, 201911151140:66.49919891357422, 201911151145:67.30236053466797, 201911151150:68.10552215576172, 201911151155:68.90868377685547, 201911151200:60.030582427978516, 201911151205:60.833744049072266, 201911151210:61.636905670166016, 201911151215:62.440067291259766, 201911151220:63.243228912353516, 201911151225:64.04639053344727, 201911151230:64.84955215454102, 
201911151135:69.4332046508789, 201911151140:70.90850830078125, 201911151145:72.3838119506836, 201911151150:73.85911560058594, 201911151155:75.33441925048828, 201911151200:59.09162139892578, 201911151205:60.566925048828125, 201911151210:62.04222869873047, 201911151215:63.51753234863281, 201911151220:64.99283599853516, 201911151225:66.4681396484375, 201911151230:67.94344329833984, 
201911151135:61.54097366333008, 201911151140:62.316471099853516, 201911151145:63.09197235107422, 201911151150:63.867469787597656, 201911151155:64.6429672241211, 201911151200:56.20514678955078, 201911151205:56.98064422607422, 201911151210:57.75614547729492, 201911151215:58.53164291381836, 201911151220:59.3071403503418, 201911151225:60.0826416015625, 201911151230:60.85813903808594, 
201911151135:52.10332489013672, 201911151140:52.990020751953125, 201911151145:53.87671661376953, 201911151150:54.76341247558594, 201911151155:55.650108337402344, 201911151200:44.61199188232422, 201911151205:45.498687744140625, 201911151210:46.38538360595703, 201911151215:47.272071838378906, 201911151220:48.15876770019531, 201911151225:49.04546356201172, 201911151230:49.932159423828125, 
201911151135:55.891876220703125, 201911151140:57.85504150390625, 201911151145:59.818206787109375, 201911151150:61.7813720703125, 201911151155:63.74452209472656, 201911151200:41.62113952636719, 201911151205:43.58428955078125, 201911151210:45.547454833984375, 201911151215:47.5106201171875, 201911151220:49.47377014160156, 201911151225:51.43693542480469, 201911151230:53.40010070800781, 
201911151135:54.54507064819336, 201911151140:54.46820068359375, 201911151145:54.39133071899414, 201911151150:54.31446123123169, 201911151155:54.23759126663208, 201911151200:54.0562481880188, 201911151205:53.97937870025635, 201911151210:53.90250873565674, 201911151215:53.82563924789429, 201911151220:53.74876928329468, 201911151225:53.67189979553223, 201911151230:53.59502983093262, 
201911151135:66.27962017059326, 201911151140:66.43461990356445, 201911151145:66.58961868286133, 201911151150:66.74461841583252, 201911151155:66.89961814880371, 201911151200:64.3753776550293, 201911151205:64.53037643432617, 201911151210:64.68537616729736, 201911151215:64.84037590026855, 201911151220:64.99537563323975, 201911151225:65.15037441253662, 201911151230:65.30537414550781, 
201911151135:60.42536926269531, 201911151140:62.52082824707031, 201911151145:64.61628723144531, 201911151150:66.71173095703125, 201911151155:68.80718994140625, 201911151200:45.64776611328125, 201911151205:47.74322509765625, 201911151210:49.83868408203125, 201911151215:51.93412780761719, 201911151220:54.02958679199219, 201911151225:56.125030517578125, 201911151230:58.220489501953125, 
201911151135:52.44784736633301, 201911151140:52.7023811340332, 201911151145:52.95691680908203, 201911151150:53.21145057678223, 201911151155:53.46598434448242, 201911151200:49.57744789123535, 201911151205:49.83198356628418, 201911151210:50.086517333984375, 201911151215:50.34105110168457, 201911151220:50.595584869384766, 201911151225:50.850120544433594, 201911151230:51.10465431213379, 
201911151135:65.69770050048828, 201911151140:66.77213287353516, 201911151145:67.8465576171875, 201911151150:68.92098999023438, 201911151155:69.99541473388672, 201911151200:57.83837127685547, 201911151205:58.91279602050781, 201911151210:59.98722839355469, 201911151215:61.06165313720703, 201911151220:62.136085510253906, 201911151225:63.21051025390625, 201911151230:64.28494262695312, 
