日期,编码,地区,业务类型,流量
201910270800,853,安顺,游戏,2549.10
201910270805,853,安顺,游戏,2345.20
201910270810,853,安顺,游戏,2496.28
201910270815,853,安顺,游戏,3207.74
201910270820,853,安顺,游戏,3622.76
201910270825,853,安顺,游戏,3252.18
201910270830,853,安顺,游戏,2953.18
201910270835,853,安顺,游戏,3046.50
201910270840,853,安顺,游戏,4073.47
201910270845,853,安顺,游戏,3545.37
201910270850,853,安顺,游戏,3805.96
201910270855,853,安顺,游戏,4846.15
201910270900,853,安顺,游戏,4720.10
201910270905,853,安顺,游戏,4474.87
201910270910,853,安顺,游戏,4603.64
201910270915,853,安顺,游戏,6010.28
201910270920,853,安顺,游戏,4945.25
201910270925,853,安顺,游戏,5205.79
201910270930,853,安顺,游戏,4946.69
201910270935,853,安顺,游戏,4888.13
201910270940,853,安顺,游戏,5607.14
201910270945,853,安顺,游戏,5707.75
201910270950,853,安顺,游戏,6281.60
201910270955,853,安顺,游戏,6069.61
201910271000,853,安顺,游戏,6532.23
201910271005,853,安顺,游戏,5942.22
201910271010,853,安顺,游戏,6363.52
201910271015,853,安顺,游戏,5872.03
201910271020,853,安顺,游戏,6224.61
201910271025,853,安顺,游戏,6227.55
201910271030,853,安顺,游戏,6618.51
201910271035,853,安顺,游戏,7011.79
201910271040,853,安顺,游戏,6491.07
201910271045,853,安顺,游戏,7268.32
201910271050,853,安顺,游戏,6807.82
201910271055,853,安顺,游戏,8150.66
201910271105,853,安顺,游戏,7324.36
201910271110,853,安顺,游戏,7287.96
201910271115,853,安顺,游戏,7698.64
201910271120,853,安顺,游戏,7234.71
201910271125,853,安顺,游戏,8170.30
201910271130,853,安顺,游戏,8259.57
201910271135,853,安顺,游戏,7336.51
201910271140,853,安顺,游戏,7562.68
201910271145,853,安顺,游戏,7996.78
201910271150,853,安顺,游戏,9942.06
201910271155,853,安顺,游戏,7116.00
201910271200,853,安顺,游戏,8523.79
201910271205,853,安顺,游戏,7297.82
201910271210,853,安顺,游戏,6972.73
201910271215,853,安顺,游戏,7815.55
201910271220,853,安顺,游戏,8690.13
201910271225,853,安顺,游戏,8012.68
201910271230,853,安顺,游戏,8002.92
201910271235,853,安顺,游戏,7921.20
201910271240,853,安顺,游戏,7981.12
201910271245,853,安顺,游戏,7623.90
201910271250,853,安顺,游戏,7799.41
201910271255,853,安顺,游戏,7958.57
201910271300,853,安顺,游戏,7930.28
201910271305,853,安顺,游戏,8429.79
201910271310,853,安顺,游戏,7605.68
201910271315,853,安顺,游戏,7959.59
201910271320,853,安顺,游戏,8064.10
201910271325,853,安顺,游戏,8236.10
201910271330,853,安顺,游戏,7614.20
201910271335,853,安顺,游戏,8317.61
201910271340,853,安顺,游戏,7685.89
201910271345,853,安顺,游戏,8619.00
201910271350,853,安顺,游戏,8243.77
201910271355,853,安顺,游戏,8466.82
201910271400,853,安顺,游戏,7927.39
201910271405,853,安顺,游戏,8279.11
201910271410,853,安顺,游戏,8324.56
201910271415,853,安顺,游戏,8023.05
201910271420,853,安顺,游戏,7592.11
201910271425,853,安顺,游戏,7568.84
201910271430,853,安顺,游戏,7017.86
201910271435,853,安顺,游戏,8617.54
201910271440,853,安顺,游戏,7005.84
201910271445,853,安顺,游戏,8148.60
201910271450,853,安顺,游戏,7609.73
201910271455,853,安顺,游戏,7155.91
201910271500,853,安顺,游戏,7549.51
201910271505,853,安顺,游戏,7770.13
201910271510,853,安顺,游戏,7321.24
201910271515,853,安顺,游戏,7528.52
201910271520,853,安顺,游戏,8379.72
201910271525,853,安顺,游戏,7482.93
201910271530,853,安顺,游戏,7359.50
201910271535,853,安顺,游戏,7144.69
201910271540,853,安顺,游戏,6500.50
201910271545,853,安顺,游戏,6972.62
201910271550,853,安顺,游戏,7526.12
201910271555,853,安顺,游戏,7067.30
201910271600,853,安顺,游戏,6243.42
201910271605,853,安顺,游戏,6381.45
201910271610,853,安顺,游戏,6384.94
201910271615,853,安顺,游戏,7219.44
201910271620,853,安顺,游戏,6578.39
201910271625,853,安顺,游戏,6503.23
201910271630,853,安顺,游戏,7231.89
201910271635,853,安顺,游戏,6405.75
201910271640,853,安顺,游戏,5818.32
201910271645,853,安顺,游戏,6535.08
201910271650,853,安顺,游戏,6400.29
201910271655,853,安顺,游戏,6904.42
201910271700,853,安顺,游戏,6580.71
201910271705,853,安顺,游戏,6374.08
201910271710,853,安顺,游戏,6345.54
201910271715,853,安顺,游戏,6123.98
201910271720,853,安顺,游戏,6111.88
201910271725,853,安顺,游戏,5755.47
201910271730,853,安顺,游戏,5870.22
201910271735,853,安顺,游戏,5621.93
201910271740,853,安顺,游戏,5333.90
201910271745,853,安顺,游戏,5827.14
201910271750,853,安顺,游戏,4905.26
201910271755,853,安顺,游戏,5370.33
201910271800,853,安顺,游戏,4781.93
201910271805,853,安顺,游戏,4880.32
201910271810,853,安顺,游戏,5164.05
201910271815,853,安顺,游戏,4876.69
201910271820,853,安顺,游戏,4793.27
201910271825,853,安顺,游戏,5112.69
201910271830,853,安顺,游戏,5433.67
201910271835,853,安顺,游戏,5323.02
201910271840,853,安顺,游戏,4741.80
201910271845,853,安顺,游戏,4357.11
201910271850,853,安顺,游戏,4452.98
201910271855,853,安顺,游戏,4992.40
201910271900,853,安顺,游戏,4675.80
201910271905,853,安顺,游戏,4636.21
201910271910,853,安顺,游戏,4739.84
201910271915,853,安顺,游戏,4867.52
201910271920,853,安顺,游戏,5347.95
201910271925,853,安顺,游戏,5379.88
201910271930,853,安顺,游戏,5605.38
201910271935,853,安顺,游戏,5939.33
201910271940,853,安顺,游戏,6076.45
201910271945,853,安顺,游戏,6269.92
201910271950,853,安顺,游戏,6135.79
201910271955,853,安顺,游戏,6857.41
201910272000,853,安顺,游戏,5735.30
201910272005,853,安顺,游戏,6013.51
201910272010,853,安顺,游戏,6367.38
201910272015,853,安顺,游戏,6467.08
201910272020,853,安顺,游戏,6415.80
201910272025,853,安顺,游戏,6848.76
201910272030,853,安顺,游戏,6554.35
201910272035,853,安顺,游戏,6746.92
201910272040,853,安顺,游戏,6774.36
201910272045,853,安顺,游戏,6783.02
201910272050,853,安顺,游戏,6740.09
201910272055,853,安顺,游戏,6076.96
201910272100,853,安顺,游戏,6108.97
201910272105,853,安顺,游戏,6621.79
201910272110,853,安顺,游戏,7050.24
201910272115,853,安顺,游戏,6223.36
201910272120,853,安顺,游戏,6256.52
201910272125,853,安顺,游戏,9183.66
201910272130,853,安顺,游戏,6267.86
201910272135,853,安顺,游戏,5494.67
201910272140,853,安顺,游戏,6265.61
201910272145,853,安顺,游戏,6610.31
201910272150,853,安顺,游戏,6484.21
201910272155,853,安顺,游戏,6497.18
201910272200,853,安顺,游戏,6791.39
201910272205,853,安顺,游戏,6463.95
201910272210,853,安顺,游戏,6247.51
201910272215,853,安顺,游戏,6562.53
201910272220,853,安顺,游戏,6619.12
