日期,编码,地区,业务类型,流量
201910270800,853,安顺,彩信,0.56
201910270805,853,安顺,彩信,0.62
201910270810,853,安顺,彩信,0.38
201910270815,853,安顺,彩信,0.40
201910270820,853,安顺,彩信,0.56
201910270825,853,安顺,彩信,1.03
201910270830,853,安顺,彩信,4.45
201910270835,853,安顺,彩信,0.98
201910270840,853,安顺,彩信,4.54
201910270845,853,安顺,彩信,2.27
201910270850,853,安顺,彩信,0.63
201910270855,853,安顺,彩信,0.72
201910270900,853,安顺,彩信,3.46
201910270905,853,安顺,彩信,2.34
201910270910,853,安顺,彩信,1.53
201910270915,853,安顺,彩信,2.90
201910270920,853,安顺,彩信,4.70
201910270925,853,安顺,彩信,9.06
201910270930,853,安顺,彩信,33.95
201910270935,853,安顺,彩信,43.14
201910270940,853,安顺,彩信,46.80
201910270945,853,安顺,彩信,44.22
201910270950,853,安顺,彩信,35.05
201910270955,853,安顺,彩信,38.45
201910271000,853,安顺,彩信,93.06
201910271005,853,安顺,彩信,89.23
201910271010,853,安顺,彩信,22.54
201910271015,853,安顺,彩信,11.91
201910271020,853,安顺,彩信,9.52
201910271025,853,安顺,彩信,6.85
201910271030,853,安顺,彩信,7.02
201910271035,853,安顺,彩信,5.53
201910271040,853,安顺,彩信,22.84
201910271045,853,安顺,彩信,34.03
201910271050,853,安顺,彩信,41.91
201910271055,853,安顺,彩信,58.90
201910271105,853,安顺,彩信,41.94
201910271110,853,安顺,彩信,42.01
201910271115,853,安顺,彩信,51.92
201910271120,853,安顺,彩信,46.63
201910271125,853,安顺,彩信,52.16
201910271130,853,安顺,彩信,22.64
201910271135,853,安顺,彩信,7.44
201910271140,853,安顺,彩信,12.96
201910271145,853,安顺,彩信,10.47
201910271150,853,安顺,彩信,12.44
201910271155,853,安顺,彩信,13.48
201910271200,853,安顺,彩信,13.47
201910271205,853,安顺,彩信,12.05
201910271210,853,安顺,彩信,6.50
201910271215,853,安顺,彩信,50.22
201910271220,853,安顺,彩信,61.44
201910271225,853,安顺,彩信,8.93
201910271230,853,安顺,彩信,12.17
201910271235,853,安顺,彩信,8.06
201910271240,853,安顺,彩信,11.10
201910271245,853,安顺,彩信,7.56
201910271250,853,安顺,彩信,5.73
201910271255,853,安顺,彩信,6.38
201910271300,853,安顺,彩信,6.33
201910271305,853,安顺,彩信,3.65
201910271310,853,安顺,彩信,2.58
201910271315,853,安顺,彩信,4.64
201910271320,853,安顺,彩信,3.32
201910271325,853,安顺,彩信,4.77
201910271330,853,安顺,彩信,3.06
201910271335,853,安顺,彩信,4.14
201910271340,853,安顺,彩信,3.38
201910271345,853,安顺,彩信,3.38
201910271350,853,安顺,彩信,4.47
201910271355,853,安顺,彩信,2.20
201910271400,853,安顺,彩信,5.06
201910271405,853,安顺,彩信,3.50
201910271410,853,安顺,彩信,2.34
201910271415,853,安顺,彩信,3.08
201910271420,853,安顺,彩信,5.30
201910271425,853,安顺,彩信,3.62
201910271430,853,安顺,彩信,10.87
201910271435,853,安顺,彩信,11.06
201910271440,853,安顺,彩信,6.84
201910271445,853,安顺,彩信,10.33
201910271450,853,安顺,彩信,5.46
201910271455,853,安顺,彩信,2.69
201910271500,853,安顺,彩信,2.88
201910271505,853,安顺,彩信,2.42
201910271510,853,安顺,彩信,4.32
201910271515,853,安顺,彩信,4.25
201910271520,853,安顺,彩信,2.91
201910271525,853,安顺,彩信,2.01
201910271530,853,安顺,彩信,3.29
201910271535,853,安顺,彩信,0.98
201910271540,853,安顺,彩信,1.99
201910271545,853,安顺,彩信,3.20
201910271550,853,安顺,彩信,2.37
201910271555,853,安顺,彩信,1.70
201910271600,853,安顺,彩信,6.79
201910271605,853,安顺,彩信,3.22
201910271610,853,安顺,彩信,1.69
201910271615,853,安顺,彩信,2.65
201910271620,853,安顺,彩信,3.46
201910271625,853,安顺,彩信,2.60
201910271630,853,安顺,彩信,1.89
201910271635,853,安顺,彩信,4.40
201910271640,853,安顺,彩信,1.85
201910271645,853,安顺,彩信,2.67
201910271650,853,安顺,彩信,2.40
201910271655,853,安顺,彩信,3.05
201910271700,853,安顺,彩信,9.53
201910271705,853,安顺,彩信,3.56
201910271710,853,安顺,彩信,1.79
201910271715,853,安顺,彩信,4.76
201910271720,853,安顺,彩信,6.74
201910271725,853,安顺,彩信,1.96
201910271730,853,安顺,彩信,3.07
201910271735,853,安顺,彩信,1.20
201910271740,853,安顺,彩信,113.12
201910271745,853,安顺,彩信,58.01
201910271750,853,安顺,彩信,193.81
201910271755,853,安顺,彩信,187.70
201910271800,853,安顺,彩信,65.47
201910271805,853,安顺,彩信,137.09
201910271810,853,安顺,彩信,80.86
201910271815,853,安顺,彩信,92.50
201910271820,853,安顺,彩信,132.21
201910271825,853,安顺,彩信,73.49
