日期,编码,地区,业务类型,流量
201910270800,853,安顺,新业务,3428.95
201910270805,853,安顺,新业务,3251.83
201910270810,853,安顺,新业务,4792.52
201910270815,853,安顺,新业务,4017.32
201910270820,853,安顺,新业务,3519.62
201910270825,853,安顺,新业务,3697.70
201910270830,853,安顺,新业务,4190.76
201910270835,853,安顺,新业务,4197.72
201910270840,853,安顺,新业务,4178.94
201910270845,853,安顺,新业务,4583.35
201910270850,853,安顺,新业务,4700.68
201910270855,853,安顺,新业务,3758.44
201910270900,853,安顺,新业务,4263.27
201910270905,853,安顺,新业务,5043.35
201910270910,853,安顺,新业务,4033.09
201910270915,853,安顺,新业务,4502.37
201910270920,853,安顺,新业务,5530.68
201910270925,853,安顺,新业务,4985.27
201910270930,853,安顺,新业务,5929.90
201910270935,853,安顺,新业务,5255.01
201910270940,853,安顺,新业务,5979.99
201910270945,853,安顺,新业务,4414.16
201910270950,853,安顺,新业务,6982.57
201910270955,853,安顺,新业务,5666.02
201910271000,853,安顺,新业务,6131.77
201910271005,853,安顺,新业务,5417.10
201910271010,853,安顺,新业务,5540.52
201910271015,853,安顺,新业务,5940.62
201910271020,853,安顺,新业务,4896.21
201910271025,853,安顺,新业务,4827.58
201910271030,853,安顺,新业务,5484.47
201910271035,853,安顺,新业务,5513.86
201910271040,853,安顺,新业务,5338.05
201910271045,853,安顺,新业务,6397.86
201910271050,853,安顺,新业务,5694.19
201910271055,853,安顺,新业务,5988.99
201910271105,853,安顺,新业务,6802.09
201910271110,853,安顺,新业务,6549.08
201910271115,853,安顺,新业务,7423.96
201910271120,853,安顺,新业务,7451.76
201910271125,853,安顺,新业务,8300.67
201910271130,853,安顺,新业务,6923.25
201910271135,853,安顺,新业务,6395.50
201910271140,853,安顺,新业务,5997.29
201910271145,853,安顺,新业务,7055.20
201910271150,853,安顺,新业务,6775.86
201910271155,853,安顺,新业务,6455.39
201910271200,853,安顺,新业务,6672.15
201910271205,853,安顺,新业务,6413.95
201910271210,853,安顺,新业务,6793.48
201910271215,853,安顺,新业务,7138.19
201910271220,853,安顺,新业务,6901.23
201910271225,853,安顺,新业务,6592.30
201910271230,853,安顺,新业务,6925.10
201910271235,853,安顺,新业务,6588.82
201910271240,853,安顺,新业务,7178.89
201910271245,853,安顺,新业务,7273.08
201910271250,853,安顺,新业务,7938.45
201910271255,853,安顺,新业务,7591.50
201910271300,853,安顺,新业务,7915.43
201910271305,853,安顺,新业务,7415.27
201910271310,853,安顺,新业务,0.00
201910271315,853,安顺,新业务,7133.48
201910271320,853,安顺,新业务,6336.60
201910271325,853,安顺,新业务,6621.26
201910271330,853,安顺,新业务,6397.31
201910271335,853,安顺,新业务,6196.46
201910271340,853,安顺,新业务,6450.66
201910271345,853,安顺,新业务,6993.92
201910271350,853,安顺,新业务,6686.67
201910271355,853,安顺,新业务,6722.24
201910271400,853,安顺,新业务,5701.58
201910271405,853,安顺,新业务,5782.84
201910271410,853,安顺,新业务,6355.72
201910271415,853,安顺,新业务,5857.94
201910271420,853,安顺,新业务,5967.91
201910271425,853,安顺,新业务,6201.53
201910271430,853,安顺,新业务,6102.28
201910271435,853,安顺,新业务,6486.92
201910271440,853,安顺,新业务,5568.25
201910271445,853,安顺,新业务,5657.86
201910271450,853,安顺,新业务,6003.84
201910271455,853,安顺,新业务,6344.90
201910271500,853,安顺,新业务,6666.37
201910271505,853,安顺,新业务,6455.25
201910271510,853,安顺,新业务,5847.24
201910271515,853,安顺,新业务,4755.70
201910271520,853,安顺,新业务,6185.41
201910271525,853,安顺,新业务,6030.99
201910271530,853,安顺,新业务,5827.95
201910271535,853,安顺,新业务,6304.65
201910271540,853,安顺,新业务,5316.85
201910271545,853,安顺,新业务,6498.87
201910271550,853,安顺,新业务,6229.73
201910271555,853,安顺,新业务,5773.53
201910271600,853,安顺,新业务,8683.46
201910271605,853,安顺,新业务,6534.38
201910271610,853,安顺,新业务,5562.43
201910271615,853,安顺,新业务,5433.40
201910271620,853,安顺,新业务,5276.72
201910271625,853,安顺,新业务,5819.00
201910271630,853,安顺,新业务,4901.00
201910271635,853,安顺,新业务,4512.90
201910271640,853,安顺,新业务,8151.85
201910271645,853,安顺,新业务,5696.39
201910271650,853,安顺,新业务,7743.34
201910271655,853,安顺,新业务,6230.21
201910271700,853,安顺,新业务,5688.39
201910271705,853,安顺,新业务,5831.41
201910271710,853,安顺,新业务,5591.80
201910271715,853,安顺,新业务,5552.35
201910271720,853,安顺,新业务,4536.82
201910271725,853,安顺,新业务,6118.65
201910271730,853,安顺,新业务,5819.32
201910271735,853,安顺,新业务,6057.60
201910271740,853,安顺,新业务,6681.57
201910271745,853,安顺,新业务,6043.75
201910271750,853,安顺,新业务,5897.63
201910271755,853,安顺,新业务,6060.72
201910271800,853,安顺,新业务,6779.46
201910271805,853,安顺,新业务,5686.49
