日期,编码,地区,业务类型,流量
201910270800,853,安顺,支付,1510.01
201910270805,853,安顺,支付,1714.99
201910270810,853,安顺,支付,1535.70
201910270815,853,安顺,支付,1717.83
201910270820,853,安顺,支付,1605.92
201910270825,853,安顺,支付,2068.56
201910270830,853,安顺,支付,1664.98
201910270835,853,安顺,支付,2063.16
201910270840,853,安顺,支付,2118.08
201910270845,853,安顺,支付,2088.95
201910270850,853,安顺,支付,2294.59
201910270855,853,安顺,支付,1862.00
201910270900,853,安顺,支付,2325.01
201910270905,853,安顺,支付,2108.79
201910270910,853,安顺,支付,2332.20
201910270915,853,安顺,支付,2544.31
201910270920,853,安顺,支付,2285.92
201910270925,853,安顺,支付,2328.68
201910270930,853,安顺,支付,2442.05
201910270935,853,安顺,支付,2561.54
201910270940,853,安顺,支付,2358.78
201910270945,853,安顺,支付,2494.91
201910270950,853,安顺,支付,2533.63
201910270955,853,安顺,支付,2464.26
201910271000,853,安顺,支付,2955.25
201910271005,853,安顺,支付,2459.31
201910271010,853,安顺,支付,2476.69
201910271015,853,安顺,支付,2741.33
201910271020,853,安顺,支付,2604.37
201910271025,853,安顺,支付,2924.32
201910271030,853,安顺,支付,2907.94
201910271035,853,安顺,支付,3023.45
201910271040,853,安顺,支付,3233.42
201910271045,853,安顺,支付,2708.23
201910271050,853,安顺,支付,2712.79
201910271055,853,安顺,支付,2635.67
201910271105,853,安顺,支付,2618.67
201910271110,853,安顺,支付,2897.13
201910271115,853,安顺,支付,3029.31
201910271120,853,安顺,支付,3287.08
201910271125,853,安顺,支付,2767.11
201910271130,853,安顺,支付,2921.35
201910271135,853,安顺,支付,2799.22
201910271140,853,安顺,支付,2743.23
201910271145,853,安顺,支付,2933.59
201910271150,853,安顺,支付,3075.48
201910271155,853,安顺,支付,2659.78
201910271200,853,安顺,支付,2886.49
201910271205,853,安顺,支付,2844.01
201910271210,853,安顺,支付,2740.20
201910271215,853,安顺,支付,2766.73
201910271220,853,安顺,支付,2989.96
201910271225,853,安顺,支付,2770.26
201910271230,853,安顺,支付,2975.58
201910271235,853,安顺,支付,2841.07
201910271240,853,安顺,支付,3014.16
201910271245,853,安顺,支付,3161.99
201910271250,853,安顺,支付,2784.26
201910271255,853,安顺,支付,3005.73
201910271300,853,安顺,支付,2482.94
201910271305,853,安顺,支付,2722.79
201910271310,853,安顺,支付,2772.32
201910271315,853,安顺,支付,2712.94
201910271320,853,安顺,支付,2749.97
201910271325,853,安顺,支付,2999.17
201910271330,853,安顺,支付,2669.04
201910271335,853,安顺,支付,2856.89
201910271340,853,安顺,支付,3108.37
201910271345,853,安顺,支付,2426.30
201910271350,853,安顺,支付,2633.08
201910271355,853,安顺,支付,2537.72
201910271400,853,安顺,支付,3099.94
201910271405,853,安顺,支付,2495.51
201910271410,853,安顺,支付,2520.32
201910271415,853,安顺,支付,2779.82
201910271420,853,安顺,支付,2732.88
201910271425,853,安顺,支付,2899.32
201910271430,853,安顺,支付,2393.88
201910271435,853,安顺,支付,2625.61
201910271440,853,安顺,支付,2755.76
201910271445,853,安顺,支付,2850.22
201910271450,853,安顺,支付,3073.05
201910271455,853,安顺,支付,2744.42
201910271500,853,安顺,支付,2532.12
201910271505,853,安顺,支付,2604.57
201910271510,853,安顺,支付,2634.46
201910271515,853,安顺,支付,2714.02
201910271520,853,安顺,支付,2504.25
201910271525,853,安顺,支付,2827.91
201910271530,853,安顺,支付,2682.56
201910271535,853,安顺,支付,2897.08
201910271540,853,安顺,支付,2516.51
201910271545,853,安顺,支付,2525.31
201910271550,853,安顺,支付,2941.21
201910271555,853,安顺,支付,2876.37
201910271600,853,安顺,支付,2330.44
201910271605,853,安顺,支付,2444.55
201910271610,853,安顺,支付,2639.99
201910271615,853,安顺,支付,2245.39
201910271620,853,安顺,支付,3181.09
201910271625,853,安顺,支付,2446.57
201910271630,853,安顺,支付,2508.86
201910271635,853,安顺,支付,2537.81
201910271640,853,安顺,支付,2212.27
201910271645,853,安顺,支付,2582.04
201910271650,853,安顺,支付,2821.04
201910271655,853,安顺,支付,2886.20
201910271700,853,安顺,支付,2557.50
201910271705,853,安顺,支付,2740.02
201910271710,853,安顺,支付,2591.27
201910271715,853,安顺,支付,2306.16
201910271720,853,安顺,支付,2339.67
201910271725,853,安顺,支付,2466.76
201910271730,853,安顺,支付,2640.41
201910271735,853,安顺,支付,2337.24
201910271740,853,安顺,支付,2566.00
201910271745,853,安顺,支付,2695.33
201910271750,853,安顺,支付,2527.40
201910271755,853,安顺,支付,2706.62
201910271800,853,安顺,支付,2470.59
201910271805,853,安顺,支付,2462.40
201910271810,853,安顺,支付,2336.11
201910271815,853,安顺,支付,2619.26
201910271820,853,安顺,支付,2377.84
201910271825,853,安顺,支付,2331.54
201910271830,853,安顺,支付,2365.28
201910271835,853,安顺,支付,2743.01
201910271840,853,安顺,支付,2169.20
201910271845,853,安顺,支付,2269.41
201910271850,853,安顺,支付,2859.67
201910271855,853,安顺,支付,2558.13
201910271900,853,安顺,支付,2619.79
201910271905,853,安顺,支付,2528.58
201910271910,853,安顺,支付,2576.82
201910271915,853,安顺,支付,2200.88
201910271920,853,安顺,支付,2559.90
201910271925,853,安顺,支付,2800.75
201910271930,853,安顺,支付,2620.00
201910271935,853,安顺,支付,2536.26
201910271940,853,安顺,支付,2591.62
201910271945,853,安顺,支付,2847.62
201910271950,853,安顺,支付,2553.11
201910271955,853,安顺,支付,2901.82
201910272000,853,安顺,支付,2581.01
201910272005,853,安顺,支付,2544.35
201910272010,853,安顺,支付,2498.41
201910272015,853,安顺,支付,2400.43
201910272020,853,安顺,支付,2528.62
201910272025,853,安顺,支付,2365.35
201910272030,853,安顺,支付,2357.54
201910272035,853,安顺,支付,2103.68
201910272040,853,安顺,支付,2355.87
201910272045,853,安顺,支付,2601.30
201910272050,853,安顺,支付,2329.97
201910272055,853,安顺,支付,2541.81
201910272100,853,安顺,支付,2406.72
201910272105,853,安顺,支付,2330.66
201910272110,853,安顺,支付,2635.99
201910272115,853,安顺,支付,2303.51
201910272120,853,安顺,支付,2166.55
